nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA,FAMILIA|REVERSIÓN,501,257,244,51.3,0.0,NEUTRO,ALTA,51.22,46.93,55.51,True,501,50.3,54.49,49.1,5.39,-1.2,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|TENDENCIA,303,163,140,53.8,0.0,NEUTRO,ALTA,53.51,48.08,58.94,True,303,57.43,51.49,52.48,5.94,-4.95,3,1.0,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|CALL,261,139,122,53.26,0.0,NEUTRO,ALTA,52.97,47.15,58.8,True,261,52.87,52.87,54.02,1.15,1.15,3,1.0,LUNA-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|PUT,240,118,122,49.17,0.0,NEUTRO,ALTA,49.17,43.11,55.24,True,240,47.5,55.0,45.0,10.0,-2.5,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|RANGO,198,94,104,47.47,-2.09,DEBIL,ALTA,47.64,41.02,54.25,True,198,39.39,60.61,42.42,21.22,3.03,2,0.667,LUNA-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|INDEFINIDA,176,85,91,48.3,0.0,NEUTRO,ALTA,48.39,41.41,55.37,True,176,44.07,57.63,43.1,14.53,-0.97,2,0.667,UKOUSD-OTC,call,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
FAMILIA,FAMILIA|REACCIÓN_ZONA,161,78,83,48.45,0.0,NEUTRO,ALTA,48.54,41.27,55.8,True,161,44.44,57.41,43.4,14.01,-1.04,2,0.667,LUNA-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_DEBIL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|UKOUSD-OTC|REVERSIÓN,153,84,69,54.9,0.0,NEUTRO,ALTA,54.25,46.85,61.65,True,153,58.82,56.86,49.02,9.8,-9.8,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
ACTIVO_DIRECCION,ACTIVO_DIRECCION|EURUSD-OTC|PUT,128,63,65,49.22,0.0,NEUTRO,ALTA,49.22,41.2,57.25,True,128,48.84,51.16,47.62,3.54,-1.22,2,0.667,EURUSD-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|USDNOK-OTC|REVERSIÓN,127,64,63,50.39,0.0,NEUTRO,ALTA,50.24,42.18,58.29,True,127,44.19,59.52,47.62,15.33,3.43,1,0.333,USDNOK-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_DEBIL,,,,
