nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|MERCADO_SUCIO,1554,759,795,48.84,0.0,NEUTRO,ALTA,48.85,46.38,51.32,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,IMPULSO_BAJISTA_MEDIO,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA+TENDENCIA_DEBIL,,
FAMILIA,FAMILIA|REVERSIÓN,1477,728,749,49.29,0.0,NEUTRO,ALTA,49.29,46.76,51.82,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,IMPULSO_BAJISTA_MEDIO,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA+TENDENCIA_DEBIL,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|SCORE_MERCADO_BAJO,1380,669,711,48.48,0.0,NEUTRO,ALTA,48.49,45.87,51.11,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,IMPULSO_BAJISTA_MEDIO,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA+TENDENCIA_DEBIL,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|TENDENCIA,945,475,470,50.26,0.0,NEUTRO,ALTA,50.24,47.09,53.4,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,IMPULSO_BAJISTA_MEDIO,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA+TENDENCIA_DEBIL,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|TENDENCIA_BAJISTA,847,423,424,49.94,0.0,NEUTRO,ALTA,49.93,46.6,53.25,AIG-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_FUERTE,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_BAJISTA,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|TENDENCIA_DEBIL,754,385,369,51.06,0.0,NEUTRO,ALTA,51.01,47.49,54.53,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,IMPULSO_BAJISTA_MEDIO,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA+TENDENCIA_DEBIL,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|PUT,741,373,368,50.34,0.0,NEUTRO,ALTA,50.31,46.76,53.86,USDMXN-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|CALL,736,355,381,48.23,0.0,NEUTRO,ALTA,48.26,44.7,51.82,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,IMPULSO_BAJISTA_MEDIO,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA+TENDENCIA_DEBIL,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|MERCADO_RANGO,714,328,386,45.94,-2.34,DEBIL,ALTA,46.03,42.43,49.63,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,IMPULSO_ALCISTA_AGOTANDOSE,MERCADO_RANGO+MERCADO_SUCIO+RANGO_SUCIO+RIESGO_MERCADO_ALTO+SCORE_MERCADO_BAJO+TENDENCIA_INDEFINIDA,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|TENDENCIA_ALCISTA,713,370,343,51.89,0.0,NEUTRO,ALTA,51.82,48.21,55.44,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,IMPULSO_BAJISTA_MEDIO,MERCADO_SUCIO+SCORE_MERCADO_BAJO+TENDENCIA_ALCISTA+TENDENCIA_DEBIL,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|MERCADO_NORMAL,697,350,347,50.22,0.0,NEUTRO,ALTA,50.19,46.53,53.85,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|TENDENCIA_INDEFINIDA,659,310,349,47.04,-2.16,DEBIL,ALTA,47.11,43.35,50.86,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,IMPULSO_ALCISTA_AGOTANDOSE,MERCADO_RANGO+MERCADO_SUCIO+RANGO_SUCIO+RIESGO_MERCADO_ALTO+SCORE_MERCADO_BAJO+TENDENCIA_INDEFINIDA,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|RANGO_SUCIO,611,280,331,45.83,-2.36,DEBIL,ALTA,45.94,42.05,49.82,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,IMPULSO_ALCISTA_AGOTANDOSE,MERCADO_RANGO+MERCADO_SUCIO+RANGO_SUCIO+RIESGO_MERCADO_ALTO+SCORE_MERCADO_BAJO+TENDENCIA_INDEFINIDA,,
