nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|MERCADO_NORMAL,577,271,306,46.97,-2.17,DEBIL,ALTA,47.04,43.04,51.04,True,577,45.08,46.88,48.96,3.88,3.88,3,1.0,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_FUERTE,,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE,,
FAMILIA,FAMILIA|CONTINUACIÓN,364,160,204,43.96,-2.67,DEBIL,ALTA,44.23,39.27,49.19,True,364,42.62,44.63,44.63,2.01,2.01,3,1.0,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_FUERTE,,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE,,
FAMILIA_MERCADO,FAMILIA_MERCADO|CONTINUACIÓN|TENDENCIA,359,157,202,43.73,-2.71,DEBIL,ALTA,44.02,39.03,49.02,True,359,42.5,44.17,44.54,2.04,2.04,3,1.0,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_FUERTE,,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|TENDENCIA_ALCISTA,306,149,157,48.69,0.0,NEUTRO,ALTA,48.73,43.31,54.14,True,306,46.08,49.02,50.98,4.9,4.9,2,0.667,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_FUERTE,,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|TENDENCIA_BAJISTA,295,136,159,46.1,-2.32,DEBIL,ALTA,46.3,40.8,51.8,True,295,44.44,51.02,42.86,8.16,-1.58,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|CONTINUACIÓN|PUT,203,93,110,45.81,-2.36,DEBIL,ALTA,46.12,39.59,52.65,True,203,39.71,52.94,44.78,13.23,5.07,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CONTINUACION+CONTINUACIÓN+PULLBACK_GENERICO,177,79,98,44.63,-2.56,DEBIL,ALTA,45.1,38.17,52.03,True,177,45.76,44.07,44.07,1.69,-1.69,3,1.0,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
MERCADO_EVIDENCIAS,MERCADO_EVIDENCIAS|MERCADO_NORMAL+TENDENCIA_ALCISTA,170,76,94,44.71,-2.55,DEBIL,ALTA,45.18,38.13,52.24,True,170,54.39,29.82,50.0,24.57,-4.39,1,0.333,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
FAMILIA,FAMILIA|REVERSIÓN,163,79,84,48.47,0.0,NEUTRO,ALTA,48.55,41.33,55.77,True,163,43.64,53.7,48.15,10.06,4.51,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_MEDIO+RECHAZO_VENDEDOR_HISTORICO,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|TENDENCIA,162,79,83,48.77,0.0,NEUTRO,ALTA,48.82,41.58,56.06,True,162,44.44,53.7,48.15,9.26,3.71,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_MEDIO+RECHAZO_VENDEDOR_HISTORICO,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|CONTINUACIÓN|CALL,161,67,94,41.61,-3.06,DEBIL,ALTA,42.46,35.28,49.64,True,161,44.44,37.04,43.4,7.4,-1.04,3,1.0,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_FUERTE,,MERCADO_NORMAL+TENDENCIA_ALCISTA+TENDENCIA_FUERTE,,
PA,PA|IMPULSO_BAJISTA_MEDIO,152,69,83,45.39,-2.43,DEBIL,ALTA,45.84,38.42,53.27,True,152,52.94,47.06,36.0,16.94,-16.94,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,IMPULSO_BAJISTA_MEDIO+RECHAZO_VENDEDOR_HISTORICO,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|CONTINUACIÓN|BAJISTA_NORMAL,148,70,78,47.3,-2.12,DEBIL,ALTA,47.53,40.0,55.06,True,148,38.0,57.14,46.94,19.14,8.94,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,MERCADO_NORMAL+TENDENCIA_BAJISTA,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CONTINUACION+CONTINUACION_SIMPLE+CONTINUACIÓN,147,63,84,42.86,-2.86,DEBIL,ALTA,43.62,36.12,51.12,True,147,40.82,40.82,46.94,6.12,6.12,3,1.0,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,IMPULSO_ALCISTA_FUERTE,MERCADO_NORMAL+TENDENCIA_ALCISTA,,
