nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA,FAMILIA|REVERSIÓN,1473,724,749,49.15,0.0,NEUTRO,ALTA,49.15,46.62,51.69,True,1473,50.51,49.69,47.25,3.26,-3.26,1,0.333,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|TENDENCIA,941,471,470,50.05,0.0,NEUTRO,ALTA,50.04,46.88,53.2,True,941,50.32,50.64,49.2,1.44,-1.12,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|CALL,737,356,381,48.3,0.0,NEUTRO,ALTA,48.33,44.77,51.89,True,737,53.25,45.53,46.12,7.72,-7.13,2,0.667,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|PUT,736,368,368,50.0,0.0,NEUTRO,ALTA,49.98,46.42,53.54,True,736,47.97,54.69,47.35,7.34,-0.62,1,0.333,USDMXN-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|RANGO,531,252,279,47.46,-2.09,DEBIL,ALTA,47.52,43.36,51.69,True,531,50.85,49.72,41.81,9.04,-9.04,1,0.333,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|INDEFINIDA,501,244,257,48.7,0.0,NEUTRO,ALTA,48.72,44.44,53.01,True,501,54.49,47.31,44.31,10.18,-10.18,2,0.667,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA,FAMILIA|REACCIÓN_ZONA,445,209,236,46.97,-2.17,DEBIL,ALTA,47.06,42.53,51.6,True,445,44.3,50.68,45.95,6.38,1.65,2,0.667,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_BAJISTA+SWEEP_RUPTURA_CONFIRMABLE,353,166,187,47.03,-2.16,DEBIL,ALTA,47.14,42.09,52.2,True,353,49.15,46.61,45.3,3.85,-3.85,3,1.0,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_ALCISTA+SWEEP_RUPTURA_CONFIRMABLE,298,138,160,46.31,-2.28,DEBIL,ALTA,46.49,41.02,51.97,True,298,54.0,43.43,41.41,12.59,-12.59,2,0.667,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REACCIÓN_ZONA|TENDENCIA,267,135,132,50.56,0.0,NEUTRO,ALTA,50.47,44.7,56.24,True,267,48.31,56.18,47.19,8.99,-1.12,1,0.333,USDSGD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_DEBIL,,,,
