nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA,FAMILIA|REVERSIÓN,182,94,88,51.65,0.0,NEUTRO,ALTA,51.41,44.54,58.29,True,182,42.62,55.74,56.67,14.05,14.05,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|TENDENCIA,181,94,87,51.93,0.0,NEUTRO,ALTA,51.67,44.78,58.56,True,181,44.26,55.0,56.67,12.41,12.41,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA,FAMILIA|CONTINUACIÓN,154,72,82,46.75,-2.21,DEBIL,ALTA,47.04,39.65,54.44,True,154,42.31,50.98,47.06,8.67,4.75,2,0.667,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|CONTINUACIÓN|TENDENCIA,154,72,82,46.75,-2.21,DEBIL,ALTA,47.04,39.65,54.44,True,154,42.31,50.98,47.06,8.67,4.75,2,0.667,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CONTINUACION+CONTINUACIÓN+PULLBACK_GENERICO,152,72,80,47.37,-2.1,DEBIL,ALTA,47.59,40.15,55.03,True,152,43.14,52.94,46.0,9.8,2.86,2,0.667,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|CONTINUACIÓN|PUT,125,61,64,48.8,0.0,NEUTRO,ALTA,48.86,40.75,56.97,True,125,42.86,57.14,46.34,14.28,3.48,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|CONTINUACIÓN|CONTINUACION|PULLBACK_GENERICO|TENDENCIA,123,61,62,49.59,0.0,NEUTRO,ALTA,49.55,41.38,57.71,True,123,43.9,56.1,48.78,12.2,4.88,1,0.333,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|PUT,98,50,48,51.02,0.0,NEUTRO,ALTA,50.72,41.74,59.7,True,98,33.33,54.55,65.62,32.29,32.29,2,0.667,HK33-OTC,put,REVERSIÓN,RANGO,ALCISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|CONTINUACIÓN|TENDENCIA|BAJISTA_NORMAL,89,45,44,50.56,0.0,NEUTRO,ALTA,50.32,40.98,59.66,True,89,43.33,60.0,48.28,16.67,4.95,1,0.333,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|CONTINUACIÓN|BAJISTA_NORMAL,89,45,44,50.56,0.0,NEUTRO,ALTA,50.32,40.98,59.66,True,89,43.33,60.0,48.28,16.67,4.95,1,0.333,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_NORMAL+CONTINUACIÓN+PUT+TENDENCIA,89,45,44,50.56,0.0,NEUTRO,ALTA,50.32,40.98,59.66,True,89,43.33,60.0,48.28,16.67,4.95,1,0.333,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|ALCISTA_NORMAL,86,45,41,52.33,0.0,NEUTRO,ALTA,51.75,42.28,61.21,True,86,37.93,55.17,64.29,26.36,26.36,2,0.667,HK33-OTC,put,REVERSIÓN,RANGO,ALCISTA_NORMAL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|CALL,84,44,40,52.38,0.0,NEUTRO,ALTA,51.78,42.22,61.34,True,84,57.14,57.14,42.86,14.28,-14.28,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|PUT|REVERSIÓN|TENDENCIA|ALCISTA_NORMAL,68,32,36,47.06,-2.1,DEBIL,ALTA,47.56,37.18,57.93,True,68,34.78,43.48,63.64,28.86,28.86,2,0.667,US2000-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|ALCISTA_NORMAL+PUT+REVERSIÓN+TENDENCIA,68,32,36,47.06,-2.1,DEBIL,ALTA,47.56,37.18,57.93,True,68,34.78,43.48,63.64,28.86,28.86,2,0.667,US2000-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
FAMILIA,FAMILIA|REVERSIÓN_ESTRUCTURAL,62,38,24,61.29,2.45,FAVORABLE,ALTA,58.35,47.75,68.96,True,62,61.9,66.67,55.0,11.67,-6.9,3,1.0,US2000-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN_ESTRUCTURAL|TENDENCIA,61,38,23,62.3,2.61,FAVORABLE,ALTA,59.07,48.43,69.72,True,61,61.9,70.0,55.0,15.0,-6.9,3,1.0,US2000-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_BAJISTA+SWEEP_RUPTURA_CONFIRMABLE,58,32,26,55.17,0.0,NEUTRO,ALTA,53.65,42.66,64.65,True,58,45.0,57.89,63.16,18.16,18.16,2,0.667,HK33-OTC,put,REVERSIÓN,RANGO,ALCISTA_NORMAL,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|REVERSIÓN|SWEEP_BAJISTA|SWEEP_RUPTURA_CONFIRMABLE|TENDENCIA,57,32,25,56.14,0.0,NEUTRO,ALTA,54.35,43.3,65.4,True,57,47.37,57.89,63.16,15.79,15.79,2,0.667,USDMXN-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|BAJISTA_NORMAL,52,24,28,46.15,-2.16,DEBIL,ALTA,47.01,35.56,58.46,True,52,66.67,35.29,35.29,31.38,-31.38,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA,FAMILIA|REACCIÓN_ZONA,52,22,30,42.31,-2.76,DEBIL,ALTA,44.24,32.84,55.63,True,52,50.0,41.18,35.29,14.71,-14.71,2,0.667,US2000-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REACCIÓN_ZONA|TENDENCIA,51,22,29,43.14,-2.62,DEBIL,ALTA,44.86,33.37,56.35,True,51,52.94,35.29,41.18,17.65,-11.76,2,0.667,US2000-OTC,put,REACCIÓN_ZONA,TENDENCIA,BAJISTA_NORMAL,,,,
