activo,fecha,direccion,patron,puntaje,resultado,precio_entrada,precio_cierre
AUDCAD-OTC,1782029880,put,continuacion bajista simple,14,WIN,0.991105,0.991035
AUDCAD-OTC,1782029940,put,continuacion bajista simple,14,WIN,0.991035,0.991025
AUDCAD-OTC,1782030060,put,continuacion bajista simple,14,WIN,0.990935,0.990785
AUDCAD-OTC,1782030120,put,continuacion bajista simple,14,WIN,0.990785,0.990585
AUDCAD-OTC,1782030180,put,continuacion bajista simple,14,LOSS,0.990585,0.990625
AUDCAD-OTC,1782030240,call,reaccion compradora simple,18,LOSS,0.990625,0.990565
AUDCAD-OTC,1782030300,put,continuacion bajista simple,14,WIN,0.990565,0.990285
AUDCAD-OTC,1782030360,put,continuacion bajista simple,14,LOSS,0.990285,0.990315
AUDCAD-OTC,1782030480,call,continuacion alcista simple,14,WIN,0.990565,0.990645
AUDCAD-OTC,1782030540,call,reaccion compradora simple,18,LOSS,0.990645,0.990465
AUDCAD-OTC,1782030600,put,continuacion bajista simple,14,LOSS,0.990465,0.990485
AUDCAD-OTC,1782030720,put,continuacion bajista simple,14,WIN,0.990325,0.990185
AUDCAD-OTC,1782030780,put,continuacion bajista simple,14,WIN,0.990185,0.990015
AUDCAD-OTC,1782030840,put,continuacion bajista simple,14,WIN,0.990015,0.989805
AUDCAD-OTC,1782030900,put,continuacion bajista simple,14,LOSS,0.989805,0.989885
AUDCAD-OTC,1782030960,call,continuacion alcista simple,14,LOSS,0.989885,0.989785
AUDCAD-OTC,1782031020,put,continuacion bajista simple,14,WIN,0.989785,0.989715
AUDCAD-OTC,1782031080,put,continuacion bajista simple,14,LOSS,0.989715,0.989805
AUDCAD-OTC,1782031140,call,reaccion compradora simple,18,LOSS,0.989805,0.989495
AUDCAD-OTC,1782031200,put,continuacion bajista simple,14,LOSS,0.989495,0.989735
AUDCAD-OTC,1782031260,call,continuacion alcista simple,14,WIN,0.989735,0.989745
AUDCAD-OTC,1782031380,call,continuacion alcista simple,14,WIN,0.989945,0.989955
AUDCAD-OTC,1782031500,put,continuacion bajista simple,14,WIN,0.989835,0.989555
AUDCAD-OTC,1782031560,put,continuacion bajista simple,14,LOSS,0.989555,0.989735
AUDCAD-OTC,1782031620,call,continuacion alcista simple,14,LOSS,0.989735,0.989735
AUDCAD-OTC,1782031740,put,continuacion bajista simple,14,WIN,0.989385,0.989215
AUDCAD-OTC,1782031800,put,continuacion bajista simple,14,LOSS,0.989215,0.989315
AUDCAD-OTC,1782031860,call,reaccion compradora simple,18,WIN,0.989315,0.989425
AUDCAD-OTC,1782031920,call,continuacion alcista simple,14,WIN,0.989425,0.989615
AUDCAD-OTC,1782031980,call,continuacion alcista simple,14,LOSS,0.989615,0.989205
AUDCAD-OTC,1782032040,put,continuacion bajista simple,14,LOSS,0.989205,0.989415
AUDCAD-OTC,1782032100,call,continuacion alcista simple,14,WIN,0.989415,0.989425
AUDCAD-OTC,1782032220,call,continuacion alcista simple,14,LOSS,0.989495,0.989495
