tipo,activo,from,open,close,max,min,volume
binary,AUDUSD-OTC,1782913620,0.697755,0.697555,0.697835,0.697525,0
binary,AUDUSD-OTC,1782913680,0.697505,0.697805,0.697805,0.697445,0
binary,AUDUSD-OTC,1782913740,0.697795,0.697815,0.697945,0.697705,0
binary,AUDUSD-OTC,1782913800,0.697825,0.697865,0.697925,0.697755,0
binary,AUDUSD-OTC,1782913860,0.697865,0.697585,0.697865,0.697515,0
binary,AUDUSD-OTC,1782913920,0.697585,0.697565,0.697645,0.697525,0
binary,AUDUSD-OTC,1782913980,0.697545,0.697425,0.697545,0.697405,0
binary,AUDUSD-OTC,1782914040,0.697415,0.697325,0.697445,0.697265,0
binary,AUDUSD-OTC,1782914100,0.697335,0.697155,0.697335,0.697015,0
binary,AUDUSD-OTC,1782914160,0.697125,0.697285,0.697315,0.697095,0
binary,AUDUSD-OTC,1782914220,0.697265,0.697255,0.697305,0.697105,0
binary,AUDUSD-OTC,1782914280,0.697255,0.697305,0.697335,0.697195,0
binary,AUDUSD-OTC,1782914340,0.697315,0.697025,0.697315,0.696985,0
binary,AUDUSD-OTC,1782914400,0.697025,0.696745,0.697085,0.696735,0
binary,AUDUSD-OTC,1782914460,0.696765,0.696745,0.696895,0.696685,0
binary,AUDUSD-OTC,1782914520,0.696735,0.696995,0.697025,0.696735,0
binary,AUDUSD-OTC,1782914580,0.696985,0.696775,0.697015,0.696765,0
binary,AUDUSD-OTC,1782914640,0.696795,0.696905,0.696915,0.696725,0
binary,AUDUSD-OTC,1782914700,0.696915,0.697015,0.697135,0.696875,0
binary,AUDUSD-OTC,1782914760,0.697025,0.696815,0.697075,0.696815,0
binary,AUDUSD-OTC,1782914820,0.696835,0.696625,0.696845,0.696625,0
binary,AUDUSD-OTC,1782914880,0.696635,0.696345,0.696645,0.696335,0
binary,AUDUSD-OTC,1782914940,0.696355,0.696505,0.696515,0.696295,0
binary,AUDUSD-OTC,1782915000,0.696495,0.696395,0.696555,0.696095,0
binary,AUDUSD-OTC,1782915060,0.696395,0.696385,0.696495,0.696375,0
binary,AUDUSD-OTC,1782915120,0.696365,0.696245,0.696415,0.696195,0
binary,AUDUSD-OTC,1782915180,0.696255,0.696685,0.696695,0.696225,0
binary,AUDUSD-OTC,1782915240,0.696665,0.696745,0.696855,0.696595,0
binary,AUDUSD-OTC,1782915300,0.696735,0.696865,0.696885,0.696575,0
binary,AUDUSD-OTC,1782915360,0.696865,0.696685,0.696895,0.696615,0
binary,AUDUSD-OTC,1782915420,0.696685,0.696475,0.696715,0.696475,0
binary,AUDUSD-OTC,1782915480,0.696415,0.696415,0.696455,0.696295,0
binary,AUDUSD-OTC,1782915540,0.696405,0.696545,0.696665,0.696345,0
binary,AUDUSD-OTC,1782915600,0.696535,0.696725,0.696815,0.696535,0
binary,AUDUSD-OTC,1782915660,0.696715,0.696595,0.696715,0.696565,0
binary,AUDUSD-OTC,1782915720,0.696555,0.696695,0.696815,0.696525,0
binary,AUDUSD-OTC,1782915780,0.696675,0.696475,0.696775,0.696455,0
binary,AUDUSD-OTC,1782915840,0.696485,0.696345,0.696495,0.696225,0
binary,AUDUSD-OTC,1782915900,0.696355,0.696315,0.696425,0.696285,0
binary,AUDUSD-OTC,1782915960,0.696315,0.696465,0.696545,0.696235,0
