tipo,activo,from,open,close,max,min,volume
binary,BONKUSD-OTC,1782036060,0.008915,0.008785,0.008925,0.008765,0
binary,BONKUSD-OTC,1782036120,0.008775,0.008785,0.008795,0.008715,0
binary,BONKUSD-OTC,1782036180,0.008775,0.008825,0.008835,0.008725,0
binary,BONKUSD-OTC,1782036240,0.008825,0.008775,0.008845,0.008755,0
binary,BONKUSD-OTC,1782036300,0.008765,0.008775,0.008825,0.008755,0
binary,BONKUSD-OTC,1782036360,0.008785,0.008825,0.008835,0.008765,0
binary,BONKUSD-OTC,1782036420,0.008835,0.008835,0.008855,0.008785,0
binary,BONKUSD-OTC,1782036480,0.008835,0.008955,0.008955,0.008835,0
binary,BONKUSD-OTC,1782036540,0.008965,0.008985,0.009025,0.008955,0
binary,BONKUSD-OTC,1782036600,0.008995,0.008955,0.009035,0.008945,0
binary,BONKUSD-OTC,1782036660,0.008965,0.008965,0.008975,0.008895,0
binary,BONKUSD-OTC,1782036720,0.008955,0.008925,0.008965,0.008895,0
binary,BONKUSD-OTC,1782036780,0.008925,0.008935,0.008945,0.008895,0
binary,BONKUSD-OTC,1782036840,0.008925,0.008945,0.009035,0.008925,0
binary,BONKUSD-OTC,1782036900,0.008955,0.008945,0.009025,0.008935,0
binary,BONKUSD-OTC,1782036960,0.008935,0.008965,0.009035,0.008925,0
binary,BONKUSD-OTC,1782037020,0.008975,0.008975,0.009005,0.008905,0
binary,BONKUSD-OTC,1782037080,0.008965,0.008965,0.008995,0.008885,0
binary,BONKUSD-OTC,1782037140,0.008975,0.008915,0.009015,0.008885,0
binary,BONKUSD-OTC,1782037200,0.008905,0.008895,0.008965,0.008885,0
binary,BONKUSD-OTC,1782037260,0.008895,0.008835,0.008935,0.008785,0
binary,BONKUSD-OTC,1782037320,0.008845,0.008935,0.008955,0.008835,0
binary,BONKUSD-OTC,1782037380,0.008925,0.008875,0.008975,0.008875,0
binary,BONKUSD-OTC,1782037440,0.008885,0.008905,0.008915,0.008825,0
binary,BONKUSD-OTC,1782037500,0.008915,0.008845,0.008955,0.008835,0
binary,BONKUSD-OTC,1782037560,0.008845,0.008875,0.008875,0.008795,0
binary,BONKUSD-OTC,1782037620,0.008865,0.008885,0.008965,0.008865,0
binary,BONKUSD-OTC,1782037680,0.008885,0.008965,0.009005,0.008885,0
binary,BONKUSD-OTC,1782037740,0.008965,0.009065,0.009065,0.008955,0
binary,BONKUSD-OTC,1782037800,0.009065,0.009125,0.009125,0.009015,0
binary,BONKUSD-OTC,1782037860,0.009115,0.009235,0.009275,0.009115,0
binary,BONKUSD-OTC,1782037920,0.009225,0.009155,0.009295,0.009155,0
binary,BONKUSD-OTC,1782037980,0.009145,0.009195,0.009205,0.009075,0
binary,BONKUSD-OTC,1782038040,0.009195,0.009125,0.009195,0.009115,0
binary,BONKUSD-OTC,1782038100,0.009135,0.009115,0.009165,0.009075,0
binary,BONKUSD-OTC,1782038160,0.009125,0.009095,0.009195,0.009065,0
binary,BONKUSD-OTC,1782038220,0.009105,0.009015,0.009115,0.008975,0
binary,BONKUSD-OTC,1782038280,0.009025,0.009165,0.009175,0.008965,0
binary,BONKUSD-OTC,1782038340,0.009175,0.009155,0.009195,0.009115,0
binary,BONKUSD-OTC,1782038400,0.009165,0.009135,0.009215,0.009095,0
binary,BONKUSD-OTC,1782038460,0.009125,0.009135,0.009145,0.009065,0
binary,BONKUSD-OTC,1782038520,0.009145,0.009175,0.009185,0.009125,0
binary,BONKUSD-OTC,1782038580,0.009175,0.009115,0.009195,0.009095,0
binary,BONKUSD-OTC,1782038640,0.009125,0.009105,0.009145,0.009075,0
binary,BONKUSD-OTC,1782038700,0.009125,0.009165,0.009195,0.009115,0
binary,BONKUSD-OTC,1782038760,0.009175,0.009155,0.009215,0.009155,0
binary,BONKUSD-OTC,1782038820,0.009165,0.009175,0.009245,0.009135,0
binary,BONKUSD-OTC,1782038880,0.009185,0.009115,0.009205,0.009085,0
binary,BONKUSD-OTC,1782038940,0.009105,0.009235,0.009245,0.009085,0
