tipo,activo,from,open,close,max,min,volume
binary,CADCHF-OTC,1782036420,0.569335,0.569245,0.569445,0.569235,0
binary,CADCHF-OTC,1782036480,0.569255,0.569415,0.569445,0.569235,0
binary,CADCHF-OTC,1782036540,0.569425,0.569145,0.569425,0.569135,0
binary,CADCHF-OTC,1782036600,0.569135,0.568925,0.569155,0.568885,0
binary,CADCHF-OTC,1782036660,0.568955,0.568905,0.569155,0.568885,0
binary,CADCHF-OTC,1782036720,0.568895,0.569095,0.569095,0.568805,0
binary,CADCHF-OTC,1782036780,0.569075,0.569035,0.569125,0.569005,0
binary,CADCHF-OTC,1782036840,0.569045,0.569005,0.569125,0.568995,0
binary,CADCHF-OTC,1782036900,0.568995,0.568805,0.568995,0.568795,0
binary,CADCHF-OTC,1782036960,0.568795,0.568645,0.568805,0.568635,0
binary,CADCHF-OTC,1782037020,0.568675,0.568645,0.568815,0.568615,0
binary,CADCHF-OTC,1782037080,0.568655,0.568515,0.568655,0.568505,0
binary,CADCHF-OTC,1782037140,0.568485,0.568405,0.568515,0.568195,0
binary,CADCHF-OTC,1782037200,0.568405,0.568395,0.568485,0.568345,0
binary,CADCHF-OTC,1782037260,0.568405,0.568385,0.568455,0.568335,0
binary,CADCHF-OTC,1782037320,0.568385,0.568595,0.568615,0.568375,0
binary,CADCHF-OTC,1782037380,0.568595,0.568585,0.568615,0.568495,0
binary,CADCHF-OTC,1782037440,0.568595,0.568665,0.568725,0.568545,0
binary,CADCHF-OTC,1782037500,0.568705,0.568825,0.568835,0.568675,0
binary,CADCHF-OTC,1782037560,0.568815,0.568775,0.568835,0.568625,0
binary,CADCHF-OTC,1782037620,0.568765,0.569285,0.569285,0.568755,0
binary,CADCHF-OTC,1782037680,0.569275,0.569305,0.569485,0.569275,0
binary,CADCHF-OTC,1782037740,0.569295,0.569235,0.569385,0.569195,0
binary,CADCHF-OTC,1782037800,0.569235,0.569255,0.569255,0.569135,0
binary,CADCHF-OTC,1782037860,0.569245,0.569105,0.569295,0.569095,0
binary,CADCHF-OTC,1782037920,0.569115,0.569255,0.569325,0.569035,0
binary,CADCHF-OTC,1782037980,0.569245,0.569145,0.569315,0.569145,0
binary,CADCHF-OTC,1782038040,0.569185,0.569435,0.569445,0.569155,0
binary,CADCHF-OTC,1782038100,0.569445,0.568815,0.569455,0.568745,0
binary,CADCHF-OTC,1782038160,0.568805,0.568825,0.568835,0.568565,0
binary,CADCHF-OTC,1782038220,0.568825,0.568845,0.568915,0.568755,0
binary,CADCHF-OTC,1782038280,0.568835,0.568895,0.568905,0.568795,0
binary,CADCHF-OTC,1782038340,0.568865,0.568695,0.568865,0.568635,0
binary,CADCHF-OTC,1782038400,0.568685,0.568945,0.568945,0.568685,0
binary,CADCHF-OTC,1782038460,0.568955,0.568905,0.569015,0.568875,0
binary,CADCHF-OTC,1782038520,0.568905,0.568765,0.568975,0.568765,0
binary,CADCHF-OTC,1782038580,0.568775,0.568925,0.569005,0.568725,0
binary,CADCHF-OTC,1782038640,0.568925,0.569025,0.569135,0.568905,0
binary,CADCHF-OTC,1782038700,0.569015,0.569055,0.569135,0.568995,0
binary,CADCHF-OTC,1782038760,0.569045,0.569235,0.569235,0.569005,0
binary,CADCHF-OTC,1782038820,0.569225,0.569415,0.569445,0.569115,0
binary,CADCHF-OTC,1782038880,0.569425,0.569465,0.569505,0.569375,0
binary,CADCHF-OTC,1782038940,0.569455,0.569585,0.569585,0.569365,0
binary,CADCHF-OTC,1782039000,0.569595,0.569485,0.569675,0.569475,0
binary,CADCHF-OTC,1782039060,0.569475,0.569395,0.569565,0.569325,0
binary,CADCHF-OTC,1782039120,0.569405,0.569445,0.569565,0.569365,0
binary,CADCHF-OTC,1782039180,0.569455,0.569595,0.569675,0.569455,0
binary,CADCHF-OTC,1782039240,0.569605,0.569265,0.569635,0.569245,0
binary,CADCHF-OTC,1782039300,0.569275,0.569415,0.569575,0.569275,0
binary,CADCHF-OTC,1782039360,0.569425,0.569585,0.569605,0.569425,0
binary,CADCHF-OTC,1782039420,0.569595,0.569755,0.569805,0.569595,0
binary,CADCHF-OTC,1782039480,0.569765,0.569715,0.569855,0.569645,0
binary,CADCHF-OTC,1782039540,0.569705,0.569765,0.569775,0.569635,0
binary,CADCHF-OTC,1782039600,0.569755,0.569865,0.569865,0.569725,0
binary,CADCHF-OTC,1782039660,0.569875,0.569845,0.569895,0.569775,0
binary,CADCHF-OTC,1782039720,0.569845,0.569775,0.569895,0.569735,0
binary,CADCHF-OTC,1782039780,0.569805,0.569785,0.569815,0.569685,0
binary,CADCHF-OTC,1782039840,0.569795,0.569895,0.569945,0.569775,0
binary,CADCHF-OTC,1782039900,0.569885,0.570065,0.570105,0.569845,0
binary,CADCHF-OTC,1782039960,0.570055,0.570285,0.570285,0.570035,0
binary,CADCHF-OTC,1782040020,0.570285,0.570045,0.570415,0.570045,0
binary,CADCHF-OTC,1782040080,0.570035,0.570125,0.570195,0.570005,0
binary,CADCHF-OTC,1782040140,0.570115,0.569975,0.570135,0.569955,0
binary,CADCHF-OTC,1782040200,0.570005,0.570075,0.570085,0.569935,0
binary,CADCHF-OTC,1782040260,0.570065,0.569845,0.570115,0.569835,0
binary,CADCHF-OTC,1782040320,0.569845,0.569895,0.569935,0.569755,0
binary,CADCHF-OTC,1782040380,0.569875,0.570025,0.570125,0.569875,0
binary,CADCHF-OTC,1782040440,0.570035,0.569985,0.570175,0.569985,0
binary,CADCHF-OTC,1782040500,0.569995,0.569885,0.570065,0.569835,0
binary,CADCHF-OTC,1782040560,0.569875,0.569675,0.569985,0.569665,0
binary,CADCHF-OTC,1782040620,0.569665,0.569585,0.569725,0.569535,0
binary,CADCHF-OTC,1782040680,0.569575,0.569865,0.569885,0.569545,0
binary,CADCHF-OTC,1782040740,0.569885,0.569975,0.570035,0.569845,0
binary,CADCHF-OTC,1782040800,0.569985,0.569965,0.569985,0.569895,0
binary,CADCHF-OTC,1782040860,0.569955,0.569875,0.569965,0.569775,0
binary,CADCHF-OTC,1782040920,0.569865,0.569925,0.569985,0.569865,0
binary,CADCHF-OTC,1782040980,0.569925,0.569995,0.570095,0.569905,0
binary,CADCHF-OTC,1782041040,0.570005,0.569855,0.570005,0.569855,0
binary,CADCHF-OTC,1782041100,0.569865,0.569725,0.569895,0.569725,0
binary,CADCHF-OTC,1782041160,0.569715,0.569605,0.569745,0.569575,0
binary,CADCHF-OTC,1782041220,0.569595,0.569745,0.569815,0.569595,0
binary,CADCHF-OTC,1782041280,0.569735,0.569705,0.569765,0.569635,0
binary,CADCHF-OTC,1782041340,0.569715,0.569745,0.569795,0.569685,0
binary,CADCHF-OTC,1782041400,0.569755,0.569925,0.569985,0.569705,0
binary,CADCHF-OTC,1782041460,0.569935,0.570085,0.570095,0.569885,0
binary,CADCHF-OTC,1782041520,0.570105,0.570245,0.570245,0.569965,0
binary,CADCHF-OTC,1782041580,0.570205,0.570055,0.570205,0.570045,0
binary,CADCHF-OTC,1782041640,0.570045,0.569995,0.570085,0.569945,0
binary,CADCHF-OTC,1782041700,0.570005,0.570055,0.570085,0.569885,0
binary,CADCHF-OTC,1782041760,0.570065,0.570475,0.570555,0.569955,0
binary,CADCHF-OTC,1782041820,0.570465,0.570435,0.570525,0.570395,0
binary,CADCHF-OTC,1782041880,0.570455,0.570645,0.570655,0.570455,0
binary,CADCHF-OTC,1782041940,0.570635,0.570875,0.570885,0.570565,0
binary,CADCHF-OTC,1782042000,0.570885,0.570765,0.570885,0.570735,0
binary,CADCHF-OTC,1782042060,0.570775,0.570575,0.570845,0.570565,0
binary,CADCHF-OTC,1782042120,0.570585,0.570805,0.570875,0.570585,0
binary,CADCHF-OTC,1782042180,0.570815,0.570755,0.570825,0.570695,0
binary,CADCHF-OTC,1782042240,0.570775,0.570485,0.570805,0.570485,0
binary,CADCHF-OTC,1782042300,0.570475,0.570595,0.570735,0.570465,0
binary,CADCHF-OTC,1782042360,0.570605,0.570715,0.570745,0.570515,0
binary,CADCHF-OTC,1782042420,0.570655,0.570655,0.570685,0.570595,0
binary,CADCHF-OTC,1782042480,0.570665,0.570645,0.570775,0.570615,0
binary,CADCHF-OTC,1782042540,0.570655,0.570605,0.570665,0.570425,0
binary,CADCHF-OTC,1782042600,0.570615,0.570745,0.570825,0.570585,0
binary,CADCHF-OTC,1782042660,0.570755,0.570625,0.570765,0.570605,0
binary,CADCHF-OTC,1782042720,0.570625,0.570535,0.570715,0.570525,0
binary,CADCHF-OTC,1782042780,0.570545,0.570315,0.570655,0.570305,0
binary,CADCHF-OTC,1782042840,0.570305,0.570215,0.570345,0.570195,0
binary,CADCHF-OTC,1782042900,0.570215,0.570255,0.570295,0.570175,0
binary,CADCHF-OTC,1782042960,0.570265,0.569995,0.570295,0.569995,0
binary,CADCHF-OTC,1782043020,0.570005,0.570095,0.570105,0.569905,0
binary,CADCHF-OTC,1782043080,0.570095,0.570105,0.570175,0.570055,0
binary,CADCHF-OTC,1782043140,0.570085,0.570045,0.570125,0.569915,0
binary,CADCHF-OTC,1782043200,0.570055,0.570015,0.570145,0.569935,0
binary,CADCHF-OTC,1782043260,0.570025,0.569965,0.570065,0.569925,0
binary,CADCHF-OTC,1782043320,0.570005,0.570115,0.570115,0.569905,0
binary,CADCHF-OTC,1782043380,0.570115,0.570045,0.570155,0.569985,0
binary,CADCHF-OTC,1782043440,0.570035,0.570105,0.570155,0.569975,0
binary,CADCHF-OTC,1782043500,0.570095,0.569905,0.570105,0.569895,0
binary,CADCHF-OTC,1782043560,0.569915,0.570175,0.570175,0.569835,0
binary,CADCHF-OTC,1782043620,0.570185,0.570435,0.570505,0.570185,0
binary,CADCHF-OTC,1782043680,0.570445,0.570295,0.570455,0.570285,0
binary,CADCHF-OTC,1782043740,0.570315,0.570065,0.570335,0.570025,0
binary,CADCHF-OTC,1782043800,0.570075,0.570095,0.570115,0.570015,0
binary,CADCHF-OTC,1782043860,0.570105,0.570125,0.570185,0.570055,0
binary,CADCHF-OTC,1782043920,0.570135,0.569995,0.570165,0.569955,0
binary,CADCHF-OTC,1782043980,0.570005,0.569955,0.570045,0.569865,0
binary,CADCHF-OTC,1782044040,0.569955,0.569935,0.570105,0.569905,0
binary,CADCHF-OTC,1782044100,0.569925,0.569785,0.569935,0.569745,0
binary,CADCHF-OTC,1782044160,0.569795,0.569975,0.570045,0.569785,0
binary,CADCHF-OTC,1782044220,0.569985,0.569895,0.569995,0.569875,0
binary,CADCHF-OTC,1782044280,0.569885,0.569635,0.570085,0.569555,0
binary,CADCHF-OTC,1782044340,0.569635,0.569595,0.569765,0.569565,0
binary,CADCHF-OTC,1782044400,0.569605,0.569615,0.569675,0.569555,0
binary,CADCHF-OTC,1782044460,0.569625,0.569435,0.569635,0.569415,0
binary,CADCHF-OTC,1782044520,0.569445,0.569325,0.569465,0.569195,0
binary,CADCHF-OTC,1782044580,0.569335,0.569105,0.569335,0.569105,0
binary,CADCHF-OTC,1782044640,0.569125,0.569275,0.569295,0.569035,0
binary,CADCHF-OTC,1782044700,0.569275,0.569265,0.569395,0.569245,0
binary,CADCHF-OTC,1782044760,0.569245,0.568865,0.569325,0.568755,0
binary,CADCHF-OTC,1782044820,0.568855,0.568875,0.568995,0.568855,0
binary,CADCHF-OTC,1782044880,0.568875,0.568845,0.568955,0.568805,0
binary,CADCHF-OTC,1782044940,0.568865,0.568725,0.568915,0.568645,0
binary,CADCHF-OTC,1782045000,0.568715,0.568465,0.568795,0.568455,0
binary,CADCHF-OTC,1782045060,0.568475,0.568555,0.568555,0.568355,0
binary,CADCHF-OTC,1782045120,0.568535,0.568615,0.568615,0.568495,0
binary,CADCHF-OTC,1782045180,0.568605,0.568505,0.568665,0.568475,0
binary,CADCHF-OTC,1782045240,0.568515,0.568335,0.568585,0.568325,0
binary,CADCHF-OTC,1782045300,0.568325,0.568315,0.568395,0.568275,0
binary,CADCHF-OTC,1782045360,0.568295,0.568105,0.568315,0.568065,0
binary,CADCHF-OTC,1782045420,0.568085,0.568105,0.568285,0.568075,0
binary,CADCHF-OTC,1782045480,0.568115,0.567985,0.568155,0.567985,0
binary,CADCHF-OTC,1782045540,0.567975,0.567975,0.568045,0.567955,0
binary,CADCHF-OTC,1782045600,0.567985,0.568045,0.568065,0.567935,0
binary,CADCHF-OTC,1782045660,0.568045,0.567935,0.568055,0.567885,0
binary,CADCHF-OTC,1782045720,0.567925,0.567925,0.567945,0.567775,0
binary,CADCHF-OTC,1782045780,0.567925,0.568035,0.568085,0.567895,0
binary,CADCHF-OTC,1782045840,0.568065,0.567775,0.568065,0.567735,0
binary,CADCHF-OTC,1782045900,0.567765,0.567965,0.568005,0.567745,0
binary,CADCHF-OTC,1782045960,0.567955,0.568035,0.568125,0.567955,0
binary,CADCHF-OTC,1782046020,0.568015,0.567875,0.568085,0.567875,0
binary,CADCHF-OTC,1782046080,0.567865,0.568065,0.568155,0.567865,0
binary,CADCHF-OTC,1782046140,0.568075,0.568125,0.568135,0.568035,0
binary,CADCHF-OTC,1782046200,0.568125,0.568205,0.568225,0.568085,0
binary,CADCHF-OTC,1782046260,0.568195,0.568195,0.568375,0.568185,0
binary,CADCHF-OTC,1782046320,0.568205,0.568255,0.568285,0.568165,0
binary,CADCHF-OTC,1782046380,0.568245,0.568275,0.568275,0.568185,0
binary,CADCHF-OTC,1782046440,0.568265,0.567445,0.568265,0.567445,0
binary,CADCHF-OTC,1782046500,0.567445,0.567325,0.567665,0.567315,0
binary,CADCHF-OTC,1782046560,0.567315,0.567315,0.567395,0.567245,0
binary,CADCHF-OTC,1782046620,0.567325,0.567315,0.567325,0.567195,0
binary,CADCHF-OTC,1782046680,0.567295,0.567475,0.567475,0.567235,0
binary,CADCHF-OTC,1782046740,0.567465,0.567935,0.567975,0.567465,0
binary,CADCHF-OTC,1782046800,0.567945,0.568235,0.568255,0.567855,0
binary,CADCHF-OTC,1782046860,0.568215,0.567875,0.568275,0.567845,0
binary,CADCHF-OTC,1782046920,0.567895,0.567955,0.567985,0.567845,0
binary,CADCHF-OTC,1782046980,0.567955,0.567865,0.567955,0.567705,0
binary,CADCHF-OTC,1782047040,0.567855,0.567755,0.567905,0.567755,0
binary,CADCHF-OTC,1782047100,0.567765,0.567665,0.567825,0.567655,0
binary,CADCHF-OTC,1782047160,0.567675,0.567795,0.567805,0.567665,0
binary,CADCHF-OTC,1782047220,0.567785,0.567795,0.567805,0.567685,0
binary,CADCHF-OTC,1782047280,0.567805,0.567605,0.567815,0.567585,0
binary,CADCHF-OTC,1782047340,0.567615,0.567765,0.567775,0.567595,0
binary,CADCHF-OTC,1782047400,0.567775,0.567905,0.567925,0.567765,0
binary,CADCHF-OTC,1782047460,0.567895,0.567925,0.568085,0.567875,0
binary,CADCHF-OTC,1782047520,0.567915,0.567825,0.568005,0.567805,0
binary,CADCHF-OTC,1782047580,0.567815,0.567685,0.567835,0.567615,0
binary,CADCHF-OTC,1782047640,0.567705,0.567745,0.567755,0.567665,0
binary,CADCHF-OTC,1782047700,0.567735,0.567455,0.567735,0.567425,0
binary,CADCHF-OTC,1782047760,0.567445,0.567605,0.567615,0.567305,0
binary,CADCHF-OTC,1782047820,0.567615,0.567695,0.567695,0.567515,0
binary,CADCHF-OTC,1782047880,0.567685,0.567835,0.567845,0.567655,0
binary,CADCHF-OTC,1782047940,0.567825,0.567835,0.567925,0.567755,0
binary,CADCHF-OTC,1782048000,0.567835,0.568015,0.568135,0.567835,0
binary,CADCHF-OTC,1782048060,0.568005,0.567985,0.568095,0.567975,0
binary,CADCHF-OTC,1782048120,0.568005,0.567935,0.568055,0.567915,0
binary,CADCHF-OTC,1782048180,0.567945,0.567575,0.567985,0.567455,0
binary,CADCHF-OTC,1782048240,0.567565,0.567545,0.567575,0.567465,0
binary,CADCHF-OTC,1782048300,0.567525,0.567545,0.567635,0.567465,0
binary,CADCHF-OTC,1782048360,0.567505,0.567545,0.567605,0.567425,0
binary,CADCHF-OTC,1782048420,0.567555,0.567615,0.567625,0.567525,0
binary,CADCHF-OTC,1782048480,0.567615,0.567615,0.567645,0.567465,0
binary,CADCHF-OTC,1782048540,0.567605,0.567665,0.567865,0.567585,0
binary,CADCHF-OTC,1782048600,0.567675,0.567565,0.567675,0.567525,0
binary,CADCHF-OTC,1782048660,0.567575,0.567525,0.567575,0.567475,0
binary,CADCHF-OTC,1782048720,0.567515,0.567445,0.567585,0.567445,0
binary,CADCHF-OTC,1782048780,0.567445,0.567435,0.567445,0.567255,0
binary,CADCHF-OTC,1782048840,0.567445,0.567225,0.567445,0.567165,0
binary,CADCHF-OTC,1782048900,0.567215,0.567195,0.567215,0.566875,0
binary,CADCHF-OTC,1782048960,0.567185,0.567225,0.567295,0.567155,0
binary,CADCHF-OTC,1782049020,0.567235,0.567165,0.567285,0.567115,0
binary,CADCHF-OTC,1782049080,0.567175,0.567145,0.567315,0.567115,0
binary,CADCHF-OTC,1782049140,0.567145,0.567265,0.567275,0.567145,0
binary,CADCHF-OTC,1782049200,0.567265,0.567395,0.567455,0.567215,0
binary,CADCHF-OTC,1782049260,0.567375,0.567525,0.567625,0.567305,0
binary,CADCHF-OTC,1782049320,0.567535,0.567515,0.567655,0.567455,0
binary,CADCHF-OTC,1782049380,0.567535,0.567395,0.567565,0.567365,0
binary,CADCHF-OTC,1782049440,0.567405,0.567615,0.567645,0.567405,0
binary,CADCHF-OTC,1782049500,0.567625,0.567585,0.567645,0.567545,0
binary,CADCHF-OTC,1782049560,0.567565,0.567715,0.567755,0.567565,0
binary,CADCHF-OTC,1782049620,0.567715,0.567905,0.568015,0.567705,0
binary,CADCHF-OTC,1782049680,0.567865,0.567775,0.567955,0.567745,0
binary,CADCHF-OTC,1782049740,0.567775,0.567965,0.568105,0.567725,0
binary,CADCHF-OTC,1782049800,0.567955,0.567745,0.567955,0.567745,0
binary,CADCHF-OTC,1782049860,0.567735,0.567685,0.567755,0.567495,0
binary,CADCHF-OTC,1782049920,0.567675,0.567665,0.567675,0.567535,0
binary,CADCHF-OTC,1782049980,0.567685,0.567545,0.567845,0.567535,0
binary,CADCHF-OTC,1782050040,0.567555,0.567755,0.567805,0.567535,0
binary,CADCHF-OTC,1782050100,0.567755,0.567905,0.567905,0.567685,0
binary,CADCHF-OTC,1782050160,0.567885,0.567935,0.568005,0.567785,0
binary,CADCHF-OTC,1782050220,0.567925,0.567875,0.567935,0.567715,0
binary,CADCHF-OTC,1782050280,0.567855,0.567765,0.567925,0.567725,0
binary,CADCHF-OTC,1782050340,0.567755,0.567715,0.567775,0.567565,0
binary,CADCHF-OTC,1782050400,0.567725,0.567785,0.567905,0.567725,0
binary,CADCHF-OTC,1782050460,0.567775,0.567675,0.567805,0.567615,0
binary,CADCHF-OTC,1782050520,0.567665,0.567405,0.567745,0.567395,0
binary,CADCHF-OTC,1782050580,0.567395,0.567435,0.567565,0.567395,0
binary,CADCHF-OTC,1782050640,0.567425,0.567215,0.567435,0.567205,0
binary,CADCHF-OTC,1782050700,0.567215,0.566955,0.567235,0.566955,0
binary,CADCHF-OTC,1782050760,0.566965,0.567205,0.567205,0.566935,0
binary,CADCHF-OTC,1782050820,0.567185,0.567145,0.567225,0.567125,0
binary,CADCHF-OTC,1782050880,0.567135,0.566885,0.567205,0.566855,0
binary,CADCHF-OTC,1782050940,0.566855,0.566785,0.566915,0.566775,0
binary,CADCHF-OTC,1782051000,0.566795,0.566725,0.566835,0.566685,0
binary,CADCHF-OTC,1782051060,0.566735,0.566635,0.566775,0.566605,0
binary,CADCHF-OTC,1782051120,0.566635,0.565995,0.566635,0.565895,0
binary,CADCHF-OTC,1782051180,0.566015,0.566145,0.566225,0.566015,0
binary,CADCHF-OTC,1782051240,0.566135,0.566085,0.566145,0.565905,0
binary,CADCHF-OTC,1782051300,0.566075,0.566365,0.566375,0.566025,0
binary,CADCHF-OTC,1782051360,0.566385,0.566275,0.566395,0.566165,0
binary,CADCHF-OTC,1782051420,0.566265,0.566305,0.566355,0.566205,0
binary,CADCHF-OTC,1782051480,0.566315,0.566235,0.566345,0.566195,0
binary,CADCHF-OTC,1782051540,0.566225,0.566075,0.566295,0.566055,0
binary,CADCHF-OTC,1782051600,0.566065,0.566145,0.566295,0.566035,0
binary,CADCHF-OTC,1782051660,0.566125,0.565915,0.566195,0.565895,0
binary,CADCHF-OTC,1782051720,0.565945,0.566015,0.566095,0.565855,0
binary,CADCHF-OTC,1782051780,0.566015,0.566135,0.566245,0.566005,0
binary,CADCHF-OTC,1782051840,0.566125,0.566045,0.566185,0.565995,0
binary,CADCHF-OTC,1782051900,0.566035,0.565945,0.566065,0.565815,0
binary,CADCHF-OTC,1782051960,0.565935,0.565905,0.565955,0.565785,0
binary,CADCHF-OTC,1782052020,0.565895,0.565905,0.565975,0.565845,0
binary,CADCHF-OTC,1782052080,0.565935,0.566025,0.566025,0.565875,0
binary,CADCHF-OTC,1782052140,0.566025,0.565835,0.566065,0.565775,0
binary,CADCHF-OTC,1782052200,0.565845,0.565695,0.565855,0.565685,0
binary,CADCHF-OTC,1782052260,0.565685,0.565455,0.565685,0.565455,0
binary,CADCHF-OTC,1782052320,0.565465,0.565555,0.565575,0.565405,0
binary,CADCHF-OTC,1782052380,0.565555,0.565745,0.565755,0.565505,0
binary,CADCHF-OTC,1782052440,0.565755,0.565575,0.565755,0.565565,0
binary,CADCHF-OTC,1782052500,0.565575,0.565455,0.565645,0.565455,0
binary,CADCHF-OTC,1782052560,0.565445,0.565625,0.565695,0.565435,0
binary,CADCHF-OTC,1782052620,0.565635,0.565665,0.565675,0.565475,0
binary,CADCHF-OTC,1782052680,0.565675,0.565785,0.565835,0.565675,0
binary,CADCHF-OTC,1782052740,0.565775,0.565405,0.565795,0.565405,0
binary,CADCHF-OTC,1782052800,0.565395,0.565335,0.565415,0.565295,0
binary,CADCHF-OTC,1782052860,0.565345,0.565335,0.565415,0.565285,0
binary,CADCHF-OTC,1782052920,0.565325,0.565395,0.565425,0.565305,0
binary,CADCHF-OTC,1782052980,0.565385,0.565485,0.565605,0.565385,0
binary,CADCHF-OTC,1782053040,0.565465,0.565625,0.565665,0.565405,0
binary,CADCHF-OTC,1782053100,0.565615,0.565695,0.565755,0.565585,0
binary,CADCHF-OTC,1782053160,0.565685,0.565765,0.565815,0.565685,0
binary,CADCHF-OTC,1782053220,0.565775,0.565465,0.565795,0.565385,0
binary,CADCHF-OTC,1782053280,0.565455,0.565545,0.565585,0.565355,0
binary,CADCHF-OTC,1782053340,0.565555,0.565575,0.565595,0.565505,0
binary,CADCHF-OTC,1782053400,0.565555,0.565405,0.565555,0.565375,0
binary,CADCHF-OTC,1782053460,0.565425,0.565215,0.565455,0.565205,0
binary,CADCHF-OTC,1782053520,0.565195,0.565095,0.565225,0.565095,0
binary,CADCHF-OTC,1782053580,0.565105,0.565055,0.565115,0.564895,0
binary,CADCHF-OTC,1782053640,0.565055,0.565195,0.565205,0.565005,0
binary,CADCHF-OTC,1782053700,0.565205,0.565225,0.565285,0.565175,0
binary,CADCHF-OTC,1782053760,0.565215,0.565295,0.565355,0.565145,0
binary,CADCHF-OTC,1782053820,0.565295,0.565605,0.565625,0.565295,0
binary,CADCHF-OTC,1782053880,0.565625,0.565495,0.565635,0.565455,0
binary,CADCHF-OTC,1782053940,0.565505,0.565365,0.565525,0.565365,0
binary,CADCHF-OTC,1782054000,0.565375,0.565505,0.565515,0.565345,0
binary,CADCHF-OTC,1782054060,0.565495,0.565335,0.565495,0.565325,0
binary,CADCHF-OTC,1782054120,0.565345,0.565435,0.565495,0.565315,0
binary,CADCHF-OTC,1782054180,0.565425,0.565415,0.565475,0.565345,0
binary,CADCHF-OTC,1782054240,0.565405,0.565265,0.565435,0.565255,0
binary,CADCHF-OTC,1782054300,0.565255,0.565225,0.565285,0.565135,0
binary,CADCHF-OTC,1782054360,0.565215,0.565075,0.565255,0.565055,0
binary,CADCHF-OTC,1782054420,0.565075,0.565035,0.565115,0.564935,0
binary,CADCHF-OTC,1782054480,0.565025,0.565035,0.565135,0.564885,0
binary,CADCHF-OTC,1782054540,0.565025,0.565185,0.565185,0.564965,0
binary,CADCHF-OTC,1782054600,0.565175,0.565115,0.565275,0.565115,0
binary,CADCHF-OTC,1782054660,0.565115,0.564915,0.565115,0.564845,0
binary,CADCHF-OTC,1782054720,0.564925,0.564775,0.564965,0.564775,0
binary,CADCHF-OTC,1782054780,0.564785,0.564755,0.564875,0.564645,0
binary,CADCHF-OTC,1782054840,0.564745,0.564465,0.564745,0.564445,0
binary,CADCHF-OTC,1782054900,0.564475,0.564495,0.564565,0.564455,0
binary,CADCHF-OTC,1782054960,0.564485,0.564645,0.564655,0.564485,0
binary,CADCHF-OTC,1782055020,0.564675,0.564655,0.564705,0.564605,0
binary,CADCHF-OTC,1782055080,0.564665,0.564495,0.564755,0.564475,0
binary,CADCHF-OTC,1782055140,0.564515,0.564615,0.564625,0.564435,0
binary,CADCHF-OTC,1782055200,0.564595,0.564615,0.564755,0.564505,0
binary,CADCHF-OTC,1782055260,0.564635,0.564725,0.564755,0.564585,0
binary,CADCHF-OTC,1782055320,0.564745,0.564925,0.564945,0.564735,0
binary,CADCHF-OTC,1782055380,0.564945,0.564895,0.565015,0.564745,0
binary,CADCHF-OTC,1782055440,0.564885,0.564925,0.565015,0.564855,0
binary,CADCHF-OTC,1782055500,0.564895,0.564785,0.564915,0.564755,0
binary,CADCHF-OTC,1782055560,0.564795,0.564745,0.564795,0.564675,0
binary,CADCHF-OTC,1782055620,0.564765,0.564755,0.564805,0.564645,0
binary,CADCHF-OTC,1782055680,0.564765,0.564705,0.564815,0.564555,0
binary,CADCHF-OTC,1782055740,0.564705,0.564785,0.564785,0.564695,0
binary,CADCHF-OTC,1782055800,0.564805,0.564865,0.564925,0.564745,0
binary,CADCHF-OTC,1782055860,0.564865,0.565215,0.565215,0.564865,0
binary,CADCHF-OTC,1782055920,0.565225,0.565335,0.565445,0.565215,0
