tipo,activo,from,open,close,max,min,volume
binary,CADJPY-OTC,1782567600,112.9675,113.0305,113.0495,112.9375,0
binary,CADJPY-OTC,1782567660,113.0295,113.0415,113.0415,112.9665,0
binary,CADJPY-OTC,1782567720,113.0365,113.0625,113.0645,113.0115,0
binary,CADJPY-OTC,1782567780,113.0655,113.0395,113.0855,113.0195,0
binary,CADJPY-OTC,1782567840,113.0415,112.9825,113.0495,112.9615,0
binary,CADJPY-OTC,1782567900,112.9765,112.9295,112.9885,112.9105,0
binary,CADJPY-OTC,1782567960,112.9285,112.8915,112.9775,112.8825,0
binary,CADJPY-OTC,1782568020,112.8995,112.9495,112.9845,112.8965,0
binary,CADJPY-OTC,1782568080,112.9485,112.9795,113.0055,112.9475,0
binary,CADJPY-OTC,1782568140,112.9785,112.9435,112.9905,112.9145,0
binary,CADJPY-OTC,1782568200,112.9445,112.8655,112.9565,112.8485,0
binary,CADJPY-OTC,1782568260,112.8645,112.7755,112.8685,112.7725,0
binary,CADJPY-OTC,1782568320,112.7745,112.7485,112.7795,112.7415,0
binary,CADJPY-OTC,1782568380,112.7475,112.8125,112.8175,112.7075,0
binary,CADJPY-OTC,1782568440,112.8065,112.7895,112.8355,112.7705,0
binary,CADJPY-OTC,1782568500,112.7915,112.8175,112.8255,112.7615,0
binary,CADJPY-OTC,1782568560,112.8185,112.9105,112.9205,112.8025,0
binary,CADJPY-OTC,1782568620,112.9095,112.9125,112.9695,112.8825,0
binary,CADJPY-OTC,1782568680,112.9105,112.9415,112.9425,112.8775,0
binary,CADJPY-OTC,1782568740,112.9245,112.9415,112.9565,112.9175,0
binary,CADJPY-OTC,1782568800,112.9395,113.0075,113.0085,112.9235,0
binary,CADJPY-OTC,1782568860,113.0065,112.9585,113.0445,112.9255,0
binary,CADJPY-OTC,1782568920,112.9595,112.9335,112.9625,112.9085,0
binary,CADJPY-OTC,1782568980,112.9355,112.8825,112.9355,112.8655,0
binary,CADJPY-OTC,1782569040,112.8865,112.8845,112.9075,112.8445,0
binary,CADJPY-OTC,1782569100,112.8835,112.9185,112.9425,112.8695,0
binary,CADJPY-OTC,1782569160,112.9165,112.8825,112.9195,112.8585,0
binary,CADJPY-OTC,1782569220,112.8815,112.9865,112.9965,112.8705,0
binary,CADJPY-OTC,1782569280,112.9895,113.0665,113.0875,112.9895,0
binary,CADJPY-OTC,1782569340,113.0705,113.1075,113.1255,113.0155,0
binary,CADJPY-OTC,1782569400,113.1105,113.1505,113.1765,113.1065,0
binary,CADJPY-OTC,1782569460,113.1515,113.1785,113.2075,113.1315,0
binary,CADJPY-OTC,1782569520,113.1825,113.2455,113.2475,113.1645,0
binary,CADJPY-OTC,1782569580,113.2475,113.2675,113.2885,113.2395,0
binary,CADJPY-OTC,1782569640,113.2665,113.3635,113.3685,113.2245,0
binary,CADJPY-OTC,1782569700,113.3695,113.3745,113.4165,113.3575,0
binary,CADJPY-OTC,1782569760,113.3725,113.3785,113.3995,113.3595,0
binary,CADJPY-OTC,1782569820,113.3825,113.3945,113.4175,113.3645,0
binary,CADJPY-OTC,1782569880,113.3975,113.4105,113.4205,113.3775,0
binary,CADJPY-OTC,1782569940,113.4115,113.4075,113.4635,113.4005,0
binary,CADJPY-OTC,1782570000,113.3965,113.3575,113.4205,113.3495,0
binary,CADJPY-OTC,1782570060,113.3585,113.2445,113.3595,113.2305,0
binary,CADJPY-OTC,1782570120,113.2425,113.2595,113.2595,113.1615,0
binary,CADJPY-OTC,1782570180,113.2525,113.1905,113.2615,113.1675,0
binary,CADJPY-OTC,1782570240,113.1925,113.2045,113.2375,113.1855,0
binary,CADJPY-OTC,1782570300,113.2085,113.1295,113.2285,113.1285,0
binary,CADJPY-OTC,1782570360,113.1305,113.1355,113.1645,113.0805,0
binary,CADJPY-OTC,1782570420,113.1325,113.2645,113.2655,113.1295,0
binary,CADJPY-OTC,1782570480,113.2675,113.2845,113.3025,113.2395,0
binary,CADJPY-OTC,1782570540,113.2825,113.2375,113.2955,113.2345,0
binary,CADJPY-OTC,1782570600,113.2365,113.2165,113.2485,113.1815,0
binary,CADJPY-OTC,1782570660,113.2105,113.2475,113.2675,113.2055,0
binary,CADJPY-OTC,1782570720,113.2525,113.2415,113.2715,113.2305,0
binary,CADJPY-OTC,1782570780,113.2455,113.1725,113.2455,113.1595,0
binary,CADJPY-OTC,1782570840,113.1745,113.1815,113.1985,113.1635,0
binary,CADJPY-OTC,1782570900,113.1775,113.2185,113.2405,113.1575,0
binary,CADJPY-OTC,1782570960,113.2155,113.1535,113.2335,113.1385,0
binary,CADJPY-OTC,1782571020,113.1555,113.1735,113.1885,113.1465,0
binary,CADJPY-OTC,1782571080,113.1675,113.1245,113.1955,113.1245,0
