tipo,activo,from,open,close,max,min,volume
binary,CHFJPY-OTC,1782036360,199.2495,199.1905,199.2585,199.1625,0
binary,CHFJPY-OTC,1782036420,199.1915,199.1375,199.2065,199.1205,0
binary,CHFJPY-OTC,1782036480,199.1335,199.1695,199.1695,199.1105,0
binary,CHFJPY-OTC,1782036540,199.1765,199.1265,199.2345,199.1145,0
binary,CHFJPY-OTC,1782036600,199.1295,199.0675,199.1585,199.0505,0
binary,CHFJPY-OTC,1782036660,199.0695,199.0225,199.1275,199.0065,0
binary,CHFJPY-OTC,1782036720,199.0195,199.0725,199.0815,199.0195,0
binary,CHFJPY-OTC,1782036780,199.0685,198.9485,199.1085,198.9485,0
binary,CHFJPY-OTC,1782036840,198.9505,198.9835,198.9915,198.8955,0
binary,CHFJPY-OTC,1782036900,198.9845,199.0185,199.0255,198.9515,0
binary,CHFJPY-OTC,1782036960,199.0175,199.1085,199.1445,198.9945,0
binary,CHFJPY-OTC,1782037020,199.1065,199.0315,199.1505,199.0275,0
binary,CHFJPY-OTC,1782037080,199.0335,199.0075,199.0745,198.9915,0
binary,CHFJPY-OTC,1782037140,199.0095,198.8965,199.0315,198.8845,0
binary,CHFJPY-OTC,1782037200,198.8935,198.7855,198.9155,198.7775,0
binary,CHFJPY-OTC,1782037260,198.7865,198.7785,198.7995,198.6965,0
binary,CHFJPY-OTC,1782037320,198.7895,198.8545,198.8815,198.7895,0
binary,CHFJPY-OTC,1782037380,198.8455,198.7785,198.8455,198.7595,0
binary,CHFJPY-OTC,1782037440,198.7825,198.7695,198.8195,198.7575,0
binary,CHFJPY-OTC,1782037500,198.7705,198.6755,198.8095,198.6615,0
binary,CHFJPY-OTC,1782037560,198.6805,198.6695,198.7165,198.6425,0
binary,CHFJPY-OTC,1782037620,198.6775,198.6905,198.7675,198.6715,0
binary,CHFJPY-OTC,1782037680,198.6955,198.7215,198.7495,198.6715,0
binary,CHFJPY-OTC,1782037740,198.7145,198.7705,198.7975,198.6965,0
binary,CHFJPY-OTC,1782037800,198.7675,198.8475,198.8565,198.7535,0
binary,CHFJPY-OTC,1782037860,198.8525,198.8715,198.8905,198.8295,0
binary,CHFJPY-OTC,1782037920,198.8625,198.9175,198.9585,198.8475,0
binary,CHFJPY-OTC,1782037980,198.9165,198.8645,198.9335,198.8485,0
binary,CHFJPY-OTC,1782038040,198.8685,198.9885,198.9885,198.8635,0
binary,CHFJPY-OTC,1782038100,198.9895,198.9645,198.9935,198.9225,0
binary,CHFJPY-OTC,1782038160,198.9575,198.9885,199.0065,198.9485,0
binary,CHFJPY-OTC,1782038220,198.9825,198.9535,198.9975,198.9415,0
binary,CHFJPY-OTC,1782038280,198.9545,198.8595,198.9545,198.7995,0
binary,CHFJPY-OTC,1782038340,198.8665,198.8825,198.9195,198.8165,0
binary,CHFJPY-OTC,1782038400,198.8835,198.8295,198.8955,198.7855,0
binary,CHFJPY-OTC,1782038460,198.8305,198.8675,198.9155,198.8285,0
