tipo,activo,from,open,close,max,min,volume
binary,COCOA-OTC,1782036480,4039.933395,4029.402085,4046.909645,4025.756025,0
binary,COCOA-OTC,1782036540,4029.516525,4040.673445,4042.627945,4022.360505,0
binary,COCOA-OTC,1782036600,4040.606365,4043.938595,4056.747215,4037.533575,0
binary,COCOA-OTC,1782036660,4043.858065,4052.109735,4054.290315,4029.521915,0
binary,COCOA-OTC,1782036720,4052.016765,4064.591395,4070.864335,4048.291295,0
binary,COCOA-OTC,1782036780,4064.521075,4068.739115,4071.120165,4054.370025,0
binary,COCOA-OTC,1782036840,4068.828045,4089.406625,4095.174825,4068.828045,0
binary,COCOA-OTC,1782036900,4089.246885,4079.366615,4091.207455,4072.008105,0
binary,COCOA-OTC,1782036960,4079.380595,4078.875805,4104.183125,4077.385555,0
binary,COCOA-OTC,1782037020,4078.847705,4070.970765,4090.113765,4052.778015,0
binary,COCOA-OTC,1782037080,4071.476445,4090.524095,4090.949395,4067.819365,0
binary,COCOA-OTC,1782037140,4090.357425,4090.490335,4093.902935,4082.425065,0
binary,COCOA-OTC,1782037200,4090.592445,4088.317625,4098.560355,4086.132735,0
binary,COCOA-OTC,1782037260,4088.360185,4090.670905,4092.274175,4082.530135,0
binary,COCOA-OTC,1782037320,4091.104375,4079.996735,4092.206465,4075.535045,0
binary,COCOA-OTC,1782037380,4080.116675,4089.606375,4093.887345,4077.751135,0
binary,COCOA-OTC,1782037440,4089.816895,4096.782965,4102.977145,4080.243345,0
binary,COCOA-OTC,1782037500,4096.864695,4107.795135,4107.795135,4092.923555,0
binary,COCOA-OTC,1782037560,4107.804495,4088.428345,4108.904215,4085.557925,0
binary,COCOA-OTC,1782037620,4088.370285,4079.822535,4096.132805,4076.884485,0
binary,COCOA-OTC,1782037680,4079.798645,4077.045645,4080.725195,4068.627615,0
binary,COCOA-OTC,1782037740,4076.344625,4123.564745,4125.958685,4076.261025,0
binary,COCOA-OTC,1782037800,4123.690405,4114.397915,4125.731885,4109.730165,0
binary,COCOA-OTC,1782037860,4114.311095,4135.132175,4135.213925,4112.675835,0
binary,COCOA-OTC,1782037920,4135.014635,4148.746565,4148.748225,4131.036765,0
binary,COCOA-OTC,1782037980,4148.823705,4166.098805,4166.650555,4142.413655,0
binary,COCOA-OTC,1782038040,4165.921705,4144.186735,4170.498655,4136.958585,0
binary,COCOA-OTC,1782038100,4144.180745,4141.376915,4146.130245,4130.286835,0
binary,COCOA-OTC,1782038160,4141.290165,4123.295655,4142.381515,4117.514065,0
binary,COCOA-OTC,1782038220,4123.210395,4159.692295,4167.879115,4123.210395,0
binary,COCOA-OTC,1782038280,4160.375035,4173.080835,4184.307165,4160.375035,0
binary,COCOA-OTC,1782038340,4173.060805,4186.048115,4186.135735,4173.060805,0
binary,COCOA-OTC,1782038400,4186.126305,4181.445685,4189.839695,4173.976355,0
binary,COCOA-OTC,1782038460,4181.568445,4149.483615,4181.568445,4149.483615,0
binary,COCOA-OTC,1782038520,4149.468085,4125.592365,4158.171635,4122.815605,0
binary,COCOA-OTC,1782038580,4125.645845,4136.034795,4142.218465,4121.473545,0
binary,COCOA-OTC,1782038640,4136.101585,4126.461055,4139.415965,4125.456625,0
binary,COCOA-OTC,1782038700,4126.455895,4132.055145,4134.598555,4115.396845,0
binary,COCOA-OTC,1782038760,4132.138135,4118.017315,4132.447965,4106.802775,0
binary,COCOA-OTC,1782038820,4117.786525,4121.278695,4125.656035,4112.331435,0
binary,COCOA-OTC,1782038880,4121.335975,4112.578875,4124.888395,4105.436145,0
binary,COCOA-OTC,1782038940,4112.563525,4149.679295,4149.721935,4112.476695,0
binary,COCOA-OTC,1782039000,4149.777435,4162.401595,4164.735705,4149.586175,0
binary,COCOA-OTC,1782039060,4162.290595,4159.760625,4169.367955,4159.597455,0
binary,COCOA-OTC,1782039120,4159.827105,4161.090735,4165.768855,4142.484995,0
binary,COCOA-OTC,1782039180,4161.079615,4183.158705,4183.158705,4159.206385,0
binary,COCOA-OTC,1782039240,4183.216935,4196.634195,4199.381205,4177.906545,0
binary,COCOA-OTC,1782039300,4196.521925,4161.356355,4196.521925,4161.356355,0
binary,COCOA-OTC,1782039360,4161.434025,4145.027945,4161.434025,4133.643885,0
binary,COCOA-OTC,1782039420,4145.149435,4158.402175,4169.520265,4136.860265,0
binary,COCOA-OTC,1782039480,4158.977005,4161.839065,4162.472145,4145.471305,0
binary,COCOA-OTC,1782039540,4163.286355,4153.994985,4168.834355,4152.549725,0
binary,COCOA-OTC,1782039600,4153.897115,4137.225575,4155.017795,4129.212515,0
binary,COCOA-OTC,1782039660,4137.182455,4133.894715,4141.839845,4126.023765,0
binary,COCOA-OTC,1782039720,4133.876405,4117.119865,4135.581945,4112.261955,0
binary,COCOA-OTC,1782039780,4116.898925,4137.807805,4148.758785,4115.560855,0
binary,COCOA-OTC,1782039840,4137.869655,4120.433565,4138.375905,4117.142535,0
binary,COCOA-OTC,1782039900,4120.522685,4112.053595,4130.658965,4110.350605,0
binary,COCOA-OTC,1782039960,4112.081585,4086.076765,4117.611055,4086.076765,0
binary,COCOA-OTC,1782040020,4086.011615,4066.723635,4092.092895,4065.574375,0
binary,COCOA-OTC,1782040080,4066.527725,4065.311925,4071.422545,4058.614515,0
binary,COCOA-OTC,1782040140,4065.676945,4108.640865,4109.057035,4065.483035,0
binary,COCOA-OTC,1782040200,4108.625645,4132.002375,4134.668805,4099.319985,0
binary,COCOA-OTC,1782040260,4131.930515,4128.960095,4144.574425,4125.664195,0
binary,COCOA-OTC,1782040320,4129.044465,4146.147265,4148.406935,4116.845925,0
binary,COCOA-OTC,1782040380,4146.254925,4147.503265,4150.235695,4134.096515,0
binary,COCOA-OTC,1782040440,4147.458215,4148.846195,4152.086365,4143.472315,0
binary,COCOA-OTC,1782040500,4148.820485,4154.568615,4167.666935,4138.241465,0
binary,COCOA-OTC,1782040560,4154.429985,4120.159025,4156.704295,4120.159025,0
binary,COCOA-OTC,1782040620,4120.055475,4103.468335,4120.821395,4103.468335,0
binary,COCOA-OTC,1782040680,4103.327805,4114.611545,4121.586565,4101.251235,0
