tipo,activo,from,open,close,max,min,volume
binary,COTTON-OTC,1784564160,77.603195,77.663245,77.672525,77.503025,0
binary,COTTON-OTC,1784564220,77.668015,77.670435,77.750165,77.644805,0
binary,COTTON-OTC,1784564280,77.679665,77.545145,77.681705,77.490835,0
binary,COTTON-OTC,1784564340,77.550355,77.671675,77.719615,77.535335,0
binary,COTTON-OTC,1784564400,77.680995,77.678585,77.772865,77.580365,0
binary,COTTON-OTC,1784564460,77.690715,77.712035,77.718105,77.518315,0
binary,COTTON-OTC,1784564520,77.710285,77.739285,77.771675,77.578235,0
binary,COTTON-OTC,1784564580,77.752125,77.780705,77.857215,77.748605,0
binary,COTTON-OTC,1784564640,77.787845,77.996515,78.010455,77.701945,0
binary,COTTON-OTC,1784564700,77.986545,78.043365,78.079165,77.944125,0
binary,COTTON-OTC,1784564760,78.056755,78.046355,78.151115,77.930145,0
binary,COTTON-OTC,1784564820,78.035975,77.783635,78.049125,77.710535,0
binary,COTTON-OTC,1784564880,77.796425,77.848685,77.924875,77.709755,0
binary,COTTON-OTC,1784564940,77.847975,77.970025,77.990205,77.784095,0
binary,COTTON-OTC,1784565000,77.983065,78.110055,78.117175,77.957005,0
binary,COTTON-OTC,1784565060,78.102015,78.296225,78.347245,78.026035,0
binary,COTTON-OTC,1784565120,78.296295,78.308025,78.360595,78.185175,0
binary,COTTON-OTC,1784565180,78.298535,78.385095,78.471525,78.298535,0
binary,COTTON-OTC,1784565240,78.382565,78.325835,78.382565,78.157845,0
binary,COTTON-OTC,1784565300,78.325805,78.354875,78.370155,78.145865,0
binary,COTTON-OTC,1784565360,78.357075,78.456775,78.490505,78.297595,0
binary,COTTON-OTC,1784565420,78.459855,78.544975,78.559245,78.398715,0
binary,COTTON-OTC,1784565480,78.556195,78.633425,78.693245,78.525735,0
binary,COTTON-OTC,1784565540,78.628725,78.544645,78.632775,78.504705,0
binary,COTTON-OTC,1784565600,78.533585,78.412325,78.560825,78.396955,0
binary,COTTON-OTC,1784565660,78.401045,78.511925,78.541505,78.311035,0
binary,COTTON-OTC,1784565720,78.505585,78.587175,78.622025,78.465645,0
binary,COTTON-OTC,1784565780,78.581935,78.462535,78.605565,78.362335,0
binary,COTTON-OTC,1784565840,78.454075,78.481715,78.588835,78.387565,0
binary,COTTON-OTC,1784565900,78.473965,78.376535,78.570475,78.367155,0
binary,COTTON-OTC,1784565960,78.376655,78.571015,78.673825,78.363295,0
binary,COTTON-OTC,1784566020,78.578555,78.434515,78.633935,78.387645,0
binary,COTTON-OTC,1784566080,78.437365,78.158455,78.475535,78.131365,0
binary,COTTON-OTC,1784566140,78.168915,78.034545,78.210945,78.017405,0
binary,COTTON-OTC,1784566200,78.038605,77.782735,78.075295,77.766035,0
binary,COTTON-OTC,1784566260,77.759085,77.701975,77.847175,77.683305,0
binary,COTTON-OTC,1784566320,77.705485,77.727755,77.887235,77.678615,0
binary,COTTON-OTC,1784566380,77.740525,77.771895,77.874415,77.726055,0
binary,COTTON-OTC,1784566440,77.777165,77.695645,77.823615,77.621215,0
binary,COTTON-OTC,1784566500,77.692155,77.303785,77.770035,77.293995,0
binary,COTTON-OTC,1784566560,77.290695,77.289595,77.398225,77.248925,0
binary,COTTON-OTC,1784566620,77.277985,77.313305,77.358965,77.205485,0
binary,COTTON-OTC,1784566680,77.314855,77.452735,77.480825,77.288485,0
binary,COTTON-OTC,1784566740,77.453715,77.733145,77.767795,77.390495,0
binary,COTTON-OTC,1784566800,77.729585,77.753845,77.801265,77.664935,0
binary,COTTON-OTC,1784566860,77.758875,77.853805,77.961985,77.758875,0
binary,COTTON-OTC,1784566920,77.867135,77.990355,77.992125,77.820615,0
binary,COTTON-OTC,1784566980,77.979555,77.720375,77.979555,77.708785,0
binary,COTTON-OTC,1784567040,77.713665,77.773485,77.785785,77.598905,0
binary,COTTON-OTC,1784567100,77.766405,77.694355,77.824635,77.680545,0
binary,COTTON-OTC,1784567160,77.698445,77.647945,77.822425,77.619705,0
binary,COTTON-OTC,1784567220,77.656485,77.676555,77.680525,77.575135,0
binary,COTTON-OTC,1784567280,77.668415,77.567655,77.731875,77.534305,0
binary,COTTON-OTC,1784567340,77.564115,77.334365,77.603915,77.317445,0
binary,COTTON-OTC,1784567400,77.335585,77.318565,77.419435,77.305005,0
binary,COTTON-OTC,1784567460,77.313635,77.356955,77.386445,77.289345,0
binary,COTTON-OTC,1784567520,77.366505,77.491225,77.570455,77.339425,0
binary,COTTON-OTC,1784567580,77.482525,77.595915,77.604965,77.447785,0
binary,COTTON-OTC,1784567640,77.608265,77.577175,77.611835,77.439895,0
binary,COTTON-OTC,1784567700,77.585805,77.605235,77.683225,77.520845,0
binary,COTTON-OTC,1784567760,77.603355,77.608055,77.656895,77.494205,0
binary,COTTON-OTC,1784567820,77.606075,77.307335,77.623385,77.306485,0
binary,COTTON-OTC,1784567880,77.303975,77.170195,77.329645,77.170195,0
binary,COTTON-OTC,1784567940,77.159275,77.116605,77.267245,77.025465,0
