tipo,activo,from,open,close,max,min,volume
binary,DXY,1781863560,100.776615,100.780215,100.780925,100.774945,716
binary,DXY,1781863620,100.780115,100.779635,100.783375,100.778945,843
binary,DXY,1781863680,100.779625,100.788855,100.789535,100.779595,516
binary,DXY,1781863740,100.788805,100.785355,100.790485,100.783005,725
binary,DXY,1781863800,100.785305,100.782015,100.786225,100.779715,593
binary,DXY,1781863860,100.781975,100.788195,100.788565,100.778855,539
binary,DXY,1781863920,100.788165,100.792265,100.792275,100.786215,538
binary,DXY,1781863980,100.792285,100.788495,100.794355,100.787665,599
binary,DXY,1781864040,100.788525,100.795375,100.795905,100.786435,546
binary,DXY,1781864100,100.795415,100.797715,100.799915,100.795375,514
binary,DXY,1781864160,100.797465,100.795115,100.799895,100.793215,764
binary,DXY,1781864220,100.795135,100.813835,100.815395,100.794655,757
binary,DXY,1781864280,100.813785,100.814075,100.816575,100.808985,1024
binary,DXY,1781864340,100.814035,100.821305,100.822155,100.812805,878
binary,DXY,1781864400,100.821555,100.838665,100.838915,100.820755,1015
binary,DXY,1781864460,100.838625,100.839985,100.841005,100.834865,948
binary,DXY,1781864520,100.839965,100.842215,100.846205,100.838105,1096
binary,DXY,1781864580,100.842125,100.835915,100.844315,100.832625,1039
binary,DXY,1781864640,100.835865,100.824025,100.836245,100.823585,795
binary,DXY,1781864700,100.824065,100.830745,100.833575,100.820805,802
binary,DXY,1781864760,100.830785,100.816025,100.831745,100.815495,830
binary,DXY,1781864820,100.816015,100.817285,100.819015,100.812485,620
binary,DXY,1781864880,100.817545,100.818215,100.819705,100.812265,462
binary,DXY,1781864940,100.818475,100.819135,100.819825,100.812715,573
binary,DXY,1781865000,100.819085,100.825505,100.828385,100.818215,729
binary,DXY,1781865060,100.825545,100.822035,100.826005,100.819165,814
binary,DXY,1781865120,100.822015,100.819505,100.823065,100.817565,605
binary,DXY,1781865180,100.819455,100.819945,100.820395,100.815395,552
binary,DXY,1781865240,100.819905,100.811075,100.819905,100.810855,579
binary,DXY,1781865300,100.811125,100.810745,100.813145,100.804585,646
binary,DXY,1781865360,100.810785,100.812305,100.817615,100.810305,822
binary,DXY,1781865420,100.812255,100.817645,100.818065,100.809475,698
binary,DXY,1781865480,100.817665,100.815665,100.833705,100.815415,770
binary,DXY,1781865540,100.815625,100.822395,100.824665,100.814715,776
binary,DXY,1781865600,100.822445,100.818755,100.822835,100.807425,919
binary,DXY,1781865660,100.818785,100.813655,100.819185,100.813285,812
binary,DXY,1781865720,100.813625,100.811305,100.813695,100.808695,555
binary,DXY,1781865780,100.811315,100.806155,100.815575,100.801575,859
binary,DXY,1781865840,100.806185,100.806635,100.808415,100.802955,791
binary,DXY,1781865900,100.806375,100.790955,100.806805,100.789535,876
binary,DXY,1781865960,100.790985,100.788295,100.808185,100.788035,1167
binary,DXY,1781866020,100.788225,100.800365,100.803735,100.780215,1091
binary,DXY,1781866080,100.800405,100.793655,100.801055,100.793045,709
binary,DXY,1781866140,100.793675,100.798025,100.798235,100.789465,771
binary,DXY,1781866200,100.797945,100.799375,100.803425,100.792025,930
binary,DXY,1781866260,100.799415,100.812495,100.812495,100.796155,659
binary,DXY,1781866320,100.812515,100.802295,100.812545,100.798395,831
