tipo,activo,from,open,close,max,min,volume
binary,EURCAD-OTC,1782510540,1.619265,1.619055,1.619325,1.619015,0
binary,EURCAD-OTC,1782510600,1.619035,1.619405,1.619425,1.619035,0
binary,EURCAD-OTC,1782510660,1.619395,1.619515,1.619545,1.619255,0
binary,EURCAD-OTC,1782510720,1.619505,1.619425,1.619615,1.619395,0
binary,EURCAD-OTC,1782510780,1.619445,1.619595,1.619725,1.619395,0
binary,EURCAD-OTC,1782510840,1.619605,1.619565,1.619755,1.619465,0
binary,EURCAD-OTC,1782510900,1.619585,1.620105,1.620105,1.619555,0
binary,EURCAD-OTC,1782510960,1.620085,1.619435,1.620155,1.619425,0
binary,EURCAD-OTC,1782511020,1.619415,1.619205,1.619465,1.619195,0
binary,EURCAD-OTC,1782511080,1.619215,1.619135,1.619345,1.619085,0
binary,EURCAD-OTC,1782511140,1.619125,1.618875,1.619285,1.618865,0
binary,EURCAD-OTC,1782511200,1.618935,1.619285,1.619285,1.618725,0
binary,EURCAD-OTC,1782511260,1.619295,1.618605,1.619305,1.618585,0
binary,EURCAD-OTC,1782511320,1.618595,1.618615,1.618755,1.618565,0
binary,EURCAD-OTC,1782511380,1.618605,1.618255,1.618635,1.618235,0
binary,EURCAD-OTC,1782511440,1.618275,1.618235,1.618505,1.618045,0
binary,EURCAD-OTC,1782511500,1.618245,1.618235,1.618395,1.618055,0
binary,EURCAD-OTC,1782511560,1.618245,1.618145,1.618325,1.617995,0
binary,EURCAD-OTC,1782511620,1.618135,1.618345,1.618465,1.618135,0
binary,EURCAD-OTC,1782511680,1.618275,1.618465,1.618495,1.618205,0
binary,EURCAD-OTC,1782511740,1.618455,1.617565,1.618465,1.617565,0
binary,EURCAD-OTC,1782511800,1.617555,1.617415,1.617565,1.617315,0
binary,EURCAD-OTC,1782511860,1.617435,1.616945,1.617435,1.616925,0
binary,EURCAD-OTC,1782511920,1.616975,1.617895,1.617895,1.616975,0
binary,EURCAD-OTC,1782511980,1.617915,1.617995,1.618045,1.617815,0
binary,EURCAD-OTC,1782512040,1.617985,1.617705,1.617985,1.617615,0
binary,EURCAD-OTC,1782512100,1.617735,1.618025,1.618305,1.617735,0
binary,EURCAD-OTC,1782512160,1.618015,1.617655,1.618025,1.617605,0
binary,EURCAD-OTC,1782512220,1.617645,1.617515,1.617765,1.617345,0
binary,EURCAD-OTC,1782512280,1.617495,1.617585,1.617585,1.617245,0
binary,EURCAD-OTC,1782512340,1.617575,1.617565,1.617745,1.617285,0
binary,EURCAD-OTC,1782512400,1.617575,1.617595,1.617685,1.617485,0
binary,EURCAD-OTC,1782512460,1.617615,1.618035,1.618105,1.617545,0
binary,EURCAD-OTC,1782512520,1.618005,1.617455,1.618015,1.617455,0
binary,EURCAD-OTC,1782512580,1.617495,1.617865,1.617885,1.617455,0
binary,EURCAD-OTC,1782512640,1.617895,1.617515,1.617975,1.617465,0
binary,EURCAD-OTC,1782512700,1.617495,1.617845,1.617945,1.617495,0
binary,EURCAD-OTC,1782512760,1.617855,1.617725,1.618105,1.617725,0
binary,EURCAD-OTC,1782512820,1.617735,1.618115,1.618215,1.617735,0
binary,EURCAD-OTC,1782512880,1.618105,1.618095,1.618225,1.617845,0
binary,EURCAD-OTC,1782512940,1.618105,1.618225,1.618365,1.617915,0
binary,EURCAD-OTC,1782513000,1.618215,1.618035,1.618225,1.617735,0
binary,EURCAD-OTC,1782513060,1.618045,1.618185,1.618295,1.617885,0
binary,EURCAD-OTC,1782513120,1.618175,1.618375,1.618425,1.618035,0
binary,EURCAD-OTC,1782513180,1.618375,1.618505,1.618575,1.618295,0
binary,EURCAD-OTC,1782513240,1.618515,1.618645,1.618645,1.618275,0
binary,EURCAD-OTC,1782513300,1.618655,1.617865,1.618725,1.617855,0
binary,EURCAD-OTC,1782513360,1.617865,1.617985,1.618105,1.617715,0
binary,EURCAD-OTC,1782513420,1.617995,1.617835,1.618105,1.617815,0
binary,EURCAD-OTC,1782513480,1.617845,1.617725,1.618055,1.617665,0
binary,EURCAD-OTC,1782513540,1.617655,1.617635,1.617745,1.617495,0
binary,EURCAD-OTC,1782513600,1.617595,1.617285,1.617785,1.617255,0
binary,EURCAD-OTC,1782513660,1.617295,1.617195,1.617415,1.616975,0
binary,EURCAD-OTC,1782513720,1.617175,1.617205,1.617255,1.617035,0
binary,EURCAD-OTC,1782513780,1.617185,1.617485,1.617655,1.616865,0
binary,EURCAD-OTC,1782513840,1.617495,1.617445,1.617665,1.617255,0
binary,EURCAD-OTC,1782513900,1.617435,1.617135,1.617505,1.617115,0
binary,EURCAD-OTC,1782513960,1.617125,1.617155,1.617345,1.617045,0
binary,EURCAD-OTC,1782514020,1.617165,1.617375,1.617525,1.617145,0
binary,EURCAD-OTC,1782514080,1.617355,1.617375,1.617455,1.617085,0
binary,EURCAD-OTC,1782514140,1.617365,1.617845,1.617845,1.617325,0
binary,EURCAD-OTC,1782514200,1.617845,1.617615,1.617975,1.617555,0
