tipo,activo,from,open,close,max,min,volume
binary,EURCHF-OTC,1782036360,0.923585,0.923765,0.923855,0.923485,0
binary,EURCHF-OTC,1782036420,0.923795,0.924025,0.924075,0.923685,0
binary,EURCHF-OTC,1782036480,0.924045,0.923755,0.924125,0.923755,0
binary,EURCHF-OTC,1782036540,0.923735,0.923425,0.923745,0.923425,0
binary,EURCHF-OTC,1782036600,0.923415,0.923875,0.924045,0.923415,0
binary,EURCHF-OTC,1782036660,0.923855,0.923535,0.923905,0.923375,0
binary,EURCHF-OTC,1782036720,0.923545,0.923535,0.923815,0.923425,0
binary,EURCHF-OTC,1782036780,0.923525,0.923915,0.924085,0.923525,0
binary,EURCHF-OTC,1782036840,0.923925,0.924115,0.924165,0.923745,0
binary,EURCHF-OTC,1782036900,0.924105,0.923905,0.924245,0.923865,0
binary,EURCHF-OTC,1782036960,0.923895,0.923835,0.923935,0.923675,0
binary,EURCHF-OTC,1782037020,0.923855,0.923965,0.924085,0.923745,0
binary,EURCHF-OTC,1782037080,0.924005,0.923935,0.924135,0.923785,0
binary,EURCHF-OTC,1782037140,0.923945,0.924215,0.924365,0.923895,0
binary,EURCHF-OTC,1782037200,0.924195,0.923825,0.924315,0.923825,0
binary,EURCHF-OTC,1782037260,0.923815,0.923445,0.923875,0.923295,0
binary,EURCHF-OTC,1782037320,0.923455,0.923025,0.923605,0.923025,0
binary,EURCHF-OTC,1782037380,0.923035,0.923265,0.923265,0.922835,0
binary,EURCHF-OTC,1782037440,0.923275,0.922855,0.923285,0.922695,0
binary,EURCHF-OTC,1782037500,0.922865,0.922635,0.923025,0.922485,0
binary,EURCHF-OTC,1782037560,0.922645,0.922975,0.923055,0.922635,0
binary,EURCHF-OTC,1782037620,0.922995,0.922695,0.923135,0.922685,0
binary,EURCHF-OTC,1782037680,0.922705,0.922665,0.922855,0.922405,0
binary,EURCHF-OTC,1782037740,0.922645,0.922915,0.922955,0.922645,0
binary,EURCHF-OTC,1782037800,0.922865,0.923005,0.923095,0.922735,0
binary,EURCHF-OTC,1782037860,0.922985,0.923315,0.923375,0.922985,0
binary,EURCHF-OTC,1782037920,0.923285,0.923525,0.923545,0.923225,0
binary,EURCHF-OTC,1782037980,0.923485,0.923785,0.923875,0.923435,0
binary,EURCHF-OTC,1782038040,0.923815,0.923695,0.923855,0.923405,0
binary,EURCHF-OTC,1782038100,0.923725,0.923675,0.923725,0.923515,0
binary,EURCHF-OTC,1782038160,0.923645,0.923335,0.923655,0.923285,0
binary,EURCHF-OTC,1782038220,0.923365,0.923005,0.923365,0.922895,0
binary,EURCHF-OTC,1782038280,0.922995,0.923265,0.923315,0.922885,0
binary,EURCHF-OTC,1782038340,0.923285,0.922965,0.923455,0.922915,0
binary,EURCHF-OTC,1782038400,0.923015,0.923245,0.923295,0.923005,0
binary,EURCHF-OTC,1782038460,0.923255,0.923275,0.923305,0.923015,0
binary,EURCHF-OTC,1782038520,0.923285,0.923395,0.923445,0.922985,0
binary,EURCHF-OTC,1782038580,0.923375,0.923695,0.923845,0.923365,0
binary,EURCHF-OTC,1782038640,0.923585,0.923525,0.923705,0.923195,0
binary,EURCHF-OTC,1782038700,0.923505,0.923475,0.923655,0.923375,0
binary,EURCHF-OTC,1782038760,0.923485,0.923165,0.923505,0.923165,0
binary,EURCHF-OTC,1782038820,0.923205,0.923245,0.923255,0.922965,0
binary,EURCHF-OTC,1782038880,0.923215,0.922555,0.923305,0.922535,0
binary,EURCHF-OTC,1782038940,0.922545,0.922985,0.923145,0.922525,0
binary,EURCHF-OTC,1782039000,0.922995,0.922875,0.923255,0.922845,0
binary,EURCHF-OTC,1782039060,0.922885,0.923215,0.923335,0.922805,0
binary,EURCHF-OTC,1782039120,0.923195,0.923185,0.923575,0.923135,0
binary,EURCHF-OTC,1782039180,0.923155,0.923145,0.923245,0.922845,0
binary,EURCHF-OTC,1782039240,0.923115,0.922775,0.923115,0.922595,0
binary,EURCHF-OTC,1782039300,0.922785,0.923185,0.923305,0.922565,0
binary,EURCHF-OTC,1782039360,0.923175,0.923075,0.923335,0.922885,0
binary,EURCHF-OTC,1782039420,0.923095,0.923055,0.923335,0.922995,0
binary,EURCHF-OTC,1782039480,0.923085,0.923065,0.923225,0.922955,0
