tipo,activo,from,open,close,max,min,volume
binary,EURUSD-OTC,1782036360,1.148235,1.148765,1.148885,1.148185,0
binary,EURUSD-OTC,1782036420,1.148775,1.149365,1.149395,1.148765,0
binary,EURUSD-OTC,1782036480,1.149335,1.149805,1.149835,1.149335,0
binary,EURUSD-OTC,1782036540,1.149795,1.149765,1.150185,1.149755,0
binary,EURUSD-OTC,1782036600,1.149785,1.149705,1.149945,1.149585,0
binary,EURUSD-OTC,1782036660,1.149665,1.149365,1.149795,1.149325,0
binary,EURUSD-OTC,1782036720,1.149375,1.149095,1.149475,1.148995,0
binary,EURUSD-OTC,1782036780,1.149075,1.148765,1.149235,1.148765,0
binary,EURUSD-OTC,1782036840,1.148785,1.148615,1.148915,1.148525,0
binary,EURUSD-OTC,1782036900,1.148625,1.149145,1.149315,1.148355,0
binary,EURUSD-OTC,1782036960,1.149105,1.148595,1.149365,1.148565,0
binary,EURUSD-OTC,1782037020,1.148545,1.148935,1.148935,1.148125,0
binary,EURUSD-OTC,1782037080,1.148905,1.149275,1.149505,1.148745,0
binary,EURUSD-OTC,1782037140,1.149285,1.149105,1.149365,1.148905,0
binary,EURUSD-OTC,1782037200,1.149145,1.149295,1.149495,1.148955,0
binary,EURUSD-OTC,1782037260,1.149325,1.149575,1.149725,1.149325,0
binary,EURUSD-OTC,1782037320,1.149555,1.149415,1.149835,1.149385,0
binary,EURUSD-OTC,1782037380,1.149405,1.149675,1.149715,1.148745,0
binary,EURUSD-OTC,1782037440,1.149695,1.148945,1.149875,1.148945,0
binary,EURUSD-OTC,1782037500,1.148935,1.149425,1.149435,1.148655,0
binary,EURUSD-OTC,1782037560,1.149345,1.149815,1.149895,1.149155,0
binary,EURUSD-OTC,1782037620,1.149895,1.149505,1.150005,1.149415,0
binary,EURUSD-OTC,1782037680,1.149495,1.149575,1.149625,1.149255,0
binary,EURUSD-OTC,1782037740,1.149565,1.149375,1.149615,1.149105,0
binary,EURUSD-OTC,1782037800,1.149335,1.149175,1.149505,1.148905,0
binary,EURUSD-OTC,1782037860,1.149185,1.149485,1.149495,1.148825,0
binary,EURUSD-OTC,1782037920,1.149495,1.149595,1.149625,1.149145,0
binary,EURUSD-OTC,1782037980,1.149575,1.149715,1.149825,1.149445,0
binary,EURUSD-OTC,1782038040,1.149735,1.149975,1.150005,1.149295,0
binary,EURUSD-OTC,1782038100,1.149935,1.150345,1.150595,1.149825,0
binary,EURUSD-OTC,1782038160,1.150325,1.150995,1.151035,1.150285,0
binary,EURUSD-OTC,1782038220,1.151005,1.150985,1.151145,1.150715,0
binary,EURUSD-OTC,1782038280,1.150995,1.150675,1.150995,1.150275,0
binary,EURUSD-OTC,1782038340,1.150665,1.150815,1.151035,1.150515,0
binary,EURUSD-OTC,1782038400,1.150895,1.150765,1.151105,1.150635,0
binary,EURUSD-OTC,1782038460,1.150785,1.150755,1.150965,1.150365,0
binary,EURUSD-OTC,1782038520,1.150795,1.150745,1.150945,1.150565,0
binary,EURUSD-OTC,1782038580,1.150775,1.150745,1.151145,1.150535,0
binary,EURUSD-OTC,1782038640,1.150785,1.150755,1.151045,1.150615,0
binary,EURUSD-OTC,1782038700,1.150765,1.151325,1.151495,1.150725,0
binary,EURUSD-OTC,1782038760,1.151335,1.151655,1.151705,1.151085,0
binary,EURUSD-OTC,1782038820,1.151695,1.152605,1.152605,1.151645,0
binary,EURUSD-OTC,1782038880,1.152625,1.152505,1.152955,1.152455,0
binary,EURUSD-OTC,1782038940,1.152545,1.152875,1.153005,1.152415,0
binary,EURUSD-OTC,1782039000,1.152925,1.153105,1.153165,1.152705,0
binary,EURUSD-OTC,1782039060,1.153085,1.153195,1.153385,1.152875,0
binary,EURUSD-OTC,1782039120,1.153185,1.154705,1.154705,1.153155,0
binary,EURUSD-OTC,1782039180,1.154695,1.154065,1.154825,1.153985,0
binary,EURUSD-OTC,1782039240,1.154085,1.153215,1.154135,1.153085,0
binary,EURUSD-OTC,1782039300,1.153275,1.152975,1.153275,1.152495,0
binary,EURUSD-OTC,1782039360,1.153035,1.153665,1.153745,1.152915,0
binary,EURUSD-OTC,1782039420,1.153675,1.153595,1.153835,1.153405,0
binary,EURUSD-OTC,1782039480,1.153645,1.154045,1.154085,1.153455,0
binary,EURUSD-OTC,1782039540,1.154085,1.154795,1.154865,1.154025,0
