tipo,activo,from,open,close,max,min,volume
binary,EXY,1781863500,117.599615,117.601335,117.604375,117.598815,844
binary,EXY,1781863560,117.601285,117.601855,117.604015,117.601135,835
binary,EXY,1781863620,117.602015,117.599325,117.602155,117.598535,886
binary,EXY,1781863680,117.599295,117.595235,117.601045,117.593105,1037
binary,EXY,1781863740,117.595165,117.595845,117.598995,117.593775,857
binary,EXY,1781863800,117.595785,117.601145,117.601855,117.595675,626
binary,EXY,1781863860,117.601215,117.603945,117.607935,117.600195,692
binary,EXY,1781863920,117.603915,117.598835,117.605575,117.598835,750
binary,EXY,1781863980,117.598865,117.601555,117.602645,117.597365,733
binary,EXY,1781864040,117.601455,117.600475,117.603745,117.599775,709
binary,EXY,1781864100,117.600375,117.600385,117.601055,117.595595,729
binary,EXY,1781864160,117.600345,117.603175,117.607635,117.598985,1094
binary,EXY,1781864220,117.603245,117.593085,117.603715,117.591115,996
binary,EXY,1781864280,117.593045,117.593165,117.595975,117.589325,1173
binary,EXY,1781864340,117.593195,117.581635,117.594285,117.581535,1458
binary,EXY,1781864400,117.581845,117.572245,117.582985,117.572065,1515
binary,EXY,1781864460,117.572185,117.569585,117.574955,117.568345,1144
binary,EXY,1781864520,117.569615,117.571515,117.573615,117.567755,1499
binary,EXY,1781864580,117.571575,117.583265,117.586265,117.571305,1434
binary,EXY,1781864640,117.583475,117.592905,117.593325,117.582775,1008
binary,EXY,1781864700,117.592805,117.587855,117.593455,117.586005,1025
binary,EXY,1781864760,117.587925,117.596455,117.596645,117.584455,838
binary,EXY,1781864820,117.596355,117.596545,117.599505,117.595015,767
binary,EXY,1781864880,117.596385,117.595375,117.602145,117.594305,738
binary,EXY,1781864940,117.595215,117.593935,117.599905,117.593405,768
binary,EXY,1781865000,117.593835,117.590865,117.594665,117.588015,1073
binary,EXY,1781865060,117.590895,117.593285,117.595075,117.590595,1051
binary,EXY,1781865120,117.593125,117.595415,117.595865,117.591695,675
binary,EXY,1781865180,117.595335,117.594435,117.598155,117.593805,762
binary,EXY,1781865240,117.594375,117.601965,117.602565,117.594235,786
binary,EXY,1781865300,117.602025,117.608835,117.610265,117.602025,895
binary,EXY,1781865360,117.608885,117.611565,117.611785,117.604885,991
binary,EXY,1781865420,117.611625,117.611885,117.614085,117.608265,875
binary,EXY,1781865480,117.611955,117.603775,117.613035,117.595095,1120
binary,EXY,1781865540,117.603805,117.606325,117.608515,117.602335,967
binary,EXY,1781865600,117.606385,117.610565,117.617505,117.605845,1233
binary,EXY,1781865660,117.610495,117.612615,117.612645,117.608995,936
binary,EXY,1781865720,117.612515,117.617925,117.618805,117.612425,1019
binary,EXY,1781865780,117.617975,117.622575,117.627005,117.616475,1309
binary,EXY,1781865840,117.622615,117.622625,117.624525,117.620125,1032
binary,EXY,1781865900,117.622785,117.632105,117.634295,117.622565,1125
binary,EXY,1781865960,117.632175,117.638415,117.638775,117.623225,1383
binary,EXY,1781866020,117.638775,117.632325,117.643525,117.629715,1356
binary,EXY,1781866080,117.632385,117.637745,117.638265,117.631695,876
binary,EXY,1781866140,117.637715,117.634925,117.640215,117.634705,854
binary,EXY,1781866200,117.635135,117.631185,117.636555,117.631185,1042
binary,EXY,1781866260,117.631125,117.622325,117.634215,117.622205,945
binary,EXY,1781866320,117.622365,117.623775,117.626435,117.618085,1147
binary,EXY,1781866380,117.623615,117.627675,117.628055,117.622385,785
binary,EXY,1781866440,117.627645,117.622525,117.628755,117.622395,899
binary,EXY,1781866500,117.622355,117.638715,117.641015,117.622355,654
binary,EXY,1781866560,117.638675,117.636535,117.639515,117.631995,953
binary,EXY,1781866620,117.636595,117.639645,117.641255,117.632145,1017
binary,EXY,1781866680,117.639605,117.643145,117.648395,117.638475,962
binary,EXY,1781866740,117.643215,117.638185,117.646915,117.636215,736
binary,EXY,1781866800,117.638215,117.639095,117.644635,117.636855,1221
binary,EXY,1781866860,117.639125,117.642125,117.646325,117.639125,1206
binary,EXY,1781866920,117.642175,117.644155,117.648915,117.640765,1004
binary,EXY,1781866980,117.644125,117.649885,117.650625,117.644005,892
binary,EXY,1781867040,117.649925,117.647415,117.651835,117.645935,988
binary,EXY,1781867100,117.647515,117.648885,117.652865,117.647185,905
binary,EXY,1781867160,117.648855,117.651055,117.653625,117.646315,800
binary,EXY,1781867220,117.651105,117.648385,117.654855,117.643475,1291
