tipo,activo,from,open,close,max,min,volume
binary,FARTCOINUSD-OTC,1782697200,0.097215,0.098005,0.098195,0.097025,0
binary,FARTCOINUSD-OTC,1782697260,0.097995,0.098355,0.098485,0.097555,0
binary,FARTCOINUSD-OTC,1782697320,0.098305,0.097875,0.098355,0.097625,0
binary,FARTCOINUSD-OTC,1782697380,0.097865,0.098415,0.098415,0.097605,0
binary,FARTCOINUSD-OTC,1782697440,0.098425,0.097955,0.098555,0.097905,0
binary,FARTCOINUSD-OTC,1782697500,0.097945,0.096615,0.098045,0.096495,0
binary,FARTCOINUSD-OTC,1782697560,0.096665,0.096385,0.096775,0.095795,0
binary,FARTCOINUSD-OTC,1782697620,0.096355,0.095985,0.096935,0.095985,0
binary,FARTCOINUSD-OTC,1782697680,0.095975,0.096055,0.096245,0.095705,0
binary,FARTCOINUSD-OTC,1782697740,0.095905,0.096215,0.096535,0.095685,0
binary,FARTCOINUSD-OTC,1782697800,0.096225,0.095745,0.096285,0.095305,0
binary,FARTCOINUSD-OTC,1782697860,0.095755,0.095275,0.095775,0.094725,0
binary,FARTCOINUSD-OTC,1782697920,0.095265,0.094535,0.095315,0.094535,0
binary,FARTCOINUSD-OTC,1782697980,0.094545,0.094185,0.094835,0.094175,0
binary,FARTCOINUSD-OTC,1782698040,0.094145,0.093585,0.094295,0.093105,0
binary,FARTCOINUSD-OTC,1782698100,0.093575,0.093545,0.093695,0.093185,0
binary,FARTCOINUSD-OTC,1782698160,0.093565,0.093835,0.094025,0.093525,0
binary,FARTCOINUSD-OTC,1782698220,0.093865,0.094145,0.094465,0.093815,0
binary,FARTCOINUSD-OTC,1782698280,0.094115,0.095275,0.095365,0.094035,0
binary,FARTCOINUSD-OTC,1782698340,0.095265,0.095255,0.095655,0.094725,0
binary,FARTCOINUSD-OTC,1782698400,0.095245,0.095375,0.095445,0.094945,0
binary,FARTCOINUSD-OTC,1782698460,0.095385,0.095765,0.096085,0.095155,0
binary,FARTCOINUSD-OTC,1782698520,0.095775,0.095175,0.095805,0.094935,0
binary,FARTCOINUSD-OTC,1782698580,0.095145,0.094655,0.095305,0.094385,0
binary,FARTCOINUSD-OTC,1782698640,0.094795,0.095345,0.095415,0.094715,0
binary,FARTCOINUSD-OTC,1782698700,0.095305,0.095945,0.095955,0.095115,0
binary,FARTCOINUSD-OTC,1782698760,0.095855,0.095125,0.095855,0.094915,0
binary,FARTCOINUSD-OTC,1782698820,0.095065,0.095515,0.095575,0.094985,0
binary,FARTCOINUSD-OTC,1782698880,0.095505,0.095985,0.096015,0.094855,0
binary,FARTCOINUSD-OTC,1782698940,0.095965,0.095665,0.096005,0.094965,0
binary,FARTCOINUSD-OTC,1782699000,0.095725,0.095935,0.096295,0.095405,0
binary,FARTCOINUSD-OTC,1782699060,0.095925,0.096785,0.096835,0.095885,0
binary,FARTCOINUSD-OTC,1782699120,0.096845,0.096975,0.097175,0.096565,0
binary,FARTCOINUSD-OTC,1782699180,0.097005,0.097355,0.097895,0.096895,0
binary,FARTCOINUSD-OTC,1782699240,0.097315,0.097625,0.097665,0.097025,0
binary,FARTCOINUSD-OTC,1782699300,0.097665,0.097115,0.097815,0.096915,0
binary,FARTCOINUSD-OTC,1782699360,0.097105,0.097505,0.097765,0.096965,0
binary,FARTCOINUSD-OTC,1782699420,0.097525,0.097685,0.097695,0.096965,0
binary,FARTCOINUSD-OTC,1782699480,0.097725,0.098065,0.098155,0.097465,0
binary,FARTCOINUSD-OTC,1782699540,0.098015,0.098485,0.098915,0.098015,0
binary,FARTCOINUSD-OTC,1782699600,0.098465,0.098205,0.098725,0.097995,0
binary,FARTCOINUSD-OTC,1782699660,0.098165,0.098295,0.098705,0.098015,0
binary,FARTCOINUSD-OTC,1782699720,0.098305,0.098375,0.099135,0.098165,0
binary,FARTCOINUSD-OTC,1782699780,0.098355,0.097745,0.098355,0.097655,0
binary,FARTCOINUSD-OTC,1782699840,0.097715,0.098495,0.098655,0.097635,0
binary,FARTCOINUSD-OTC,1782699900,0.098455,0.098165,0.098685,0.097635,0
binary,FARTCOINUSD-OTC,1782699960,0.098175,0.097685,0.098175,0.097405,0
binary,FARTCOINUSD-OTC,1782700020,0.097695,0.098245,0.098245,0.097255,0
binary,FARTCOINUSD-OTC,1782700080,0.098215,0.097945,0.098275,0.097215,0
binary,FARTCOINUSD-OTC,1782700140,0.097865,0.097355,0.098145,0.097315,0
binary,FARTCOINUSD-OTC,1782700200,0.097395,0.097925,0.098035,0.096955,0
binary,FARTCOINUSD-OTC,1782700260,0.097915,0.098035,0.098105,0.097435,0
binary,FARTCOINUSD-OTC,1782700320,0.098015,0.098235,0.098555,0.097595,0
