tipo,activo,from,open,close,max,min,volume
binary,FETUSD-OTC,1782697200,0.186725,0.184485,0.186835,0.184485,0
binary,FETUSD-OTC,1782697260,0.184395,0.183835,0.184675,0.183345,0
binary,FETUSD-OTC,1782697320,0.183855,0.183435,0.184665,0.183355,0
binary,FETUSD-OTC,1782697380,0.183425,0.183145,0.184165,0.182665,0
binary,FETUSD-OTC,1782697440,0.183045,0.181405,0.183385,0.181255,0
binary,FETUSD-OTC,1782697500,0.181455,0.181565,0.181775,0.180895,0
binary,FETUSD-OTC,1782697560,0.181605,0.182015,0.182615,0.181295,0
binary,FETUSD-OTC,1782697620,0.182075,0.184065,0.184285,0.181285,0
binary,FETUSD-OTC,1782697680,0.184105,0.185265,0.186005,0.184065,0
binary,FETUSD-OTC,1782697740,0.185295,0.185685,0.185985,0.185035,0
binary,FETUSD-OTC,1782697800,0.185675,0.186045,0.186665,0.185455,0
binary,FETUSD-OTC,1782697860,0.186125,0.184965,0.186215,0.184665,0
binary,FETUSD-OTC,1782697920,0.184955,0.184975,0.185715,0.184545,0
binary,FETUSD-OTC,1782697980,0.184895,0.186585,0.186715,0.184745,0
binary,FETUSD-OTC,1782698040,0.186625,0.188035,0.188135,0.185875,0
binary,FETUSD-OTC,1782698100,0.188045,0.187955,0.189005,0.187765,0
binary,FETUSD-OTC,1782698160,0.187875,0.188765,0.188995,0.187655,0
binary,FETUSD-OTC,1782698220,0.188815,0.190265,0.190855,0.188815,0
binary,FETUSD-OTC,1782698280,0.190235,0.189885,0.190385,0.189175,0
binary,FETUSD-OTC,1782698340,0.189875,0.188825,0.189925,0.188575,0
binary,FETUSD-OTC,1782698400,0.188735,0.188195,0.188915,0.187695,0
binary,FETUSD-OTC,1782698460,0.188155,0.187965,0.188725,0.187275,0
binary,FETUSD-OTC,1782698520,0.188005,0.189125,0.189315,0.187915,0
binary,FETUSD-OTC,1782698580,0.189115,0.190395,0.190755,0.189095,0
binary,FETUSD-OTC,1782698640,0.190455,0.192935,0.192935,0.190375,0
binary,FETUSD-OTC,1782698700,0.192905,0.192915,0.193225,0.191905,0
binary,FETUSD-OTC,1782698760,0.192785,0.192135,0.193535,0.191045,0
binary,FETUSD-OTC,1782698820,0.192125,0.191785,0.192255,0.191015,0
binary,FETUSD-OTC,1782698880,0.191795,0.192405,0.192515,0.191465,0
binary,FETUSD-OTC,1782698940,0.192445,0.193015,0.193115,0.192235,0
binary,FETUSD-OTC,1782699000,0.193055,0.193915,0.193965,0.192415,0
binary,FETUSD-OTC,1782699060,0.193945,0.195095,0.196325,0.193705,0
binary,FETUSD-OTC,1782699120,0.195105,0.195675,0.195675,0.194735,0
binary,FETUSD-OTC,1782699180,0.195685,0.196045,0.196535,0.195365,0
binary,FETUSD-OTC,1782699240,0.195945,0.195485,0.196455,0.195445,0
binary,FETUSD-OTC,1782699300,0.195475,0.195855,0.195905,0.194645,0
binary,FETUSD-OTC,1782699360,0.195915,0.195905,0.196195,0.195435,0
binary,FETUSD-OTC,1782699420,0.195955,0.195195,0.196515,0.194945,0
binary,FETUSD-OTC,1782699480,0.195185,0.195635,0.195655,0.194595,0
binary,FETUSD-OTC,1782699540,0.195655,0.194455,0.196265,0.194435,0
binary,FETUSD-OTC,1782699600,0.194435,0.195495,0.195495,0.193995,0
binary,FETUSD-OTC,1782699660,0.195485,0.195765,0.197505,0.195175,0
binary,FETUSD-OTC,1782699720,0.195775,0.197995,0.197995,0.195245,0
binary,FETUSD-OTC,1782699780,0.197995,0.198245,0.198885,0.197845,0
binary,FETUSD-OTC,1782699840,0.198265,0.199005,0.199085,0.197475,0
binary,FETUSD-OTC,1782699900,0.199035,0.198185,0.199385,0.197865,0
binary,FETUSD-OTC,1782699960,0.198205,0.197975,0.199105,0.197885,0
binary,FETUSD-OTC,1782700020,0.197985,0.197665,0.198575,0.197665,0
binary,FETUSD-OTC,1782700080,0.197655,0.198855,0.199265,0.197575,0
binary,FETUSD-OTC,1782700140,0.198715,0.199255,0.200095,0.198715,0
binary,FETUSD-OTC,1782700200,0.199185,0.198675,0.199715,0.197375,0
binary,FETUSD-OTC,1782700260,0.198655,0.197735,0.199045,0.197435,0
binary,FETUSD-OTC,1782700320,0.197875,0.198995,0.199145,0.197795,0
binary,FETUSD-OTC,1782700380,0.198925,0.198015,0.199605,0.197585,0
binary,FETUSD-OTC,1782700440,0.198005,0.199245,0.199535,0.197895,0
binary,FETUSD-OTC,1782700500,0.199315,0.198465,0.199355,0.198365,0
binary,FETUSD-OTC,1782700560,0.198485,0.197815,0.198535,0.197035,0
binary,FETUSD-OTC,1782700620,0.197605,0.196225,0.197605,0.195575,0
binary,FETUSD-OTC,1782700680,0.196215,0.197485,0.197895,0.195885,0
binary,FETUSD-OTC,1782700740,0.197435,0.195945,0.197435,0.195615,0
binary,FETUSD-OTC,1782700800,0.195955,0.196015,0.196875,0.195705,0
binary,FETUSD-OTC,1782700860,0.196025,0.195205,0.196285,0.194685,0
binary,FETUSD-OTC,1782700920,0.195345,0.195645,0.196095,0.195345,0
binary,FETUSD-OTC,1782700980,0.195585,0.195365,0.196155,0.195195,0
binary,FETUSD-OTC,1782701040,0.195355,0.193575,0.196055,0.193525,0
binary,FETUSD-OTC,1782701100,0.193765,0.193665,0.194215,0.193145,0
binary,FETUSD-OTC,1782701160,0.193575,0.192885,0.194255,0.192615,0
binary,FETUSD-OTC,1782701220,0.192875,0.191095,0.193255,0.191065,0
binary,FETUSD-OTC,1782701280,0.191045,0.192095,0.192115,0.190485,0
binary,FETUSD-OTC,1782701340,0.192205,0.191655,0.192545,0.191485,0
binary,FETUSD-OTC,1782701400,0.191705,0.189515,0.191805,0.189325,0
binary,FETUSD-OTC,1782701460,0.189525,0.188885,0.189625,0.188355,0
binary,FETUSD-OTC,1782701520,0.188865,0.188185,0.189395,0.187885,0
binary,FETUSD-OTC,1782701580,0.188105,0.188055,0.188455,0.186865,0
binary,FETUSD-OTC,1782701640,0.188045,0.190055,0.190495,0.188025,0
binary,FETUSD-OTC,1782701700,0.190045,0.190635,0.190995,0.189645,0
binary,FETUSD-OTC,1782701760,0.190625,0.190735,0.191095,0.189605,0
binary,FETUSD-OTC,1782701820,0.190745,0.189875,0.191695,0.189715,0
binary,FETUSD-OTC,1782701880,0.189835,0.189455,0.190175,0.189365,0
binary,FETUSD-OTC,1782701940,0.189445,0.189665,0.190585,0.189445,0
binary,FETUSD-OTC,1782702000,0.189695,0.190285,0.190495,0.189325,0
binary,FETUSD-OTC,1782702060,0.190265,0.189465,0.190715,0.189175,0
binary,FETUSD-OTC,1782702120,0.189505,0.189445,0.189775,0.188955,0
binary,FETUSD-OTC,1782702180,0.189465,0.190605,0.191035,0.189465,0
binary,FETUSD-OTC,1782702240,0.190585,0.190405,0.191235,0.190125,0
binary,FETUSD-OTC,1782702300,0.190485,0.189925,0.190865,0.189925,0
binary,FETUSD-OTC,1782702360,0.189935,0.189655,0.190855,0.189445,0
binary,FETUSD-OTC,1782702420,0.189575,0.188655,0.190065,0.188655,0
binary,FETUSD-OTC,1782702480,0.188665,0.189555,0.189815,0.188285,0
binary,FETUSD-OTC,1782702540,0.189445,0.188785,0.190105,0.188565,0
binary,FETUSD-OTC,1782702600,0.188825,0.190005,0.190165,0.188645,0
binary,FETUSD-OTC,1782702660,0.190065,0.190415,0.190975,0.189675,0
binary,FETUSD-OTC,1782702720,0.190385,0.190615,0.191615,0.189825,0
binary,FETUSD-OTC,1782702780,0.190645,0.190285,0.191415,0.190235,0
binary,FETUSD-OTC,1782702840,0.190245,0.189545,0.190565,0.188985,0
binary,FETUSD-OTC,1782702900,0.189505,0.187275,0.189755,0.187025,0
binary,FETUSD-OTC,1782702960,0.187155,0.187225,0.188375,0.187105,0
binary,FETUSD-OTC,1782703020,0.187215,0.187275,0.187485,0.186335,0
binary,FETUSD-OTC,1782703080,0.187315,0.186735,0.188355,0.186495,0
binary,FETUSD-OTC,1782703140,0.186805,0.187985,0.188405,0.186805,0
binary,FETUSD-OTC,1782703200,0.187795,0.186355,0.187985,0.186355,0
binary,FETUSD-OTC,1782703260,0.186385,0.187035,0.188245,0.186385,0
binary,FETUSD-OTC,1782703320,0.187105,0.187385,0.187575,0.186705,0
binary,FETUSD-OTC,1782703380,0.187505,0.186835,0.187625,0.186115,0
binary,FETUSD-OTC,1782703440,0.186975,0.188925,0.189095,0.186935,0
binary,FETUSD-OTC,1782703500,0.188835,0.188395,0.189235,0.187735,0
binary,FETUSD-OTC,1782703560,0.188455,0.189535,0.190195,0.188385,0
binary,FETUSD-OTC,1782703620,0.189525,0.188325,0.189755,0.188285,0
binary,FETUSD-OTC,1782703680,0.188415,0.189035,0.189765,0.188365,0
binary,FETUSD-OTC,1782703740,0.188855,0.188955,0.189545,0.188395,0
binary,FETUSD-OTC,1782703800,0.188965,0.190365,0.190415,0.188965,0
binary,FETUSD-OTC,1782703860,0.190325,0.189525,0.190895,0.189455,0
binary,FETUSD-OTC,1782703920,0.189535,0.189585,0.190125,0.189185,0
binary,FETUSD-OTC,1782703980,0.189605,0.190275,0.190655,0.189605,0
binary,FETUSD-OTC,1782704040,0.190285,0.190235,0.190455,0.189145,0
binary,FETUSD-OTC,1782704100,0.190245,0.189725,0.190705,0.189225,0
binary,FETUSD-OTC,1782704160,0.189735,0.189535,0.189995,0.188845,0
binary,FETUSD-OTC,1782704220,0.189595,0.189335,0.189955,0.188725,0
binary,FETUSD-OTC,1782704280,0.189465,0.191065,0.191125,0.189375,0
binary,FETUSD-OTC,1782704340,0.191135,0.190255,0.191435,0.190185,0
binary,FETUSD-OTC,1782704400,0.190205,0.191345,0.191345,0.190065,0
binary,FETUSD-OTC,1782704460,0.191265,0.191065,0.192625,0.190985,0
binary,FETUSD-OTC,1782704520,0.191075,0.190525,0.191325,0.190045,0
binary,FETUSD-OTC,1782704580,0.190595,0.189645,0.190755,0.189595,0
binary,FETUSD-OTC,1782704640,0.189815,0.191575,0.191725,0.189795,0
binary,FETUSD-OTC,1782704700,0.191565,0.191405,0.192095,0.190945,0
binary,FETUSD-OTC,1782704760,0.191415,0.191185,0.191885,0.190715,0
binary,FETUSD-OTC,1782704820,0.191155,0.191475,0.191885,0.190235,0
binary,FETUSD-OTC,1782704880,0.191375,0.191975,0.191975,0.190625,0
binary,FETUSD-OTC,1782704940,0.192005,0.192255,0.192675,0.191615,0
binary,FETUSD-OTC,1782705000,0.192345,0.192975,0.192975,0.191965,0
binary,FETUSD-OTC,1782705060,0.192915,0.193885,0.193935,0.192915,0
binary,FETUSD-OTC,1782705120,0.193875,0.193125,0.194385,0.192585,0
binary,FETUSD-OTC,1782705180,0.193135,0.196435,0.196435,0.193135,0
binary,FETUSD-OTC,1782705240,0.196345,0.197265,0.197665,0.196305,0
binary,FETUSD-OTC,1782705300,0.197345,0.196695,0.197745,0.196625,0
binary,FETUSD-OTC,1782705360,0.196675,0.197735,0.197965,0.196395,0
binary,FETUSD-OTC,1782705420,0.197745,0.197745,0.198005,0.197025,0
binary,FETUSD-OTC,1782705480,0.197725,0.196925,0.197935,0.196925,0
binary,FETUSD-OTC,1782705540,0.196895,0.195855,0.197945,0.195845,0
binary,FETUSD-OTC,1782705600,0.195775,0.195225,0.196035,0.195195,0
binary,FETUSD-OTC,1782705660,0.195215,0.195175,0.196055,0.194955,0
binary,FETUSD-OTC,1782705720,0.195265,0.195905,0.195995,0.194795,0
binary,FETUSD-OTC,1782705780,0.195845,0.194725,0.196005,0.194395,0
binary,FETUSD-OTC,1782705840,0.194685,0.195345,0.195505,0.193835,0
binary,FETUSD-OTC,1782705900,0.195385,0.196415,0.197055,0.195205,0
binary,FETUSD-OTC,1782705960,0.196425,0.194945,0.196465,0.194075,0
binary,FETUSD-OTC,1782706020,0.195025,0.193935,0.195025,0.193405,0
binary,FETUSD-OTC,1782706080,0.193925,0.195505,0.195755,0.193775,0
binary,FETUSD-OTC,1782706140,0.195565,0.197335,0.197485,0.194825,0
binary,FETUSD-OTC,1782706200,0.197485,0.196725,0.197675,0.196475,0
binary,FETUSD-OTC,1782706260,0.196775,0.197455,0.197585,0.196675,0
binary,FETUSD-OTC,1782706320,0.197435,0.197295,0.197925,0.196755,0
binary,FETUSD-OTC,1782706380,0.197395,0.195695,0.197555,0.195695,0
binary,FETUSD-OTC,1782706440,0.195625,0.196225,0.196975,0.195415,0
binary,FETUSD-OTC,1782706500,0.196165,0.194985,0.196165,0.194565,0
binary,FETUSD-OTC,1782706560,0.194845,0.195805,0.196325,0.194845,0
binary,FETUSD-OTC,1782706620,0.195835,0.195425,0.196525,0.195425,0
binary,FETUSD-OTC,1782706680,0.195415,0.193445,0.195585,0.193445,0
binary,FETUSD-OTC,1782706740,0.193455,0.193445,0.193875,0.192405,0
binary,FETUSD-OTC,1782706800,0.193435,0.194015,0.194755,0.193315,0
binary,FETUSD-OTC,1782706860,0.194035,0.194365,0.195105,0.193945,0
binary,FETUSD-OTC,1782706920,0.194375,0.193825,0.194755,0.193485,0
binary,FETUSD-OTC,1782706980,0.193755,0.193835,0.194495,0.193615,0
binary,FETUSD-OTC,1782707040,0.194005,0.194315,0.194785,0.193635,0
binary,FETUSD-OTC,1782707100,0.194175,0.192845,0.194175,0.192715,0
binary,FETUSD-OTC,1782707160,0.192805,0.193965,0.194325,0.192225,0
binary,FETUSD-OTC,1782707220,0.193975,0.192635,0.194185,0.192245,0
binary,FETUSD-OTC,1782707280,0.192645,0.194385,0.194425,0.192225,0
binary,FETUSD-OTC,1782707340,0.194395,0.194735,0.195325,0.194145,0
binary,FETUSD-OTC,1782707400,0.194785,0.193385,0.195325,0.192965,0
binary,FETUSD-OTC,1782707460,0.193415,0.194625,0.194665,0.192715,0
binary,FETUSD-OTC,1782707520,0.194485,0.195255,0.195395,0.194175,0
binary,FETUSD-OTC,1782707580,0.195125,0.194755,0.195645,0.194585,0
binary,FETUSD-OTC,1782707640,0.194845,0.194735,0.195055,0.194255,0
binary,FETUSD-OTC,1782707700,0.194715,0.196065,0.196075,0.194025,0
binary,FETUSD-OTC,1782707760,0.196085,0.197195,0.197485,0.195365,0
binary,FETUSD-OTC,1782707820,0.197095,0.195875,0.197585,0.195875,0
binary,FETUSD-OTC,1782707880,0.195895,0.195875,0.196455,0.195265,0
binary,FETUSD-OTC,1782707940,0.195895,0.196095,0.196965,0.194875,0
binary,FETUSD-OTC,1782708000,0.196075,0.196045,0.197745,0.196025,0
binary,FETUSD-OTC,1782708060,0.196025,0.196415,0.196595,0.195255,0
binary,FETUSD-OTC,1782708120,0.196435,0.195835,0.197085,0.195685,0
binary,FETUSD-OTC,1782708180,0.195735,0.196725,0.196875,0.195655,0
binary,FETUSD-OTC,1782708240,0.196745,0.196615,0.197365,0.196335,0
binary,FETUSD-OTC,1782708300,0.196605,0.195695,0.197185,0.194695,0
binary,FETUSD-OTC,1782708360,0.195615,0.196995,0.197235,0.195605,0
binary,FETUSD-OTC,1782708420,0.197015,0.199075,0.199075,0.196725,0
binary,FETUSD-OTC,1782708480,0.199185,0.198475,0.199345,0.198265,0
binary,FETUSD-OTC,1782708540,0.198495,0.199235,0.199945,0.198255,0
binary,FETUSD-OTC,1782708600,0.199145,0.198315,0.199755,0.198305,0
binary,FETUSD-OTC,1782708660,0.198295,0.197485,0.198775,0.197415,0
binary,FETUSD-OTC,1782708720,0.197475,0.198565,0.198725,0.197455,0
binary,FETUSD-OTC,1782708780,0.198555,0.199125,0.199495,0.198515,0
binary,FETUSD-OTC,1782708840,0.199105,0.199145,0.200445,0.199055,0
binary,FETUSD-OTC,1782708900,0.199025,0.200775,0.200895,0.198175,0
binary,FETUSD-OTC,1782708960,0.200845,0.201605,0.201825,0.199735,0
binary,FETUSD-OTC,1782709020,0.201615,0.201125,0.201765,0.200325,0
binary,FETUSD-OTC,1782709080,0.201205,0.199385,0.201205,0.199315,0
binary,FETUSD-OTC,1782709140,0.199365,0.198995,0.200385,0.198495,0
binary,FETUSD-OTC,1782709200,0.199035,0.200315,0.201085,0.198935,0
binary,FETUSD-OTC,1782709260,0.200285,0.200015,0.200945,0.199565,0
binary,FETUSD-OTC,1782709320,0.200075,0.201645,0.201645,0.199535,0
binary,FETUSD-OTC,1782709380,0.201665,0.201135,0.202005,0.201045,0
binary,FETUSD-OTC,1782709440,0.201155,0.200865,0.201835,0.199905,0
binary,FETUSD-OTC,1782709500,0.200795,0.202245,0.202335,0.200705,0
binary,FETUSD-OTC,1782709560,0.202205,0.202405,0.202495,0.201245,0
binary,FETUSD-OTC,1782709620,0.202415,0.202065,0.203235,0.202065,0
binary,FETUSD-OTC,1782709680,0.201945,0.203665,0.203845,0.201625,0
binary,FETUSD-OTC,1782709740,0.203725,0.204805,0.205105,0.203655,0
binary,FETUSD-OTC,1782709800,0.204885,0.205105,0.206325,0.204475,0
binary,FETUSD-OTC,1782709860,0.205095,0.205995,0.206605,0.204965,0
binary,FETUSD-OTC,1782709920,0.205985,0.205165,0.205985,0.204065,0
binary,FETUSD-OTC,1782709980,0.205025,0.202365,0.205025,0.202315,0
binary,FETUSD-OTC,1782710040,0.202335,0.203325,0.203685,0.202015,0
binary,FETUSD-OTC,1782710100,0.203355,0.204505,0.204875,0.203165,0
binary,FETUSD-OTC,1782710160,0.204535,0.203795,0.204755,0.202815,0
binary,FETUSD-OTC,1782710220,0.203815,0.204595,0.205465,0.203775,0
binary,FETUSD-OTC,1782710280,0.204635,0.203115,0.205455,0.203105,0
binary,FETUSD-OTC,1782710340,0.203195,0.202535,0.203685,0.202295,0
binary,FETUSD-OTC,1782710400,0.202565,0.203585,0.203585,0.202115,0
binary,FETUSD-OTC,1782710460,0.203575,0.203085,0.204095,0.202695,0
