tipo,activo,from,open,close,max,min,volume
binary,FLOKIUSD-OTC,1782567600,0.017985,0.018025,0.018065,0.017985,0
binary,FLOKIUSD-OTC,1782567660,0.018015,0.018115,0.018125,0.017985,0
binary,FLOKIUSD-OTC,1782567720,0.018115,0.018125,0.018165,0.018065,0
binary,FLOKIUSD-OTC,1782567780,0.018115,0.018075,0.018145,0.018065,0
binary,FLOKIUSD-OTC,1782567840,0.018055,0.018075,0.018115,0.018035,0
binary,FLOKIUSD-OTC,1782567900,0.018065,0.017975,0.018085,0.017945,0
binary,FLOKIUSD-OTC,1782567960,0.017975,0.017965,0.018035,0.017925,0
binary,FLOKIUSD-OTC,1782568020,0.017955,0.017905,0.017965,0.017865,0
binary,FLOKIUSD-OTC,1782568080,0.017925,0.017895,0.017965,0.017845,0
binary,FLOKIUSD-OTC,1782568140,0.017895,0.017825,0.017925,0.017825,0
binary,FLOKIUSD-OTC,1782568200,0.017805,0.017735,0.017805,0.017685,0
binary,FLOKIUSD-OTC,1782568260,0.017725,0.017725,0.017765,0.017675,0
binary,FLOKIUSD-OTC,1782568320,0.017725,0.017825,0.017835,0.017705,0
binary,FLOKIUSD-OTC,1782568380,0.017825,0.017795,0.017875,0.017755,0
binary,FLOKIUSD-OTC,1782568440,0.017805,0.017815,0.017835,0.017795,0
binary,FLOKIUSD-OTC,1782568500,0.017805,0.017665,0.017805,0.017635,0
binary,FLOKIUSD-OTC,1782568560,0.017655,0.017695,0.017715,0.017635,0
binary,FLOKIUSD-OTC,1782568620,0.017695,0.017615,0.017695,0.017595,0
binary,FLOKIUSD-OTC,1782568680,0.017625,0.017665,0.017685,0.017585,0
binary,FLOKIUSD-OTC,1782568740,0.017655,0.017675,0.017705,0.017555,0
binary,FLOKIUSD-OTC,1782568800,0.017675,0.017655,0.017715,0.017615,0
binary,FLOKIUSD-OTC,1782568860,0.017645,0.017605,0.017665,0.017585,0
binary,FLOKIUSD-OTC,1782568920,0.017615,0.017595,0.017675,0.017585,0
binary,FLOKIUSD-OTC,1782568980,0.017585,0.017615,0.017645,0.017555,0
binary,FLOKIUSD-OTC,1782569040,0.017605,0.017625,0.017645,0.017585,0
binary,FLOKIUSD-OTC,1782569100,0.017635,0.017655,0.017675,0.017585,0
binary,FLOKIUSD-OTC,1782569160,0.017655,0.017735,0.017755,0.017655,0
binary,FLOKIUSD-OTC,1782569220,0.017745,0.017795,0.017815,0.017725,0
binary,FLOKIUSD-OTC,1782569280,0.017795,0.017915,0.017925,0.017795,0
binary,FLOKIUSD-OTC,1782569340,0.017925,0.017905,0.017945,0.017895,0
binary,FLOKIUSD-OTC,1782569400,0.017905,0.017945,0.017945,0.017815,0
binary,FLOKIUSD-OTC,1782569460,0.017935,0.017875,0.017945,0.017835,0
binary,FLOKIUSD-OTC,1782569520,0.017885,0.017775,0.017885,0.017775,0
binary,FLOKIUSD-OTC,1782569580,0.017785,0.017775,0.017795,0.017725,0
binary,FLOKIUSD-OTC,1782569640,0.017765,0.017655,0.017795,0.017625,0
binary,FLOKIUSD-OTC,1782569700,0.017655,0.017655,0.017685,0.017645,0
binary,FLOKIUSD-OTC,1782569760,0.017665,0.017735,0.017765,0.017645,0
binary,FLOKIUSD-OTC,1782569820,0.017735,0.017765,0.017795,0.017655,0
binary,FLOKIUSD-OTC,1782569880,0.017775,0.017885,0.017885,0.017735,0
binary,FLOKIUSD-OTC,1782569940,0.017885,0.017885,0.017965,0.017875,0
binary,FLOKIUSD-OTC,1782570000,0.017895,0.017975,0.017985,0.017865,0
