tipo,activo,from,open,close,max,min,volume
binary,FWONA-OTC,1784564160,76.3015,76.9135,77.1565,76.2215,0
binary,FWONA-OTC,1784564220,76.8855,76.5495,77.2115,76.4715,0
binary,FWONA-OTC,1784564280,76.5795,77.3815,77.5305,76.5095,0
binary,FWONA-OTC,1784564340,77.3485,77.8165,77.9875,77.2685,0
binary,FWONA-OTC,1784564400,77.7805,77.8575,78.2245,77.3895,0
binary,FWONA-OTC,1784564460,77.8175,77.2505,78.0915,77.1215,0
binary,FWONA-OTC,1784564520,77.2085,76.9855,77.4075,76.6795,0
binary,FWONA-OTC,1784564580,77.0265,77.2855,77.4885,76.7915,0
binary,FWONA-OTC,1784564640,77.2475,76.6595,77.3985,76.2855,0
binary,FWONA-OTC,1784564700,76.6315,76.9395,77.1025,76.3835,0
binary,FWONA-OTC,1784564760,76.9045,78.0325,78.0435,76.7955,0
binary,FWONA-OTC,1784564820,78.1165,78.3505,78.6265,78.0295,0
binary,FWONA-OTC,1784564880,78.3115,79.3795,79.5345,78.0785,0
binary,FWONA-OTC,1784564940,79.3515,79.8285,79.9945,79.3515,0
binary,FWONA-OTC,1784565000,79.8595,79.4045,79.9785,79.1315,0
binary,FWONA-OTC,1784565060,79.3505,79.9155,80.5065,79.2745,0
binary,FWONA-OTC,1784565120,79.9525,79.7085,79.9525,79.3275,0
binary,FWONA-OTC,1784565180,79.7475,79.2275,80.1425,79.0875,0
binary,FWONA-OTC,1784565240,79.2745,79.2465,79.5895,79.1555,0
binary,FWONA-OTC,1784565300,79.2885,79.0505,79.4015,78.6855,0
binary,FWONA-OTC,1784565360,79.0085,79.4195,79.9825,78.8715,0
binary,FWONA-OTC,1784565420,79.4525,79.2605,79.4525,78.2845,0
binary,FWONA-OTC,1784565480,79.2995,78.3655,79.2995,78.3655,0
binary,FWONA-OTC,1784565540,78.3375,77.8385,78.6145,77.7225,0
binary,FWONA-OTC,1784565600,77.8685,78.1485,78.5395,77.5985,0
binary,FWONA-OTC,1784565660,78.1775,78.1355,78.7965,78.0585,0
