tipo,activo,from,open,close,max,min,volume
binary,GBPCAD-OTC,1782036360,1.871185,1.870975,1.871445,1.869795,0
binary,GBPCAD-OTC,1782036420,1.871015,1.869095,1.871745,1.869095,0
binary,GBPCAD-OTC,1782036480,1.869175,1.867375,1.869585,1.866475,0
binary,GBPCAD-OTC,1782036540,1.867335,1.868855,1.869015,1.866525,0
binary,GBPCAD-OTC,1782036600,1.868945,1.867415,1.869005,1.865515,0
binary,GBPCAD-OTC,1782036660,1.867705,1.869515,1.870255,1.867475,0
binary,GBPCAD-OTC,1782036720,1.869545,1.869795,1.869795,1.868365,0
binary,GBPCAD-OTC,1782036780,1.869495,1.868965,1.870595,1.868875,0
binary,GBPCAD-OTC,1782036840,1.868815,1.870395,1.871125,1.868695,0
binary,GBPCAD-OTC,1782036900,1.870485,1.869735,1.871245,1.868605,0
binary,GBPCAD-OTC,1782036960,1.869625,1.864765,1.869775,1.864565,0
binary,GBPCAD-OTC,1782037020,1.864625,1.864565,1.866455,1.864365,0
binary,GBPCAD-OTC,1782037080,1.864435,1.865415,1.865875,1.864335,0
binary,GBPCAD-OTC,1782037140,1.865385,1.862115,1.865985,1.861745,0
binary,GBPCAD-OTC,1782037200,1.862045,1.858895,1.862775,1.857925,0
binary,GBPCAD-OTC,1782037260,1.858855,1.860185,1.861115,1.858535,0
binary,GBPCAD-OTC,1782037320,1.860315,1.861835,1.863345,1.860185,0
binary,GBPCAD-OTC,1782037380,1.861725,1.860695,1.862045,1.860055,0
binary,GBPCAD-OTC,1782037440,1.860735,1.858935,1.861555,1.857555,0
binary,GBPCAD-OTC,1782037500,1.859075,1.858905,1.860355,1.858695,0
binary,GBPCAD-OTC,1782037560,1.858965,1.861315,1.862295,1.858675,0
binary,GBPCAD-OTC,1782037620,1.861435,1.861265,1.862335,1.860705,0
binary,GBPCAD-OTC,1782037680,1.861425,1.863285,1.863895,1.861305,0
binary,GBPCAD-OTC,1782037740,1.863195,1.862955,1.864475,1.862605,0
binary,GBPCAD-OTC,1782037800,1.862845,1.861445,1.862905,1.859705,0
binary,GBPCAD-OTC,1782037860,1.861595,1.860815,1.864975,1.860815,0
binary,GBPCAD-OTC,1782037920,1.860885,1.860155,1.862325,1.860005,0
binary,GBPCAD-OTC,1782037980,1.860305,1.859485,1.860675,1.858345,0
binary,GBPCAD-OTC,1782038040,1.859395,1.855425,1.859735,1.855285,0
binary,GBPCAD-OTC,1782038100,1.855395,1.856585,1.857395,1.855395,0
binary,GBPCAD-OTC,1782038160,1.856475,1.855865,1.857425,1.855155,0
binary,GBPCAD-OTC,1782038220,1.855905,1.859015,1.859345,1.855585,0
binary,GBPCAD-OTC,1782038280,1.859255,1.859635,1.860365,1.858035,0
binary,GBPCAD-OTC,1782038340,1.859525,1.858745,1.860245,1.858175,0
binary,GBPCAD-OTC,1782038400,1.858645,1.855855,1.859495,1.855725,0
binary,GBPCAD-OTC,1782038460,1.855775,1.852995,1.856355,1.852675,0
binary,GBPCAD-OTC,1782038520,1.853135,1.851635,1.853645,1.850115,0
binary,GBPCAD-OTC,1782038580,1.851525,1.852935,1.853675,1.851335,0
binary,GBPCAD-OTC,1782038640,1.853225,1.855015,1.855975,1.853225,0
binary,GBPCAD-OTC,1782038700,1.854965,1.853355,1.856125,1.852845,0
binary,GBPCAD-OTC,1782038760,1.853235,1.850015,1.853925,1.850015,0
binary,GBPCAD-OTC,1782038820,1.850085,1.850925,1.850925,1.848405,0
binary,GBPCAD-OTC,1782038880,1.850965,1.851575,1.851915,1.849665,0
binary,GBPCAD-OTC,1782038940,1.851635,1.853555,1.854085,1.851635,0
binary,GBPCAD-OTC,1782039000,1.853485,1.850805,1.854415,1.850805,0
binary,GBPCAD-OTC,1782039060,1.850735,1.850145,1.851065,1.848375,0
