tipo,activo,from,open,close,max,min,volume
binary,GBPCHF-OTC,1782510480,1.075785,1.075485,1.075915,1.075385,0
binary,GBPCHF-OTC,1782510540,1.075505,1.075505,1.075885,1.075365,0
binary,GBPCHF-OTC,1782510600,1.075565,1.075875,1.076155,1.075565,0
binary,GBPCHF-OTC,1782510660,1.075875,1.076305,1.076305,1.075805,0
binary,GBPCHF-OTC,1782510720,1.076365,1.076255,1.076685,1.076255,0
binary,GBPCHF-OTC,1782510780,1.076265,1.076415,1.076835,1.076235,0
binary,GBPCHF-OTC,1782510840,1.076395,1.076385,1.076855,1.076385,0
binary,GBPCHF-OTC,1782510900,1.076395,1.076235,1.076735,1.076215,0
binary,GBPCHF-OTC,1782510960,1.076205,1.076035,1.076405,1.075835,0
binary,GBPCHF-OTC,1782511020,1.076055,1.076705,1.076815,1.076055,0
binary,GBPCHF-OTC,1782511080,1.076715,1.076385,1.076855,1.076385,0
binary,GBPCHF-OTC,1782511140,1.076395,1.076935,1.076995,1.076195,0
binary,GBPCHF-OTC,1782511200,1.076915,1.076205,1.076935,1.076035,0
binary,GBPCHF-OTC,1782511260,1.076195,1.076315,1.076605,1.076185,0
binary,GBPCHF-OTC,1782511320,1.076295,1.076055,1.076605,1.075995,0
binary,GBPCHF-OTC,1782511380,1.076025,1.075925,1.076215,1.075885,0
binary,GBPCHF-OTC,1782511440,1.075855,1.075855,1.075975,1.075565,0
binary,GBPCHF-OTC,1782511500,1.075805,1.075905,1.076055,1.075525,0
binary,GBPCHF-OTC,1782511560,1.075955,1.075415,1.075955,1.075295,0
binary,GBPCHF-OTC,1782511620,1.075365,1.074675,1.075395,1.074565,0
binary,GBPCHF-OTC,1782511680,1.074685,1.074465,1.075015,1.074455,0
binary,GBPCHF-OTC,1782511740,1.074445,1.074805,1.074845,1.074325,0
binary,GBPCHF-OTC,1782511800,1.074795,1.074645,1.075085,1.074585,0
binary,GBPCHF-OTC,1782511860,1.074625,1.074545,1.074645,1.074395,0
binary,GBPCHF-OTC,1782511920,1.074575,1.074285,1.075005,1.074285,0
binary,GBPCHF-OTC,1782511980,1.074265,1.074925,1.074925,1.074265,0
binary,GBPCHF-OTC,1782512040,1.074845,1.075555,1.075595,1.074845,0
binary,GBPCHF-OTC,1782512100,1.075645,1.075995,1.076185,1.075555,0
binary,GBPCHF-OTC,1782512160,1.076015,1.075635,1.076225,1.075545,0
binary,GBPCHF-OTC,1782512220,1.075625,1.075585,1.076025,1.075525,0
binary,GBPCHF-OTC,1782512280,1.075505,1.075235,1.075645,1.075175,0
binary,GBPCHF-OTC,1782512340,1.075225,1.074135,1.075415,1.074125,0
binary,GBPCHF-OTC,1782512400,1.074145,1.073975,1.074385,1.073945,0
binary,GBPCHF-OTC,1782512460,1.073985,1.073495,1.074325,1.073495,0
binary,GBPCHF-OTC,1782512520,1.073485,1.072595,1.073645,1.072555,0
binary,GBPCHF-OTC,1782512580,1.072605,1.073475,1.073525,1.072535,0
binary,GBPCHF-OTC,1782512640,1.073515,1.073555,1.073875,1.073235,0
binary,GBPCHF-OTC,1782512700,1.073545,1.073145,1.073705,1.073025,0
binary,GBPCHF-OTC,1782512760,1.073115,1.072775,1.073335,1.072775,0
binary,GBPCHF-OTC,1782512820,1.072765,1.073105,1.073175,1.072635,0
binary,GBPCHF-OTC,1782512880,1.073135,1.073615,1.073995,1.073005,0
binary,GBPCHF-OTC,1782512940,1.073605,1.072895,1.073615,1.072845,0
binary,GBPCHF-OTC,1782513000,1.072935,1.073005,1.073185,1.072625,0
binary,GBPCHF-OTC,1782513060,1.072995,1.072855,1.073335,1.072805,0
binary,GBPCHF-OTC,1782513120,1.072865,1.072785,1.072955,1.072425,0
binary,GBPCHF-OTC,1782513180,1.072815,1.072755,1.072845,1.072375,0
binary,GBPCHF-OTC,1782513240,1.072765,1.072965,1.073225,1.072705,0
binary,GBPCHF-OTC,1782513300,1.072945,1.072715,1.072945,1.072555,0
binary,GBPCHF-OTC,1782513360,1.072705,1.072565,1.072855,1.072425,0
binary,GBPCHF-OTC,1782513420,1.072555,1.071685,1.072565,1.071685,0
binary,GBPCHF-OTC,1782513480,1.071695,1.072335,1.072355,1.071615,0
binary,GBPCHF-OTC,1782513540,1.072285,1.072195,1.072415,1.072135,0
binary,GBPCHF-OTC,1782513600,1.072145,1.071785,1.072355,1.071705,0
