tipo,activo,from,open,close,max,min,volume
binary,GBPUSD-OTC,1782511140,1.340035,1.339875,1.340065,1.339725,0
binary,GBPUSD-OTC,1782511200,1.339885,1.340255,1.340295,1.339745,0
binary,GBPUSD-OTC,1782511260,1.340265,1.339745,1.340335,1.339595,0
binary,GBPUSD-OTC,1782511320,1.339795,1.340095,1.340385,1.339605,0
binary,GBPUSD-OTC,1782511380,1.340065,1.340365,1.340455,1.340065,0
binary,GBPUSD-OTC,1782511440,1.340385,1.340705,1.340825,1.340385,0
binary,GBPUSD-OTC,1782511500,1.340745,1.340835,1.341145,1.340485,0
binary,GBPUSD-OTC,1782511560,1.340825,1.341105,1.341105,1.340735,0
binary,GBPUSD-OTC,1782511620,1.341095,1.341195,1.341485,1.340905,0
binary,GBPUSD-OTC,1782511680,1.341215,1.341355,1.341465,1.340975,0
binary,GBPUSD-OTC,1782511740,1.341345,1.341575,1.341745,1.341265,0
binary,GBPUSD-OTC,1782511800,1.341585,1.340755,1.341585,1.340725,0
binary,GBPUSD-OTC,1782511860,1.340735,1.340675,1.340865,1.340505,0
binary,GBPUSD-OTC,1782511920,1.340665,1.341065,1.341215,1.340665,0
binary,GBPUSD-OTC,1782511980,1.341055,1.340835,1.341075,1.340635,0
binary,GBPUSD-OTC,1782512040,1.340825,1.340835,1.341045,1.340765,0
binary,GBPUSD-OTC,1782512100,1.340845,1.340775,1.340905,1.340495,0
binary,GBPUSD-OTC,1782512160,1.340755,1.340955,1.341385,1.340705,0
binary,GBPUSD-OTC,1782512220,1.340985,1.341465,1.341615,1.340975,0
binary,GBPUSD-OTC,1782512280,1.341435,1.341215,1.341495,1.340995,0
binary,GBPUSD-OTC,1782512340,1.341205,1.340895,1.341245,1.340895,0
binary,GBPUSD-OTC,1782512400,1.340835,1.340595,1.341005,1.340585,0
binary,GBPUSD-OTC,1782512460,1.340615,1.340775,1.340905,1.340435,0
binary,GBPUSD-OTC,1782512520,1.340735,1.340695,1.340755,1.340485,0
binary,GBPUSD-OTC,1782512580,1.340705,1.340095,1.340805,1.340025,0
binary,GBPUSD-OTC,1782512640,1.340115,1.340005,1.340235,1.339835,0
binary,GBPUSD-OTC,1782512700,1.340015,1.340415,1.340445,1.339905,0
binary,GBPUSD-OTC,1782512760,1.340465,1.340345,1.340565,1.340105,0
binary,GBPUSD-OTC,1782512820,1.340355,1.340245,1.340445,1.340215,0
binary,GBPUSD-OTC,1782512880,1.340235,1.339515,1.340275,1.339515,0
binary,GBPUSD-OTC,1782512940,1.339565,1.339435,1.339715,1.339375,0
binary,GBPUSD-OTC,1782513000,1.339465,1.339915,1.340085,1.339385,0
binary,GBPUSD-OTC,1782513060,1.339895,1.339755,1.340245,1.339755,0
binary,GBPUSD-OTC,1782513120,1.339745,1.339585,1.339945,1.339405,0
binary,GBPUSD-OTC,1782513180,1.339575,1.339605,1.339895,1.339495,0
binary,GBPUSD-OTC,1782513240,1.339585,1.339505,1.339665,1.339275,0
binary,GBPUSD-OTC,1782513300,1.339465,1.339775,1.339865,1.339425,0
binary,GBPUSD-OTC,1782513360,1.339785,1.340205,1.340225,1.339775,0
binary,GBPUSD-OTC,1782513420,1.340215,1.340655,1.340715,1.340165,0
binary,GBPUSD-OTC,1782513480,1.340715,1.340315,1.340855,1.340065,0
binary,GBPUSD-OTC,1782513540,1.340325,1.340565,1.340965,1.340305,0
binary,GBPUSD-OTC,1782513600,1.340525,1.339765,1.340605,1.339675,0
binary,GBPUSD-OTC,1782513660,1.339775,1.340025,1.340325,1.339755,0
binary,GBPUSD-OTC,1782513720,1.340015,1.340615,1.340625,1.339845,0
binary,GBPUSD-OTC,1782513780,1.340605,1.340465,1.340895,1.340455,0
binary,GBPUSD-OTC,1782513840,1.340455,1.340795,1.340815,1.340345,0
binary,GBPUSD-OTC,1782513900,1.340805,1.340635,1.340885,1.340315,0
binary,GBPUSD-OTC,1782513960,1.340645,1.340905,1.340995,1.340635,0
binary,GBPUSD-OTC,1782514020,1.340935,1.340435,1.340995,1.340355,0
binary,GBPUSD-OTC,1782514080,1.340425,1.340525,1.340595,1.340285,0
binary,GBPUSD-OTC,1782514140,1.340515,1.340605,1.340945,1.340505,0
binary,GBPUSD-OTC,1782514200,1.340595,1.340415,1.340675,1.340395,0
binary,GBPUSD-OTC,1782514260,1.340425,1.340175,1.340745,1.340175,0
binary,GBPUSD-OTC,1782514320,1.340155,1.340445,1.340685,1.340125,0
binary,GBPUSD-OTC,1782514380,1.340455,1.340285,1.340635,1.340015,0
binary,GBPUSD-OTC,1782514440,1.340295,1.340095,1.340475,1.340075,0
binary,GBPUSD-OTC,1782514500,1.340065,1.340255,1.340355,1.339995,0
binary,GBPUSD-OTC,1782514560,1.340265,1.340045,1.340545,1.340045,0
binary,GBPUSD-OTC,1782514620,1.339985,1.339795,1.339995,1.339675,0
binary,GBPUSD-OTC,1782514680,1.339795,1.339725,1.339865,1.339345,0
