tipo,activo,from,open,close,max,min,volume
binary,GER30-OTC,1782697260,24311.518315,24328.652945,24330.858915,24311.446515,0
binary,GER30-OTC,1782697320,24328.754725,24307.455125,24328.754725,24303.699765,0
binary,GER30-OTC,1782697380,24307.450655,24301.096855,24310.210365,24300.827445,0
binary,GER30-OTC,1782697440,24301.096045,24297.639615,24301.969835,24292.063125,0
binary,GER30-OTC,1782697500,24297.785885,24310.692455,24313.317465,24297.785885,0
binary,GER30-OTC,1782697560,24310.688965,24324.578485,24325.374165,24307.408525,0
binary,GER30-OTC,1782697620,24324.682885,24319.968225,24332.825305,24314.826985,0
binary,GER30-OTC,1782697680,24319.959585,24330.495905,24333.533955,24319.010315,0
binary,GER30-OTC,1782697740,24330.503245,24344.207535,24344.759435,24325.056365,0
binary,GER30-OTC,1782697800,24344.207105,24341.176035,24347.790215,24336.334075,0
binary,GER30-OTC,1782697860,24341.185735,24335.423745,24349.914125,24331.773705,0
binary,GER30-OTC,1782697920,24337.133665,24324.710125,24338.876145,24324.595725,0
binary,GER30-OTC,1782697980,24324.705525,24331.114665,24341.850485,24317.975315,0
binary,GER30-OTC,1782698040,24331.105965,24341.715485,24344.899245,24330.187175,0
binary,GER30-OTC,1782698100,24342.006755,24352.997465,24357.901095,24341.800345,0
binary,GER30-OTC,1782698160,24352.853755,24353.550995,24358.195395,24348.328345,0
binary,GER30-OTC,1782698220,24353.188525,24346.706925,24353.193965,24338.464125,0
binary,GER30-OTC,1782698280,24346.709355,24332.702005,24349.326325,24328.840455,0
binary,GER30-OTC,1782698340,24332.303045,24337.555455,24347.345105,24332.303045,0
binary,GER30-OTC,1782698400,24336.097405,24320.292095,24337.005345,24319.216315,0
binary,GER30-OTC,1782698460,24320.335695,24305.985335,24322.381275,24301.486565,0
binary,GER30-OTC,1782698520,24305.623805,24317.259775,24320.234205,24300.444985,0
binary,GER30-OTC,1782698580,24318.260665,24322.445175,24322.451105,24312.396315,0
binary,GER30-OTC,1782698640,24322.448405,24304.612065,24323.829935,24300.810595,0
binary,GER30-OTC,1782698700,24304.608985,24308.477085,24316.164605,24298.731235,0
binary,GER30-OTC,1782698760,24308.331675,24312.528305,24313.491445,24303.475925,0
binary,GER30-OTC,1782698820,24311.973215,24310.541535,24318.977885,24304.057805,0
binary,GER30-OTC,1782698880,24310.531585,24325.829635,24326.325085,24307.074885,0
binary,GER30-OTC,1782698940,24325.827795,24318.029905,24327.637705,24317.457395,0
binary,GER30-OTC,1782699000,24317.266455,24323.749775,24327.315455,24311.920425,0
binary,GER30-OTC,1782699060,24323.746685,24320.691015,24324.889905,24312.061265,0
binary,GER30-OTC,1782699120,24320.691895,24314.907815,24322.535365,24309.440295,0
binary,GER30-OTC,1782699180,24316.416795,24325.005085,24327.855245,24313.088105,0
binary,GER30-OTC,1782699240,24325.004495,24336.774375,24338.808265,24324.437515,0
binary,GER30-OTC,1782699300,24333.668985,24338.565325,24340.840045,24327.634885,0
binary,GER30-OTC,1782699360,24338.561325,24343.075525,24343.075525,24330.029395,0
binary,GER30-OTC,1782699420,24341.347845,24335.135735,24341.604675,24322.338835,0
binary,GER30-OTC,1782699480,24335.138255,24326.477325,24339.080025,24323.238235,0
binary,GER30-OTC,1782699540,24326.475995,24320.384995,24327.334495,24316.533275,0
binary,GER30-OTC,1782699600,24320.384245,24310.556845,24324.433995,24307.458835,0
binary,GER30-OTC,1782699660,24310.557765,24313.892075,24315.349365,24304.602065,0
binary,GER30-OTC,1782699720,24313.846255,24313.757695,24319.634895,24309.332655,0
binary,GER30-OTC,1782699780,24313.753125,24306.201225,24316.338375,24302.146505,0
binary,GER30-OTC,1782699840,24305.502415,24314.858995,24320.455075,24305.502415,0
binary,GER30-OTC,1782699900,24314.353775,24311.306555,24315.901045,24307.676275,0
binary,GER30-OTC,1782699960,24311.313165,24300.482285,24313.012295,24295.134495,0
binary,GER30-OTC,1782700020,24299.676435,24298.451105,24315.606295,24294.540575,0
binary,GER30-OTC,1782700080,24298.257935,24305.399215,24306.293645,24289.970975,0
binary,GER30-OTC,1782700140,24303.685725,24289.902285,24303.685725,24288.912375,0
binary,GER30-OTC,1782700200,24290.366145,24292.383445,24297.899815,24289.742945,0
binary,GER30-OTC,1782700260,24292.383695,24285.638515,24293.195715,24282.215265,0
binary,GER30-OTC,1782700320,24285.633475,24281.028625,24287.759335,24281.028625,0
binary,GER30-OTC,1782700380,24280.771565,24257.239415,24280.771565,24255.884735,0
binary,GER30-OTC,1782700440,24256.745405,24254.215245,24265.474885,24252.371155,0
binary,GER30-OTC,1782700500,24254.110705,24251.367405,24258.471765,24241.504155,0
binary,GER30-OTC,1782700560,24250.669215,24251.871425,24253.365625,24239.547385,0
binary,GER30-OTC,1782700620,24251.560715,24252.803325,24259.976655,24250.296965,0
binary,GER30-OTC,1782700680,24252.800805,24252.393425,24259.789095,24249.709495,0
binary,GER30-OTC,1782700740,24252.802465,24246.416245,24257.747355,24246.371255,0
binary,GER30-OTC,1782700800,24247.014965,24246.978975,24250.609745,24241.883255,0
binary,GER30-OTC,1782700860,24246.983765,24247.670635,24250.227185,24239.469225,0
binary,GER30-OTC,1782700920,24247.668605,24256.282215,24259.563735,24247.668605,0
binary,GER30-OTC,1782700980,24256.478825,24253.633315,24260.009865,24248.131045,0
binary,GER30-OTC,1782701040,24253.630955,24263.242705,24266.821145,24252.731745,0
binary,GER30-OTC,1782701100,24262.837595,24245.320265,24263.855335,24245.132835,0
binary,GER30-OTC,1782701160,24245.313675,24197.659625,24248.732855,24195.114755,0
binary,GER30-OTC,1782701220,24198.155615,24185.060305,24199.828885,24178.870285,0
binary,GER30-OTC,1782701280,24185.052845,24178.910455,24185.057565,24174.539895,0
binary,GER30-OTC,1782701340,24179.062025,24165.196355,24181.191725,24161.332475,0
binary,GER30-OTC,1782701400,24165.389295,24156.548925,24169.493645,24153.461055,0
binary,GER30-OTC,1782701460,24156.543555,24153.159105,24159.869985,24147.867565,0
binary,GER30-OTC,1782701520,24153.168755,24147.627365,24161.585705,24147.532275,0
binary,GER30-OTC,1782701580,24147.573965,24136.652645,24155.643675,24136.642735,0
binary,GER30-OTC,1782701640,24136.906595,24122.277215,24140.033195,24122.277215,0
binary,GER30-OTC,1782701700,24120.982505,24125.096985,24127.990455,24117.804925,0
