tipo,activo,from,open,close,max,min,volume
binary,GEV-OTC,1782566760,1141.678095,1138.186645,1141.684915,1136.786095,0
binary,GEV-OTC,1782566820,1138.191525,1144.272585,1144.465045,1138.188395,0
binary,GEV-OTC,1782566880,1144.268445,1146.575145,1147.153505,1144.268445,0
binary,GEV-OTC,1782566940,1146.568645,1151.617225,1151.623205,1146.564735,0
binary,GEV-OTC,1782567000,1151.617435,1150.765465,1152.633725,1150.182175,0
binary,GEV-OTC,1782567060,1150.769965,1151.909075,1152.633875,1150.223395,0
binary,GEV-OTC,1782567120,1151.911015,1156.776735,1156.776795,1150.581205,0
binary,GEV-OTC,1782567180,1156.776435,1154.288285,1157.389415,1153.900985,0
binary,GEV-OTC,1782567240,1154.289755,1154.183625,1155.403765,1152.971955,0
binary,GEV-OTC,1782567300,1154.184025,1153.748575,1155.134715,1153.105525,0
binary,GEV-OTC,1782567360,1153.746765,1155.189095,1156.383775,1153.746765,0
binary,GEV-OTC,1782567420,1155.191035,1155.042135,1155.463695,1152.823055,0
binary,GEV-OTC,1782567480,1155.044325,1156.453655,1156.777695,1153.358635,0
binary,GEV-OTC,1782567540,1156.458265,1155.389845,1157.329945,1152.560045,0
binary,GEV-OTC,1782567600,1155.391385,1156.755705,1157.863565,1155.391175,0
binary,GEV-OTC,1782567660,1156.758695,1154.155945,1156.942465,1153.110875,0
binary,GEV-OTC,1782567720,1154.157945,1148.084185,1154.643855,1148.084185,0
binary,GEV-OTC,1782567780,1148.084345,1144.050395,1148.124775,1144.050395,0
binary,GEV-OTC,1782567840,1144.051695,1142.293355,1144.051695,1141.112055,0
binary,GEV-OTC,1782567900,1142.287515,1143.578475,1146.076255,1142.285275,0
binary,GEV-OTC,1782567960,1143.436645,1146.249895,1146.873625,1142.517975,0
binary,GEV-OTC,1782568020,1146.253345,1142.528325,1146.265215,1141.241745,0
binary,GEV-OTC,1782568080,1142.417645,1142.596655,1143.283845,1141.144045,0
binary,GEV-OTC,1782568140,1142.683705,1146.140235,1146.143475,1142.678545,0
binary,GEV-OTC,1782568200,1146.141055,1145.858615,1147.458595,1145.749645,0
binary,GEV-OTC,1782568260,1145.863325,1148.793005,1149.560845,1145.773095,0
binary,GEV-OTC,1782568320,1148.789605,1146.405885,1148.812875,1146.201615,0
binary,GEV-OTC,1782568380,1146.410015,1146.753005,1148.637095,1146.000875,0
binary,GEV-OTC,1782568440,1146.756655,1148.430675,1149.363415,1146.749415,0
binary,GEV-OTC,1782568500,1148.425515,1147.526735,1149.754005,1146.804395,0
binary,GEV-OTC,1782568560,1147.529895,1153.137145,1154.628655,1147.431185,0
binary,GEV-OTC,1782568620,1153.133145,1155.765825,1155.934705,1152.910725,0
binary,GEV-OTC,1782568680,1155.759935,1153.725735,1156.588825,1152.857385,0
binary,GEV-OTC,1782568740,1153.724795,1150.422935,1154.217515,1150.421115,0
binary,GEV-OTC,1782568800,1150.175895,1145.429715,1150.286235,1145.423105,0
binary,GEV-OTC,1782568860,1145.436135,1147.795375,1148.966325,1144.039285,0
binary,GEV-OTC,1782568920,1147.798165,1150.945615,1151.298785,1147.703455,0
binary,GEV-OTC,1782568980,1150.914885,1150.604905,1151.033345,1147.766315,0
binary,GEV-OTC,1782569040,1150.609455,1144.504825,1152.522485,1144.502995,0
binary,GEV-OTC,1782569100,1144.508335,1141.397175,1144.928755,1141.381595,0
binary,GEV-OTC,1782569160,1141.395045,1143.814435,1143.814435,1141.121465,0
binary,GEV-OTC,1782569220,1143.821415,1146.077375,1146.083265,1143.451245,0
binary,GEV-OTC,1782569280,1146.082505,1146.019665,1146.387205,1144.519045,0
binary,GEV-OTC,1782569340,1146.024885,1147.712015,1147.712015,1145.250335,0
binary,GEV-OTC,1782569400,1147.714005,1146.819665,1147.717005,1144.564975,0
binary,GEV-OTC,1782569460,1146.823615,1147.593575,1148.408235,1146.609855,0
binary,GEV-OTC,1782569520,1147.589875,1148.101295,1149.059105,1147.562635,0
binary,GEV-OTC,1782569580,1148.103345,1146.683115,1148.120255,1145.788425,0
binary,GEV-OTC,1782569640,1146.682615,1148.096435,1149.417465,1146.682105,0
binary,GEV-OTC,1782569700,1148.098255,1144.396035,1148.398025,1144.012625,0
binary,GEV-OTC,1782569760,1144.401025,1146.092895,1146.260725,1142.400915,0
binary,GEV-OTC,1782569820,1146.098965,1147.775065,1148.074875,1145.884185,0
binary,GEV-OTC,1782569880,1147.779625,1150.345055,1152.239815,1147.545235,0
binary,GEV-OTC,1782569940,1150.348275,1150.747145,1151.323875,1148.513795,0
binary,GEV-OTC,1782570000,1150.751895,1151.023985,1151.023985,1148.131005,0
binary,GEV-OTC,1782570060,1151.030555,1153.811775,1155.525865,1150.526825,0
binary,GEV-OTC,1782570120,1153.815985,1153.086865,1153.815985,1151.406855,0
binary,GEV-OTC,1782570180,1153.084525,1150.547315,1153.997925,1150.547315,0
binary,GEV-OTC,1782570240,1150.552245,1149.166895,1153.061505,1149.166895,0
binary,GEV-OTC,1782570300,1149.194925,1148.475175,1149.890605,1147.728965,0
binary,GEV-OTC,1782570360,1148.473165,1141.345035,1148.983195,1141.007155,0
binary,GEV-OTC,1782570420,1141.348525,1146.801555,1146.816135,1141.343425,0
binary,GEV-OTC,1782570480,1146.796415,1145.258845,1147.510075,1143.034995,0
binary,GEV-OTC,1782570540,1145.255655,1141.893335,1145.255655,1141.339695,0
binary,GEV-OTC,1782570600,1141.891645,1142.440135,1144.797955,1141.472905,0
binary,GEV-OTC,1782570660,1142.434505,1141.238115,1143.499205,1140.874945,0
binary,GEV-OTC,1782570720,1141.077535,1141.794615,1142.715395,1139.686945,0
binary,GEV-OTC,1782570780,1141.801455,1142.871935,1143.832465,1141.373465,0
binary,GEV-OTC,1782570840,1142.877625,1143.489805,1145.252585,1141.728255,0
binary,GEV-OTC,1782570900,1143.267475,1145.187225,1145.549595,1142.780745,0
binary,GEV-OTC,1782570960,1145.187215,1143.180415,1146.450315,1143.115885,0
binary,GEV-OTC,1782571020,1143.175465,1142.462555,1143.678365,1141.503255,0
binary,GEV-OTC,1782571080,1142.467705,1138.751365,1142.481245,1137.748805,0
binary,GEV-OTC,1782571140,1138.344455,1137.891025,1139.526775,1137.887725,0
binary,GEV-OTC,1782571200,1137.891335,1138.174425,1138.345825,1136.285135,0
binary,GEV-OTC,1782571260,1138.167885,1141.464765,1142.262985,1138.167885,0
binary,GEV-OTC,1782571320,1141.460775,1140.684165,1141.460775,1139.477095,0
binary,GEV-OTC,1782571380,1140.678155,1140.962305,1141.792905,1139.313915,0
binary,GEV-OTC,1782571440,1141.011185,1138.483335,1141.022415,1138.483335,0
binary,GEV-OTC,1782571500,1138.483195,1135.355935,1139.026245,1134.851605,0
binary,GEV-OTC,1782571560,1135.357345,1134.662035,1136.125965,1134.002555,0
binary,GEV-OTC,1782571620,1134.659795,1134.764635,1136.556145,1133.744375,0
binary,GEV-OTC,1782571680,1134.764195,1135.046245,1137.525015,1133.857735,0
binary,GEV-OTC,1782571740,1135.042205,1135.951345,1136.461595,1133.544665,0
binary,GEV-OTC,1782571800,1135.948725,1137.754325,1137.754325,1134.268285,0
binary,GEV-OTC,1782571860,1137.758355,1141.424265,1143.002985,1136.616705,0
binary,GEV-OTC,1782571920,1141.428045,1141.950095,1141.950095,1139.689555,0
binary,GEV-OTC,1782571980,1141.955395,1141.638665,1143.072285,1141.144905,0
binary,GEV-OTC,1782572040,1141.631765,1140.109925,1142.238535,1140.073585,0
binary,GEV-OTC,1782572100,1140.106255,1139.718775,1140.344395,1138.985895,0
binary,GEV-OTC,1782572160,1139.723775,1143.896535,1143.896535,1139.370395,0
binary,GEV-OTC,1782572220,1144.603785,1146.177605,1146.752235,1141.972185,0
binary,GEV-OTC,1782572280,1146.182675,1148.035885,1148.350995,1143.557405,0
binary,GEV-OTC,1782572340,1148.029875,1147.005125,1148.770745,1145.641885,0
binary,GEV-OTC,1782572400,1147.011835,1145.990295,1148.830185,1145.909565,0
binary,GEV-OTC,1782572460,1145.987695,1146.285355,1147.690115,1144.611085,0
binary,GEV-OTC,1782572520,1146.280645,1147.463095,1149.190405,1146.024925,0
binary,GEV-OTC,1782572580,1147.468055,1146.326215,1147.704105,1145.624225,0
binary,GEV-OTC,1782572640,1146.321705,1146.258875,1147.704365,1146.115985,0
binary,GEV-OTC,1782572700,1146.268565,1144.376235,1146.678575,1142.468055,0
