tipo,activo,from,open,close,max,min,volume
binary,GOOGLE-OTC,1782036000,387.812855,388.017825,388.628925,387.650235,0
binary,GOOGLE-OTC,1782036060,388.017435,388.481995,388.832895,387.859465,0
binary,GOOGLE-OTC,1782036120,388.465055,389.121605,389.601795,388.430335,0
binary,GOOGLE-OTC,1782036180,389.169825,388.702325,389.974385,388.586955,0
binary,GOOGLE-OTC,1782036240,388.658585,388.841305,389.587335,388.657045,0
binary,GOOGLE-OTC,1782036300,388.854655,388.105615,389.010075,388.081885,0
binary,GOOGLE-OTC,1782036360,388.140675,387.698955,388.140675,387.448555,0
binary,GOOGLE-OTC,1782036420,387.698445,387.556165,387.904835,387.291065,0
binary,GOOGLE-OTC,1782036480,387.537575,387.690835,387.974105,387.127695,0
binary,GOOGLE-OTC,1782036540,387.644285,386.079655,387.644285,385.979225,0
binary,GOOGLE-OTC,1782036600,386.054175,386.141145,386.239545,385.471325,0
binary,GOOGLE-OTC,1782036660,385.994405,385.046215,386.100875,384.779615,0
binary,GOOGLE-OTC,1782036720,385.057015,385.889095,385.889095,384.601955,0
binary,GOOGLE-OTC,1782036780,385.844605,385.143365,385.961385,384.975175,0
binary,GOOGLE-OTC,1782036840,385.154425,386.199065,386.467085,385.031305,0
binary,GOOGLE-OTC,1782036900,386.198685,386.283975,386.844855,386.145135,0
binary,GOOGLE-OTC,1782036960,386.279535,385.900655,386.289485,385.627205,0
binary,GOOGLE-OTC,1782037020,385.862985,384.664525,385.862985,384.265125,0
binary,GOOGLE-OTC,1782037080,384.656625,383.345435,384.794685,383.110345,0
binary,GOOGLE-OTC,1782037140,383.352995,383.601685,384.371625,383.060985,0
binary,GOOGLE-OTC,1782037200,383.516675,383.869555,383.987005,383.336475,0
binary,GOOGLE-OTC,1782037260,383.955725,384.803955,384.807215,383.683365,0
binary,GOOGLE-OTC,1782037320,384.776955,384.365215,384.776955,383.733915,0
binary,GOOGLE-OTC,1782037380,384.362065,384.390165,384.791705,384.244235,0
binary,GOOGLE-OTC,1782037440,384.404315,384.042775,384.609505,383.805895,0
binary,GOOGLE-OTC,1782037500,384.039855,383.469925,384.208655,383.327385,0
binary,GOOGLE-OTC,1782037560,383.466525,382.413005,384.550725,382.413005,0
binary,GOOGLE-OTC,1782037620,382.362745,383.216755,383.314895,382.210605,0
binary,GOOGLE-OTC,1782037680,383.209805,382.221165,383.209805,382.042835,0
binary,GOOGLE-OTC,1782037740,382.196695,382.583715,382.947145,382.069045,0
binary,GOOGLE-OTC,1782037800,382.624285,383.216145,383.231615,382.194605,0
binary,GOOGLE-OTC,1782037860,383.285995,382.583005,383.459355,382.582385,0
binary,GOOGLE-OTC,1782037920,382.638785,383.298135,383.310355,382.359345,0
binary,GOOGLE-OTC,1782037980,383.300845,382.674325,383.450245,382.204875,0
binary,GOOGLE-OTC,1782038040,382.715995,382.672465,383.257305,382.578785,0
binary,GOOGLE-OTC,1782038100,382.593965,382.486155,382.668555,381.970005,0
binary,GOOGLE-OTC,1782038160,382.406255,382.919395,382.981485,382.363265,0
binary,GOOGLE-OTC,1782038220,382.932225,381.400085,383.000425,381.220255,0
binary,GOOGLE-OTC,1782038280,381.367215,381.750885,381.806175,380.801505,0
binary,GOOGLE-OTC,1782038340,381.757895,382.890955,382.898105,381.728015,0
binary,GOOGLE-OTC,1782038400,382.933165,383.012925,383.438435,382.556335,0
binary,GOOGLE-OTC,1782038460,383.007445,383.398045,383.465315,382.653785,0
binary,GOOGLE-OTC,1782038520,383.412265,382.814135,383.762655,382.573685,0
binary,GOOGLE-OTC,1782038580,382.772685,382.723905,382.841755,381.801375,0
binary,GOOGLE-OTC,1782038640,382.729635,383.023215,383.228685,382.632705,0
binary,GOOGLE-OTC,1782038700,383.020385,382.018665,383.486605,381.952695,0
binary,GOOGLE-OTC,1782038760,382.030315,382.251855,382.500445,381.851425,0
binary,GOOGLE-OTC,1782038820,382.220185,383.590015,383.686855,381.959485,0
binary,GOOGLE-OTC,1782038880,383.574065,382.896935,383.605075,382.702595,0
binary,GOOGLE-OTC,1782038940,382.916495,382.072375,383.309235,382.072375,0
binary,GOOGLE-OTC,1782039000,382.049835,381.960855,382.108065,381.445365,0
binary,GOOGLE-OTC,1782039060,381.903375,382.612315,382.829825,381.809015,0
binary,GOOGLE-OTC,1782039120,382.610775,382.911845,383.043565,382.443335,0
binary,GOOGLE-OTC,1782039180,382.884535,382.899065,382.947365,382.106335,0
binary,GOOGLE-OTC,1782039240,382.928415,382.382535,382.929955,382.000755,0
binary,GOOGLE-OTC,1782039300,382.311735,381.862925,382.785715,381.718985,0
binary,GOOGLE-OTC,1782039360,381.879715,382.437665,383.195375,381.879715,0
binary,GOOGLE-OTC,1782039420,382.520305,383.804155,383.874185,382.359835,0
binary,GOOGLE-OTC,1782039480,383.811965,384.249235,384.603925,383.587045,0
binary,GOOGLE-OTC,1782039540,384.288185,384.387735,384.496075,383.465315,0
binary,GOOGLE-OTC,1782039600,384.399115,384.396785,384.740405,383.967325,0
binary,GOOGLE-OTC,1782039660,384.452485,383.926945,385.227735,383.860345,0
binary,GOOGLE-OTC,1782039720,383.920585,383.444625,383.924445,383.014775,0
binary,GOOGLE-OTC,1782039780,383.360515,383.020885,383.480115,382.752935,0
binary,GOOGLE-OTC,1782039840,383.053665,384.227695,384.248475,383.010535,0
binary,GOOGLE-OTC,1782039900,384.238645,383.683805,384.523945,383.615215,0
binary,GOOGLE-OTC,1782039960,383.798425,382.220345,383.799425,382.220345,0
