tipo,activo,from,open,close,max,min,volume
binary,GRTUSD-OTC,1782697260,0.016125,0.016115,0.016215,0.016115,0
binary,GRTUSD-OTC,1782697320,0.016105,0.016085,0.016115,0.016005,0
binary,GRTUSD-OTC,1782697380,0.016085,0.016095,0.016145,0.016065,0
binary,GRTUSD-OTC,1782697440,0.016085,0.016185,0.016185,0.016085,0
binary,GRTUSD-OTC,1782697500,0.016195,0.016155,0.016205,0.016065,0
binary,GRTUSD-OTC,1782697560,0.016165,0.015985,0.016185,0.015985,0
binary,GRTUSD-OTC,1782697620,0.015975,0.015925,0.016025,0.015895,0
binary,GRTUSD-OTC,1782697680,0.015915,0.016055,0.016065,0.015915,0
binary,GRTUSD-OTC,1782697740,0.016045,0.015965,0.016075,0.015915,0
binary,GRTUSD-OTC,1782697800,0.015975,0.015995,0.016055,0.015965,0
binary,GRTUSD-OTC,1782697860,0.015985,0.015815,0.015985,0.015815,0
binary,GRTUSD-OTC,1782697920,0.015805,0.015955,0.015985,0.015805,0
binary,GRTUSD-OTC,1782697980,0.015965,0.016115,0.016115,0.015955,0
binary,GRTUSD-OTC,1782698040,0.016105,0.016135,0.016195,0.016105,0
binary,GRTUSD-OTC,1782698100,0.016135,0.016175,0.016215,0.016125,0
binary,GRTUSD-OTC,1782698160,0.016165,0.016165,0.016175,0.016065,0
binary,GRTUSD-OTC,1782698220,0.016145,0.016065,0.016185,0.016065,0
binary,GRTUSD-OTC,1782698280,0.016065,0.016165,0.016165,0.016065,0
binary,GRTUSD-OTC,1782698340,0.016155,0.016125,0.016175,0.016085,0
binary,GRTUSD-OTC,1782698400,0.016115,0.016175,0.016195,0.016095,0
binary,GRTUSD-OTC,1782698460,0.016165,0.016085,0.016205,0.016035,0
binary,GRTUSD-OTC,1782698520,0.016105,0.016125,0.016135,0.016035,0
binary,GRTUSD-OTC,1782698580,0.016145,0.016205,0.016325,0.016145,0
binary,GRTUSD-OTC,1782698640,0.016195,0.016255,0.016255,0.016175,0
binary,GRTUSD-OTC,1782698700,0.016245,0.016185,0.016265,0.016175,0
binary,GRTUSD-OTC,1782698760,0.016175,0.016195,0.016215,0.016105,0
binary,GRTUSD-OTC,1782698820,0.016185,0.016275,0.016275,0.016165,0
binary,GRTUSD-OTC,1782698880,0.016285,0.016285,0.016385,0.016255,0
binary,GRTUSD-OTC,1782698940,0.016285,0.016265,0.016395,0.016255,0
binary,GRTUSD-OTC,1782699000,0.016255,0.016195,0.016295,0.016185,0
binary,GRTUSD-OTC,1782699060,0.016205,0.016165,0.016225,0.016155,0
binary,GRTUSD-OTC,1782699120,0.016165,0.016085,0.016175,0.016065,0
binary,GRTUSD-OTC,1782699180,0.016095,0.016035,0.016095,0.015995,0
binary,GRTUSD-OTC,1782699240,0.016045,0.016045,0.016075,0.015995,0
binary,GRTUSD-OTC,1782699300,0.016055,0.016015,0.016075,0.015995,0
binary,GRTUSD-OTC,1782699360,0.016025,0.015975,0.016035,0.015945,0
binary,GRTUSD-OTC,1782699420,0.015965,0.015935,0.015975,0.015905,0
binary,GRTUSD-OTC,1782699480,0.015925,0.015835,0.015955,0.015825,0
binary,GRTUSD-OTC,1782699540,0.015845,0.015935,0.015995,0.015825,0
binary,GRTUSD-OTC,1782699600,0.015925,0.015835,0.015935,0.015825,0
binary,GRTUSD-OTC,1782699660,0.015835,0.015965,0.015965,0.015835,0
binary,GRTUSD-OTC,1782699720,0.015955,0.015905,0.015975,0.015895,0
binary,GRTUSD-OTC,1782699780,0.015895,0.015835,0.015895,0.015775,0
binary,GRTUSD-OTC,1782699840,0.015835,0.016005,0.016015,0.015835,0
binary,GRTUSD-OTC,1782699900,0.016015,0.016045,0.016095,0.015995,0
binary,GRTUSD-OTC,1782699960,0.016045,0.016075,0.016125,0.016035,0
binary,GRTUSD-OTC,1782700020,0.016085,0.016195,0.016205,0.016055,0
binary,GRTUSD-OTC,1782700080,0.016205,0.016165,0.016215,0.016145,0
binary,GRTUSD-OTC,1782700140,0.016155,0.016305,0.016305,0.016155,0
binary,GRTUSD-OTC,1782700200,0.016295,0.016315,0.016345,0.016245,0
binary,GRTUSD-OTC,1782700260,0.016325,0.016315,0.016355,0.016285,0
binary,GRTUSD-OTC,1782700320,0.016305,0.016295,0.016405,0.016295,0
binary,GRTUSD-OTC,1782700380,0.016285,0.016235,0.016345,0.016225,0
binary,GRTUSD-OTC,1782700440,0.016235,0.016285,0.016295,0.016185,0
binary,GRTUSD-OTC,1782700500,0.016295,0.016215,0.016295,0.016165,0
binary,GRTUSD-OTC,1782700560,0.016205,0.016165,0.016225,0.016135,0
binary,GRTUSD-OTC,1782700620,0.016165,0.016145,0.016215,0.016095,0
binary,GRTUSD-OTC,1782700680,0.016155,0.016295,0.016305,0.016135,0
binary,GRTUSD-OTC,1782700740,0.016285,0.016345,0.016345,0.016225,0
binary,GRTUSD-OTC,1782700800,0.016335,0.016375,0.016385,0.016295,0
binary,GRTUSD-OTC,1782700860,0.016375,0.016315,0.016395,0.016255,0
binary,GRTUSD-OTC,1782700920,0.016305,0.016215,0.016325,0.016215,0
binary,GRTUSD-OTC,1782700980,0.016205,0.016165,0.016225,0.016155,0
binary,GRTUSD-OTC,1782701040,0.016175,0.016045,0.016225,0.016035,0
binary,GRTUSD-OTC,1782701100,0.016045,0.016035,0.016105,0.015975,0
binary,GRTUSD-OTC,1782701160,0.016045,0.016225,0.016245,0.016025,0
binary,GRTUSD-OTC,1782701220,0.016235,0.016245,0.016275,0.016205,0
binary,GRTUSD-OTC,1782701280,0.016235,0.016085,0.016245,0.016075,0
binary,GRTUSD-OTC,1782701340,0.016065,0.015985,0.016075,0.015965,0
binary,GRTUSD-OTC,1782701400,0.015975,0.015975,0.016045,0.015965,0
binary,GRTUSD-OTC,1782701460,0.015995,0.016005,0.016035,0.015955,0
binary,GRTUSD-OTC,1782701520,0.015995,0.016025,0.016035,0.015965,0
binary,GRTUSD-OTC,1782701580,0.016015,0.015945,0.016015,0.015905,0
binary,GRTUSD-OTC,1782701640,0.015955,0.015855,0.016005,0.015855,0
binary,GRTUSD-OTC,1782701700,0.015845,0.015975,0.015985,0.015825,0
binary,GRTUSD-OTC,1782701760,0.015995,0.016005,0.016045,0.015975,0
binary,GRTUSD-OTC,1782701820,0.016025,0.015955,0.016025,0.015915,0
binary,GRTUSD-OTC,1782701880,0.015955,0.016055,0.016075,0.015955,0
binary,GRTUSD-OTC,1782701940,0.016065,0.016095,0.016125,0.016025,0
binary,GRTUSD-OTC,1782702000,0.016095,0.016025,0.016095,0.015975,0
binary,GRTUSD-OTC,1782702060,0.016035,0.016185,0.016225,0.016025,0
binary,GRTUSD-OTC,1782702120,0.016175,0.016055,0.016215,0.016055,0
binary,GRTUSD-OTC,1782702180,0.016045,0.016035,0.016075,0.015955,0
binary,GRTUSD-OTC,1782702240,0.016045,0.016145,0.016175,0.016035,0
binary,GRTUSD-OTC,1782702300,0.016135,0.016065,0.016165,0.016025,0
binary,GRTUSD-OTC,1782702360,0.016065,0.016045,0.016095,0.015995,0
binary,GRTUSD-OTC,1782702420,0.016045,0.015955,0.016045,0.015925,0
binary,GRTUSD-OTC,1782702480,0.015945,0.015855,0.015965,0.015855,0
binary,GRTUSD-OTC,1782702540,0.015855,0.015845,0.015885,0.015785,0
binary,GRTUSD-OTC,1782702600,0.015855,0.015955,0.015995,0.015845,0
binary,GRTUSD-OTC,1782702660,0.015955,0.016005,0.016005,0.015925,0
binary,GRTUSD-OTC,1782702720,0.016005,0.016045,0.016055,0.015975,0
binary,GRTUSD-OTC,1782702780,0.016055,0.016195,0.016215,0.016045,0
binary,GRTUSD-OTC,1782702840,0.016185,0.016255,0.016285,0.016185,0
binary,GRTUSD-OTC,1782702900,0.016265,0.016215,0.016265,0.016115,0
binary,GRTUSD-OTC,1782702960,0.016215,0.016145,0.016235,0.016105,0
binary,GRTUSD-OTC,1782703020,0.016135,0.016195,0.016235,0.016135,0
binary,GRTUSD-OTC,1782703080,0.016195,0.016265,0.016285,0.016185,0
binary,GRTUSD-OTC,1782703140,0.016255,0.016235,0.016255,0.016195,0
binary,GRTUSD-OTC,1782703200,0.016225,0.016185,0.016265,0.016165,0
binary,GRTUSD-OTC,1782703260,0.016195,0.016185,0.016245,0.016165,0
binary,GRTUSD-OTC,1782703320,0.016195,0.016305,0.016315,0.016185,0
binary,GRTUSD-OTC,1782703380,0.016295,0.016305,0.016335,0.016275,0
binary,GRTUSD-OTC,1782703440,0.016315,0.016245,0.016325,0.016235,0
binary,GRTUSD-OTC,1782703500,0.016235,0.016215,0.016265,0.016155,0
binary,GRTUSD-OTC,1782703560,0.016225,0.016165,0.016265,0.016165,0
binary,GRTUSD-OTC,1782703620,0.016175,0.016085,0.016185,0.016055,0
binary,GRTUSD-OTC,1782703680,0.016095,0.015945,0.016095,0.015915,0
binary,GRTUSD-OTC,1782703740,0.015945,0.015995,0.015995,0.015895,0
binary,GRTUSD-OTC,1782703800,0.016005,0.015895,0.016005,0.015895,0
binary,GRTUSD-OTC,1782703860,0.015885,0.015885,0.015895,0.015815,0
binary,GRTUSD-OTC,1782703920,0.015875,0.015865,0.015895,0.015845,0
binary,GRTUSD-OTC,1782703980,0.015855,0.015895,0.015945,0.015805,0
binary,GRTUSD-OTC,1782704040,0.015905,0.015825,0.015905,0.015805,0
binary,GRTUSD-OTC,1782704100,0.015815,0.015765,0.015875,0.015745,0
binary,GRTUSD-OTC,1782704160,0.015755,0.015855,0.015875,0.015735,0
binary,GRTUSD-OTC,1782704220,0.015845,0.015905,0.015915,0.015815,0
binary,GRTUSD-OTC,1782704280,0.015915,0.015865,0.015915,0.015825,0
binary,GRTUSD-OTC,1782704340,0.015855,0.015925,0.015965,0.015855,0
binary,GRTUSD-OTC,1782704400,0.015935,0.016075,0.016075,0.015925,0
binary,GRTUSD-OTC,1782704460,0.016075,0.016075,0.016085,0.015995,0
binary,GRTUSD-OTC,1782704520,0.016065,0.016075,0.016125,0.016035,0
binary,GRTUSD-OTC,1782704580,0.016065,0.016155,0.016205,0.016005,0
binary,GRTUSD-OTC,1782704640,0.016165,0.016255,0.016255,0.016135,0
binary,GRTUSD-OTC,1782704700,0.016265,0.016385,0.016395,0.016265,0
binary,GRTUSD-OTC,1782704760,0.016395,0.016315,0.016415,0.016295,0
binary,GRTUSD-OTC,1782704820,0.016315,0.016285,0.016315,0.016255,0
binary,GRTUSD-OTC,1782704880,0.016265,0.016155,0.016275,0.016065,0
binary,GRTUSD-OTC,1782704940,0.016175,0.016105,0.016185,0.016095,0
binary,GRTUSD-OTC,1782705000,0.016105,0.016135,0.016155,0.016005,0
binary,GRTUSD-OTC,1782705060,0.016125,0.016195,0.016235,0.016115,0
binary,GRTUSD-OTC,1782705120,0.016185,0.016085,0.016215,0.016075,0
binary,GRTUSD-OTC,1782705180,0.016095,0.016005,0.016165,0.016005,0
binary,GRTUSD-OTC,1782705240,0.016005,0.015985,0.016025,0.015905,0
binary,GRTUSD-OTC,1782705300,0.015985,0.015755,0.015995,0.015755,0
binary,GRTUSD-OTC,1782705360,0.015745,0.015795,0.015815,0.015725,0
