tipo,activo,from,open,close,max,min,volume
binary,HBARUSD-OTC,1782566760,0.071975,0.072055,0.072085,0.071965,0
binary,HBARUSD-OTC,1782566820,0.072055,0.072075,0.072205,0.072055,0
binary,HBARUSD-OTC,1782566880,0.072085,0.072065,0.072095,0.072015,0
binary,HBARUSD-OTC,1782566940,0.072055,0.072185,0.072185,0.072055,0
binary,HBARUSD-OTC,1782567000,0.072175,0.072105,0.072195,0.072095,0
binary,HBARUSD-OTC,1782567060,0.072105,0.072135,0.072165,0.072085,0
binary,HBARUSD-OTC,1782567120,0.072135,0.072035,0.072165,0.072035,0
binary,HBARUSD-OTC,1782567180,0.072045,0.072035,0.072055,0.072005,0
binary,HBARUSD-OTC,1782567240,0.072045,0.071995,0.072085,0.071985,0
binary,HBARUSD-OTC,1782567300,0.071985,0.072005,0.072025,0.071965,0
binary,HBARUSD-OTC,1782567360,0.072015,0.072045,0.072095,0.072005,0
binary,HBARUSD-OTC,1782567420,0.072035,0.071985,0.072065,0.071965,0
binary,HBARUSD-OTC,1782567480,0.071985,0.071925,0.071985,0.071875,0
binary,HBARUSD-OTC,1782567540,0.071925,0.072075,0.072095,0.071905,0
binary,HBARUSD-OTC,1782567600,0.072085,0.071875,0.072085,0.071865,0
binary,HBARUSD-OTC,1782567660,0.071865,0.071765,0.071885,0.071765,0
binary,HBARUSD-OTC,1782567720,0.071795,0.071805,0.071835,0.071775,0
binary,HBARUSD-OTC,1782567780,0.071815,0.071795,0.071865,0.071785,0
binary,HBARUSD-OTC,1782567840,0.071805,0.071695,0.071805,0.071695,0
binary,HBARUSD-OTC,1782567900,0.071685,0.071635,0.071685,0.071605,0
binary,HBARUSD-OTC,1782567960,0.071645,0.071715,0.071745,0.071615,0
binary,HBARUSD-OTC,1782568020,0.071725,0.071845,0.071865,0.071705,0
binary,HBARUSD-OTC,1782568080,0.071855,0.072055,0.072085,0.071835,0
binary,HBARUSD-OTC,1782568140,0.072045,0.072035,0.072135,0.072025,0
binary,HBARUSD-OTC,1782568200,0.072035,0.071875,0.072035,0.071875,0
binary,HBARUSD-OTC,1782568260,0.071865,0.071965,0.071985,0.071835,0
binary,HBARUSD-OTC,1782568320,0.071955,0.072035,0.072045,0.071925,0
binary,HBARUSD-OTC,1782568380,0.072035,0.072025,0.072085,0.072025,0
binary,HBARUSD-OTC,1782568440,0.072035,0.072115,0.072135,0.071995,0
binary,HBARUSD-OTC,1782568500,0.072115,0.072125,0.072155,0.072065,0
binary,HBARUSD-OTC,1782568560,0.072165,0.072115,0.072175,0.072085,0
binary,HBARUSD-OTC,1782568620,0.072105,0.072135,0.072155,0.072085,0
binary,HBARUSD-OTC,1782568680,0.072125,0.072245,0.072245,0.072115,0
binary,HBARUSD-OTC,1782568740,0.072235,0.072045,0.072255,0.072035,0
binary,HBARUSD-OTC,1782568800,0.072035,0.072085,0.072085,0.072015,0
binary,HBARUSD-OTC,1782568860,0.072085,0.072055,0.072195,0.072055,0
binary,HBARUSD-OTC,1782568920,0.072065,0.071985,0.072065,0.071905,0
binary,HBARUSD-OTC,1782568980,0.071975,0.072045,0.072055,0.071965,0
binary,HBARUSD-OTC,1782569040,0.072055,0.072045,0.072075,0.072015,0
binary,HBARUSD-OTC,1782569100,0.072045,0.072025,0.072155,0.072025,0
binary,HBARUSD-OTC,1782569160,0.072035,0.072025,0.072085,0.071965,0
binary,HBARUSD-OTC,1782569220,0.072035,0.071965,0.072075,0.071945,0
binary,HBARUSD-OTC,1782569280,0.071975,0.072005,0.072035,0.071945,0
binary,HBARUSD-OTC,1782569340,0.072015,0.071895,0.072015,0.071865,0
binary,HBARUSD-OTC,1782569400,0.071885,0.071905,0.071915,0.071845,0
binary,HBARUSD-OTC,1782569460,0.071905,0.071855,0.071915,0.071845,0
binary,HBARUSD-OTC,1782569520,0.071855,0.071665,0.071865,0.071655,0
binary,HBARUSD-OTC,1782569580,0.071665,0.071615,0.071755,0.071615,0
binary,HBARUSD-OTC,1782569640,0.071625,0.071625,0.071645,0.071575,0
binary,HBARUSD-OTC,1782569700,0.071635,0.071555,0.071635,0.071455,0
binary,HBARUSD-OTC,1782569760,0.071545,0.071365,0.071555,0.071325,0
binary,HBARUSD-OTC,1782569820,0.071365,0.071415,0.071425,0.071305,0
binary,HBARUSD-OTC,1782569880,0.071405,0.071275,0.071405,0.071275,0
binary,HBARUSD-OTC,1782569940,0.071265,0.071325,0.071335,0.071255,0
binary,HBARUSD-OTC,1782570000,0.071335,0.071265,0.071375,0.071265,0
binary,HBARUSD-OTC,1782570060,0.071265,0.071325,0.071395,0.071265,0
binary,HBARUSD-OTC,1782570120,0.071315,0.071335,0.071365,0.071295,0
binary,HBARUSD-OTC,1782570180,0.071345,0.071315,0.071345,0.071265,0
binary,HBARUSD-OTC,1782570240,0.071325,0.071255,0.071385,0.071255,0
binary,HBARUSD-OTC,1782570300,0.071265,0.071285,0.071345,0.071235,0
binary,HBARUSD-OTC,1782570360,0.071295,0.071295,0.071325,0.071255,0
binary,HBARUSD-OTC,1782570420,0.071285,0.071285,0.071315,0.071255,0
binary,HBARUSD-OTC,1782570480,0.071295,0.071245,0.071325,0.071215,0
binary,HBARUSD-OTC,1782570540,0.071245,0.071285,0.071285,0.071155,0
binary,HBARUSD-OTC,1782570600,0.071275,0.071125,0.071295,0.071125,0
binary,HBARUSD-OTC,1782570660,0.071125,0.070975,0.071175,0.070965,0
binary,HBARUSD-OTC,1782570720,0.070975,0.070995,0.071045,0.070965,0
binary,HBARUSD-OTC,1782570780,0.070985,0.071065,0.071095,0.070965,0
binary,HBARUSD-OTC,1782570840,0.071055,0.071115,0.071135,0.071025,0
binary,HBARUSD-OTC,1782570900,0.071095,0.070985,0.071105,0.070975,0
binary,HBARUSD-OTC,1782570960,0.070975,0.070795,0.071035,0.070795,0
binary,HBARUSD-OTC,1782571020,0.070805,0.070765,0.070825,0.070725,0
binary,HBARUSD-OTC,1782571080,0.070745,0.070565,0.070745,0.070565,0
binary,HBARUSD-OTC,1782571140,0.070545,0.070435,0.070565,0.070435,0
binary,HBARUSD-OTC,1782571200,0.070425,0.070355,0.070445,0.070275,0
binary,HBARUSD-OTC,1782571260,0.070345,0.070365,0.070415,0.070325,0
