tipo,activo,from,open,close,max,min,volume
binary,HK33-OTC,1782036480,25294.612845,25307.958905,25307.958905,25286.863845,0
binary,HK33-OTC,1782036540,25307.077875,25282.760955,25307.077875,25280.804685,0
binary,HK33-OTC,1782036600,25281.727005,25304.804185,25310.512535,25278.833905,0
binary,HK33-OTC,1782036660,25304.709265,25308.679215,25319.585935,25301.952935,0
binary,HK33-OTC,1782036720,25307.451905,25326.481555,25331.417895,25307.451905,0
binary,HK33-OTC,1782036780,25326.271095,25296.319235,25328.314885,25292.363475,0
binary,HK33-OTC,1782036840,25296.070695,25304.310735,25325.200715,25292.724205,0
binary,HK33-OTC,1782036900,25303.918915,25326.495975,25331.643485,25303.439755,0
binary,HK33-OTC,1782036960,25325.479915,25338.140945,25344.313225,25320.901175,0
binary,HK33-OTC,1782037020,25338.931775,25343.315055,25349.557145,25336.734545,0
binary,HK33-OTC,1782037080,25343.249285,25373.087205,25382.196305,25332.418955,0
binary,HK33-OTC,1782037140,25373.409785,25377.277175,25386.084165,25363.166895,0
binary,HK33-OTC,1782037200,25376.773095,25360.650485,25381.870585,25357.189985,0
binary,HK33-OTC,1782037260,25360.560745,25345.502135,25360.815505,25328.850355,0
binary,HK33-OTC,1782037320,25347.159655,25361.543325,25364.971425,25341.752215,0
binary,HK33-OTC,1782037380,25361.811385,25338.800525,25370.497115,25338.553405,0
binary,HK33-OTC,1782037440,25338.777995,25373.368115,25375.367755,25333.952925,0
binary,HK33-OTC,1782037500,25372.609415,25356.772035,25373.828205,25350.635025,0
binary,HK33-OTC,1782037560,25356.721265,25369.956835,25379.916735,25353.957075,0
binary,HK33-OTC,1782037620,25369.978605,25414.086035,25423.542565,25369.978605,0
binary,HK33-OTC,1782037680,25414.030495,25428.315345,25433.659665,25395.337655,0
binary,HK33-OTC,1782037740,25428.358145,25443.852085,25454.583805,25428.358145,0
binary,HK33-OTC,1782037800,25442.111575,25457.481545,25458.577565,25432.171805,0
binary,HK33-OTC,1782037860,25457.242505,25425.524235,25457.804775,25423.900945,0
binary,HK33-OTC,1782037920,25424.591135,25410.287505,25425.741785,25406.652905,0
binary,HK33-OTC,1782037980,25410.203505,25416.900015,25423.210335,25409.545515,0
binary,HK33-OTC,1782038040,25416.834125,25390.154975,25418.519725,25370.824025,0
binary,HK33-OTC,1782038100,25390.289075,25370.002015,25412.313515,25369.943715,0
binary,HK33-OTC,1782038160,25370.975725,25357.438415,25386.552615,25356.712205,0
binary,HK33-OTC,1782038220,25358.553505,25345.137815,25383.939355,25345.137815,0
binary,HK33-OTC,1782038280,25345.259595,25338.291895,25346.025295,25330.195785,0
binary,HK33-OTC,1782038340,25338.317415,25312.224095,25342.968895,25312.071825,0
binary,HK33-OTC,1782038400,25311.739165,25298.597695,25314.345135,25298.597695,0
binary,HK33-OTC,1782038460,25298.156005,25240.521175,25299.640325,25239.295335,0
