tipo,activo,from,open,close,max,min,volume
binary,HYPE-OTC,1784074920,68.5595,68.2665,68.5595,68.2385,0
binary,HYPE-OTC,1784074980,68.2645,68.0205,68.3385,68.0105,0
binary,HYPE-OTC,1784075040,67.9915,67.9605,68.0755,67.8545,0
binary,HYPE-OTC,1784075100,67.9535,68.1065,68.1135,67.8155,0
binary,HYPE-OTC,1784075160,68.1005,68.1055,68.2905,67.9505,0
binary,HYPE-OTC,1784075220,68.0835,67.9115,68.3135,67.9065,0
binary,HYPE-OTC,1784075280,67.9025,67.8755,68.1205,67.8475,0
binary,HYPE-OTC,1784075340,67.8625,67.6825,68.0125,67.6095,0
binary,HYPE-OTC,1784075400,67.6805,67.8215,67.9435,67.6155,0
binary,HYPE-OTC,1784075460,67.8395,67.8925,67.9085,67.5705,0
binary,HYPE-OTC,1784075520,67.8935,68.0955,68.1485,67.8035,0
binary,HYPE-OTC,1784075580,68.0885,68.0785,68.1095,67.8755,0
binary,HYPE-OTC,1784075640,68.1015,67.8375,68.1025,67.8375,0
binary,HYPE-OTC,1784075700,67.8435,67.8115,67.9545,67.7195,0
binary,HYPE-OTC,1784075760,67.8395,67.9735,68.0575,67.7785,0
binary,HYPE-OTC,1784075820,67.9785,68.1305,68.1405,67.9395,0
binary,HYPE-OTC,1784075880,68.1325,68.2345,68.2605,68.0415,0
binary,HYPE-OTC,1784075940,68.2545,68.7995,68.8375,68.2435,0
binary,HYPE-OTC,1784076000,68.8025,68.7305,68.9315,68.6885,0
binary,HYPE-OTC,1784076060,68.7315,69.0035,69.1585,68.7095,0
binary,HYPE-OTC,1784076120,69.0085,68.8145,69.0155,68.8085,0
binary,HYPE-OTC,1784076180,68.7975,68.9885,68.9905,68.6965,0
binary,HYPE-OTC,1784076240,68.9805,69.0965,69.1285,68.9335,0
binary,HYPE-OTC,1784076300,69.0985,69.3675,69.3875,69.0965,0
binary,HYPE-OTC,1784076360,69.3735,69.7175,69.7335,69.3385,0
binary,HYPE-OTC,1784076420,69.6985,69.7555,69.7915,69.6095,0
binary,HYPE-OTC,1784076480,69.7575,69.7545,69.8335,69.5995,0
binary,HYPE-OTC,1784076540,69.7535,69.6215,69.7795,69.4905,0
binary,HYPE-OTC,1784076600,69.6085,69.6395,69.7815,69.5425,0
binary,HYPE-OTC,1784076660,69.6305,69.5125,69.6305,69.4005,0
binary,HYPE-OTC,1784076720,69.5155,69.3565,69.5455,69.2345,0
binary,HYPE-OTC,1784076780,69.3575,69.2485,69.3955,69.1935,0
binary,HYPE-OTC,1784076840,69.2555,69.2625,69.5215,69.2405,0
binary,HYPE-OTC,1784076900,69.2195,69.1745,69.3475,69.1535,0
binary,HYPE-OTC,1784076960,69.1735,69.1145,69.2685,69.0135,0
binary,HYPE-OTC,1784077020,69.1005,69.6725,69.7005,69.0955,0
binary,HYPE-OTC,1784077080,69.6555,69.9325,69.9325,69.6335,0
binary,HYPE-OTC,1784077140,69.9515,70.0055,70.0875,69.8785,0
binary,HYPE-OTC,1784077200,70.0095,69.9345,70.0535,69.7705,0
binary,HYPE-OTC,1784077260,69.9245,70.1485,70.1905,69.9155,0
binary,HYPE-OTC,1784077320,70.1515,69.9645,70.3235,69.8125,0
binary,HYPE-OTC,1784077380,69.9605,69.7505,69.9655,69.7395,0
binary,HYPE-OTC,1784077440,69.7645,70.3685,70.3755,69.7335,0
binary,HYPE-OTC,1784077500,70.3805,70.3765,70.4545,70.1785,0
binary,HYPE-OTC,1784077560,70.3615,70.2555,70.4225,70.2535,0
