tipo,activo,from,open,close,max,min,volume
binary,ICPUSD-OTC,1782036180,2.247265,2.238075,2.248355,2.235375,0
binary,ICPUSD-OTC,1782036240,2.237985,2.220375,2.240425,2.219745,0
binary,ICPUSD-OTC,1782036300,2.220195,2.221615,2.221985,2.214985,0
binary,ICPUSD-OTC,1782036360,2.221375,2.222675,2.227905,2.221375,0
binary,ICPUSD-OTC,1782036420,2.222465,2.230295,2.230945,2.222335,0
binary,ICPUSD-OTC,1782036480,2.230425,2.226825,2.230425,2.220485,0
binary,ICPUSD-OTC,1782036540,2.226925,2.223955,2.228395,2.220025,0
binary,ICPUSD-OTC,1782036600,2.224625,2.226545,2.232625,2.221615,0
binary,ICPUSD-OTC,1782036660,2.226665,2.225545,2.234085,2.223355,0
binary,ICPUSD-OTC,1782036720,2.225795,2.219585,2.228665,2.216415,0
binary,ICPUSD-OTC,1782036780,2.219595,2.222595,2.227355,2.215615,0
binary,ICPUSD-OTC,1782036840,2.222705,2.226735,2.227375,2.217185,0
binary,ICPUSD-OTC,1782036900,2.226635,2.224075,2.227025,2.221205,0
binary,ICPUSD-OTC,1782036960,2.224185,2.234895,2.238255,2.224185,0
binary,ICPUSD-OTC,1782037020,2.234485,2.230175,2.234625,2.227535,0
binary,ICPUSD-OTC,1782037080,2.230635,2.236775,2.238515,2.230325,0
binary,ICPUSD-OTC,1782037140,2.236075,2.232235,2.240795,2.228915,0
binary,ICPUSD-OTC,1782037200,2.232105,2.224715,2.232965,2.216465,0
binary,ICPUSD-OTC,1782037260,2.224825,2.221585,2.225345,2.217335,0
binary,ICPUSD-OTC,1782037320,2.222165,2.227075,2.227515,2.219565,0
binary,ICPUSD-OTC,1782037380,2.225585,2.229865,2.235145,2.225345,0
binary,ICPUSD-OTC,1782037440,2.229375,2.233975,2.234085,2.225925,0
binary,ICPUSD-OTC,1782037500,2.234155,2.221425,2.234155,2.217835,0
binary,ICPUSD-OTC,1782037560,2.221195,2.230685,2.231955,2.219815,0
binary,ICPUSD-OTC,1782037620,2.230765,2.225785,2.230905,2.223715,0
binary,ICPUSD-OTC,1782037680,2.225965,2.220225,2.226945,2.216815,0
binary,ICPUSD-OTC,1782037740,2.220285,2.215355,2.222375,2.214295,0
binary,ICPUSD-OTC,1782037800,2.215795,2.214205,2.222155,2.212115,0
binary,ICPUSD-OTC,1782037860,2.213855,2.208485,2.217635,2.206505,0
binary,ICPUSD-OTC,1782037920,2.208335,2.203405,2.213875,2.199035,0
binary,ICPUSD-OTC,1782037980,2.202865,2.207475,2.212475,2.197175,0
binary,ICPUSD-OTC,1782038040,2.207765,2.201135,2.210445,2.198725,0
binary,ICPUSD-OTC,1782038100,2.201925,2.192865,2.203895,2.191915,0
binary,ICPUSD-OTC,1782038160,2.192995,2.207415,2.208085,2.190855,0
binary,ICPUSD-OTC,1782038220,2.207525,2.215085,2.216715,2.207525,0
binary,ICPUSD-OTC,1782038280,2.215015,2.222025,2.224255,2.213745,0
binary,ICPUSD-OTC,1782038340,2.222245,2.218725,2.225935,2.215985,0
binary,ICPUSD-OTC,1782038400,2.218805,2.221155,2.224165,2.214425,0
binary,ICPUSD-OTC,1782038460,2.220855,2.225415,2.226375,2.215735,0
binary,ICPUSD-OTC,1782038520,2.225335,2.219355,2.227225,2.218025,0
binary,ICPUSD-OTC,1782038580,2.220325,2.232505,2.234585,2.219505,0
binary,ICPUSD-OTC,1782038640,2.232845,2.231495,2.235675,2.230335,0
binary,ICPUSD-OTC,1782038700,2.231365,2.230735,2.235385,2.227445,0
binary,ICPUSD-OTC,1782038760,2.231045,2.226105,2.231045,2.222495,0
binary,ICPUSD-OTC,1782038820,2.225705,2.233295,2.237125,2.223425,0
binary,ICPUSD-OTC,1782038880,2.233425,2.220985,2.235155,2.220985,0
binary,ICPUSD-OTC,1782038940,2.220585,2.214545,2.223755,2.210485,0
binary,ICPUSD-OTC,1782039000,2.214565,2.192905,2.215335,2.192545,0
binary,ICPUSD-OTC,1782039060,2.193135,2.195055,2.195985,2.191405,0
binary,ICPUSD-OTC,1782039120,2.194825,2.195435,2.198235,2.188835,0
binary,ICPUSD-OTC,1782039180,2.195705,2.190375,2.198265,2.190335,0
binary,ICPUSD-OTC,1782039240,2.190515,2.187205,2.191025,2.186515,0
binary,ICPUSD-OTC,1782039300,2.187445,2.182725,2.188975,2.180065,0
binary,ICPUSD-OTC,1782039360,2.181995,2.184635,2.186145,2.180585,0
binary,ICPUSD-OTC,1782039420,2.185375,2.183835,2.187665,2.181175,0
binary,ICPUSD-OTC,1782039480,2.183415,2.176995,2.183735,2.172855,0
binary,ICPUSD-OTC,1782039540,2.176955,2.191085,2.192135,2.176115,0
binary,ICPUSD-OTC,1782039600,2.191125,2.211965,2.212415,2.190925,0
binary,ICPUSD-OTC,1782039660,2.211945,2.219705,2.220255,2.207715,0
binary,ICPUSD-OTC,1782039720,2.219685,2.216485,2.222735,2.213755,0
binary,ICPUSD-OTC,1782039780,2.216835,2.214585,2.225535,2.214585,0
binary,ICPUSD-OTC,1782039840,2.214565,2.210975,2.219595,2.209725,0
binary,ICPUSD-OTC,1782039900,2.211045,2.212835,2.216225,2.209345,0
binary,ICPUSD-OTC,1782039960,2.212895,2.217165,2.217855,2.209005,0
binary,ICPUSD-OTC,1782040020,2.217995,2.205415,2.219305,2.204795,0
binary,ICPUSD-OTC,1782040080,2.205525,2.203445,2.208095,2.202475,0
binary,ICPUSD-OTC,1782040140,2.203515,2.199575,2.206145,2.195105,0
binary,ICPUSD-OTC,1782040200,2.199455,2.203695,2.204505,2.196915,0
binary,ICPUSD-OTC,1782040260,2.204565,2.214565,2.214575,2.204565,0
binary,ICPUSD-OTC,1782040320,2.214595,2.220785,2.222715,2.211965,0
binary,ICPUSD-OTC,1782040380,2.221055,2.215615,2.221055,2.214695,0
binary,ICPUSD-OTC,1782040440,2.215525,2.220715,2.222375,2.214385,0
binary,ICPUSD-OTC,1782040500,2.219845,2.215715,2.225995,2.214795,0
binary,ICPUSD-OTC,1782040560,2.216375,2.207395,2.223205,2.206835,0
binary,ICPUSD-OTC,1782040620,2.207485,2.210835,2.214195,2.204995,0
binary,ICPUSD-OTC,1782040680,2.210085,2.204595,2.211185,2.202395,0
binary,ICPUSD-OTC,1782040740,2.204375,2.194835,2.206635,2.194455,0
binary,ICPUSD-OTC,1782040800,2.194455,2.190435,2.195755,2.189775,0
binary,ICPUSD-OTC,1782040860,2.190755,2.193165,2.197125,2.187345,0
binary,ICPUSD-OTC,1782040920,2.193175,2.198905,2.198975,2.189325,0
binary,ICPUSD-OTC,1782040980,2.199055,2.204685,2.206925,2.199055,0
binary,ICPUSD-OTC,1782041040,2.204755,2.216585,2.216905,2.204345,0
binary,ICPUSD-OTC,1782041100,2.215875,2.217535,2.220335,2.209085,0
binary,ICPUSD-OTC,1782041160,2.217585,2.212115,2.221045,2.211945,0
binary,ICPUSD-OTC,1782041220,2.211545,2.212105,2.217095,2.207415,0
binary,ICPUSD-OTC,1782041280,2.212235,2.209905,2.215465,2.209745,0
binary,ICPUSD-OTC,1782041340,2.209835,2.218155,2.220515,2.205625,0
binary,ICPUSD-OTC,1782041400,2.218225,2.208135,2.218225,2.204275,0
binary,ICPUSD-OTC,1782041460,2.208225,2.206235,2.211055,2.201465,0
binary,ICPUSD-OTC,1782041520,2.206525,2.215015,2.217755,2.204015,0
binary,ICPUSD-OTC,1782041580,2.215505,2.211945,2.218255,2.207545,0
binary,ICPUSD-OTC,1782041640,2.212665,2.214035,2.218075,2.210615,0
binary,ICPUSD-OTC,1782041700,2.213655,2.222995,2.227625,2.213405,0
binary,ICPUSD-OTC,1782041760,2.223645,2.214955,2.227525,2.210475,0
binary,ICPUSD-OTC,1782041820,2.215005,2.218505,2.223515,2.214885,0
binary,ICPUSD-OTC,1782041880,2.218095,2.219935,2.226215,2.216585,0
binary,ICPUSD-OTC,1782041940,2.220085,2.226975,2.227955,2.217005,0
binary,ICPUSD-OTC,1782042000,2.226875,2.232995,2.233795,2.225895,0
binary,ICPUSD-OTC,1782042060,2.232955,2.231265,2.235805,2.222885,0
binary,ICPUSD-OTC,1782042120,2.231935,2.225395,2.235275,2.221035,0
binary,ICPUSD-OTC,1782042180,2.225615,2.223295,2.227295,2.219935,0
binary,ICPUSD-OTC,1782042240,2.223715,2.233625,2.234935,2.222585,0
binary,ICPUSD-OTC,1782042300,2.233705,2.225955,2.235375,2.225035,0
binary,ICPUSD-OTC,1782042360,2.225065,2.231465,2.235705,2.221105,0
binary,ICPUSD-OTC,1782042420,2.231345,2.229245,2.236605,2.227345,0
binary,ICPUSD-OTC,1782042480,2.229105,2.238095,2.239795,2.227595,0
binary,ICPUSD-OTC,1782042540,2.237755,2.228015,2.240255,2.226165,0
binary,ICPUSD-OTC,1782042600,2.228065,2.230755,2.231795,2.222615,0
binary,ICPUSD-OTC,1782042660,2.230075,2.237465,2.241885,2.229635,0
binary,ICPUSD-OTC,1782042720,2.237875,2.235215,2.241045,2.234715,0
binary,ICPUSD-OTC,1782042780,2.235955,2.224865,2.236655,2.223145,0
binary,ICPUSD-OTC,1782042840,2.225715,2.231255,2.236505,2.222945,0
binary,ICPUSD-OTC,1782042900,2.232155,2.240695,2.241025,2.230595,0
binary,ICPUSD-OTC,1782042960,2.240755,2.240065,2.246835,2.238415,0
binary,ICPUSD-OTC,1782043020,2.240215,2.232485,2.243235,2.229835,0
binary,ICPUSD-OTC,1782043080,2.232595,2.242325,2.243095,2.231595,0
binary,ICPUSD-OTC,1782043140,2.241745,2.246035,2.246315,2.235435,0
binary,ICPUSD-OTC,1782043200,2.246265,2.245045,2.248535,2.242115,0
binary,ICPUSD-OTC,1782043260,2.244925,2.240675,2.245565,2.239695,0
binary,ICPUSD-OTC,1782043320,2.240845,2.241375,2.241685,2.233725,0
binary,ICPUSD-OTC,1782043380,2.242165,2.245755,2.246775,2.239115,0
binary,ICPUSD-OTC,1782043440,2.245615,2.240735,2.248895,2.239055,0
binary,ICPUSD-OTC,1782043500,2.241485,2.234585,2.245725,2.234585,0
binary,ICPUSD-OTC,1782043560,2.234035,2.233905,2.236655,2.226165,0
binary,ICPUSD-OTC,1782043620,2.233335,2.230235,2.240715,2.229265,0
binary,ICPUSD-OTC,1782043680,2.230375,2.231515,2.235315,2.227385,0
binary,ICPUSD-OTC,1782043740,2.231305,2.234585,2.237945,2.229735,0
binary,ICPUSD-OTC,1782043800,2.234235,2.234955,2.239105,2.231585,0
binary,ICPUSD-OTC,1782043860,2.234945,2.237835,2.243595,2.233835,0
binary,ICPUSD-OTC,1782043920,2.237885,2.230175,2.242385,2.230175,0
binary,ICPUSD-OTC,1782043980,2.228425,2.248795,2.248795,2.227565,0
binary,ICPUSD-OTC,1782044040,2.248475,2.234445,2.252145,2.234275,0
binary,ICPUSD-OTC,1782044100,2.233735,2.236225,2.239455,2.232585,0
binary,ICPUSD-OTC,1782044160,2.236165,2.229915,2.239735,2.227235,0
binary,ICPUSD-OTC,1782044220,2.230465,2.227435,2.231785,2.223505,0
binary,ICPUSD-OTC,1782044280,2.227755,2.223975,2.230805,2.223545,0
binary,ICPUSD-OTC,1782044340,2.223965,2.234705,2.235885,2.223475,0
binary,ICPUSD-OTC,1782044400,2.234815,2.232245,2.235185,2.223925,0
binary,ICPUSD-OTC,1782044460,2.231785,2.223905,2.231985,2.221495,0
binary,ICPUSD-OTC,1782044520,2.224685,2.222025,2.230895,2.221815,0
binary,ICPUSD-OTC,1782044580,2.222255,2.226535,2.231055,2.222255,0
binary,ICPUSD-OTC,1782044640,2.226055,2.224185,2.228275,2.220345,0
binary,ICPUSD-OTC,1782044700,2.224145,2.231925,2.235905,2.220655,0
binary,ICPUSD-OTC,1782044760,2.231815,2.226125,2.235705,2.225465,0
binary,ICPUSD-OTC,1782044820,2.225155,2.222675,2.229865,2.217925,0
binary,ICPUSD-OTC,1782044880,2.222225,2.225565,2.226195,2.216245,0
binary,ICPUSD-OTC,1782044940,2.226125,2.231435,2.233845,2.222985,0
binary,ICPUSD-OTC,1782045000,2.232805,2.234255,2.237515,2.229855,0
binary,ICPUSD-OTC,1782045060,2.235485,2.230185,2.238425,2.224405,0
binary,ICPUSD-OTC,1782045120,2.230045,2.231415,2.233565,2.224715,0
binary,ICPUSD-OTC,1782045180,2.230105,2.222335,2.230165,2.220245,0
binary,ICPUSD-OTC,1782045240,2.222145,2.215075,2.222545,2.210005,0
binary,ICPUSD-OTC,1782045300,2.215215,2.214855,2.224405,2.214625,0
binary,ICPUSD-OTC,1782045360,2.214775,2.216285,2.218765,2.212085,0
binary,ICPUSD-OTC,1782045420,2.215885,2.205125,2.218725,2.202405,0
binary,ICPUSD-OTC,1782045480,2.206035,2.205855,2.209005,2.204515,0
binary,ICPUSD-OTC,1782045540,2.205965,2.209705,2.218715,2.204645,0
binary,ICPUSD-OTC,1782045600,2.210315,2.207965,2.210805,2.202205,0
binary,ICPUSD-OTC,1782045660,2.208275,2.214945,2.217805,2.207895,0
binary,ICPUSD-OTC,1782045720,2.216865,2.207985,2.218005,2.207985,0
binary,ICPUSD-OTC,1782045780,2.208125,2.197155,2.212265,2.197155,0
binary,ICPUSD-OTC,1782045840,2.197645,2.197345,2.198445,2.189875,0
binary,ICPUSD-OTC,1782045900,2.197205,2.197925,2.202885,2.194585,0
binary,ICPUSD-OTC,1782045960,2.197775,2.203805,2.206545,2.193275,0
binary,ICPUSD-OTC,1782046020,2.205215,2.193195,2.205215,2.193195,0
binary,ICPUSD-OTC,1782046080,2.193285,2.190065,2.195955,2.189355,0
binary,ICPUSD-OTC,1782046140,2.190105,2.200825,2.202475,2.188945,0
binary,ICPUSD-OTC,1782046200,2.201555,2.202185,2.204025,2.198615,0
binary,ICPUSD-OTC,1782046260,2.202235,2.207885,2.213585,2.202055,0
