tipo,activo,from,open,close,max,min,volume
binary,IMXUSD-OTC,1782036180,0.170345,0.169145,0.170345,0.168815,0
binary,IMXUSD-OTC,1782036240,0.169155,0.168975,0.169535,0.168445,0
binary,IMXUSD-OTC,1782036300,0.168925,0.168145,0.169295,0.168145,0
binary,IMXUSD-OTC,1782036360,0.168215,0.168005,0.168365,0.167515,0
binary,IMXUSD-OTC,1782036420,0.168015,0.168985,0.169205,0.167625,0
binary,IMXUSD-OTC,1782036480,0.168935,0.167485,0.169455,0.167465,0
binary,IMXUSD-OTC,1782036540,0.167555,0.167905,0.168305,0.167205,0
binary,IMXUSD-OTC,1782036600,0.167885,0.165905,0.168265,0.165745,0
binary,IMXUSD-OTC,1782036660,0.165685,0.165315,0.165885,0.165065,0
binary,IMXUSD-OTC,1782036720,0.165305,0.164685,0.165305,0.163795,0
binary,IMXUSD-OTC,1782036780,0.164665,0.165445,0.165545,0.164625,0
binary,IMXUSD-OTC,1782036840,0.165485,0.164945,0.165715,0.164405,0
binary,IMXUSD-OTC,1782036900,0.164915,0.166775,0.167035,0.164905,0
binary,IMXUSD-OTC,1782036960,0.166745,0.166925,0.167455,0.166185,0
binary,IMXUSD-OTC,1782037020,0.166895,0.166045,0.167495,0.165885,0
binary,IMXUSD-OTC,1782037080,0.165985,0.164195,0.166135,0.164105,0
binary,IMXUSD-OTC,1782037140,0.164245,0.163485,0.164375,0.162985,0
binary,IMXUSD-OTC,1782037200,0.163455,0.163965,0.164365,0.163065,0
binary,IMXUSD-OTC,1782037260,0.163975,0.162575,0.164205,0.162575,0
binary,IMXUSD-OTC,1782037320,0.162515,0.162225,0.163245,0.162085,0
binary,IMXUSD-OTC,1782037380,0.162175,0.162645,0.162945,0.162175,0
binary,IMXUSD-OTC,1782037440,0.162605,0.162735,0.163015,0.162255,0
binary,IMXUSD-OTC,1782037500,0.162695,0.162465,0.163265,0.162135,0
binary,IMXUSD-OTC,1782037560,0.162555,0.164655,0.164655,0.162075,0
binary,IMXUSD-OTC,1782037620,0.164645,0.163935,0.165105,0.163845,0
binary,IMXUSD-OTC,1782037680,0.163895,0.164285,0.164785,0.163715,0
binary,IMXUSD-OTC,1782037740,0.164345,0.164815,0.165195,0.164065,0
binary,IMXUSD-OTC,1782037800,0.164825,0.164935,0.165725,0.164435,0
binary,IMXUSD-OTC,1782037860,0.164995,0.165525,0.166175,0.164575,0
binary,IMXUSD-OTC,1782037920,0.165505,0.164455,0.165575,0.164295,0
binary,IMXUSD-OTC,1782037980,0.164475,0.165795,0.165855,0.164345,0
binary,IMXUSD-OTC,1782038040,0.165735,0.164475,0.165895,0.164415,0
binary,IMXUSD-OTC,1782038100,0.164525,0.162875,0.164915,0.162865,0
binary,IMXUSD-OTC,1782038160,0.162885,0.162595,0.162885,0.161965,0
binary,IMXUSD-OTC,1782038220,0.162635,0.163415,0.163415,0.162535,0
binary,IMXUSD-OTC,1782038280,0.163395,0.164805,0.165025,0.163265,0
binary,IMXUSD-OTC,1782038340,0.164765,0.163605,0.164805,0.163135,0
binary,IMXUSD-OTC,1782038400,0.163615,0.165415,0.165895,0.163125,0
binary,IMXUSD-OTC,1782038460,0.165475,0.166375,0.166455,0.165445,0
binary,IMXUSD-OTC,1782038520,0.166405,0.167315,0.167745,0.166315,0
binary,IMXUSD-OTC,1782038580,0.167295,0.167855,0.167975,0.166795,0
binary,IMXUSD-OTC,1782038640,0.167715,0.166955,0.167745,0.166225,0
binary,IMXUSD-OTC,1782038700,0.166985,0.165815,0.167155,0.165355,0
binary,IMXUSD-OTC,1782038760,0.165875,0.165715,0.166545,0.165615,0
binary,IMXUSD-OTC,1782038820,0.165755,0.164605,0.165825,0.164425,0
binary,IMXUSD-OTC,1782038880,0.164645,0.163785,0.165255,0.163655,0
binary,IMXUSD-OTC,1782038940,0.163725,0.163515,0.164065,0.163305,0
binary,IMXUSD-OTC,1782039000,0.163415,0.163185,0.164035,0.162645,0
binary,IMXUSD-OTC,1782039060,0.163175,0.162265,0.163175,0.162085,0
binary,IMXUSD-OTC,1782039120,0.162255,0.161375,0.162345,0.161105,0
binary,IMXUSD-OTC,1782039180,0.161355,0.161615,0.161795,0.160745,0
binary,IMXUSD-OTC,1782039240,0.161555,0.162055,0.162305,0.161035,0
binary,IMXUSD-OTC,1782039300,0.162125,0.161985,0.162205,0.161245,0
