tipo,activo,from,open,close,max,min,volume
binary,INTEL-OTC,1782510600,90.4815,90.7165,91.2015,90.0385,0
binary,INTEL-OTC,1782510660,90.6705,91.2925,91.6635,90.6705,0
binary,INTEL-OTC,1782510720,91.2535,91.6305,91.9335,91.0395,0
binary,INTEL-OTC,1782510780,91.5895,90.7595,91.9635,90.4895,0
binary,INTEL-OTC,1782510840,90.7195,91.4155,91.6595,90.4645,0
binary,INTEL-OTC,1782510900,91.3765,92.1035,92.1035,91.2445,0
binary,INTEL-OTC,1782510960,92.1505,92.0575,92.3055,91.3995,0
binary,INTEL-OTC,1782511020,92.0955,92.4015,92.7915,91.8175,0
binary,INTEL-OTC,1782511080,92.4475,91.9085,92.4475,91.5845,0
binary,INTEL-OTC,1782511140,91.8725,92.0385,92.1795,91.5425,0
binary,INTEL-OTC,1782511200,91.9995,92.3915,92.7125,91.4875,0
binary,INTEL-OTC,1782511260,92.3545,92.1995,92.9645,92.1055,0
binary,INTEL-OTC,1782511320,92.1525,92.2065,92.4885,91.6395,0
binary,INTEL-OTC,1782511380,92.2605,91.6505,92.5025,91.5895,0
binary,INTEL-OTC,1782511440,91.6985,91.7375,92.1135,91.3585,0
binary,INTEL-OTC,1782511500,91.6915,92.7255,92.7465,91.4935,0
binary,INTEL-OTC,1782511560,92.7685,93.7925,94.0795,92.7685,0
binary,INTEL-OTC,1782511620,93.8335,93.4805,93.9095,93.1425,0
binary,INTEL-OTC,1782511680,93.5165,94.2255,94.4645,93.5165,0
binary,INTEL-OTC,1782511740,94.1835,94.3125,94.7635,93.9525,0
binary,INTEL-OTC,1782511800,94.3535,94.2695,94.7445,93.9335,0
binary,INTEL-OTC,1782511860,94.3195,94.7745,94.8155,93.8855,0
binary,INTEL-OTC,1782511920,94.8145,94.5135,95.2295,94.4125,0
binary,INTEL-OTC,1782511980,94.4705,95.4785,95.5625,94.3425,0
binary,INTEL-OTC,1782512040,95.5185,95.1125,95.7445,94.5515,0
binary,INTEL-OTC,1782512100,95.1635,96.3745,96.3815,94.8535,0
binary,INTEL-OTC,1782512160,96.3255,96.3875,96.4615,95.4105,0
binary,INTEL-OTC,1782512220,96.3395,95.8975,96.5345,95.8975,0
binary,INTEL-OTC,1782512280,95.9435,96.5055,96.5055,95.6915,0
binary,INTEL-OTC,1782512340,96.5455,96.9685,97.1025,96.2935,0
binary,INTEL-OTC,1782512400,97.0115,97.3765,98.2645,96.8755,0
binary,INTEL-OTC,1782512460,97.4605,96.7735,98.0415,96.6335,0
binary,INTEL-OTC,1782512520,96.8245,97.4565,97.5875,96.8245,0
