tipo,activo,from,open,close,max,min,volume
binary,JPM-OTC,1782036360,331.4755,331.6655,331.7975,331.4505,0
binary,JPM-OTC,1782036420,331.6795,331.0735,331.7315,330.9175,0
binary,JPM-OTC,1782036480,331.0715,331.3065,331.3545,330.8545,0
binary,JPM-OTC,1782036540,331.3045,331.1615,331.4415,330.9705,0
binary,JPM-OTC,1782036600,331.1655,331.8055,331.8055,331.0825,0
binary,JPM-OTC,1782036660,331.8085,332.3095,332.3385,331.6815,0
binary,JPM-OTC,1782036720,332.3115,331.8785,332.4845,331.8625,0
binary,JPM-OTC,1782036780,331.8755,331.9185,332.0105,331.6025,0
binary,JPM-OTC,1782036840,331.9235,332.3385,332.3385,331.7505,0
binary,JPM-OTC,1782036900,332.3335,332.3355,332.6535,332.3165,0
binary,JPM-OTC,1782036960,332.4435,332.0595,332.5525,332.0565,0
binary,JPM-OTC,1782037020,332.0205,332.1685,332.3955,331.9065,0
binary,JPM-OTC,1782037080,332.1725,332.3115,332.3255,331.8315,0
binary,JPM-OTC,1782037140,332.2665,332.0865,332.3985,331.8945,0
binary,JPM-OTC,1782037200,332.0885,331.6735,332.2395,331.6615,0
binary,JPM-OTC,1782037260,331.6475,331.0695,331.6655,330.9735,0
binary,JPM-OTC,1782037320,331.0565,330.9485,331.1845,330.8125,0
binary,JPM-OTC,1782037380,330.9525,330.9195,331.0445,330.2955,0
binary,JPM-OTC,1782037440,330.9415,330.6025,330.9845,330.5565,0
binary,JPM-OTC,1782037500,330.6015,331.0295,331.1525,330.5765,0
binary,JPM-OTC,1782037560,331.0265,331.1745,331.2385,330.7875,0
binary,JPM-OTC,1782037620,331.1505,330.1305,331.1505,330.0915,0
binary,JPM-OTC,1782037680,330.1095,329.7955,330.1705,329.4855,0
binary,JPM-OTC,1782037740,329.7975,329.9325,330.2225,329.7915,0
binary,JPM-OTC,1782037800,330.0095,329.7165,330.0145,329.6345,0
binary,JPM-OTC,1782037860,329.6075,330.4615,330.5385,329.5775,0
binary,JPM-OTC,1782037920,330.4315,330.1475,330.6555,330.1005,0
binary,JPM-OTC,1782037980,330.1405,329.9345,330.3065,329.7445,0
binary,JPM-OTC,1782038040,329.9485,329.5435,330.0925,329.4515,0
binary,JPM-OTC,1782038100,329.5385,329.0525,329.7555,329.0465,0
binary,JPM-OTC,1782038160,329.0535,328.5175,329.1255,328.4915,0
