tipo,activo,from,open,close,max,min,volume
binary,KLARNA-OTC,1782567600,18.8235,18.9285,18.9365,18.7675,0
binary,KLARNA-OTC,1782567660,18.9365,18.9865,19.0165,18.8785,0
binary,KLARNA-OTC,1782567720,18.9945,18.7675,19.0195,18.7325,0
binary,KLARNA-OTC,1782567780,18.7535,18.8335,18.8985,18.7285,0
binary,KLARNA-OTC,1782567840,18.8235,19.0155,19.0275,18.8225,0
binary,KLARNA-OTC,1782567900,19.0075,19.0075,19.0785,18.9375,0
binary,KLARNA-OTC,1782567960,19.0345,19.1355,19.2355,18.9845,0
binary,KLARNA-OTC,1782568020,19.1265,18.9315,19.1515,18.8865,0
binary,KLARNA-OTC,1782568080,18.9385,19.0515,19.0805,18.9145,0
binary,KLARNA-OTC,1782568140,19.0615,19.2625,19.2815,19.0465,0
binary,KLARNA-OTC,1782568200,19.2535,19.1805,19.3115,19.0775,0
binary,KLARNA-OTC,1782568260,19.1715,19.0515,19.1725,18.9785,0
binary,KLARNA-OTC,1782568320,19.0445,19.0895,19.1045,18.9455,0
binary,KLARNA-OTC,1782568380,19.0975,19.0765,19.1555,19.0475,0
binary,KLARNA-OTC,1782568440,19.0845,18.9485,19.0935,18.8875,0
binary,KLARNA-OTC,1782568500,18.9415,19.0625,19.1635,18.9415,0
binary,KLARNA-OTC,1782568560,19.0705,18.9685,19.1735,18.9435,0
binary,KLARNA-OTC,1782568620,18.9595,18.8175,19.0015,18.8175,0
binary,KLARNA-OTC,1782568680,18.8255,18.8855,18.9685,18.7405,0
binary,KLARNA-OTC,1782568740,18.8975,18.7105,18.9295,18.7105,0
binary,KLARNA-OTC,1782568800,18.7205,18.6615,18.7455,18.5875,0
binary,KLARNA-OTC,1782568860,18.6535,18.5215,18.6605,18.4165,0
binary,KLARNA-OTC,1782568920,18.5135,18.5415,18.5585,18.4245,0
binary,KLARNA-OTC,1782568980,18.5345,18.4885,18.5345,18.3535,0
binary,KLARNA-OTC,1782569040,18.4955,18.3965,18.5315,18.3635,0
binary,KLARNA-OTC,1782569100,18.3845,18.3395,18.4635,18.2975,0
binary,KLARNA-OTC,1782569160,18.3465,18.4205,18.4545,18.3215,0
binary,KLARNA-OTC,1782569220,18.4295,18.4315,18.5475,18.3675,0
binary,KLARNA-OTC,1782569280,18.4245,18.3995,18.4395,18.2795,0
binary,KLARNA-OTC,1782569340,18.3905,18.3485,18.4085,18.3015,0
binary,KLARNA-OTC,1782569400,18.3405,18.3405,18.4115,18.2505,0
binary,KLARNA-OTC,1782569460,18.3315,18.4155,18.4445,18.2615,0
binary,KLARNA-OTC,1782569520,18.4075,18.2145,18.4535,18.1865,0
binary,KLARNA-OTC,1782569580,18.2225,18.2175,18.2255,18.0885,0
binary,KLARNA-OTC,1782569640,18.2085,18.2485,18.2485,18.1005,0
binary,KLARNA-OTC,1782569700,18.2395,18.1595,18.2575,18.1175,0
binary,KLARNA-OTC,1782569760,18.1515,18.0005,18.1695,17.9535,0
binary,KLARNA-OTC,1782569820,17.9935,17.9365,18.1135,17.9035,0
