tipo,activo,from,open,close,max,min,volume
binary,LINKUSD-OTC,1784564160,10.498465,10.449025,10.503905,10.435015,0
binary,LINKUSD-OTC,1784564220,10.444255,10.410695,10.474225,10.394945,0
binary,LINKUSD-OTC,1784564280,10.414505,10.499655,10.499655,10.396105,0
binary,LINKUSD-OTC,1784564340,10.509815,10.520555,10.543645,10.489415,0
binary,LINKUSD-OTC,1784564400,10.510385,10.504235,10.548505,10.446535,0
binary,LINKUSD-OTC,1784564460,10.504295,10.479435,10.511005,10.439635,0
binary,LINKUSD-OTC,1784564520,10.477915,10.541515,10.559925,10.471945,0
binary,LINKUSD-OTC,1784564580,10.544745,10.469815,10.555775,10.450685,0
binary,LINKUSD-OTC,1784564640,10.467755,10.561055,10.590395,10.451845,0
binary,LINKUSD-OTC,1784564700,10.561245,10.627205,10.638555,10.555415,0
binary,LINKUSD-OTC,1784564760,10.631625,10.609655,10.664265,10.567915,0
binary,LINKUSD-OTC,1784564820,10.611395,10.527685,10.612685,10.514715,0
binary,LINKUSD-OTC,1784564880,10.526065,10.618515,10.618515,10.506805,0
binary,LINKUSD-OTC,1784564940,10.615445,10.607365,10.619895,10.555345,0
binary,LINKUSD-OTC,1784565000,10.612355,10.550275,10.624975,10.550275,0
binary,LINKUSD-OTC,1784565060,10.540075,10.577445,10.620665,10.526035,0
binary,LINKUSD-OTC,1784565120,10.572445,10.616065,10.616065,10.550715,0
binary,LINKUSD-OTC,1784565180,10.618535,10.673765,10.682745,10.618535,0
binary,LINKUSD-OTC,1784565240,10.680365,10.684805,10.740715,10.655605,0
binary,LINKUSD-OTC,1784565300,10.688215,10.689385,10.713895,10.652905,0
binary,LINKUSD-OTC,1784565360,10.692705,10.685765,10.722505,10.636455,0
binary,LINKUSD-OTC,1784565420,10.683125,10.690365,10.725895,10.675625,0
binary,LINKUSD-OTC,1784565480,10.690815,10.677585,10.735695,10.660025,0
binary,LINKUSD-OTC,1784565540,10.681145,10.622045,10.692555,10.621915,0
binary,LINKUSD-OTC,1784565600,10.620775,10.780095,10.790755,10.617535,0
binary,LINKUSD-OTC,1784565660,10.779185,10.738455,10.798985,10.699785,0
binary,LINKUSD-OTC,1784565720,10.735185,10.783075,10.795615,10.718495,0
binary,LINKUSD-OTC,1784565780,10.779425,10.765395,10.817505,10.755895,0
binary,LINKUSD-OTC,1784565840,10.764635,10.772675,10.786325,10.727085,0
binary,LINKUSD-OTC,1784565900,10.777425,10.786695,10.859185,10.777425,0
binary,LINKUSD-OTC,1784565960,10.786515,10.753055,10.796695,10.720055,0
binary,LINKUSD-OTC,1784566020,10.760155,10.764755,10.786905,10.727635,0
binary,LINKUSD-OTC,1784566080,10.761055,10.765625,10.793795,10.730215,0
binary,LINKUSD-OTC,1784566140,10.761705,10.734675,10.776945,10.700815,0
binary,LINKUSD-OTC,1784566200,10.729555,10.664225,10.739445,10.659685,0
binary,LINKUSD-OTC,1784566260,10.665375,10.709215,10.733765,10.603815,0
binary,LINKUSD-OTC,1784566320,10.706035,10.686405,10.749025,10.682765,0
binary,LINKUSD-OTC,1784566380,10.685955,10.718485,10.763505,10.685955,0
binary,LINKUSD-OTC,1784566440,10.714605,10.663155,10.725715,10.614385,0
binary,LINKUSD-OTC,1784566500,10.659155,10.742625,10.766755,10.632055,0
binary,LINKUSD-OTC,1784566560,10.743535,10.797435,10.858375,10.739215,0
binary,LINKUSD-OTC,1784566620,10.801725,10.767455,10.801725,10.713255,0
binary,LINKUSD-OTC,1784566680,10.757045,10.693415,10.777835,10.690185,0
binary,LINKUSD-OTC,1784566740,10.696735,10.648885,10.700645,10.632965,0
binary,LINKUSD-OTC,1784566800,10.653055,10.635305,10.677135,10.619125,0
binary,LINKUSD-OTC,1784566860,10.639825,10.688455,10.705205,10.639825,0
binary,LINKUSD-OTC,1784566920,10.689935,10.704805,10.719305,10.656765,0
binary,LINKUSD-OTC,1784566980,10.708665,10.787505,10.790305,10.708665,0
binary,LINKUSD-OTC,1784567040,10.783005,10.849425,10.853465,10.750365,0
binary,LINKUSD-OTC,1784567100,10.853015,10.871465,10.931445,10.839235,0
binary,LINKUSD-OTC,1784567160,10.872035,10.887245,10.978155,10.859775,0
binary,LINKUSD-OTC,1784567220,10.882015,10.816765,10.901635,10.788485,0
binary,LINKUSD-OTC,1784567280,10.815625,10.875075,10.906375,10.806745,0
binary,LINKUSD-OTC,1784567340,10.878925,10.837955,10.879835,10.787195,0
binary,LINKUSD-OTC,1784567400,10.836315,10.904525,10.904525,10.823835,0
binary,LINKUSD-OTC,1784567460,10.902385,10.925535,10.965625,10.888545,0
binary,LINKUSD-OTC,1784567520,10.925715,10.947985,10.969335,10.899025,0
binary,LINKUSD-OTC,1784567580,10.943655,11.072765,11.090715,10.926615,0
binary,LINKUSD-OTC,1784567640,11.078105,11.009435,11.088845,11.003885,0
binary,LINKUSD-OTC,1784567700,11.011815,10.999495,11.038345,10.976605,0
binary,LINKUSD-OTC,1784567760,10.995505,10.982995,11.048845,10.981165,0
binary,LINKUSD-OTC,1784567820,10.983475,10.952585,11.018435,10.952585,0
binary,LINKUSD-OTC,1784567880,10.956135,10.886155,10.962905,10.880695,0
binary,LINKUSD-OTC,1784567940,10.885495,10.969845,10.993435,10.874695,0
binary,LINKUSD-OTC,1784568000,10.973845,10.954365,11.025505,10.938675,0
