tipo,activo,from,open,close,max,min,volume
binary,MANAUSD-OTC,1782036060,0.091775,0.091725,0.092065,0.091655,0
binary,MANAUSD-OTC,1782036120,0.091685,0.091445,0.091735,0.091205,0
binary,MANAUSD-OTC,1782036180,0.091455,0.091765,0.091825,0.091315,0
binary,MANAUSD-OTC,1782036240,0.091735,0.091575,0.091765,0.091535,0
binary,MANAUSD-OTC,1782036300,0.091565,0.091685,0.091705,0.091365,0
binary,MANAUSD-OTC,1782036360,0.091695,0.091345,0.091725,0.091145,0
binary,MANAUSD-OTC,1782036420,0.091355,0.091485,0.092045,0.091325,0
binary,MANAUSD-OTC,1782036480,0.091495,0.091355,0.091495,0.091175,0
binary,MANAUSD-OTC,1782036540,0.091365,0.091435,0.091485,0.091125,0
binary,MANAUSD-OTC,1782036600,0.091485,0.091655,0.091745,0.091475,0
binary,MANAUSD-OTC,1782036660,0.091665,0.092115,0.092135,0.091645,0
binary,MANAUSD-OTC,1782036720,0.092145,0.092415,0.092485,0.092035,0
binary,MANAUSD-OTC,1782036780,0.092445,0.092505,0.092805,0.092395,0
binary,MANAUSD-OTC,1782036840,0.092525,0.092955,0.093015,0.092515,0
binary,MANAUSD-OTC,1782036900,0.092955,0.092875,0.093015,0.092545,0
binary,MANAUSD-OTC,1782036960,0.092865,0.092295,0.092885,0.092285,0
binary,MANAUSD-OTC,1782037020,0.092305,0.092165,0.092345,0.091985,0
binary,MANAUSD-OTC,1782037080,0.092175,0.092415,0.092485,0.092145,0
binary,MANAUSD-OTC,1782037140,0.092445,0.092425,0.092625,0.092325,0
binary,MANAUSD-OTC,1782037200,0.092415,0.092375,0.092645,0.092315,0
binary,MANAUSD-OTC,1782037260,0.092405,0.091975,0.092635,0.091895,0
binary,MANAUSD-OTC,1782037320,0.091995,0.092005,0.092205,0.091785,0
binary,MANAUSD-OTC,1782037380,0.092035,0.092165,0.092245,0.091955,0
binary,MANAUSD-OTC,1782037440,0.092115,0.092105,0.092345,0.092025,0
