tipo,activo,from,open,close,max,min,volume
binary,MSFT-OTC,1784564100,376.5635,375.8675,377.0745,375.4445,0
binary,MSFT-OTC,1784564160,375.8915,374.2575,376.2935,374.2525,0
binary,MSFT-OTC,1784564220,374.2505,372.7145,374.4185,372.5695,0
binary,MSFT-OTC,1784564280,372.7155,372.9155,374.1005,372.6915,0
binary,MSFT-OTC,1784564340,372.9175,373.9015,374.0635,372.6785,0
binary,MSFT-OTC,1784564400,373.9105,374.9505,375.0945,373.1685,0
binary,MSFT-OTC,1784564460,374.7145,374.6985,375.2165,374.1735,0
binary,MSFT-OTC,1784564520,374.7655,374.2075,375.2455,374.2075,0
binary,MSFT-OTC,1784564580,374.2025,373.3415,374.5815,373.3405,0
binary,MSFT-OTC,1784564640,373.5135,373.3605,373.8425,372.9445,0
binary,MSFT-OTC,1784564700,373.3175,372.9605,373.7375,372.3745,0
binary,MSFT-OTC,1784564760,373.0085,372.9675,373.3345,371.9175,0
binary,MSFT-OTC,1784564820,372.9605,371.4955,373.1525,370.9695,0
binary,MSFT-OTC,1784564880,371.4235,370.7115,371.5795,370.6735,0
binary,MSFT-OTC,1784564940,370.7285,370.7785,371.6355,369.9175,0
binary,MSFT-OTC,1784565000,370.7775,370.0975,370.7775,369.8975,0
binary,MSFT-OTC,1784565060,370.0405,369.8405,370.5685,369.4755,0
binary,MSFT-OTC,1784565120,369.8325,369.2165,370.2055,368.4955,0
binary,MSFT-OTC,1784565180,369.2465,369.7885,370.6345,369.1205,0
binary,MSFT-OTC,1784565240,369.6545,371.4405,371.4405,369.4125,0
binary,MSFT-OTC,1784565300,371.4545,371.4095,371.8825,371.1205,0
binary,MSFT-OTC,1784565360,371.4135,368.3345,371.4995,368.3345,0
binary,MSFT-OTC,1784565420,368.3315,368.2965,368.7405,367.4205,0
binary,MSFT-OTC,1784565480,368.2615,366.9045,368.3505,366.9045,0
binary,MSFT-OTC,1784565540,366.8965,368.2695,368.3635,366.6845,0
binary,MSFT-OTC,1784565600,368.2075,369.7215,369.9215,368.1425,0
binary,MSFT-OTC,1784565660,369.7185,370.4685,370.5605,369.1085,0
binary,MSFT-OTC,1784565720,370.5435,370.1315,371.0745,369.9395,0
binary,MSFT-OTC,1784565780,370.1195,369.4495,370.3245,368.8965,0
binary,MSFT-OTC,1784565840,369.4285,370.0395,370.2925,369.2055,0
binary,MSFT-OTC,1784565900,370.0685,368.0015,370.2745,367.1415,0
binary,MSFT-OTC,1784565960,367.9965,366.4715,368.1105,366.0275,0
binary,MSFT-OTC,1784566020,366.4665,366.5455,366.7665,364.9625,0
binary,MSFT-OTC,1784566080,366.5365,368.0775,368.0775,366.5365,0
binary,MSFT-OTC,1784566140,368.0825,369.3615,369.3615,367.9245,0
binary,MSFT-OTC,1784566200,369.4545,368.5295,369.4545,368.2405,0
binary,MSFT-OTC,1784566260,368.4675,370.0175,370.0175,367.9505,0
binary,MSFT-OTC,1784566320,370.0165,370.6585,371.0035,369.7095,0
binary,MSFT-OTC,1784566380,370.4915,369.7845,370.8805,369.2295,0
binary,MSFT-OTC,1784566440,369.7875,369.9855,370.6535,368.7275,0
binary,MSFT-OTC,1784566500,370.0215,370.1235,371.0555,369.4835,0
binary,MSFT-OTC,1784566560,370.1885,369.1575,370.3585,369.0375,0
binary,MSFT-OTC,1784566620,369.1605,367.2415,369.1605,367.0785,0
binary,MSFT-OTC,1784566680,367.2175,366.7285,367.6105,366.2075,0
binary,MSFT-OTC,1784566740,366.6935,364.8335,366.7915,364.5815,0
binary,MSFT-OTC,1784566800,364.8645,364.7685,365.1085,363.8945,0
binary,MSFT-OTC,1784566860,364.7555,363.1255,364.8425,363.1255,0
binary,MSFT-OTC,1784566920,363.2105,362.7385,363.9255,362.6885,0
binary,MSFT-OTC,1784566980,362.7145,365.8205,366.0415,362.7005,0
binary,MSFT-OTC,1784567040,365.8125,365.2485,366.6535,364.9975,0
binary,MSFT-OTC,1784567100,365.3225,366.3035,366.8345,365.2415,0
binary,MSFT-OTC,1784567160,366.3015,365.1485,366.4995,365.1485,0
binary,MSFT-OTC,1784567220,365.1725,365.0945,365.9085,364.6175,0
binary,MSFT-OTC,1784567280,365.0925,366.2495,366.2725,364.8025,0
binary,MSFT-OTC,1784567340,366.2415,366.0825,367.0835,366.0365,0
binary,MSFT-OTC,1784567400,366.0985,367.4935,367.5075,365.2825,0
binary,MSFT-OTC,1784567460,367.4615,367.4095,368.0455,366.8075,0
binary,MSFT-OTC,1784567520,367.3255,367.5655,367.6255,366.4255,0
binary,MSFT-OTC,1784567580,367.5575,369.1785,369.2015,367.1485,0
binary,MSFT-OTC,1784567640,369.1815,369.5955,370.5635,369.1775,0
binary,MSFT-OTC,1784567700,369.6665,370.4985,371.0025,369.5435,0
binary,MSFT-OTC,1784567760,370.4815,369.8665,370.9115,369.4375,0
binary,MSFT-OTC,1784567820,369.8655,369.5585,369.8665,368.6375,0
binary,MSFT-OTC,1784567880,369.5305,368.2885,370.3105,368.0925,0
binary,MSFT-OTC,1784567940,368.2655,369.6775,370.2935,368.2655,0
binary,MSFT-OTC,1784568000,369.3855,371.1105,371.5585,368.9765,0
binary,MSFT-OTC,1784568060,371.0765,368.8905,371.4705,368.8805,0
binary,MSFT-OTC,1784568120,368.8945,372.0865,372.0865,368.8725,0
binary,MSFT-OTC,1784568180,372.1575,373.6035,373.8055,372.1575,0
binary,MSFT-OTC,1784568240,373.5435,374.1775,374.1775,373.4015,0
binary,MSFT-OTC,1784568300,374.1065,374.1755,374.8285,373.6885,0
binary,MSFT-OTC,1784568360,374.1785,375.8025,375.8495,374.1785,0
binary,MSFT-OTC,1784568420,375.6765,376.2645,376.6835,375.6185,0
binary,MSFT-OTC,1784568480,376.2605,376.0345,376.3685,375.2215,0
binary,MSFT-OTC,1784568540,376.0375,376.1485,376.7065,375.3415,0
binary,MSFT-OTC,1784568600,376.1175,377.9295,378.3125,376.0345,0
binary,MSFT-OTC,1784568660,377.9595,377.9555,378.0795,376.7915,0
binary,MSFT-OTC,1784568720,377.9665,376.1815,378.1305,375.2605,0
binary,MSFT-OTC,1784568780,376.2025,376.6205,377.3805,375.7885,0
binary,MSFT-OTC,1784568840,376.6175,376.4545,377.1845,375.5615,0
binary,MSFT-OTC,1784568900,376.4245,374.9725,376.4665,374.4855,0
binary,MSFT-OTC,1784568960,374.9755,375.1755,375.4685,374.3695,0
binary,MSFT-OTC,1784569020,375.1435,374.6885,375.6295,374.4745,0
binary,MSFT-OTC,1784569080,374.7775,373.3575,374.7775,372.4995,0
binary,MSFT-OTC,1784569140,373.3365,373.1115,374.0785,372.5475,0
binary,MSFT-OTC,1784569200,373.1085,373.8185,374.1355,372.5405,0
binary,MSFT-OTC,1784569260,373.9605,372.9585,374.0425,372.8465,0
binary,MSFT-OTC,1784569320,372.8325,373.6425,373.7575,372.5585,0
binary,MSFT-OTC,1784569380,373.6145,373.2585,374.4465,373.2475,0
binary,MSFT-OTC,1784569440,373.2525,374.0715,374.5765,373.1815,0
binary,MSFT-OTC,1784569500,374.0635,376.2225,376.2865,374.0615,0
binary,MSFT-OTC,1784569560,376.2255,376.5025,377.2365,376.0715,0
binary,MSFT-OTC,1784569620,376.5355,376.8055,377.5635,376.4455,0
binary,MSFT-OTC,1784569680,376.8085,375.7915,377.1925,375.0985,0
binary,MSFT-OTC,1784569740,375.7845,376.8335,377.0885,375.5295,0
binary,MSFT-OTC,1784569800,376.8975,374.8105,377.0935,374.7975,0
binary,MSFT-OTC,1784569860,374.9065,374.1355,375.3675,373.6875,0
binary,MSFT-OTC,1784569920,374.0725,374.2955,374.5725,373.8235,0
binary,MSFT-OTC,1784569980,374.3485,374.0835,375.4655,373.8125,0
binary,MSFT-OTC,1784570040,374.0895,373.3615,374.3435,373.0955,0
binary,MSFT-OTC,1784570100,373.4325,374.3845,375.4845,373.3005,0
binary,MSFT-OTC,1784570160,374.4095,373.3475,374.8475,372.9365,0
binary,MSFT-OTC,1784570220,373.5405,372.3295,373.8735,372.0885,0
binary,MSFT-OTC,1784570280,372.3465,372.2225,372.3495,370.8095,0
binary,MSFT-OTC,1784570340,372.2135,373.7695,374.0945,371.5305,0
binary,MSFT-OTC,1784570400,373.7975,372.9345,374.4235,372.8555,0
binary,MSFT-OTC,1784570460,372.8955,372.8775,373.0895,371.8885,0
binary,MSFT-OTC,1784570520,372.8515,372.1815,372.9585,371.3665,0
binary,MSFT-OTC,1784570580,372.0885,370.6795,372.4335,369.8805,0
binary,MSFT-OTC,1784570640,370.6835,371.4065,371.4065,369.8615,0
binary,MSFT-OTC,1784570700,371.5485,372.0345,372.0765,370.1485,0
binary,MSFT-OTC,1784570760,371.9985,371.8985,372.6455,371.0615,0
binary,MSFT-OTC,1784570820,371.9035,370.7865,372.2235,370.4415,0
binary,MSFT-OTC,1784570880,370.7945,369.5855,371.2195,369.5845,0
binary,MSFT-OTC,1784570940,369.5735,368.1475,369.6945,368.0215,0
binary,MSFT-OTC,1784571000,368.1465,365.3685,368.4905,365.2015,0
binary,MSFT-OTC,1784571060,365.3915,364.2215,365.6715,364.0995,0
