tipo,activo,from,open,close,max,min,volume
binary,NIKE-OTC,1782036420,53.2665,53.4265,53.8435,53.1455,0
binary,NIKE-OTC,1782036480,53.4545,53.3035,53.5505,52.9975,0
binary,NIKE-OTC,1782036540,53.3255,53.3785,53.4495,52.7955,0
binary,NIKE-OTC,1782036600,53.3525,53.0355,53.3525,52.7125,0
binary,NIKE-OTC,1782036660,53.0605,54.0455,54.2205,53.0195,0
binary,NIKE-OTC,1782036720,54.0655,54.5205,54.5705,53.8265,0
binary,NIKE-OTC,1782036780,54.4905,55.0415,55.2165,54.4485,0
binary,NIKE-OTC,1782036840,55.0155,55.0725,55.5065,54.7555,0
binary,NIKE-OTC,1782036900,55.0935,55.5385,55.6585,54.9155,0
binary,NIKE-OTC,1782036960,55.5665,55.9605,56.0245,55.4055,0
binary,NIKE-OTC,1782037020,55.9865,54.9705,55.9865,54.9705,0
binary,NIKE-OTC,1782037080,54.9405,54.2725,54.9405,54.1525,0
binary,NIKE-OTC,1782037140,54.2475,54.2475,54.4405,54.0545,0
binary,NIKE-OTC,1782037200,54.1745,54.3005,54.3495,53.9005,0
binary,NIKE-OTC,1782037260,54.3235,54.2405,54.5615,54.1275,0
binary,NIKE-OTC,1782037320,54.2665,54.6445,54.8825,54.2615,0
binary,NIKE-OTC,1782037380,54.6655,55.2605,55.3245,54.4995,0
binary,NIKE-OTC,1782037440,55.2365,55.2545,55.6285,55.1335,0
binary,NIKE-OTC,1782037500,55.2315,54.7725,55.2815,54.5815,0
binary,NIKE-OTC,1782037560,54.7945,55.0085,55.1515,54.6725,0
binary,NIKE-OTC,1782037620,55.0285,54.6705,55.1895,54.5345,0
binary,NIKE-OTC,1782037680,54.6955,54.2755,54.9605,54.2595,0
binary,NIKE-OTC,1782037740,54.2525,54.5035,54.7325,54.1785,0
binary,NIKE-OTC,1782037800,54.4805,55.0335,55.2935,54.4025,0
binary,NIKE-OTC,1782037860,55.0035,55.6495,55.7075,54.8755,0
binary,NIKE-OTC,1782037920,55.6275,55.2335,56.0115,55.1165,0
binary,NIKE-OTC,1782037980,55.2545,55.5585,55.6455,55.2545,0
binary,NIKE-OTC,1782038040,55.5885,56.0555,56.0865,55.5275,0
binary,NIKE-OTC,1782038100,56.0805,55.7135,56.3305,55.6095,0
binary,NIKE-OTC,1782038160,55.6795,54.6275,55.6795,54.6225,0
binary,NIKE-OTC,1782038220,54.6055,55.7685,55.7985,54.4815,0
binary,NIKE-OTC,1782038280,55.7895,55.7125,55.9345,55.5155,0
binary,NIKE-OTC,1782038340,55.6835,55.8195,56.0675,55.6305,0
binary,NIKE-OTC,1782038400,55.7945,55.5745,55.9585,55.5575,0
binary,NIKE-OTC,1782038460,55.6015,56.3575,56.3875,55.4615,0
binary,NIKE-OTC,1782038520,56.3845,56.4775,56.7835,56.3845,0
binary,NIKE-OTC,1782038580,56.5005,55.6385,56.5445,55.6385,0
binary,NIKE-OTC,1782038640,55.6165,56.0875,56.1745,55.5445,0
binary,NIKE-OTC,1782038700,56.1175,55.7435,56.3385,55.6225,0
binary,NIKE-OTC,1782038760,55.7735,55.5385,55.8555,55.3155,0
binary,NIKE-OTC,1782038820,55.5135,55.1345,55.6525,55.0835,0
binary,NIKE-OTC,1782038880,55.1695,55.0105,55.3305,54.8065,0
binary,NIKE-OTC,1782038940,55.0315,54.7315,55.2885,54.7315,0
binary,NIKE-OTC,1782039000,54.7025,54.2305,54.7025,53.9715,0
binary,NIKE-OTC,1782039060,54.2065,54.5555,54.6015,53.6955,0
binary,NIKE-OTC,1782039120,54.5275,54.6665,54.9135,54.3865,0
binary,NIKE-OTC,1782039180,54.6395,54.6305,54.9115,54.3015,0
