tipo,activo,from,open,close,max,min,volume
binary,NOTCOIN-OTC,1782566700,0.000345,0.000335,0.000345,0.000325,0
binary,NOTCOIN-OTC,1782566760,0.000335,0.000345,0.000345,0.000335,0
binary,NOTCOIN-OTC,1782566820,0.000345,0.000335,0.000355,0.000335,0
binary,NOTCOIN-OTC,1782566880,0.000335,0.000355,0.000355,0.000335,0
binary,NOTCOIN-OTC,1782566940,0.000355,0.000355,0.000355,0.000335,0
binary,NOTCOIN-OTC,1782567000,0.000355,0.000355,0.000365,0.000345,0
binary,NOTCOIN-OTC,1782567060,0.000355,0.000335,0.000365,0.000335,0
binary,NOTCOIN-OTC,1782567120,0.000335,0.000325,0.000335,0.000305,0
binary,NOTCOIN-OTC,1782567180,0.000315,0.000315,0.000335,0.000315,0
binary,NOTCOIN-OTC,1782567240,0.000315,0.000315,0.000325,0.000305,0
binary,NOTCOIN-OTC,1782567300,0.000315,0.000315,0.000325,0.000305,0
binary,NOTCOIN-OTC,1782567360,0.000305,0.000285,0.000315,0.000285,0
binary,NOTCOIN-OTC,1782567420,0.000285,0.000295,0.000295,0.000275,0
binary,NOTCOIN-OTC,1782567480,0.000295,0.000285,0.000305,0.000275,0
binary,NOTCOIN-OTC,1782567540,0.000295,0.000305,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782567600,0.000305,0.000325,0.000325,0.000305,0
binary,NOTCOIN-OTC,1782567660,0.000325,0.000345,0.000345,0.000315,0
binary,NOTCOIN-OTC,1782567720,0.000345,0.000335,0.000345,0.000325,0
binary,NOTCOIN-OTC,1782567780,0.000335,0.000325,0.000345,0.000325,0
binary,NOTCOIN-OTC,1782567840,0.000325,0.000315,0.000335,0.000305,0
binary,NOTCOIN-OTC,1782567900,0.000315,0.000315,0.000325,0.000305,0
binary,NOTCOIN-OTC,1782567960,0.000315,0.000295,0.000315,0.000295,0
binary,NOTCOIN-OTC,1782568020,0.000295,0.000315,0.000325,0.000295,0
binary,NOTCOIN-OTC,1782568080,0.000305,0.000315,0.000325,0.000305,0
binary,NOTCOIN-OTC,1782568140,0.000315,0.000305,0.000315,0.000305,0
binary,NOTCOIN-OTC,1782568200,0.000305,0.000305,0.000305,0.000295,0
binary,NOTCOIN-OTC,1782568260,0.000305,0.000305,0.000315,0.000305,0
binary,NOTCOIN-OTC,1782568320,0.000305,0.000295,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782568380,0.000305,0.000295,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782568440,0.000295,0.000295,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782568500,0.000295,0.000285,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782568560,0.000285,0.000285,0.000285,0.000265,0
binary,NOTCOIN-OTC,1782568620,0.000285,0.000285,0.000295,0.000275,0
binary,NOTCOIN-OTC,1782568680,0.000285,0.000285,0.000295,0.000285,0
binary,NOTCOIN-OTC,1782568740,0.000285,0.000305,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782568800,0.000305,0.000295,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782568860,0.000295,0.000295,0.000325,0.000295,0
binary,NOTCOIN-OTC,1782568920,0.000295,0.000295,0.000305,0.000285,0
binary,NOTCOIN-OTC,1782568980,0.000295,0.000275,0.000295,0.000275,0
binary,NOTCOIN-OTC,1782569040,0.000265,0.000245,0.000275,0.000245,0
binary,NOTCOIN-OTC,1782569100,0.000245,0.000245,0.000255,0.000235,0
binary,NOTCOIN-OTC,1782569160,0.000245,0.000215,0.000245,0.000215,0
binary,NOTCOIN-OTC,1782569220,0.000215,0.000225,0.000225,0.000215,0
binary,NOTCOIN-OTC,1782569280,0.000225,0.000225,0.000225,0.000215,0
binary,NOTCOIN-OTC,1782569340,0.000225,0.000235,0.000235,0.000215,0
binary,NOTCOIN-OTC,1782569400,0.000225,0.000215,0.000225,0.000215,0
binary,NOTCOIN-OTC,1782569460,0.000215,0.000225,0.000235,0.000215,0
binary,NOTCOIN-OTC,1782569520,0.000225,0.000195,0.000225,0.000195,0
binary,NOTCOIN-OTC,1782569580,0.000195,0.000205,0.000215,0.000195,0
binary,NOTCOIN-OTC,1782569640,0.000205,0.000205,0.000215,0.000205,0
binary,NOTCOIN-OTC,1782569700,0.000205,0.000195,0.000205,0.000195,0
binary,NOTCOIN-OTC,1782569760,0.000195,0.000195,0.000215,0.000195,0
binary,NOTCOIN-OTC,1782569820,0.000195,0.000195,0.000205,0.000185,0
binary,NOTCOIN-OTC,1782569880,0.000185,0.000185,0.000195,0.000175,0
binary,NOTCOIN-OTC,1782569940,0.000185,0.000195,0.000195,0.000175,0
binary,NOTCOIN-OTC,1782570000,0.000195,0.000195,0.000195,0.000185,0
binary,NOTCOIN-OTC,1782570060,0.000195,0.000185,0.000195,0.000185,0
binary,NOTCOIN-OTC,1782570120,0.000185,0.000185,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782570180,0.000185,0.000165,0.000185,0.000165,0
binary,NOTCOIN-OTC,1782570240,0.000165,0.000165,0.000175,0.000165,0
binary,NOTCOIN-OTC,1782570300,0.000165,0.000155,0.000165,0.000155,0
binary,NOTCOIN-OTC,1782570360,0.000155,0.000155,0.000165,0.000155,0
binary,NOTCOIN-OTC,1782570420,0.000155,0.000155,0.000155,0.000145,0
binary,NOTCOIN-OTC,1782570480,0.000165,0.000165,0.000165,0.000155,0
binary,NOTCOIN-OTC,1782570540,0.000175,0.000185,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782570600,0.000185,0.000175,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782570660,0.000175,0.000175,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782570720,0.000175,0.000165,0.000175,0.000165,0
binary,NOTCOIN-OTC,1782570780,0.000165,0.000175,0.000185,0.000165,0
binary,NOTCOIN-OTC,1782570840,0.000175,0.000165,0.000175,0.000165,0
binary,NOTCOIN-OTC,1782570900,0.000175,0.000185,0.000185,0.000165,0
binary,NOTCOIN-OTC,1782570960,0.000185,0.000175,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782571020,0.000175,0.000185,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782571080,0.000185,0.000175,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782571140,0.000175,0.000175,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782571200,0.000175,0.000185,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782571260,0.000185,0.000175,0.000185,0.000175,0
binary,NOTCOIN-OTC,1782571320,0.000175,0.000175,0.000175,0.000165,0
binary,NOTCOIN-OTC,1782571380,0.000175,0.000165,0.000175,0.000165,0
binary,NOTCOIN-OTC,1782571440,0.000165,0.000175,0.000175,0.000165,0
binary,NOTCOIN-OTC,1782571500,0.000175,0.000165,0.000175,0.000165,0
binary,NOTCOIN-OTC,1782571560,0.000165,0.000165,0.000165,0.000155,0
binary,NOTCOIN-OTC,1782571620,0.000165,0.000165,0.000165,0.000165,0
