tipo,activo,from,open,close,max,min,volume
binary,NZDJPY-OTC,1782510600,91.624795,91.559365,91.628095,91.553705,0
binary,NZDJPY-OTC,1782510660,91.557285,91.554195,91.593925,91.530505,0
binary,NZDJPY-OTC,1782510720,91.555135,91.525635,91.574335,91.525635,0
binary,NZDJPY-OTC,1782510780,91.524405,91.619845,91.623025,91.518725,0
binary,NZDJPY-OTC,1782510840,91.620275,91.652655,91.700165,91.620275,0
binary,NZDJPY-OTC,1782510900,91.651225,91.567795,91.651225,91.567795,0
binary,NZDJPY-OTC,1782510960,91.564355,91.629715,91.631195,91.557175,0
binary,NZDJPY-OTC,1782511020,91.628675,91.603595,91.629955,91.592385,0
binary,NZDJPY-OTC,1782511080,91.601415,91.582385,91.601975,91.564525,0
binary,NZDJPY-OTC,1782511140,91.582315,91.610055,91.623345,91.567945,0
binary,NZDJPY-OTC,1782511200,91.610935,91.677965,91.704935,91.606955,0
binary,NZDJPY-OTC,1782511260,91.672805,91.660595,91.707475,91.651665,0
binary,NZDJPY-OTC,1782511320,91.664955,91.671855,91.709175,91.658035,0
binary,NZDJPY-OTC,1782511380,91.665625,91.662185,91.699485,91.620435,0
binary,NZDJPY-OTC,1782511440,91.667395,91.752545,91.764055,91.667395,0
binary,NZDJPY-OTC,1782511500,91.753405,91.748995,91.782325,91.733345,0
binary,NZDJPY-OTC,1782511560,91.749255,91.833445,91.833445,91.745775,0
binary,NZDJPY-OTC,1782511620,91.832675,91.814765,91.839375,91.795595,0
binary,NZDJPY-OTC,1782511680,91.812635,91.865225,91.891765,91.812635,0
binary,NZDJPY-OTC,1782511740,91.869425,91.850725,91.899655,91.801885,0
binary,NZDJPY-OTC,1782511800,91.848725,91.821045,91.857655,91.812865,0
binary,NZDJPY-OTC,1782511860,91.825295,91.810625,91.852075,91.810455,0
binary,NZDJPY-OTC,1782511920,91.810505,91.846055,91.847865,91.781405,0
binary,NZDJPY-OTC,1782511980,91.845375,91.839685,91.871645,91.820415,0
binary,NZDJPY-OTC,1782512040,91.839515,91.837395,91.861025,91.821545,0
binary,NZDJPY-OTC,1782512100,91.840685,91.883765,91.897275,91.838985,0
binary,NZDJPY-OTC,1782512160,91.886045,91.870495,91.935905,91.870375,0
binary,NZDJPY-OTC,1782512220,91.868085,91.825325,91.868085,91.800655,0
binary,NZDJPY-OTC,1782512280,91.819715,91.814425,91.834275,91.780665,0
binary,NZDJPY-OTC,1782512340,91.816215,91.797775,91.840085,91.781495,0
binary,NZDJPY-OTC,1782512400,91.799315,91.737875,91.818415,91.714455,0
binary,NZDJPY-OTC,1782512460,91.737205,91.688655,91.737705,91.680655,0
binary,NZDJPY-OTC,1782512520,91.687815,91.720175,91.725175,91.683925,0
binary,NZDJPY-OTC,1782512580,91.719655,91.784275,91.786595,91.718765,0
binary,NZDJPY-OTC,1782512640,91.785505,91.849465,91.850865,91.758605,0
binary,NZDJPY-OTC,1782512700,91.849685,91.902965,91.912165,91.835395,0
binary,NZDJPY-OTC,1782512760,91.905455,91.828435,91.906045,91.822735,0
binary,NZDJPY-OTC,1782512820,91.830845,91.797945,91.840735,91.778385,0
binary,NZDJPY-OTC,1782512880,91.796685,91.808595,91.813435,91.751765,0
binary,NZDJPY-OTC,1782512940,91.810695,91.808335,91.849815,91.805075,0
binary,NZDJPY-OTC,1782513000,91.809765,91.801645,91.818725,91.777855,0
binary,NZDJPY-OTC,1782513060,91.800685,91.849825,91.873965,91.800685,0
binary,NZDJPY-OTC,1782513120,91.849615,91.854435,91.882315,91.848525,0
binary,NZDJPY-OTC,1782513180,91.864025,91.894975,91.931455,91.863265,0
binary,NZDJPY-OTC,1782513240,91.898985,91.944825,91.954385,91.889865,0
binary,NZDJPY-OTC,1782513300,91.944905,91.958345,91.965165,91.924075,0
binary,NZDJPY-OTC,1782513360,91.960705,91.968245,91.978475,91.930005,0
binary,NZDJPY-OTC,1782513420,91.967295,91.984485,91.997655,91.955735,0
binary,NZDJPY-OTC,1782513480,91.982725,91.984635,92.019835,91.953585,0
binary,NZDJPY-OTC,1782513540,91.985715,91.900785,91.985925,91.897455,0
binary,NZDJPY-OTC,1782513600,91.893115,91.888175,91.902485,91.858405,0
binary,NZDJPY-OTC,1782513660,91.884955,91.816065,91.896265,91.808385,0
binary,NZDJPY-OTC,1782513720,91.817485,91.866765,91.866765,91.792985,0
binary,NZDJPY-OTC,1782513780,91.867065,91.916055,91.925725,91.867065,0
binary,NZDJPY-OTC,1782513840,91.913745,91.876175,91.922085,91.867665,0
binary,NZDJPY-OTC,1782513900,91.876745,91.840995,91.895165,91.813955,0
binary,NZDJPY-OTC,1782513960,91.843495,91.800445,91.844495,91.785095,0
binary,NZDJPY-OTC,1782514020,91.796915,91.772105,91.798285,91.746115,0
binary,NZDJPY-OTC,1782514080,91.773605,91.709965,91.778335,91.699425,0
binary,NZDJPY-OTC,1782514140,91.706705,91.708315,91.713415,91.668305,0
binary,NZDJPY-OTC,1782514200,91.707545,91.650485,91.711575,91.640005,0
