tipo,activo,from,open,close,max,min,volume
binary,NZDUSD-OTC,1782036420,0.704885,0.705275,0.705725,0.704675,0
binary,NZDUSD-OTC,1782036480,0.705295,0.705865,0.706165,0.704635,0
binary,NZDUSD-OTC,1782036540,0.705895,0.706705,0.707025,0.705415,0
binary,NZDUSD-OTC,1782036600,0.706695,0.706715,0.707275,0.706295,0
binary,NZDUSD-OTC,1782036660,0.706585,0.707515,0.707955,0.706275,0
binary,NZDUSD-OTC,1782036720,0.707585,0.706855,0.707835,0.706335,0
binary,NZDUSD-OTC,1782036780,0.706835,0.705855,0.706935,0.704985,0
binary,NZDUSD-OTC,1782036840,0.705825,0.704975,0.705965,0.703985,0
binary,NZDUSD-OTC,1782036900,0.705045,0.705875,0.706225,0.704945,0
binary,NZDUSD-OTC,1782036960,0.705885,0.705405,0.706405,0.705255,0
binary,NZDUSD-OTC,1782037020,0.705515,0.704735,0.705575,0.704135,0
binary,NZDUSD-OTC,1782037080,0.704625,0.705065,0.705565,0.704525,0
binary,NZDUSD-OTC,1782037140,0.705025,0.704465,0.705025,0.703745,0
binary,NZDUSD-OTC,1782037200,0.704505,0.706235,0.706325,0.704505,0
binary,NZDUSD-OTC,1782037260,0.706275,0.706165,0.706635,0.705725,0
binary,NZDUSD-OTC,1782037320,0.706205,0.706205,0.706755,0.705715,0
binary,NZDUSD-OTC,1782037380,0.706225,0.706225,0.706775,0.705725,0
binary,NZDUSD-OTC,1782037440,0.706215,0.706045,0.706555,0.705645,0
binary,NZDUSD-OTC,1782037500,0.706035,0.705005,0.706035,0.704605,0
binary,NZDUSD-OTC,1782037560,0.704915,0.704795,0.705325,0.704305,0
binary,NZDUSD-OTC,1782037620,0.704765,0.705555,0.705555,0.704305,0
binary,NZDUSD-OTC,1782037680,0.705455,0.705175,0.706785,0.705145,0
binary,NZDUSD-OTC,1782037740,0.705445,0.705915,0.706845,0.705335,0
binary,NZDUSD-OTC,1782037800,0.705865,0.704835,0.706135,0.704765,0
binary,NZDUSD-OTC,1782037860,0.704855,0.705885,0.706325,0.704285,0
binary,NZDUSD-OTC,1782037920,0.705865,0.706945,0.707275,0.705535,0
binary,NZDUSD-OTC,1782037980,0.707015,0.707055,0.707875,0.706255,0
binary,NZDUSD-OTC,1782038040,0.707085,0.706965,0.707795,0.706655,0
binary,NZDUSD-OTC,1782038100,0.707015,0.707605,0.707725,0.705955,0
binary,NZDUSD-OTC,1782038160,0.707625,0.708285,0.708545,0.707165,0
binary,NZDUSD-OTC,1782038220,0.708375,0.708105,0.709125,0.707875,0
binary,NZDUSD-OTC,1782038280,0.708115,0.707575,0.708275,0.706805,0
binary,NZDUSD-OTC,1782038340,0.707625,0.707195,0.707655,0.706715,0
binary,NZDUSD-OTC,1782038400,0.707205,0.707065,0.707695,0.706705,0
binary,NZDUSD-OTC,1782038460,0.707135,0.707585,0.707965,0.706855,0
binary,NZDUSD-OTC,1782038520,0.707635,0.707065,0.707675,0.706225,0
binary,NZDUSD-OTC,1782038580,0.706975,0.707395,0.708695,0.706835,0
binary,NZDUSD-OTC,1782038640,0.707455,0.707965,0.708345,0.707435,0
binary,NZDUSD-OTC,1782038700,0.708175,0.707625,0.708205,0.707615,0
binary,NZDUSD-OTC,1782038760,0.707525,0.708405,0.708495,0.707375,0
binary,NZDUSD-OTC,1782038820,0.708465,0.708385,0.709425,0.708295,0
binary,NZDUSD-OTC,1782038880,0.708415,0.708625,0.709155,0.708205,0
binary,NZDUSD-OTC,1782038940,0.708675,0.706735,0.708795,0.706515,0
