tipo,activo,from,open,close,max,min,volume
binary,ORDIUSD-OTC,1782036060,4.523965,4.521105,4.542505,4.515035,0
binary,ORDIUSD-OTC,1782036120,4.522475,4.545435,4.550885,4.516825,0
binary,ORDIUSD-OTC,1782036180,4.545935,4.543885,4.549955,4.526295,0
binary,ORDIUSD-OTC,1782036240,4.543925,4.521675,4.555615,4.520925,0
binary,ORDIUSD-OTC,1782036300,4.520555,4.543555,4.543555,4.519435,0
binary,ORDIUSD-OTC,1782036360,4.543125,4.546935,4.559915,4.530865,0
binary,ORDIUSD-OTC,1782036420,4.546465,4.562465,4.571005,4.540345,0
binary,ORDIUSD-OTC,1782036480,4.561945,4.553975,4.566525,4.542705,0
binary,ORDIUSD-OTC,1782036540,4.552785,4.543125,4.560465,4.532445,0
binary,ORDIUSD-OTC,1782036600,4.543145,4.528475,4.547605,4.525965,0
binary,ORDIUSD-OTC,1782036660,4.528565,4.551265,4.552965,4.518825,0
binary,ORDIUSD-OTC,1782036720,4.551635,4.530305,4.554315,4.524015,0
binary,ORDIUSD-OTC,1782036780,4.529875,4.518435,4.545365,4.518435,0
binary,ORDIUSD-OTC,1782036840,4.520525,4.503015,4.521195,4.502945,0
binary,ORDIUSD-OTC,1782036900,4.503705,4.467505,4.512355,4.464795,0
binary,ORDIUSD-OTC,1782036960,4.467215,4.467675,4.470835,4.446445,0
binary,ORDIUSD-OTC,1782037020,4.467035,4.457505,4.469735,4.433915,0
binary,ORDIUSD-OTC,1782037080,4.457695,4.442915,4.459595,4.420785,0
binary,ORDIUSD-OTC,1782037140,4.442045,4.438335,4.449955,4.430595,0
binary,ORDIUSD-OTC,1782037200,4.438165,4.449995,4.467015,4.437985,0
binary,ORDIUSD-OTC,1782037260,4.451055,4.441875,4.458795,4.435875,0
binary,ORDIUSD-OTC,1782037320,4.438955,4.393895,4.438995,4.390915,0
binary,ORDIUSD-OTC,1782037380,4.395385,4.453035,4.453035,4.393115,0
binary,ORDIUSD-OTC,1782037440,4.453245,4.481295,4.482565,4.453075,0
binary,ORDIUSD-OTC,1782037500,4.481555,4.459675,4.482585,4.438875,0
binary,ORDIUSD-OTC,1782037560,4.461435,4.470945,4.470945,4.450525,0
binary,ORDIUSD-OTC,1782037620,4.472025,4.499505,4.499505,4.456765,0
binary,ORDIUSD-OTC,1782037680,4.499325,4.505545,4.510415,4.487965,0
binary,ORDIUSD-OTC,1782037740,4.506255,4.499445,4.516565,4.487305,0
binary,ORDIUSD-OTC,1782037800,4.498905,4.508325,4.515815,4.493325,0
binary,ORDIUSD-OTC,1782037860,4.507685,4.501515,4.535155,4.501515,0
binary,ORDIUSD-OTC,1782037920,4.501945,4.497975,4.516745,4.496945,0
binary,ORDIUSD-OTC,1782037980,4.498475,4.493625,4.517855,4.484195,0
binary,ORDIUSD-OTC,1782038040,4.492425,4.492025,4.504915,4.482865,0
binary,ORDIUSD-OTC,1782038100,4.492435,4.474505,4.493355,4.460525,0
binary,ORDIUSD-OTC,1782038160,4.474235,4.474995,4.490975,4.471025,0
binary,ORDIUSD-OTC,1782038220,4.474825,4.486965,4.487225,4.462275,0
binary,ORDIUSD-OTC,1782038280,4.487385,4.506065,4.512955,4.486085,0
binary,ORDIUSD-OTC,1782038340,4.504205,4.505885,4.518365,4.497515,0
binary,ORDIUSD-OTC,1782038400,4.507045,4.472195,4.507045,4.469405,0
binary,ORDIUSD-OTC,1782038460,4.472045,4.483085,4.486865,4.471635,0
binary,ORDIUSD-OTC,1782038520,4.481675,4.457655,4.486175,4.451205,0
binary,ORDIUSD-OTC,1782038580,4.457425,4.442005,4.459765,4.435855,0
binary,ORDIUSD-OTC,1782038640,4.442045,4.416685,4.444775,4.407505,0
binary,ORDIUSD-OTC,1782038700,4.416605,4.439895,4.442335,4.409765,0
binary,ORDIUSD-OTC,1782038760,4.441615,4.452765,4.466335,4.437615,0
binary,ORDIUSD-OTC,1782038820,4.455025,4.438535,4.455025,4.430175,0
binary,ORDIUSD-OTC,1782038880,4.438705,4.479035,4.481475,4.435595,0
binary,ORDIUSD-OTC,1782038940,4.478535,4.426725,4.482105,4.426725,0
binary,ORDIUSD-OTC,1782039000,4.426825,4.419085,4.433755,4.398745,0
binary,ORDIUSD-OTC,1782039060,4.417535,4.415485,4.433495,4.414835,0
binary,ORDIUSD-OTC,1782039120,4.415035,4.414005,4.421015,4.407695,0
binary,ORDIUSD-OTC,1782039180,4.413515,4.395915,4.414115,4.392075,0
binary,ORDIUSD-OTC,1782039240,4.395475,4.426715,4.434565,4.395475,0
binary,ORDIUSD-OTC,1782039300,4.424895,4.425965,4.428695,4.399565,0
binary,ORDIUSD-OTC,1782039360,4.426995,4.432455,4.452515,4.425215,0
binary,ORDIUSD-OTC,1782039420,4.431815,4.438895,4.453905,4.423835,0
binary,ORDIUSD-OTC,1782039480,4.439365,4.415525,4.442345,4.413285,0
binary,ORDIUSD-OTC,1782039540,4.413815,4.383985,4.413815,4.379655,0
binary,ORDIUSD-OTC,1782039600,4.384415,4.390205,4.392065,4.373065,0
binary,ORDIUSD-OTC,1782039660,4.390595,4.356575,4.390595,4.353065,0
binary,ORDIUSD-OTC,1782039720,4.357915,4.346495,4.370045,4.341325,0
binary,ORDIUSD-OTC,1782039780,4.346515,4.337275,4.354275,4.337275,0
binary,ORDIUSD-OTC,1782039840,4.337615,4.353865,4.353865,4.331285,0
binary,ORDIUSD-OTC,1782039900,4.354815,4.364735,4.366595,4.344385,0
binary,ORDIUSD-OTC,1782039960,4.364175,4.382295,4.384165,4.360625,0
binary,ORDIUSD-OTC,1782040020,4.383035,4.372895,4.384015,4.365155,0
binary,ORDIUSD-OTC,1782040080,4.373255,4.373725,4.373995,4.358675,0
binary,ORDIUSD-OTC,1782040140,4.374255,4.367785,4.379115,4.361325,0
binary,ORDIUSD-OTC,1782040200,4.367535,4.388545,4.388545,4.354495,0
binary,ORDIUSD-OTC,1782040260,4.388815,4.423195,4.423505,4.387195,0
binary,ORDIUSD-OTC,1782040320,4.423815,4.409645,4.427965,4.401005,0
binary,ORDIUSD-OTC,1782040380,4.410135,4.420545,4.431845,4.401885,0
binary,ORDIUSD-OTC,1782040440,4.420135,4.404025,4.431915,4.396415,0
binary,ORDIUSD-OTC,1782040500,4.403295,4.406225,4.412055,4.392335,0
binary,ORDIUSD-OTC,1782040560,4.406755,4.413695,4.419855,4.392785,0
binary,ORDIUSD-OTC,1782040620,4.411765,4.413695,4.421105,4.391445,0
binary,ORDIUSD-OTC,1782040680,4.411465,4.372335,4.423205,4.369795,0
binary,ORDIUSD-OTC,1782040740,4.370395,4.373135,4.397135,4.368175,0
binary,ORDIUSD-OTC,1782040800,4.372545,4.351445,4.392605,4.348585,0
binary,ORDIUSD-OTC,1782040860,4.350135,4.359825,4.384465,4.350135,0
binary,ORDIUSD-OTC,1782040920,4.358275,4.358435,4.367675,4.355345,0
binary,ORDIUSD-OTC,1782040980,4.357585,4.369255,4.374125,4.352235,0
binary,ORDIUSD-OTC,1782041040,4.370005,4.334655,4.372095,4.334655,0
binary,ORDIUSD-OTC,1782041100,4.334435,4.318235,4.340755,4.307005,0
binary,ORDIUSD-OTC,1782041160,4.318655,4.339645,4.342285,4.317195,0
binary,ORDIUSD-OTC,1782041220,4.339345,4.315645,4.351515,4.313015,0
binary,ORDIUSD-OTC,1782041280,4.315505,4.287485,4.319985,4.277545,0
binary,ORDIUSD-OTC,1782041340,4.285535,4.260875,4.291915,4.257715,0
binary,ORDIUSD-OTC,1782041400,4.261245,4.255355,4.267055,4.238805,0
binary,ORDIUSD-OTC,1782041460,4.256105,4.286755,4.287315,4.255865,0
binary,ORDIUSD-OTC,1782041520,4.286155,4.274335,4.292015,4.270055,0
binary,ORDIUSD-OTC,1782041580,4.274325,4.247855,4.274775,4.246065,0
binary,ORDIUSD-OTC,1782041640,4.247975,4.256765,4.269375,4.247845,0
binary,ORDIUSD-OTC,1782041700,4.257395,4.239275,4.257395,4.226575,0
binary,ORDIUSD-OTC,1782041760,4.238955,4.249005,4.263725,4.238715,0
binary,ORDIUSD-OTC,1782041820,4.249125,4.257945,4.258145,4.234975,0
binary,ORDIUSD-OTC,1782041880,4.258585,4.284055,4.287125,4.254695,0
binary,ORDIUSD-OTC,1782041940,4.286735,4.265915,4.294845,4.265705,0
binary,ORDIUSD-OTC,1782042000,4.265305,4.243455,4.265305,4.228345,0
binary,ORDIUSD-OTC,1782042060,4.242235,4.227365,4.249015,4.227195,0
binary,ORDIUSD-OTC,1782042120,4.225585,4.243725,4.243965,4.214315,0
binary,ORDIUSD-OTC,1782042180,4.245655,4.223795,4.250215,4.223345,0
binary,ORDIUSD-OTC,1782042240,4.224215,4.207655,4.224555,4.205815,0
binary,ORDIUSD-OTC,1782042300,4.205905,4.211015,4.221685,4.199855,0
binary,ORDIUSD-OTC,1782042360,4.210845,4.200015,4.210845,4.183045,0
binary,ORDIUSD-OTC,1782042420,4.198575,4.189915,4.198575,4.181445,0
binary,ORDIUSD-OTC,1782042480,4.190385,4.194085,4.194465,4.168665,0
binary,ORDIUSD-OTC,1782042540,4.194495,4.206905,4.214545,4.193895,0
binary,ORDIUSD-OTC,1782042600,4.206385,4.198475,4.218585,4.193235,0
