tipo,activo,from,open,close,max,min,volume
binary,PENGUUSD-OTC,1782697320,8.047535,8.064285,8.073845,8.010615,0
binary,PENGUUSD-OTC,1782697380,8.064555,8.107965,8.107965,8.048185,0
binary,PENGUUSD-OTC,1782697440,8.109455,8.136345,8.142555,8.088105,0
binary,PENGUUSD-OTC,1782697500,8.138585,8.155685,8.188835,8.134265,0
binary,PENGUUSD-OTC,1782697560,8.161755,8.269775,8.284495,8.156655,0
binary,PENGUUSD-OTC,1782697620,8.269975,8.302195,8.304245,8.245345,0
binary,PENGUUSD-OTC,1782697680,8.300405,8.321995,8.370895,8.288955,0
binary,PENGUUSD-OTC,1782697740,8.323425,8.297945,8.344855,8.268745,0
binary,PENGUUSD-OTC,1782697800,8.302265,8.182215,8.311965,8.168585,0
binary,PENGUUSD-OTC,1782697860,8.177625,8.222375,8.222375,8.163215,0
binary,PENGUUSD-OTC,1782697920,8.218455,8.136775,8.248525,8.133375,0
binary,PENGUUSD-OTC,1782697980,8.138995,8.176735,8.226075,8.128575,0
binary,PENGUUSD-OTC,1782698040,8.184345,8.147755,8.203515,8.147755,0
binary,PENGUUSD-OTC,1782698100,8.148445,8.144345,8.177085,8.124905,0
binary,PENGUUSD-OTC,1782698160,8.144715,8.166735,8.166735,8.091335,0
binary,PENGUUSD-OTC,1782698220,8.168365,8.195525,8.224325,8.164295,0
binary,PENGUUSD-OTC,1782698280,8.198405,8.230795,8.249855,8.166885,0
binary,PENGUUSD-OTC,1782698340,8.232155,8.172855,8.232155,8.168775,0
binary,PENGUUSD-OTC,1782698400,8.173505,8.128275,8.188555,8.128275,0
binary,PENGUUSD-OTC,1782698460,8.127315,8.135945,8.230185,8.123725,0
binary,PENGUUSD-OTC,1782698520,8.137265,8.054445,8.167885,8.038675,0
binary,PENGUUSD-OTC,1782698580,8.059095,8.050115,8.090885,8.035845,0
binary,PENGUUSD-OTC,1782698640,8.053085,8.109525,8.138525,8.050305,0
binary,PENGUUSD-OTC,1782698700,8.110765,8.178195,8.205135,8.085725,0
binary,PENGUUSD-OTC,1782698760,8.177015,8.196735,8.262005,8.174485,0
binary,PENGUUSD-OTC,1782698820,8.193325,8.210385,8.225645,8.183695,0
binary,PENGUUSD-OTC,1782698880,8.205755,8.210815,8.261775,8.193165,0
binary,PENGUUSD-OTC,1782698940,8.210505,8.224775,8.249925,8.202915,0
binary,PENGUUSD-OTC,1782699000,8.215895,8.148025,8.221945,8.131385,0
binary,PENGUUSD-OTC,1782699060,8.152245,8.160815,8.215125,8.139105,0
binary,PENGUUSD-OTC,1782699120,8.166055,8.092195,8.183475,8.088515,0
binary,PENGUUSD-OTC,1782699180,8.092495,8.091555,8.094405,8.012475,0
binary,PENGUUSD-OTC,1782699240,8.095425,8.053575,8.095425,8.037195,0
binary,PENGUUSD-OTC,1782699300,8.057315,8.068065,8.074305,7.995605,0
binary,PENGUUSD-OTC,1782699360,8.065755,8.168505,8.183225,8.060925,0
binary,PENGUUSD-OTC,1782699420,8.164265,8.145305,8.164365,8.108015,0
binary,PENGUUSD-OTC,1782699480,8.142495,8.087265,8.144145,8.083605,0
binary,PENGUUSD-OTC,1782699540,8.084135,8.108865,8.126905,8.045725,0
binary,PENGUUSD-OTC,1782699600,8.106885,8.139465,8.155315,8.078085,0
binary,PENGUUSD-OTC,1782699660,8.140405,8.198965,8.224245,8.140405,0
binary,PENGUUSD-OTC,1782699720,8.202075,8.162875,8.215345,8.154235,0
binary,PENGUUSD-OTC,1782699780,8.172265,8.180595,8.222165,8.162645,0
binary,PENGUUSD-OTC,1782699840,8.179995,8.173745,8.238465,8.173745,0
binary,PENGUUSD-OTC,1782699900,8.171685,8.227625,8.245325,8.161835,0
binary,PENGUUSD-OTC,1782699960,8.231315,8.255095,8.259865,8.179285,0
binary,PENGUUSD-OTC,1782700020,8.253265,8.185445,8.281995,8.178765,0
binary,PENGUUSD-OTC,1782700080,8.180995,8.166545,8.220155,8.112005,0
binary,PENGUUSD-OTC,1782700140,8.163265,8.106435,8.190925,8.106435,0
binary,PENGUUSD-OTC,1782700200,8.109085,8.151315,8.181395,8.109085,0
binary,PENGUUSD-OTC,1782700260,8.153655,8.077315,8.172505,8.077315,0
binary,PENGUUSD-OTC,1782700320,8.077805,8.072375,8.108915,8.027385,0
binary,PENGUUSD-OTC,1782700380,8.069345,8.145845,8.147035,8.042755,0
binary,PENGUUSD-OTC,1782700440,8.146895,8.236425,8.236425,8.121145,0
binary,PENGUUSD-OTC,1782700500,8.240085,8.226295,8.249745,8.207625,0
binary,PENGUUSD-OTC,1782700560,8.228125,8.105325,8.240115,8.077725,0
binary,PENGUUSD-OTC,1782700620,8.104515,7.981405,8.111995,7.981405,0
binary,PENGUUSD-OTC,1782700680,7.980495,8.048835,8.062365,7.978195,0
binary,PENGUUSD-OTC,1782700740,8.045255,8.036585,8.069425,8.027935,0
binary,PENGUUSD-OTC,1782700800,8.040755,8.075375,8.090275,8.035485,0
binary,PENGUUSD-OTC,1782700860,8.073565,7.995945,8.123195,7.991985,0
binary,PENGUUSD-OTC,1782700920,7.999675,7.931585,8.005635,7.902415,0
binary,PENGUUSD-OTC,1782700980,7.928635,7.959905,7.972635,7.912705,0
binary,PENGUUSD-OTC,1782701040,7.960635,7.940795,7.960635,7.925535,0
binary,PENGUUSD-OTC,1782701100,7.940225,7.890245,7.942465,7.867835,0
binary,PENGUUSD-OTC,1782701160,7.889125,7.920935,7.923295,7.867095,0
binary,PENGUUSD-OTC,1782701220,7.919885,7.838835,7.933985,7.817125,0
binary,PENGUUSD-OTC,1782701280,7.838415,7.787285,7.839395,7.781095,0
binary,PENGUUSD-OTC,1782701340,7.784485,7.691275,7.812435,7.690135,0
binary,PENGUUSD-OTC,1782701400,7.689045,7.682575,7.712315,7.640695,0
binary,PENGUUSD-OTC,1782701460,7.689085,7.655225,7.732445,7.648805,0
binary,PENGUUSD-OTC,1782701520,7.658555,7.591085,7.677755,7.584785,0
binary,PENGUUSD-OTC,1782701580,7.592305,7.718235,7.718235,7.588275,0
binary,PENGUUSD-OTC,1782701640,7.713855,7.698475,7.729085,7.688365,0
binary,PENGUUSD-OTC,1782701700,7.701975,7.607515,7.723525,7.595935,0
binary,PENGUUSD-OTC,1782701760,7.613995,7.597735,7.615725,7.544325,0
binary,PENGUUSD-OTC,1782701820,7.601235,7.564855,7.612965,7.562215,0
binary,PENGUUSD-OTC,1782701880,7.563905,7.552965,7.572645,7.512375,0
binary,PENGUUSD-OTC,1782701940,7.549685,7.540615,7.586175,7.531865,0
binary,PENGUUSD-OTC,1782702000,7.543965,7.498215,7.571475,7.492975,0
binary,PENGUUSD-OTC,1782702060,7.500425,7.573745,7.607475,7.500095,0
binary,PENGUUSD-OTC,1782702120,7.577595,7.615255,7.637575,7.549405,0
binary,PENGUUSD-OTC,1782702180,7.617485,7.672075,7.678775,7.610385,0
binary,PENGUUSD-OTC,1782702240,7.672755,7.684115,7.692125,7.633405,0
binary,PENGUUSD-OTC,1782702300,7.682245,7.602215,7.687195,7.599705,0
binary,PENGUUSD-OTC,1782702360,7.595375,7.602645,7.613895,7.568985,0
binary,PENGUUSD-OTC,1782702420,7.606185,7.583425,7.606185,7.541265,0
binary,PENGUUSD-OTC,1782702480,7.581135,7.615875,7.619655,7.545005,0
binary,PENGUUSD-OTC,1782702540,7.617145,7.672115,7.687045,7.594675,0
binary,PENGUUSD-OTC,1782702600,7.668355,7.643105,7.685555,7.637405,0
binary,PENGUUSD-OTC,1782702660,7.647385,7.717785,7.719045,7.627505,0
binary,PENGUUSD-OTC,1782702720,7.714545,7.633645,7.724295,7.621665,0
binary,PENGUUSD-OTC,1782702780,7.625415,7.676945,7.715225,7.625415,0
binary,PENGUUSD-OTC,1782702840,7.674255,7.657785,7.725735,7.646705,0
binary,PENGUUSD-OTC,1782702900,7.659155,7.603115,7.664895,7.561295,0
binary,PENGUUSD-OTC,1782702960,7.609735,7.690965,7.690965,7.604135,0
binary,PENGUUSD-OTC,1782703020,7.695065,7.656375,7.714995,7.644615,0
binary,PENGUUSD-OTC,1782703080,7.660365,7.720185,7.720185,7.616655,0
binary,PENGUUSD-OTC,1782703140,7.722545,7.764375,7.801915,7.714455,0
binary,PENGUUSD-OTC,1782703200,7.768195,7.803245,7.833265,7.749365,0
binary,PENGUUSD-OTC,1782703260,7.803105,7.786125,7.831275,7.766995,0
binary,PENGUUSD-OTC,1782703320,7.787825,7.804765,7.840195,7.775855,0
binary,PENGUUSD-OTC,1782703380,7.804355,7.794625,7.817905,7.756955,0
binary,PENGUUSD-OTC,1782703440,7.797805,7.837455,7.877235,7.786495,0
binary,PENGUUSD-OTC,1782703500,7.843305,7.927215,7.944185,7.838165,0
binary,PENGUUSD-OTC,1782703560,7.925105,7.904065,7.943785,7.888235,0
binary,PENGUUSD-OTC,1782703620,7.901765,7.809995,7.905795,7.803575,0
binary,PENGUUSD-OTC,1782703680,7.808015,7.783635,7.810695,7.762005,0
binary,PENGUUSD-OTC,1782703740,7.779755,7.803065,7.806075,7.746875,0
binary,PENGUUSD-OTC,1782703800,7.806035,7.809585,7.830495,7.745915,0
binary,PENGUUSD-OTC,1782703860,7.806615,7.785495,7.806615,7.751095,0
binary,PENGUUSD-OTC,1782703920,7.785655,7.717195,7.785995,7.717195,0
binary,PENGUUSD-OTC,1782703980,7.713075,7.691145,7.724145,7.647915,0
binary,PENGUUSD-OTC,1782704040,7.694705,7.626705,7.702775,7.578955,0
binary,PENGUUSD-OTC,1782704100,7.627115,7.566265,7.634665,7.553655,0
binary,PENGUUSD-OTC,1782704160,7.569235,7.542275,7.586075,7.524415,0
binary,PENGUUSD-OTC,1782704220,7.544495,7.450305,7.544495,7.429305,0
binary,PENGUUSD-OTC,1782704280,7.450425,7.472165,7.498335,7.450425,0
binary,PENGUUSD-OTC,1782704340,7.469115,7.480645,7.509145,7.456725,0
binary,PENGUUSD-OTC,1782704400,7.488135,7.504415,7.523865,7.479095,0
binary,PENGUUSD-OTC,1782704460,7.507515,7.523875,7.526385,7.487195,0
binary,PENGUUSD-OTC,1782704520,7.528085,7.573605,7.588675,7.510205,0
binary,PENGUUSD-OTC,1782704580,7.573245,7.591925,7.593925,7.520615,0
binary,PENGUUSD-OTC,1782704640,7.591875,7.615985,7.631215,7.577345,0
binary,PENGUUSD-OTC,1782704700,7.617275,7.596865,7.625935,7.554125,0
binary,PENGUUSD-OTC,1782704760,7.596215,7.670255,7.681325,7.581825,0
binary,PENGUUSD-OTC,1782704820,7.669285,7.632165,7.670015,7.614455,0
binary,PENGUUSD-OTC,1782704880,7.633725,7.687565,7.694985,7.632665,0
binary,PENGUUSD-OTC,1782704940,7.694515,7.637555,7.715025,7.589175,0
binary,PENGUUSD-OTC,1782705000,7.640495,7.689445,7.695355,7.623695,0
binary,PENGUUSD-OTC,1782705060,7.693365,7.655455,7.699665,7.636405,0
binary,PENGUUSD-OTC,1782705120,7.652045,7.573855,7.659435,7.570185,0
binary,PENGUUSD-OTC,1782705180,7.572105,7.539415,7.586755,7.530195,0
binary,PENGUUSD-OTC,1782705240,7.535255,7.532245,7.553885,7.514545,0
binary,PENGUUSD-OTC,1782705300,7.530375,7.555635,7.564765,7.506875,0
binary,PENGUUSD-OTC,1782705360,7.557595,7.606695,7.612905,7.543185,0
binary,PENGUUSD-OTC,1782705420,7.607825,7.820285,7.820635,7.607825,0
binary,PENGUUSD-OTC,1782705480,7.821015,7.728245,7.821015,7.726985,0
binary,PENGUUSD-OTC,1782705540,7.731045,7.679965,7.741275,7.660915,0
binary,PENGUUSD-OTC,1782705600,7.681585,7.728285,7.732245,7.669695,0
binary,PENGUUSD-OTC,1782705660,7.730625,7.781565,7.781565,7.726365,0
binary,PENGUUSD-OTC,1782705720,7.784845,7.834555,7.874315,7.782905,0
binary,PENGUUSD-OTC,1782705780,7.832995,7.786085,7.858295,7.785905,0
binary,PENGUUSD-OTC,1782705840,7.790025,7.717585,7.794115,7.704505,0
binary,PENGUUSD-OTC,1782705900,7.717765,7.658485,7.718675,7.656635,0
binary,PENGUUSD-OTC,1782705960,7.658785,7.718285,7.729845,7.626595,0
binary,PENGUUSD-OTC,1782706020,7.714005,7.809955,7.818075,7.687145,0
binary,PENGUUSD-OTC,1782706080,7.805845,7.818335,7.856875,7.791315,0
binary,PENGUUSD-OTC,1782706140,7.819295,7.756265,7.819295,7.720245,0
binary,PENGUUSD-OTC,1782706200,7.758035,7.773625,7.816095,7.747135,0
binary,PENGUUSD-OTC,1782706260,7.775585,7.773115,7.833295,7.761705,0
binary,PENGUUSD-OTC,1782706320,7.774415,7.721115,7.796445,7.719285,0
binary,PENGUUSD-OTC,1782706380,7.723045,7.688265,7.732125,7.665895,0
binary,PENGUUSD-OTC,1782706440,7.690985,7.633975,7.729345,7.629465,0
binary,PENGUUSD-OTC,1782706500,7.630295,7.663475,7.696325,7.619595,0
binary,PENGUUSD-OTC,1782706560,7.670905,7.646655,7.689105,7.646325,0
binary,PENGUUSD-OTC,1782706620,7.647075,7.613035,7.662665,7.567965,0
binary,PENGUUSD-OTC,1782706680,7.610655,7.708765,7.709175,7.606545,0
binary,PENGUUSD-OTC,1782706740,7.709925,7.740265,7.753875,7.700635,0
binary,PENGUUSD-OTC,1782706800,7.744875,7.708575,7.777895,7.692765,0
binary,PENGUUSD-OTC,1782706860,7.707195,7.682935,7.747845,7.680475,0
binary,PENGUUSD-OTC,1782706920,7.679475,7.674125,7.687925,7.615835,0
binary,PENGUUSD-OTC,1782706980,7.679725,7.719125,7.775935,7.674575,0
binary,PENGUUSD-OTC,1782707040,7.718835,7.633185,7.723445,7.602735,0
binary,PENGUUSD-OTC,1782707100,7.636945,7.551195,7.665825,7.547305,0
binary,PENGUUSD-OTC,1782707160,7.563585,7.587835,7.595485,7.502005,0
binary,PENGUUSD-OTC,1782707220,7.590925,7.558705,7.616985,7.517565,0
binary,PENGUUSD-OTC,1782707280,7.566785,7.529305,7.569385,7.525355,0
binary,PENGUUSD-OTC,1782707340,7.533045,7.521145,7.543425,7.474325,0
binary,PENGUUSD-OTC,1782707400,7.519365,7.523635,7.536475,7.475055,0
binary,PENGUUSD-OTC,1782707460,7.520925,7.541215,7.561515,7.489785,0
binary,PENGUUSD-OTC,1782707520,7.538145,7.442335,7.558585,7.410295,0
binary,PENGUUSD-OTC,1782707580,7.444695,7.450805,7.532115,7.440075,0
binary,PENGUUSD-OTC,1782707640,7.453915,7.474565,7.498085,7.418055,0
binary,PENGUUSD-OTC,1782707700,7.477515,7.472675,7.498665,7.431565,0
binary,PENGUUSD-OTC,1782707760,7.475975,7.549535,7.549535,7.474725,0
binary,PENGUUSD-OTC,1782707820,7.546405,7.603665,7.612365,7.546405,0
binary,PENGUUSD-OTC,1782707880,7.607255,7.524245,7.626345,7.519575,0
binary,PENGUUSD-OTC,1782707940,7.527365,7.558325,7.585185,7.523645,0
binary,PENGUUSD-OTC,1782708000,7.559025,7.559105,7.584075,7.530215,0
binary,PENGUUSD-OTC,1782708060,7.559545,7.492305,7.573415,7.492305,0
binary,PENGUUSD-OTC,1782708120,7.492175,7.565575,7.569555,7.464825,0
binary,PENGUUSD-OTC,1782708180,7.563925,7.731055,7.735375,7.544135,0
binary,PENGUUSD-OTC,1782708240,7.731775,7.666985,7.761715,7.657775,0
binary,PENGUUSD-OTC,1782708300,7.668565,7.589425,7.679465,7.546095,0
binary,PENGUUSD-OTC,1782708360,7.585475,7.682995,7.698265,7.585475,0
binary,PENGUUSD-OTC,1782708420,7.686775,7.626275,7.690575,7.626275,0
binary,PENGUUSD-OTC,1782708480,7.628395,7.682555,7.693915,7.623935,0
binary,PENGUUSD-OTC,1782708540,7.680335,7.663155,7.724955,7.651065,0
binary,PENGUUSD-OTC,1782708600,7.655035,7.644745,7.693615,7.609225,0
binary,PENGUUSD-OTC,1782708660,7.644615,7.643865,7.676005,7.618335,0
binary,PENGUUSD-OTC,1782708720,7.644465,7.672345,7.699625,7.641945,0
binary,PENGUUSD-OTC,1782708780,7.670045,7.694175,7.713835,7.659405,0
binary,PENGUUSD-OTC,1782708840,7.697415,7.673015,7.732455,7.663915,0
binary,PENGUUSD-OTC,1782708900,7.681875,7.702175,7.752025,7.663545,0
binary,PENGUUSD-OTC,1782708960,7.700715,7.682975,7.703435,7.648005,0
binary,PENGUUSD-OTC,1782709020,7.687325,7.661135,7.709125,7.640835,0
binary,PENGUUSD-OTC,1782709080,7.658575,7.723785,7.723785,7.635955,0
binary,PENGUUSD-OTC,1782709140,7.721115,7.749445,7.779975,7.666825,0
binary,PENGUUSD-OTC,1782709200,7.747165,7.736055,7.754315,7.692695,0
binary,PENGUUSD-OTC,1782709260,7.734985,7.821835,7.832305,7.723365,0
binary,PENGUUSD-OTC,1782709320,7.822585,7.789085,7.847265,7.776945,0
binary,PENGUUSD-OTC,1782709380,7.788675,7.836855,7.843555,7.773595,0
binary,PENGUUSD-OTC,1782709440,7.833395,7.880645,7.884535,7.822265,0
binary,PENGUUSD-OTC,1782709500,7.876795,7.871765,7.895885,7.850825,0
binary,PENGUUSD-OTC,1782709560,7.867935,7.901335,7.908595,7.845095,0
binary,PENGUUSD-OTC,1782709620,7.905305,7.932185,7.956475,7.870245,0
binary,PENGUUSD-OTC,1782709680,7.934575,7.865985,7.937435,7.844355,0
binary,PENGUUSD-OTC,1782709740,7.869105,7.880845,7.899825,7.833745,0
binary,PENGUUSD-OTC,1782709800,7.876935,7.921165,7.923985,7.840715,0
binary,PENGUUSD-OTC,1782709860,7.926985,7.979745,7.983045,7.916055,0
binary,PENGUUSD-OTC,1782709920,7.975855,8.024075,8.055035,7.964265,0
binary,PENGUUSD-OTC,1782709980,8.026395,8.090565,8.099315,8.006435,0
binary,PENGUUSD-OTC,1782710040,8.088345,8.191605,8.198025,8.079815,0
binary,PENGUUSD-OTC,1782710100,8.187555,8.239285,8.246465,8.167785,0
binary,PENGUUSD-OTC,1782710160,8.236125,8.243945,8.245935,8.191005,0
binary,PENGUUSD-OTC,1782710220,8.242315,8.358975,8.380245,8.224425,0
binary,PENGUUSD-OTC,1782710280,8.357635,8.304645,8.366265,8.293385,0
binary,PENGUUSD-OTC,1782710340,8.307085,8.286845,8.333985,8.238965,0
binary,PENGUUSD-OTC,1782710400,8.285735,8.288635,8.305085,8.240865,0
binary,PENGUUSD-OTC,1782710460,8.290205,8.366855,8.366855,8.288635,0
binary,PENGUUSD-OTC,1782710520,8.367275,8.232525,8.380775,8.229735,0
binary,PENGUUSD-OTC,1782710580,8.232745,8.180875,8.232745,8.144615,0
binary,PENGUUSD-OTC,1782710640,8.184395,8.147095,8.219875,8.113725,0
binary,PENGUUSD-OTC,1782710700,8.160705,8.205935,8.248415,8.160705,0
binary,PENGUUSD-OTC,1782710760,8.208165,8.253675,8.277635,8.198385,0
binary,PENGUUSD-OTC,1782710820,8.247425,8.329215,8.357585,8.234645,0
binary,PENGUUSD-OTC,1782710880,8.330625,8.306235,8.351605,8.259935,0
binary,PENGUUSD-OTC,1782710940,8.304565,8.313775,8.314205,8.267235,0
binary,PENGUUSD-OTC,1782711000,8.313505,8.219165,8.316575,8.203975,0
binary,PENGUUSD-OTC,1782711060,8.220045,8.256335,8.283425,8.215845,0
binary,PENGUUSD-OTC,1782711120,8.256065,8.292485,8.303165,8.199755,0
binary,PENGUUSD-OTC,1782711180,8.292425,8.322345,8.329265,8.275795,0
binary,PENGUUSD-OTC,1782711240,8.319495,8.332455,8.371615,8.316785,0
binary,PENGUUSD-OTC,1782711300,8.323875,8.309315,8.348415,8.287015,0
binary,PENGUUSD-OTC,1782711360,8.306015,8.371045,8.371045,8.278155,0
binary,PENGUUSD-OTC,1782711420,8.374785,8.320255,8.388445,8.301505,0
binary,PENGUUSD-OTC,1782711480,8.317555,8.362805,8.374695,8.317555,0
binary,PENGUUSD-OTC,1782711540,8.359075,8.398115,8.424945,8.325615,0
binary,PENGUUSD-OTC,1782711600,8.400785,8.390585,8.423675,8.364205,0
binary,PENGUUSD-OTC,1782711660,8.393145,8.379085,8.416155,8.355165,0
binary,PENGUUSD-OTC,1782711720,8.376775,8.414825,8.436855,8.338555,0
binary,PENGUUSD-OTC,1782711780,8.413555,8.414075,8.476395,8.393285,0
binary,PENGUUSD-OTC,1782711840,8.417745,8.464735,8.500265,8.414495,0
binary,PENGUUSD-OTC,1782711900,8.460885,8.439815,8.515865,8.431075,0
binary,PENGUUSD-OTC,1782711960,8.442465,8.396665,8.462695,8.375755,0
binary,PENGUUSD-OTC,1782712020,8.392465,8.362895,8.415225,8.362895,0
binary,PENGUUSD-OTC,1782712080,8.361295,8.411645,8.434345,8.357795,0
