tipo,activo,from,open,close,max,min,volume
binary,PENUSD-OTC,1782036360,0.357465,0.351025,0.357605,0.349885,0
binary,PENUSD-OTC,1782036420,0.350555,0.352965,0.353685,0.348425,0
binary,PENUSD-OTC,1782036480,0.353115,0.355935,0.358085,0.351505,0
binary,PENUSD-OTC,1782036540,0.356115,0.354125,0.358105,0.353745,0
binary,PENUSD-OTC,1782036600,0.354345,0.348595,0.355695,0.347685,0
binary,PENUSD-OTC,1782036660,0.348905,0.345375,0.349465,0.342245,0
binary,PENUSD-OTC,1782036720,0.345535,0.345245,0.350025,0.343675,0
binary,PENUSD-OTC,1782036780,0.345585,0.338245,0.348135,0.337235,0
binary,PENUSD-OTC,1782036840,0.338675,0.334385,0.338845,0.332055,0
binary,PENUSD-OTC,1782036900,0.334655,0.336115,0.336445,0.331655,0
binary,PENUSD-OTC,1782036960,0.335595,0.338535,0.339645,0.333325,0
binary,PENUSD-OTC,1782037020,0.338675,0.338795,0.341245,0.337615,0
binary,PENUSD-OTC,1782037080,0.338325,0.345645,0.346335,0.334775,0
binary,PENUSD-OTC,1782037140,0.345525,0.348695,0.350765,0.345365,0
binary,PENUSD-OTC,1782037200,0.348725,0.355265,0.355585,0.346425,0
binary,PENUSD-OTC,1782037260,0.354855,0.348645,0.355365,0.347215,0
binary,PENUSD-OTC,1782037320,0.349105,0.346285,0.351965,0.344545,0
binary,PENUSD-OTC,1782037380,0.346105,0.339995,0.349055,0.339995,0
binary,PENUSD-OTC,1782037440,0.340295,0.338425,0.344145,0.338315,0
binary,PENUSD-OTC,1782037500,0.338695,0.339805,0.343395,0.337395,0
binary,PENUSD-OTC,1782037560,0.339955,0.341785,0.343605,0.338525,0
binary,PENUSD-OTC,1782037620,0.341485,0.339385,0.346335,0.339005,0
binary,PENUSD-OTC,1782037680,0.339465,0.339965,0.341315,0.336455,0
binary,PENUSD-OTC,1782037740,0.339695,0.343615,0.345005,0.338325,0
binary,PENUSD-OTC,1782037800,0.343215,0.343415,0.344005,0.338445,0
binary,PENUSD-OTC,1782037860,0.343725,0.343375,0.346255,0.341365,0
binary,PENUSD-OTC,1782037920,0.343305,0.336925,0.343655,0.334915,0
binary,PENUSD-OTC,1782037980,0.337335,0.344035,0.344315,0.337225,0
binary,PENUSD-OTC,1782038040,0.343625,0.343775,0.346065,0.341915,0
binary,PENUSD-OTC,1782038100,0.343365,0.351175,0.351715,0.342775,0
binary,PENUSD-OTC,1782038160,0.350805,0.350915,0.353785,0.348955,0
binary,PENUSD-OTC,1782038220,0.350715,0.346635,0.351045,0.346275,0
binary,PENUSD-OTC,1782038280,0.346285,0.342365,0.349105,0.340375,0
binary,PENUSD-OTC,1782038340,0.341915,0.346395,0.347845,0.339705,0
binary,PENUSD-OTC,1782038400,0.346765,0.342605,0.349115,0.341465,0
binary,PENUSD-OTC,1782038460,0.342535,0.346525,0.350085,0.342535,0
binary,PENUSD-OTC,1782038520,0.346915,0.343005,0.349095,0.341745,0
binary,PENUSD-OTC,1782038580,0.342935,0.331025,0.342935,0.330395,0
binary,PENUSD-OTC,1782038640,0.330825,0.331875,0.334435,0.328405,0
binary,PENUSD-OTC,1782038700,0.331435,0.333605,0.339015,0.331435,0
