tipo,activo,from,open,close,max,min,volume
binary,PEPEUSD-OTC,1782567600,0.195235,0.197495,0.198215,0.194115,0
binary,PEPEUSD-OTC,1782567660,0.197685,0.196465,0.199275,0.195535,0
binary,PEPEUSD-OTC,1782567720,0.196555,0.195565,0.199355,0.195565,0
binary,PEPEUSD-OTC,1782567780,0.195595,0.190915,0.196155,0.190795,0
binary,PEPEUSD-OTC,1782567840,0.190755,0.192935,0.193705,0.190635,0
binary,PEPEUSD-OTC,1782567900,0.192925,0.190845,0.193465,0.190445,0
binary,PEPEUSD-OTC,1782567960,0.190905,0.192925,0.193775,0.190295,0
binary,PEPEUSD-OTC,1782568020,0.193165,0.195115,0.195505,0.192245,0
binary,PEPEUSD-OTC,1782568080,0.194935,0.191285,0.195255,0.190805,0
binary,PEPEUSD-OTC,1782568140,0.190955,0.190835,0.191915,0.188725,0
binary,PEPEUSD-OTC,1782568200,0.190615,0.192695,0.193595,0.189725,0
binary,PEPEUSD-OTC,1782568260,0.192565,0.193635,0.194735,0.191935,0
binary,PEPEUSD-OTC,1782568320,0.193845,0.196125,0.197215,0.193845,0
binary,PEPEUSD-OTC,1782568380,0.195765,0.192365,0.196755,0.191455,0
binary,PEPEUSD-OTC,1782568440,0.192385,0.193755,0.194445,0.192075,0
binary,PEPEUSD-OTC,1782568500,0.194005,0.189865,0.194115,0.189745,0
binary,PEPEUSD-OTC,1782568560,0.189995,0.189055,0.190695,0.188345,0
binary,PEPEUSD-OTC,1782568620,0.189245,0.187115,0.189525,0.186905,0
binary,PEPEUSD-OTC,1782568680,0.187055,0.185285,0.187295,0.184375,0
binary,PEPEUSD-OTC,1782568740,0.185115,0.184245,0.185985,0.183785,0
binary,PEPEUSD-OTC,1782568800,0.184335,0.183205,0.184865,0.182355,0
binary,PEPEUSD-OTC,1782568860,0.183135,0.187395,0.187925,0.182785,0
binary,PEPEUSD-OTC,1782568920,0.187245,0.191295,0.193115,0.186315,0
binary,PEPEUSD-OTC,1782568980,0.191365,0.190795,0.191875,0.188875,0
binary,PEPEUSD-OTC,1782569040,0.190685,0.191425,0.192655,0.189985,0
binary,PEPEUSD-OTC,1782569100,0.191545,0.192595,0.192885,0.190445,0
binary,PEPEUSD-OTC,1782569160,0.192355,0.190145,0.193425,0.188395,0
binary,PEPEUSD-OTC,1782569220,0.190085,0.185915,0.190265,0.185395,0
binary,PEPEUSD-OTC,1782569280,0.185965,0.187045,0.189465,0.185585,0
binary,PEPEUSD-OTC,1782569340,0.187055,0.189765,0.190405,0.186815,0
binary,PEPEUSD-OTC,1782569400,0.190005,0.192255,0.193795,0.189565,0
binary,PEPEUSD-OTC,1782569460,0.192285,0.193745,0.194285,0.192195,0
binary,PEPEUSD-OTC,1782569520,0.193905,0.193465,0.197665,0.192935,0
binary,PEPEUSD-OTC,1782569580,0.193555,0.193405,0.195565,0.192955,0
binary,PEPEUSD-OTC,1782569640,0.193395,0.191045,0.193525,0.189885,0
binary,PEPEUSD-OTC,1782569700,0.190925,0.194725,0.194925,0.190925,0
binary,PEPEUSD-OTC,1782569760,0.194865,0.196605,0.196945,0.193315,0
binary,PEPEUSD-OTC,1782569820,0.196565,0.193215,0.197305,0.193205,0
binary,PEPEUSD-OTC,1782569880,0.193455,0.191895,0.194175,0.191565,0
binary,PEPEUSD-OTC,1782569940,0.191995,0.190245,0.193535,0.190035,0
binary,PEPEUSD-OTC,1782570000,0.190215,0.190635,0.192375,0.189325,0
binary,PEPEUSD-OTC,1782570060,0.190855,0.192465,0.193515,0.190825,0
binary,PEPEUSD-OTC,1782570120,0.192345,0.188905,0.194305,0.188465,0
binary,PEPEUSD-OTC,1782570180,0.188945,0.191095,0.191445,0.187955,0
binary,PEPEUSD-OTC,1782570240,0.190955,0.186195,0.191125,0.186195,0
binary,PEPEUSD-OTC,1782570300,0.185975,0.182625,0.186715,0.182625,0
binary,PEPEUSD-OTC,1782570360,0.182405,0.184825,0.184875,0.182185,0
binary,PEPEUSD-OTC,1782570420,0.184865,0.185535,0.189025,0.184765,0
binary,PEPEUSD-OTC,1782570480,0.185645,0.183705,0.185645,0.182495,0
binary,PEPEUSD-OTC,1782570540,0.183495,0.184785,0.185275,0.183125,0
binary,PEPEUSD-OTC,1782570600,0.184845,0.187675,0.187675,0.183165,0
binary,PEPEUSD-OTC,1782570660,0.187855,0.188755,0.190965,0.187375,0
binary,PEPEUSD-OTC,1782570720,0.188515,0.188085,0.188905,0.186945,0
binary,PEPEUSD-OTC,1782570780,0.188225,0.191735,0.192085,0.187785,0
binary,PEPEUSD-OTC,1782570840,0.191825,0.190295,0.192035,0.188975,0
binary,PEPEUSD-OTC,1782570900,0.190415,0.189465,0.191065,0.188695,0
binary,PEPEUSD-OTC,1782570960,0.189435,0.188435,0.189665,0.187345,0
binary,PEPEUSD-OTC,1782571020,0.188515,0.190985,0.191265,0.186785,0
binary,PEPEUSD-OTC,1782571080,0.190835,0.191045,0.192245,0.190005,0
binary,PEPEUSD-OTC,1782571140,0.191135,0.190855,0.192775,0.189605,0
binary,PEPEUSD-OTC,1782571200,0.191305,0.194965,0.196275,0.190965,0
binary,PEPEUSD-OTC,1782571260,0.195025,0.189955,0.195105,0.189725,0
binary,PEPEUSD-OTC,1782571320,0.189715,0.189645,0.191335,0.188865,0
binary,PEPEUSD-OTC,1782571380,0.189755,0.189195,0.190695,0.187945,0
binary,PEPEUSD-OTC,1782571440,0.189255,0.190975,0.193285,0.189255,0
binary,PEPEUSD-OTC,1782571500,0.190965,0.187805,0.191795,0.187325,0
binary,PEPEUSD-OTC,1782571560,0.187835,0.187615,0.188125,0.184895,0
binary,PEPEUSD-OTC,1782571620,0.187515,0.185735,0.188855,0.185725,0
binary,PEPEUSD-OTC,1782571680,0.185615,0.185745,0.187105,0.183735,0
binary,PEPEUSD-OTC,1782571740,0.186225,0.185165,0.188135,0.184365,0
binary,PEPEUSD-OTC,1782571800,0.185495,0.183495,0.186295,0.182485,0
binary,PEPEUSD-OTC,1782571860,0.183595,0.186805,0.186805,0.182285,0
binary,PEPEUSD-OTC,1782571920,0.186985,0.183735,0.188265,0.183265,0
binary,PEPEUSD-OTC,1782571980,0.183925,0.186275,0.186525,0.183255,0
binary,PEPEUSD-OTC,1782572040,0.186075,0.184595,0.187055,0.184295,0
binary,PEPEUSD-OTC,1782572100,0.184535,0.186455,0.186575,0.183065,0
binary,PEPEUSD-OTC,1782572160,0.186485,0.185495,0.189245,0.185465,0
binary,PEPEUSD-OTC,1782572220,0.185535,0.186125,0.187985,0.185135,0
binary,PEPEUSD-OTC,1782572280,0.186345,0.192565,0.192935,0.186055,0
binary,PEPEUSD-OTC,1782572340,0.192775,0.193885,0.195035,0.192555,0
binary,PEPEUSD-OTC,1782572400,0.193725,0.189745,0.193935,0.189205,0
binary,PEPEUSD-OTC,1782572460,0.189895,0.187275,0.190825,0.186535,0
binary,PEPEUSD-OTC,1782572520,0.187315,0.183775,0.187315,0.183405,0
binary,PEPEUSD-OTC,1782572580,0.183955,0.182085,0.184475,0.180715,0
binary,PEPEUSD-OTC,1782572640,0.181735,0.183415,0.185085,0.181405,0
binary,PEPEUSD-OTC,1782573000,0.183415,0.244005,0.245675,0.183415,0
binary,PEPEUSD-OTC,1782573060,0.243995,0.244625,0.245915,0.241915,0
binary,PEPEUSD-OTC,1782573120,0.244345,0.250035,0.250825,0.242945,0
binary,PEPEUSD-OTC,1782573180,0.249965,0.248665,0.252225,0.248445,0
binary,PEPEUSD-OTC,1782573240,0.248495,0.243105,0.249345,0.243105,0
binary,PEPEUSD-OTC,1782573300,0.243005,0.245475,0.246215,0.242595,0
binary,PEPEUSD-OTC,1782573360,0.245715,0.245765,0.247825,0.245525,0
