tipo,activo,from,open,close,max,min,volume
binary,PLTR-OTC,1782036180,149.0065,149.4795,151.2715,148.8485,0
binary,PLTR-OTC,1782036240,149.4025,148.8885,149.4035,148.3045,0
binary,PLTR-OTC,1782036300,148.8205,149.1575,150.6735,148.6745,0
binary,PLTR-OTC,1782036360,149.0815,150.8675,150.8675,148.5375,0
binary,PLTR-OTC,1782036420,150.9365,148.2765,151.0865,148.1945,0
binary,PLTR-OTC,1782036480,148.2045,148.3105,148.5435,147.3435,0
binary,PLTR-OTC,1782036540,148.2415,147.7045,148.7095,147.4185,0
binary,PLTR-OTC,1782036600,147.6255,148.0705,148.8745,147.1045,0
binary,PLTR-OTC,1782036660,147.9865,148.6885,148.9115,147.8265,0
binary,PLTR-OTC,1782036720,148.7615,149.2475,149.4835,147.6285,0
binary,PLTR-OTC,1782036780,149.3255,152.1945,152.2445,149.0445,0
binary,PLTR-OTC,1782036840,152.2655,151.2135,152.4025,150.7185,0
binary,PLTR-OTC,1782036900,151.3205,153.5605,153.7055,150.7495,0
binary,PLTR-OTC,1782036960,153.4765,156.0575,156.3455,153.2485,0
binary,PLTR-OTC,1782037020,156.1605,154.5705,156.9715,154.3285,0
binary,PLTR-OTC,1782037080,154.6445,156.7535,157.0315,154.6445,0
binary,PLTR-OTC,1782037140,156.6735,158.2335,158.6745,156.4205,0
binary,PLTR-OTC,1782037200,158.1475,159.3705,159.9255,158.0635,0
binary,PLTR-OTC,1782037260,159.4505,160.3145,160.4525,158.6355,0
binary,PLTR-OTC,1782037320,160.4005,160.4125,160.5915,159.4585,0
binary,PLTR-OTC,1782037380,160.3255,160.6655,160.6655,158.4455,0
binary,PLTR-OTC,1782037440,160.7415,159.0775,160.9675,158.7635,0
binary,PLTR-OTC,1782037500,159.0045,159.8975,161.0135,158.8735,0
binary,PLTR-OTC,1782037560,159.8065,159.1225,159.9425,158.7055,0
binary,PLTR-OTC,1782037620,159.0495,159.0895,159.3705,157.8695,0
binary,PLTR-OTC,1782037680,159.1655,159.3925,160.0555,158.6515,0
binary,PLTR-OTC,1782037740,159.4735,158.5565,160.2275,157.5615,0
binary,PLTR-OTC,1782037800,158.6725,158.3575,159.5695,158.2095,0
binary,PLTR-OTC,1782037860,158.2815,157.3645,158.2815,156.6965,0
binary,PLTR-OTC,1782037920,157.2935,160.4095,160.9645,157.2935,0
binary,PLTR-OTC,1782037980,160.3195,162.2885,162.8855,159.5085,0
binary,PLTR-OTC,1782038040,162.2115,164.0105,164.3145,161.9345,0
binary,PLTR-OTC,1782038100,163.9205,162.4595,164.1685,162.1275,0
binary,PLTR-OTC,1782038160,162.7065,163.1005,164.1195,162.6215,0
binary,PLTR-OTC,1782038220,163.0085,163.0245,163.5535,162.2875,0
binary,PLTR-OTC,1782038280,162.9345,163.9015,164.2685,162.6385,0
binary,PLTR-OTC,1782038340,163.9825,165.8595,166.4095,163.0365,0
binary,PLTR-OTC,1782038400,165.9525,164.7825,166.1535,164.7565,0
binary,PLTR-OTC,1782038460,164.6965,165.7295,165.9055,164.2805,0
binary,PLTR-OTC,1782038520,165.6345,166.9875,167.0035,165.1665,0
binary,PLTR-OTC,1782038580,167.1235,169.2125,169.5385,167.1235,0
binary,PLTR-OTC,1782038640,169.2935,169.7345,170.7035,169.0555,0
binary,PLTR-OTC,1782038700,169.8265,171.8365,173.3135,169.4785,0
binary,PLTR-OTC,1782038760,171.9345,171.4805,172.5055,170.4875,0
binary,PLTR-OTC,1782038820,171.5735,169.3495,171.5735,168.8085,0
binary,PLTR-OTC,1782038880,169.4345,169.9775,171.4215,169.2485,0
binary,PLTR-OTC,1782038940,170.2575,167.0955,170.3545,166.9945,0
binary,PLTR-OTC,1782039000,167.1795,164.5035,167.2565,163.7585,0
binary,PLTR-OTC,1782039060,164.5865,165.8235,165.8235,163.8485,0
binary,PLTR-OTC,1782039120,165.7385,165.0125,166.5505,164.9585,0
binary,PLTR-OTC,1782039180,165.0885,163.3805,165.3925,162.7945,0
binary,PLTR-OTC,1782039240,163.2955,163.3265,164.3565,162.8615,0
binary,PLTR-OTC,1782039300,163.4115,164.8075,166.0675,163.3215,0
binary,PLTR-OTC,1782039360,164.8905,163.7475,165.0665,163.2285,0
binary,PLTR-OTC,1782039420,163.6615,162.6355,164.6925,162.4735,0
binary,PLTR-OTC,1782039480,162.7145,163.0185,163.9015,162.3415,0
binary,PLTR-OTC,1782039540,162.9385,161.8075,163.7885,161.7285,0
binary,PLTR-OTC,1782039600,161.7225,162.9305,163.3385,161.1515,0
binary,PLTR-OTC,1782039660,163.0105,159.1565,163.2345,158.6745,0
binary,PLTR-OTC,1782039720,159.2395,159.1205,160.0045,158.9115,0
binary,PLTR-OTC,1782039780,159.2085,159.2255,160.8435,159.0195,0
binary,PLTR-OTC,1782039840,159.1505,162.3095,162.5655,158.9605,0
