tipo,activo,from,open,close,max,min,volume
binary,RENDERUSD-OTC,1782697320,1.694825,1.691535,1.695885,1.691365,0
binary,RENDERUSD-OTC,1782697380,1.691495,1.689775,1.691495,1.687685,0
binary,RENDERUSD-OTC,1782697440,1.689645,1.689485,1.691475,1.688995,0
binary,RENDERUSD-OTC,1782697500,1.689385,1.686155,1.689525,1.685155,0
binary,RENDERUSD-OTC,1782697560,1.686255,1.684375,1.686255,1.682905,0
binary,RENDERUSD-OTC,1782697620,1.684275,1.689685,1.690985,1.684275,0
binary,RENDERUSD-OTC,1782697680,1.689845,1.687345,1.690105,1.686245,0
binary,RENDERUSD-OTC,1782697740,1.687305,1.686075,1.687415,1.684915,0
binary,RENDERUSD-OTC,1782697800,1.686215,1.688305,1.691035,1.685865,0
binary,RENDERUSD-OTC,1782697860,1.688475,1.687095,1.689405,1.686255,0
binary,RENDERUSD-OTC,1782697920,1.687125,1.686955,1.687455,1.685205,0
binary,RENDERUSD-OTC,1782697980,1.686795,1.686465,1.687095,1.684505,0
binary,RENDERUSD-OTC,1782698040,1.686655,1.687365,1.688345,1.685825,0
binary,RENDERUSD-OTC,1782698100,1.687305,1.686715,1.689105,1.685115,0
binary,RENDERUSD-OTC,1782698160,1.686625,1.688315,1.689215,1.686295,0
binary,RENDERUSD-OTC,1782698220,1.688165,1.688635,1.689225,1.687045,0
binary,RENDERUSD-OTC,1782698280,1.688575,1.691565,1.692215,1.688385,0
binary,RENDERUSD-OTC,1782698340,1.691805,1.692205,1.692995,1.689175,0
binary,RENDERUSD-OTC,1782698400,1.692325,1.694525,1.696395,1.691985,0
binary,RENDERUSD-OTC,1782698460,1.694715,1.697985,1.698065,1.693785,0
binary,RENDERUSD-OTC,1782698520,1.697875,1.697155,1.698035,1.694875,0
binary,RENDERUSD-OTC,1782698580,1.697075,1.698295,1.698295,1.695205,0
binary,RENDERUSD-OTC,1782698640,1.698205,1.698115,1.701045,1.697225,0
binary,RENDERUSD-OTC,1782698700,1.697985,1.701315,1.702055,1.697415,0
binary,RENDERUSD-OTC,1782698760,1.701495,1.699945,1.703065,1.699145,0
binary,RENDERUSD-OTC,1782698820,1.699895,1.696745,1.699935,1.695925,0
binary,RENDERUSD-OTC,1782698880,1.696595,1.699375,1.700745,1.696515,0
binary,RENDERUSD-OTC,1782698940,1.699195,1.699615,1.699765,1.696635,0
binary,RENDERUSD-OTC,1782699000,1.699865,1.703865,1.703865,1.699445,0
binary,RENDERUSD-OTC,1782699060,1.703915,1.701785,1.704575,1.700805,0
binary,RENDERUSD-OTC,1782699120,1.701715,1.697805,1.701855,1.697595,0
binary,RENDERUSD-OTC,1782699180,1.697755,1.700095,1.700875,1.697465,0
binary,RENDERUSD-OTC,1782699240,1.699895,1.700535,1.702785,1.699065,0
binary,RENDERUSD-OTC,1782699300,1.700625,1.702855,1.705045,1.699125,0
binary,RENDERUSD-OTC,1782699360,1.702725,1.699455,1.702865,1.699105,0
binary,RENDERUSD-OTC,1782699420,1.699285,1.699395,1.702555,1.699155,0
binary,RENDERUSD-OTC,1782699480,1.699405,1.693015,1.700815,1.693015,0
binary,RENDERUSD-OTC,1782699540,1.693005,1.691245,1.695405,1.690395,0
binary,RENDERUSD-OTC,1782699600,1.691265,1.692535,1.694295,1.690615,0
binary,RENDERUSD-OTC,1782699660,1.692665,1.686555,1.692685,1.684195,0
binary,RENDERUSD-OTC,1782699720,1.686475,1.683905,1.687905,1.683245,0
binary,RENDERUSD-OTC,1782699780,1.683845,1.684945,1.685665,1.683475,0
binary,RENDERUSD-OTC,1782699840,1.684855,1.688495,1.691345,1.684855,0
binary,RENDERUSD-OTC,1782699900,1.688335,1.688555,1.691555,1.687055,0
binary,RENDERUSD-OTC,1782699960,1.689095,1.690105,1.691205,1.689095,0
binary,RENDERUSD-OTC,1782700020,1.690305,1.691955,1.692425,1.688925,0
binary,RENDERUSD-OTC,1782700080,1.691925,1.687375,1.693075,1.687125,0
binary,RENDERUSD-OTC,1782700140,1.687495,1.693495,1.694555,1.687495,0
binary,RENDERUSD-OTC,1782700200,1.693585,1.695305,1.695765,1.692275,0
binary,RENDERUSD-OTC,1782700260,1.695245,1.693715,1.696125,1.692655,0
binary,RENDERUSD-OTC,1782700320,1.693785,1.699175,1.700685,1.693495,0
binary,RENDERUSD-OTC,1782700380,1.699245,1.700515,1.700575,1.697315,0
binary,RENDERUSD-OTC,1782700440,1.700615,1.702945,1.702945,1.698945,0
binary,RENDERUSD-OTC,1782700500,1.702915,1.702285,1.705065,1.701495,0
binary,RENDERUSD-OTC,1782700560,1.702245,1.706245,1.706685,1.701935,0
binary,RENDERUSD-OTC,1782700620,1.706065,1.708015,1.708335,1.705505,0
binary,RENDERUSD-OTC,1782700680,1.707875,1.711645,1.714855,1.707875,0
binary,RENDERUSD-OTC,1782700740,1.711805,1.708465,1.712305,1.707635,0
binary,RENDERUSD-OTC,1782700800,1.708625,1.713255,1.713385,1.707655,0
binary,RENDERUSD-OTC,1782700860,1.713185,1.717185,1.717695,1.712155,0
binary,RENDERUSD-OTC,1782700920,1.716665,1.714795,1.718365,1.714005,0
binary,RENDERUSD-OTC,1782700980,1.714675,1.714535,1.715255,1.712325,0
binary,RENDERUSD-OTC,1782701040,1.714715,1.712995,1.716415,1.712495,0
binary,RENDERUSD-OTC,1782701100,1.713495,1.709965,1.713495,1.708465,0
binary,RENDERUSD-OTC,1782701160,1.709875,1.709705,1.710645,1.707025,0
binary,RENDERUSD-OTC,1782701220,1.709825,1.709865,1.711725,1.706805,0
binary,RENDERUSD-OTC,1782701280,1.709815,1.708195,1.709815,1.706905,0
binary,RENDERUSD-OTC,1782701340,1.708365,1.710755,1.712355,1.707855,0
binary,RENDERUSD-OTC,1782701400,1.710585,1.710415,1.711665,1.709165,0
binary,RENDERUSD-OTC,1782701460,1.710475,1.709395,1.712365,1.709255,0
binary,RENDERUSD-OTC,1782701520,1.709455,1.711425,1.712255,1.708895,0
binary,RENDERUSD-OTC,1782701580,1.711225,1.713865,1.716785,1.711005,0
binary,RENDERUSD-OTC,1782701640,1.713735,1.717055,1.717555,1.711725,0
binary,RENDERUSD-OTC,1782701700,1.717155,1.717045,1.718395,1.715985,0
binary,RENDERUSD-OTC,1782701760,1.717055,1.715275,1.717805,1.713865,0
binary,RENDERUSD-OTC,1782701820,1.715085,1.716325,1.716765,1.712915,0
binary,RENDERUSD-OTC,1782701880,1.716515,1.713075,1.717665,1.712835,0
binary,RENDERUSD-OTC,1782701940,1.713155,1.710315,1.716075,1.710035,0
binary,RENDERUSD-OTC,1782702000,1.710195,1.713925,1.714605,1.709635,0
binary,RENDERUSD-OTC,1782702060,1.713965,1.712025,1.715155,1.711915,0
binary,RENDERUSD-OTC,1782702120,1.712065,1.711465,1.715645,1.710925,0
binary,RENDERUSD-OTC,1782702180,1.711505,1.712025,1.714285,1.710525,0
binary,RENDERUSD-OTC,1782702240,1.711685,1.708775,1.712075,1.707915,0
binary,RENDERUSD-OTC,1782702300,1.708695,1.709725,1.710565,1.707895,0
binary,RENDERUSD-OTC,1782702360,1.709915,1.706995,1.710185,1.705735,0
binary,RENDERUSD-OTC,1782702420,1.707175,1.701145,1.707335,1.701035,0
binary,RENDERUSD-OTC,1782702480,1.701305,1.704385,1.705575,1.701305,0
binary,RENDERUSD-OTC,1782702540,1.704425,1.701665,1.704605,1.700855,0
binary,RENDERUSD-OTC,1782702600,1.701525,1.704915,1.706155,1.699515,0
binary,RENDERUSD-OTC,1782702660,1.704725,1.708095,1.708275,1.704025,0
binary,RENDERUSD-OTC,1782702720,1.708395,1.705245,1.708395,1.705105,0
binary,RENDERUSD-OTC,1782702780,1.705305,1.706585,1.706585,1.704165,0
binary,RENDERUSD-OTC,1782702840,1.706355,1.709315,1.709315,1.705295,0
binary,RENDERUSD-OTC,1782702900,1.709505,1.703435,1.710185,1.703375,0
binary,RENDERUSD-OTC,1782702960,1.703395,1.709635,1.709635,1.703395,0
binary,RENDERUSD-OTC,1782703020,1.709755,1.712995,1.712995,1.708505,0
binary,RENDERUSD-OTC,1782703080,1.713145,1.712385,1.715135,1.712385,0
binary,RENDERUSD-OTC,1782703140,1.712355,1.709845,1.714395,1.709845,0
binary,RENDERUSD-OTC,1782703200,1.709985,1.711485,1.712005,1.709205,0
binary,RENDERUSD-OTC,1782703260,1.711905,1.712665,1.712875,1.710175,0
binary,RENDERUSD-OTC,1782703320,1.712825,1.710755,1.713725,1.708965,0
binary,RENDERUSD-OTC,1782703380,1.710815,1.706835,1.712535,1.706475,0
binary,RENDERUSD-OTC,1782703440,1.706695,1.706625,1.709325,1.704625,0
binary,RENDERUSD-OTC,1782703500,1.706665,1.709955,1.712405,1.706555,0
binary,RENDERUSD-OTC,1782703560,1.709425,1.710565,1.714215,1.709425,0
binary,RENDERUSD-OTC,1782703620,1.710425,1.711535,1.713155,1.710325,0
binary,RENDERUSD-OTC,1782703680,1.711815,1.711625,1.712635,1.710245,0
binary,RENDERUSD-OTC,1782703740,1.711735,1.712635,1.713605,1.710355,0
binary,RENDERUSD-OTC,1782703800,1.712475,1.710015,1.712475,1.709315,0
binary,RENDERUSD-OTC,1782703860,1.710095,1.709885,1.710895,1.708885,0
binary,RENDERUSD-OTC,1782703920,1.709355,1.710025,1.710635,1.708275,0
binary,RENDERUSD-OTC,1782703980,1.710285,1.710945,1.711945,1.709705,0
binary,RENDERUSD-OTC,1782704040,1.711055,1.714085,1.714905,1.710965,0
binary,RENDERUSD-OTC,1782704100,1.714165,1.711365,1.715015,1.711345,0
binary,RENDERUSD-OTC,1782704160,1.711465,1.707145,1.712555,1.706785,0
binary,RENDERUSD-OTC,1782704220,1.707275,1.706875,1.708245,1.704685,0
binary,RENDERUSD-OTC,1782704280,1.706905,1.709525,1.710135,1.706605,0
binary,RENDERUSD-OTC,1782704340,1.709325,1.709865,1.709935,1.707885,0
binary,RENDERUSD-OTC,1782704400,1.709765,1.708695,1.709765,1.707055,0
binary,RENDERUSD-OTC,1782704460,1.708245,1.708235,1.712215,1.707885,0
binary,RENDERUSD-OTC,1782704520,1.708135,1.706725,1.709345,1.706175,0
binary,RENDERUSD-OTC,1782704580,1.706935,1.709865,1.710505,1.706265,0
binary,RENDERUSD-OTC,1782704640,1.709805,1.709215,1.710495,1.707735,0
binary,RENDERUSD-OTC,1782704700,1.709195,1.711265,1.712455,1.709185,0
binary,RENDERUSD-OTC,1782704760,1.711605,1.717975,1.718085,1.711235,0
binary,RENDERUSD-OTC,1782704820,1.718005,1.719125,1.720115,1.716255,0
binary,RENDERUSD-OTC,1782704880,1.719105,1.723515,1.725235,1.717875,0
binary,RENDERUSD-OTC,1782704940,1.723505,1.720015,1.723975,1.719055,0
binary,RENDERUSD-OTC,1782705000,1.719965,1.721595,1.721895,1.718945,0
binary,RENDERUSD-OTC,1782705060,1.721685,1.724565,1.724995,1.721685,0
binary,RENDERUSD-OTC,1782705120,1.724725,1.719685,1.724725,1.719495,0
binary,RENDERUSD-OTC,1782705180,1.719855,1.717795,1.720135,1.716235,0
binary,RENDERUSD-OTC,1782705240,1.717745,1.714505,1.720125,1.714505,0
binary,RENDERUSD-OTC,1782705300,1.714425,1.711185,1.714965,1.709075,0
