tipo,activo,from,open,close,max,min,volume
binary,SATSUSD-OTC,1782036120,0.019385,0.019715,0.019735,0.019025,0
binary,SATSUSD-OTC,1782036180,0.019775,0.019945,0.020095,0.019505,0
binary,SATSUSD-OTC,1782036240,0.019995,0.019535,0.019995,0.019335,0
binary,SATSUSD-OTC,1782036300,0.019525,0.018835,0.019645,0.018585,0
binary,SATSUSD-OTC,1782036360,0.018825,0.018055,0.018855,0.017885,0
binary,SATSUSD-OTC,1782036420,0.018075,0.017865,0.018285,0.017465,0
binary,SATSUSD-OTC,1782036480,0.017915,0.017645,0.017945,0.017465,0
binary,SATSUSD-OTC,1782036540,0.017635,0.017655,0.018135,0.017615,0
binary,SATSUSD-OTC,1782036600,0.017645,0.016775,0.017855,0.016775,0
binary,SATSUSD-OTC,1782036660,0.016715,0.016835,0.017065,0.016475,0
binary,SATSUSD-OTC,1782036720,0.016785,0.016545,0.017035,0.016245,0
binary,SATSUSD-OTC,1782036780,0.016535,0.016355,0.016645,0.016175,0
binary,SATSUSD-OTC,1782036840,0.016365,0.017495,0.017665,0.016355,0
binary,SATSUSD-OTC,1782036900,0.017575,0.017315,0.017985,0.017285,0
binary,SATSUSD-OTC,1782036960,0.017275,0.018545,0.018655,0.017045,0
binary,SATSUSD-OTC,1782037020,0.018515,0.018565,0.018815,0.018185,0
binary,SATSUSD-OTC,1782037080,0.018595,0.018875,0.019005,0.018365,0
binary,SATSUSD-OTC,1782037140,0.018865,0.018685,0.019125,0.018505,0
binary,SATSUSD-OTC,1782037200,0.018695,0.018485,0.019065,0.018155,0
binary,SATSUSD-OTC,1782037260,0.018525,0.018645,0.019025,0.018525,0
binary,SATSUSD-OTC,1782037320,0.018655,0.019845,0.019845,0.018555,0
binary,SATSUSD-OTC,1782037380,0.019805,0.020125,0.020465,0.019775,0
binary,SATSUSD-OTC,1782037440,0.020085,0.019995,0.020435,0.019625,0
