tipo,activo,from,open,close,max,min,volume
binary,SP35-OTC,1784564100,19177.930405,19168.452135,19178.569945,19166.610715,0
binary,SP35-OTC,1784564160,19169.655215,19165.759165,19170.949125,19165.589595,0
binary,SP35-OTC,1784564220,19165.750095,19154.513355,19171.356325,19154.511375,0
binary,SP35-OTC,1784564280,19154.521905,19162.653265,19163.271995,19152.719405,0
binary,SP35-OTC,1784564340,19162.656895,19155.212355,19163.826865,19152.407805,0
binary,SP35-OTC,1784564400,19155.809445,19156.443605,19158.598285,19147.129055,0
binary,SP35-OTC,1784564460,19155.247065,19159.132745,19167.748005,19155.241755,0
binary,SP35-OTC,1784564520,19159.137565,19149.628845,19159.137565,19149.315805,0
binary,SP35-OTC,1784564580,19149.632065,19145.976445,19152.354515,19145.146715,0
binary,SP35-OTC,1784564640,19145.974095,19170.740315,19171.995555,19145.972175,0
binary,SP35-OTC,1784564700,19170.733195,19161.136415,19171.336895,19161.136415,0
binary,SP35-OTC,1784564760,19161.136595,19158.414245,19162.555375,19155.357165,0
binary,SP35-OTC,1784564820,19158.411355,19149.116275,19159.659165,19144.017955,0
binary,SP35-OTC,1784564880,19148.513435,19125.167545,19150.901555,19125.136395,0
binary,SP35-OTC,1784564940,19122.455315,19129.869135,19135.530935,19121.543225,0
binary,SP35-OTC,1784565000,19129.875335,19127.320875,19133.688135,19126.705415,0
binary,SP35-OTC,1784565060,19126.726015,19133.586325,19136.814965,19126.723405,0
binary,SP35-OTC,1784565120,19134.191745,19126.640935,19141.239725,19126.621095,0
binary,SP35-OTC,1784565180,19126.630145,19126.168525,19128.619225,19124.388805,0
binary,SP35-OTC,1784565240,19126.166515,19126.914295,19132.188865,19124.507945,0
binary,SP35-OTC,1784565300,19126.334145,19130.580815,19131.791195,19120.336095,0
binary,SP35-OTC,1784565360,19130.581675,19131.865615,19134.906805,19126.993555,0
binary,SP35-OTC,1784565420,19131.871765,19144.869365,19144.871865,19131.871765,0
binary,SP35-OTC,1784565480,19144.872635,19136.588745,19146.493875,19135.992025,0
binary,SP35-OTC,1784565540,19135.984475,19136.998635,19142.372255,19135.374335,0
binary,SP35-OTC,1784565600,19138.185885,19152.300465,19152.314025,19135.151495,0
binary,SP35-OTC,1784565660,19152.299485,19139.294885,19161.830115,19137.249125,0
binary,SP35-OTC,1784565720,19139.291545,19122.252655,19139.838795,19121.616695,0
binary,SP35-OTC,1784565780,19121.652965,19129.201855,19129.817535,19119.834835,0
binary,SP35-OTC,1784565840,19129.194345,19127.026775,19130.713175,19125.829665,0
binary,SP35-OTC,1784565900,19127.035895,19128.702595,19131.084395,19125.137365,0
binary,SP35-OTC,1784565960,19128.691415,19125.638155,19129.943165,19120.265715,0
binary,SP35-OTC,1784566020,19125.644655,19133.433085,19133.438285,19117.592295,0
binary,SP35-OTC,1784566080,19133.430675,19133.288255,19140.053055,19129.678165,0
binary,SP35-OTC,1784566140,19133.287975,19126.348275,19133.304795,19120.565705,0
binary,SP35-OTC,1784566200,19126.350855,19116.202405,19126.350855,19116.192895,0
binary,SP35-OTC,1784566260,19116.780775,19115.345815,19116.780775,19110.073075,0
binary,SP35-OTC,1784566320,19115.338015,19116.194685,19119.796215,19107.600025,0
binary,SP35-OTC,1784566380,19116.191855,19109.459565,19116.202385,19107.171595,0
binary,SP35-OTC,1784566440,19108.873785,19109.571705,19112.593895,19106.341085,0
binary,SP35-OTC,1784566500,19111.367525,19115.338435,19118.261515,19102.686545,0
binary,SP35-OTC,1784566560,19115.330415,19109.556205,19115.332245,19103.248785,0
binary,SP35-OTC,1784566620,19109.565695,19127.325575,19128.538275,19105.339735,0
binary,SP35-OTC,1784566680,19127.315765,19123.081265,19132.341865,19123.081265,0
binary,SP35-OTC,1784566740,19123.084825,19118.658395,19126.550825,19117.413715,0
binary,SP35-OTC,1784566800,19118.667875,19113.789535,19120.067605,19107.851345,0
binary,SP35-OTC,1784566860,19113.798345,19114.701075,19116.472315,19108.416945,0
binary,SP35-OTC,1784566920,19114.705145,19112.555365,19117.357705,19109.300435,0
binary,SP35-OTC,1784566980,19112.552545,19100.007345,19112.552545,19100.002185,0
binary,SP35-OTC,1784567040,19100.016465,19095.136835,19100.018635,19092.054765,0
binary,SP35-OTC,1784567100,19092.718465,19096.919535,19103.148755,19092.717365,0
binary,SP35-OTC,1784567160,19096.919655,19106.583525,19106.583525,19096.919655,0
binary,SP35-OTC,1784567220,19106.581435,19113.862485,19118.573315,19106.578155,0
binary,SP35-OTC,1784567280,19113.874165,19124.206975,19124.206975,19110.207955,0
binary,SP35-OTC,1784567340,19124.203575,19130.257775,19130.266785,19121.504745,0
binary,SP35-OTC,1784567400,19130.245815,19132.257225,19134.429985,19121.771445,0
binary,SP35-OTC,1784567460,19132.251125,19123.965455,19136.511265,19123.956785,0
binary,SP35-OTC,1784567520,19123.962705,19133.056345,19133.063975,19122.656385,0
binary,SP35-OTC,1784567580,19133.062085,19130.213125,19133.977405,19125.771205,0
binary,SP35-OTC,1784567640,19130.222185,19127.565015,19130.235985,19123.091675,0
binary,SP35-OTC,1784567700,19127.574595,19118.800845,19131.011235,19118.190345,0
binary,SP35-OTC,1784567760,19118.802215,19120.949875,19123.570475,19118.802215,0
binary,SP35-OTC,1784567820,19121.559315,19128.146925,19133.513805,19120.409025,0
