tipo,activo,from,open,close,max,min,volume
binary,SUIUSD-OTC,1782510540,0.738175,0.733665,0.738535,0.731875,0
binary,SUIUSD-OTC,1782510600,0.733535,0.728685,0.733655,0.727565,0
binary,SUIUSD-OTC,1782510660,0.728775,0.730955,0.731035,0.727575,0
binary,SUIUSD-OTC,1782510720,0.730885,0.736035,0.737275,0.730765,0
binary,SUIUSD-OTC,1782510780,0.735755,0.740155,0.741305,0.735635,0
binary,SUIUSD-OTC,1782510840,0.739955,0.742895,0.744565,0.738755,0
binary,SUIUSD-OTC,1782510900,0.742595,0.742945,0.743915,0.740315,0
binary,SUIUSD-OTC,1782510960,0.742935,0.739275,0.742945,0.738295,0
binary,SUIUSD-OTC,1782511020,0.739145,0.740565,0.742255,0.738535,0
binary,SUIUSD-OTC,1782511080,0.740845,0.742025,0.742635,0.739695,0
binary,SUIUSD-OTC,1782511140,0.742185,0.739045,0.742385,0.736735,0
binary,SUIUSD-OTC,1782511200,0.738975,0.738005,0.739385,0.735245,0
binary,SUIUSD-OTC,1782511260,0.737785,0.740795,0.741055,0.736265,0
binary,SUIUSD-OTC,1782511320,0.740935,0.748805,0.748815,0.739575,0
binary,SUIUSD-OTC,1782511380,0.748795,0.744885,0.749185,0.743825,0
binary,SUIUSD-OTC,1782511440,0.745115,0.742345,0.746225,0.742285,0
binary,SUIUSD-OTC,1782511500,0.742385,0.733635,0.743005,0.733635,0
binary,SUIUSD-OTC,1782511560,0.733195,0.734785,0.736325,0.733195,0
binary,SUIUSD-OTC,1782511620,0.734595,0.733805,0.735915,0.733495,0
binary,SUIUSD-OTC,1782511680,0.733785,0.738835,0.739835,0.733785,0
binary,SUIUSD-OTC,1782511740,0.738825,0.738365,0.740895,0.737725,0
binary,SUIUSD-OTC,1782511800,0.738415,0.736835,0.741075,0.736835,0
binary,SUIUSD-OTC,1782511860,0.736845,0.729965,0.737175,0.729675,0
binary,SUIUSD-OTC,1782511920,0.729935,0.732015,0.733725,0.729835,0
binary,SUIUSD-OTC,1782511980,0.731905,0.730715,0.733255,0.729035,0
binary,SUIUSD-OTC,1782512040,0.730395,0.733335,0.734885,0.729965,0
binary,SUIUSD-OTC,1782512100,0.733175,0.727455,0.735125,0.726785,0
binary,SUIUSD-OTC,1782512160,0.727635,0.726745,0.728535,0.725975,0
binary,SUIUSD-OTC,1782512220,0.726655,0.729285,0.730305,0.725885,0
binary,SUIUSD-OTC,1782512280,0.729365,0.735265,0.735525,0.728425,0
binary,SUIUSD-OTC,1782512340,0.735285,0.739575,0.740775,0.734975,0
binary,SUIUSD-OTC,1782512400,0.739805,0.742325,0.743115,0.736035,0
binary,SUIUSD-OTC,1782512460,0.742265,0.738795,0.744825,0.738775,0
binary,SUIUSD-OTC,1782512520,0.738425,0.745345,0.745605,0.737975,0
binary,SUIUSD-OTC,1782512580,0.745405,0.751915,0.752055,0.744435,0
binary,SUIUSD-OTC,1782512640,0.752025,0.746265,0.754425,0.743295,0
binary,SUIUSD-OTC,1782512700,0.746225,0.742035,0.746365,0.741125,0
binary,SUIUSD-OTC,1782512760,0.741905,0.748965,0.748965,0.740615,0
binary,SUIUSD-OTC,1782512820,0.748805,0.744815,0.749975,0.744705,0
binary,SUIUSD-OTC,1782512880,0.744805,0.742205,0.746855,0.740475,0
binary,SUIUSD-OTC,1782512940,0.742225,0.741415,0.743635,0.740725,0
binary,SUIUSD-OTC,1782513000,0.741405,0.738615,0.744265,0.738615,0
binary,SUIUSD-OTC,1782513060,0.736475,0.735145,0.736655,0.733865,0
binary,SUIUSD-OTC,1782513120,0.735275,0.734515,0.737735,0.733795,0
binary,SUIUSD-OTC,1782513180,0.734435,0.737085,0.738755,0.732105,0
binary,SUIUSD-OTC,1782513240,0.737215,0.739725,0.740655,0.736535,0
binary,SUIUSD-OTC,1782513300,0.739765,0.742005,0.743955,0.739735,0
binary,SUIUSD-OTC,1782513360,0.742235,0.739405,0.742775,0.739255,0
binary,SUIUSD-OTC,1782513420,0.739275,0.737955,0.739685,0.733275,0
binary,SUIUSD-OTC,1782513480,0.737935,0.740435,0.740435,0.735405,0
binary,SUIUSD-OTC,1782513540,0.740695,0.741365,0.743045,0.740635,0
binary,SUIUSD-OTC,1782513600,0.741315,0.736435,0.741315,0.735645,0
binary,SUIUSD-OTC,1782513660,0.736835,0.740645,0.740695,0.732735,0
binary,SUIUSD-OTC,1782513720,0.740575,0.741785,0.742315,0.738485,0
binary,SUIUSD-OTC,1782513780,0.741435,0.736985,0.743635,0.736985,0
binary,SUIUSD-OTC,1782513840,0.737045,0.737765,0.738545,0.735765,0
binary,SUIUSD-OTC,1782513900,0.737775,0.740115,0.742545,0.737495,0
binary,SUIUSD-OTC,1782513960,0.739135,0.737685,0.739965,0.737495,0
binary,SUIUSD-OTC,1782514020,0.737545,0.738455,0.738735,0.734475,0
binary,SUIUSD-OTC,1782514080,0.738555,0.736715,0.742065,0.736715,0
binary,SUIUSD-OTC,1782514140,0.736825,0.733675,0.737365,0.731615,0
binary,SUIUSD-OTC,1782514200,0.733745,0.735265,0.735925,0.731295,0
binary,SUIUSD-OTC,1782514260,0.735255,0.733575,0.735275,0.731375,0
binary,SUIUSD-OTC,1782514320,0.733565,0.728295,0.735875,0.727185,0
binary,SUIUSD-OTC,1782514380,0.728305,0.733285,0.733285,0.725845,0
binary,SUIUSD-OTC,1782514440,0.733555,0.738195,0.738195,0.733555,0
binary,SUIUSD-OTC,1782514500,0.738405,0.737855,0.742065,0.736625,0
binary,SUIUSD-OTC,1782514560,0.737885,0.740135,0.741265,0.737555,0
binary,SUIUSD-OTC,1782514620,0.740095,0.736045,0.741345,0.736045,0
binary,SUIUSD-OTC,1782514680,0.735865,0.740095,0.740425,0.735755,0
binary,SUIUSD-OTC,1782514740,0.740105,0.744015,0.744565,0.740015,0
binary,SUIUSD-OTC,1782514800,0.744315,0.745875,0.746045,0.742145,0
binary,SUIUSD-OTC,1782514860,0.744195,0.741955,0.746525,0.741865,0
binary,SUIUSD-OTC,1782514920,0.741945,0.740895,0.744615,0.740215,0
binary,SUIUSD-OTC,1782514980,0.740665,0.742405,0.744905,0.740055,0
binary,SUIUSD-OTC,1782515040,0.742385,0.744385,0.746125,0.742045,0
binary,SUIUSD-OTC,1782515100,0.744245,0.749025,0.749025,0.742815,0
binary,SUIUSD-OTC,1782515160,0.749045,0.741535,0.749315,0.739635,0
binary,SUIUSD-OTC,1782515220,0.741805,0.743255,0.744115,0.740805,0
binary,SUIUSD-OTC,1782515280,0.743355,0.741435,0.745375,0.740885,0
binary,SUIUSD-OTC,1782515340,0.741385,0.740905,0.742865,0.740365,0
binary,SUIUSD-OTC,1782515400,0.740695,0.738465,0.740695,0.737175,0
binary,SUIUSD-OTC,1782515460,0.738565,0.744095,0.744315,0.737545,0
binary,SUIUSD-OTC,1782515520,0.744085,0.739505,0.746325,0.739345,0
binary,SUIUSD-OTC,1782515580,0.738905,0.739765,0.740015,0.736725,0
binary,SUIUSD-OTC,1782515640,0.739465,0.745165,0.747695,0.738535,0
binary,SUIUSD-OTC,1782515700,0.745185,0.750725,0.751315,0.744105,0
binary,SUIUSD-OTC,1782515760,0.751005,0.758885,0.758885,0.750965,0
binary,SUIUSD-OTC,1782515820,0.759015,0.758995,0.761325,0.757435,0
binary,SUIUSD-OTC,1782515880,0.758765,0.763205,0.763985,0.757605,0
binary,SUIUSD-OTC,1782515940,0.763165,0.767375,0.767915,0.763135,0
binary,SUIUSD-OTC,1782516000,0.767325,0.767245,0.768025,0.765535,0
binary,SUIUSD-OTC,1782516060,0.767305,0.768185,0.769225,0.766655,0
binary,SUIUSD-OTC,1782516120,0.768075,0.762255,0.770625,0.761225,0
binary,SUIUSD-OTC,1782516180,0.761955,0.753745,0.762015,0.753745,0
binary,SUIUSD-OTC,1782516240,0.753835,0.756435,0.758315,0.752725,0
binary,SUIUSD-OTC,1782516300,0.756255,0.757095,0.758505,0.755105,0
binary,SUIUSD-OTC,1782516360,0.757115,0.761555,0.763835,0.757115,0
binary,SUIUSD-OTC,1782516420,0.761285,0.762615,0.766065,0.760515,0
binary,SUIUSD-OTC,1782516480,0.762515,0.764225,0.764335,0.761025,0
binary,SUIUSD-OTC,1782516540,0.764335,0.757795,0.764345,0.757475,0
binary,SUIUSD-OTC,1782516600,0.757785,0.753935,0.759165,0.752645,0
binary,SUIUSD-OTC,1782516660,0.754265,0.751665,0.754265,0.750945,0
binary,SUIUSD-OTC,1782516720,0.751625,0.761415,0.763005,0.751625,0
binary,SUIUSD-OTC,1782516780,0.761455,0.762825,0.764675,0.760885,0
binary,SUIUSD-OTC,1782516840,0.762575,0.761275,0.762655,0.758435,0
binary,SUIUSD-OTC,1782516900,0.761045,0.761785,0.762875,0.758135,0
binary,SUIUSD-OTC,1782516960,0.761885,0.763245,0.764355,0.760575,0
binary,SUIUSD-OTC,1782517020,0.763125,0.768735,0.768945,0.762765,0
binary,SUIUSD-OTC,1782517080,0.768845,0.771685,0.772535,0.767335,0
binary,SUIUSD-OTC,1782517140,0.771475,0.771145,0.774335,0.770875,0
binary,SUIUSD-OTC,1782517200,0.771365,0.774775,0.775875,0.770365,0
binary,SUIUSD-OTC,1782517260,0.774545,0.775375,0.777645,0.773445,0
binary,SUIUSD-OTC,1782517320,0.775605,0.776145,0.779835,0.774815,0
binary,SUIUSD-OTC,1782517380,0.776295,0.777815,0.781705,0.776295,0
binary,SUIUSD-OTC,1782517440,0.777715,0.774535,0.779595,0.774275,0
binary,SUIUSD-OTC,1782517500,0.774545,0.774885,0.775945,0.773185,0
