tipo,activo,from,open,close,max,min,volume
binary,SpaceX-OTC,1782913740,215.318175,216.046105,217.065525,215.101555,0
binary,SpaceX-OTC,1782913800,216.106495,218.442665,218.492265,215.977935,0
binary,SpaceX-OTC,1782913860,218.259665,219.330145,219.426165,217.497345,0
binary,SpaceX-OTC,1782913920,219.302925,220.356095,220.808965,219.243885,0
binary,SpaceX-OTC,1782913980,220.348965,222.315035,222.481265,220.204735,0
binary,SpaceX-OTC,1782914040,222.309965,223.552205,224.291595,222.309965,0
binary,SpaceX-OTC,1782914100,223.556495,220.581135,224.143215,220.441255,0
binary,SpaceX-OTC,1782914160,220.470025,220.823555,221.369995,219.807285,0
binary,SpaceX-OTC,1782914220,220.836295,218.240545,221.122625,217.961875,0
binary,SpaceX-OTC,1782914280,218.185575,216.029365,219.250325,215.424205,0
binary,SpaceX-OTC,1782914340,216.036805,218.847585,218.847585,215.918335,0
binary,SpaceX-OTC,1782914400,218.816625,220.564425,220.564425,218.516815,0
binary,SpaceX-OTC,1782914460,221.058705,222.138935,222.423005,220.505745,0
binary,SpaceX-OTC,1782914520,222.201855,220.719905,222.776515,220.659335,0
binary,SpaceX-OTC,1782914580,220.707865,221.582155,222.125945,219.508565,0
binary,SpaceX-OTC,1782914640,221.519025,221.793665,222.462055,220.512785,0
binary,SpaceX-OTC,1782914700,221.788455,217.585735,221.788455,217.585735,0
binary,SpaceX-OTC,1782914760,217.649005,219.433255,219.569385,217.595465,0
binary,SpaceX-OTC,1782914820,219.461035,219.388945,220.381165,219.229045,0
binary,SpaceX-OTC,1782914880,219.345185,222.311495,222.719865,219.235255,0
binary,SpaceX-OTC,1782914940,222.260905,223.540235,223.542725,221.541755,0
binary,SpaceX-OTC,1782915000,223.510535,221.883435,223.908575,221.605035,0
binary,SpaceX-OTC,1782915060,221.800045,224.038945,224.038945,221.367615,0
binary,SpaceX-OTC,1782915120,224.082155,223.718115,226.108925,223.709715,0
binary,SpaceX-OTC,1782915180,223.811505,226.527485,226.534175,222.409815,0
binary,SpaceX-OTC,1782915240,226.375165,227.016395,227.159335,225.915105,0
binary,SpaceX-OTC,1782915300,227.081325,229.488595,229.689225,226.809855,0
binary,SpaceX-OTC,1782915360,229.445205,229.292365,230.141185,228.776865,0
binary,SpaceX-OTC,1782915420,229.316435,227.091025,229.370125,226.948705,0
binary,SpaceX-OTC,1782915480,227.028345,226.871495,227.496305,225.723105,0
binary,SpaceX-OTC,1782915540,226.713785,227.424015,227.667825,226.648305,0
binary,SpaceX-OTC,1782915600,227.416235,226.895395,228.033325,226.191365,0
binary,SpaceX-OTC,1782915660,226.852575,227.102965,228.044615,226.566535,0
binary,SpaceX-OTC,1782915720,227.101855,226.411385,227.939555,226.411385,0
binary,SpaceX-OTC,1782915780,226.480445,227.047755,227.467305,225.392275,0
binary,SpaceX-OTC,1782915840,226.958465,226.565845,227.267395,225.934495,0
binary,SpaceX-OTC,1782915900,226.507045,226.442765,226.921055,225.545025,0
binary,SpaceX-OTC,1782915960,226.457515,224.765205,226.872755,224.741215,0
binary,SpaceX-OTC,1782916020,224.821465,222.543155,225.304185,222.263025,0
