tipo,activo,from,open,close,max,min,volume
binary,TESLA-OTC,1782566700,356.094145,355.767865,356.257375,355.410865,0
binary,TESLA-OTC,1782566760,355.771895,356.257375,356.291905,355.618605,0
binary,TESLA-OTC,1782566820,356.300185,354.889035,356.387825,354.537585,0
binary,TESLA-OTC,1782566880,354.910755,355.371615,355.976305,354.877315,0
binary,TESLA-OTC,1782566940,355.432635,354.763125,355.432635,354.761325,0
binary,TESLA-OTC,1782567000,354.765965,355.417105,355.641745,354.751655,0
binary,TESLA-OTC,1782567060,355.433695,355.431285,355.915325,354.960615,0
binary,TESLA-OTC,1782567120,355.411845,355.300655,355.686835,354.762405,0
binary,TESLA-OTC,1782567180,355.361645,356.782535,356.782535,355.275735,0
binary,TESLA-OTC,1782567240,356.674965,356.736205,357.061605,356.074225,0
binary,TESLA-OTC,1782567300,356.729625,357.094095,357.385225,356.729625,0
binary,TESLA-OTC,1782567360,357.092575,356.798285,357.558435,356.797705,0
binary,TESLA-OTC,1782567420,356.798725,355.129625,356.798725,355.087075,0
binary,TESLA-OTC,1782567480,355.100385,353.859945,355.835475,353.802345,0
binary,TESLA-OTC,1782567540,353.865485,354.375935,354.886675,353.805275,0
binary,TESLA-OTC,1782567600,354.469325,354.313925,354.749535,353.919965,0
binary,TESLA-OTC,1782567660,354.331185,353.387845,354.433435,353.101785,0
binary,TESLA-OTC,1782567720,353.446955,352.233305,353.447695,351.952025,0
binary,TESLA-OTC,1782567780,352.229405,352.639545,352.859455,352.029675,0
binary,TESLA-OTC,1782567840,352.632355,352.473705,352.735515,352.001945,0
binary,TESLA-OTC,1782567900,352.479675,351.407255,352.733685,351.295435,0
binary,TESLA-OTC,1782567960,351.410505,351.463525,351.831065,350.991425,0
binary,TESLA-OTC,1782568020,351.622035,351.474395,351.867495,350.966765,0
binary,TESLA-OTC,1782568080,351.560815,351.017965,351.624965,350.593905,0
binary,TESLA-OTC,1782568140,351.016105,350.621525,351.151835,350.465805,0
binary,TESLA-OTC,1782568200,350.615215,350.755785,350.969505,350.226995,0
binary,TESLA-OTC,1782568260,350.717225,349.435395,350.853495,349.435395,0
binary,TESLA-OTC,1782568320,349.456535,348.833785,349.648175,348.536055,0
binary,TESLA-OTC,1782568380,348.865975,347.892845,349.057165,347.741565,0
binary,TESLA-OTC,1782568440,347.895465,347.690915,348.531065,347.614745,0
binary,TESLA-OTC,1782568500,347.683705,347.911975,348.370665,347.584065,0
binary,TESLA-OTC,1782568560,347.912785,349.095135,349.233205,347.912785,0
binary,TESLA-OTC,1782568620,349.075005,348.915075,349.075005,348.372045,0
binary,TESLA-OTC,1782568680,348.917465,347.627125,348.921805,347.560485,0
binary,TESLA-OTC,1782568740,347.627245,348.064745,348.214335,347.200405,0
binary,TESLA-OTC,1782568800,348.064695,348.867955,348.991985,347.961565,0
