tipo,activo,from,open,close,max,min,volume
binary,TONUSD-OTC,1782036180,1.761005,1.762215,1.763045,1.759715,0
binary,TONUSD-OTC,1782036240,1.762205,1.765135,1.766335,1.762195,0
binary,TONUSD-OTC,1782036300,1.765145,1.760395,1.765475,1.760335,0
binary,TONUSD-OTC,1782036360,1.760385,1.755835,1.760385,1.755655,0
binary,TONUSD-OTC,1782036420,1.756325,1.754595,1.756535,1.752875,0
binary,TONUSD-OTC,1782036480,1.753905,1.755275,1.755735,1.753345,0
binary,TONUSD-OTC,1782036540,1.754905,1.752365,1.756335,1.750635,0
binary,TONUSD-OTC,1782036600,1.752005,1.750385,1.752405,1.749855,0
binary,TONUSD-OTC,1782036660,1.750455,1.747075,1.750515,1.746665,0
binary,TONUSD-OTC,1782036720,1.747065,1.744455,1.748335,1.744245,0
binary,TONUSD-OTC,1782036780,1.744465,1.741715,1.745915,1.741615,0
binary,TONUSD-OTC,1782036840,1.741385,1.744735,1.746685,1.741335,0
binary,TONUSD-OTC,1782036900,1.744775,1.745965,1.746675,1.742735,0
binary,TONUSD-OTC,1782036960,1.745985,1.746935,1.749435,1.745975,0
binary,TONUSD-OTC,1782037020,1.746945,1.746415,1.747575,1.744035,0
binary,TONUSD-OTC,1782037080,1.745535,1.743975,1.746475,1.743365,0
binary,TONUSD-OTC,1782037140,1.744055,1.743635,1.746255,1.743635,0
binary,TONUSD-OTC,1782037200,1.743575,1.741745,1.744505,1.741745,0
binary,TONUSD-OTC,1782037260,1.741755,1.738405,1.742665,1.738025,0
binary,TONUSD-OTC,1782037320,1.738605,1.739005,1.739485,1.737255,0
binary,TONUSD-OTC,1782037380,1.738995,1.741965,1.742915,1.737765,0
binary,TONUSD-OTC,1782037440,1.741955,1.742375,1.743145,1.739175,0
binary,TONUSD-OTC,1782037500,1.742345,1.742495,1.744745,1.740315,0
binary,TONUSD-OTC,1782037560,1.742525,1.741805,1.742895,1.739965,0
binary,TONUSD-OTC,1782037620,1.742295,1.744415,1.744835,1.742295,0
binary,TONUSD-OTC,1782037680,1.744425,1.746255,1.746905,1.743345,0
binary,TONUSD-OTC,1782037740,1.746575,1.747595,1.749665,1.746575,0
binary,TONUSD-OTC,1782037800,1.747605,1.742315,1.747745,1.742315,0
binary,TONUSD-OTC,1782037860,1.742205,1.745605,1.745615,1.742075,0
binary,TONUSD-OTC,1782037920,1.745615,1.744055,1.746385,1.744025,0
binary,TONUSD-OTC,1782037980,1.744165,1.742745,1.744505,1.741745,0
binary,TONUSD-OTC,1782038040,1.743015,1.741795,1.744285,1.741505,0
binary,TONUSD-OTC,1782038100,1.741565,1.739695,1.742755,1.739385,0
binary,TONUSD-OTC,1782038160,1.739685,1.738265,1.740075,1.737465,0
binary,TONUSD-OTC,1782038220,1.738075,1.738375,1.739825,1.737485,0
binary,TONUSD-OTC,1782038280,1.738005,1.735725,1.738005,1.735345,0
binary,TONUSD-OTC,1782038340,1.735715,1.737135,1.738665,1.734755,0
