tipo,activo,from,open,close,max,min,volume
binary,TRUMPUSD-OTC,1784564160,1.638055,1.628155,1.644055,1.620135,0
binary,TRUMPUSD-OTC,1784564220,1.626935,1.655945,1.665195,1.615145,0
binary,TRUMPUSD-OTC,1784564280,1.656425,1.629475,1.670665,1.628175,0
binary,TRUMPUSD-OTC,1784564340,1.630155,1.599845,1.632575,1.595445,0
binary,TRUMPUSD-OTC,1784564400,1.600115,1.618785,1.625125,1.572005,0
binary,TRUMPUSD-OTC,1784564460,1.619475,1.604565,1.643175,1.604565,0
binary,TRUMPUSD-OTC,1784564520,1.603275,1.572125,1.608505,1.566255,0
binary,TRUMPUSD-OTC,1784564580,1.569075,1.610145,1.611935,1.549075,0
binary,TRUMPUSD-OTC,1784564640,1.610445,1.593305,1.610445,1.580525,0
binary,TRUMPUSD-OTC,1784564700,1.592755,1.626525,1.632985,1.571215,0
binary,TRUMPUSD-OTC,1784564760,1.626125,1.621695,1.627415,1.602015,0
binary,TRUMPUSD-OTC,1784564820,1.621215,1.660625,1.667935,1.621215,0
binary,TRUMPUSD-OTC,1784564880,1.660175,1.631125,1.665945,1.619145,0
binary,TRUMPUSD-OTC,1784564940,1.631615,1.604635,1.631615,1.593325,0
binary,TRUMPUSD-OTC,1784565000,1.603165,1.604475,1.607465,1.584135,0
binary,TRUMPUSD-OTC,1784565060,1.603935,1.599685,1.613175,1.577225,0
binary,TRUMPUSD-OTC,1784565120,1.597595,1.616195,1.633895,1.586675,0
binary,TRUMPUSD-OTC,1784565180,1.614725,1.641515,1.641515,1.614725,0
binary,TRUMPUSD-OTC,1784565240,1.643755,1.607335,1.649085,1.587205,0
binary,TRUMPUSD-OTC,1784565300,1.602665,1.565625,1.625925,1.560805,0
binary,TRUMPUSD-OTC,1784565360,1.567435,1.544705,1.577215,1.544705,0
binary,TRUMPUSD-OTC,1784565420,1.543985,1.542715,1.554225,1.530255,0
binary,TRUMPUSD-OTC,1784565480,1.544625,1.502355,1.562275,1.500915,0
binary,TRUMPUSD-OTC,1784565540,1.504065,1.479695,1.508485,1.474195,0
binary,TRUMPUSD-OTC,1784565600,1.480965,1.439135,1.480965,1.436255,0
binary,TRUMPUSD-OTC,1784565660,1.438875,1.446675,1.454785,1.424285,0
binary,TRUMPUSD-OTC,1784565720,1.445965,1.464615,1.471715,1.440265,0
binary,TRUMPUSD-OTC,1784565780,1.463445,1.438925,1.466485,1.438925,0
binary,TRUMPUSD-OTC,1784565840,1.446035,1.457315,1.477645,1.443985,0
binary,TRUMPUSD-OTC,1784565900,1.457055,1.428385,1.476115,1.421845,0
binary,TRUMPUSD-OTC,1784565960,1.427425,1.419285,1.434925,1.408775,0
binary,TRUMPUSD-OTC,1784566020,1.419215,1.456445,1.456445,1.410615,0
binary,TRUMPUSD-OTC,1784566080,1.458335,1.457805,1.479345,1.452145,0
binary,TRUMPUSD-OTC,1784566140,1.455985,1.428165,1.472675,1.427785,0
binary,TRUMPUSD-OTC,1784566200,1.427865,1.453415,1.455805,1.421415,0
binary,TRUMPUSD-OTC,1784566260,1.455705,1.456275,1.467705,1.443325,0
binary,TRUMPUSD-OTC,1784566320,1.455735,1.422455,1.468645,1.419725,0
binary,TRUMPUSD-OTC,1784566380,1.422955,1.430635,1.434795,1.413585,0
binary,TRUMPUSD-OTC,1784566440,1.433385,1.458275,1.459685,1.423125,0
binary,TRUMPUSD-OTC,1784566500,1.459745,1.470355,1.480015,1.457745,0
binary,TRUMPUSD-OTC,1784566560,1.470575,1.468275,1.476745,1.456295,0
binary,TRUMPUSD-OTC,1784566620,1.468215,1.465885,1.483085,1.448265,0
binary,TRUMPUSD-OTC,1784566680,1.466215,1.448865,1.467775,1.444015,0
binary,TRUMPUSD-OTC,1784566740,1.448345,1.461465,1.465235,1.430695,0
binary,TRUMPUSD-OTC,1784566800,1.461865,1.430765,1.468795,1.429945,0
binary,TRUMPUSD-OTC,1784566860,1.428755,1.425915,1.437565,1.415645,0
binary,TRUMPUSD-OTC,1784566920,1.425875,1.467665,1.481715,1.425215,0
binary,TRUMPUSD-OTC,1784566980,1.467775,1.479955,1.480865,1.459845,0
binary,TRUMPUSD-OTC,1784567040,1.476975,1.457505,1.482025,1.455565,0
binary,TRUMPUSD-OTC,1784567100,1.457965,1.446095,1.467845,1.440575,0
binary,TRUMPUSD-OTC,1784567160,1.446315,1.404445,1.446315,1.404445,0
binary,TRUMPUSD-OTC,1784567220,1.404185,1.413085,1.413475,1.379175,0
binary,TRUMPUSD-OTC,1784567280,1.413495,1.419265,1.419265,1.388245,0
binary,TRUMPUSD-OTC,1784567340,1.418315,1.425855,1.442525,1.412455,0
binary,TRUMPUSD-OTC,1784567400,1.426515,1.429635,1.445375,1.412175,0
binary,TRUMPUSD-OTC,1784567460,1.430565,1.423025,1.430565,1.406325,0
binary,TRUMPUSD-OTC,1784567520,1.422875,1.432125,1.436065,1.418715,0
binary,TRUMPUSD-OTC,1784567580,1.431625,1.430765,1.443485,1.425225,0
binary,TRUMPUSD-OTC,1784567640,1.431445,1.454745,1.470095,1.429475,0
binary,TRUMPUSD-OTC,1784567700,1.450235,1.451135,1.455605,1.441055,0
binary,TRUMPUSD-OTC,1784567760,1.451235,1.427995,1.455565,1.420145,0
binary,TRUMPUSD-OTC,1784567820,1.427885,1.374065,1.432695,1.373695,0
binary,TRUMPUSD-OTC,1784567880,1.373695,1.380525,1.382155,1.359445,0
binary,TRUMPUSD-OTC,1784567940,1.378415,1.407095,1.413875,1.378415,0
binary,TRUMPUSD-OTC,1784568000,1.406355,1.378155,1.412435,1.377545,0
binary,TRUMPUSD-OTC,1784568060,1.379485,1.371745,1.398665,1.358325,0
binary,TRUMPUSD-OTC,1784568120,1.371195,1.377775,1.388435,1.362015,0
binary,TRUMPUSD-OTC,1784568180,1.378515,1.390575,1.397885,1.369525,0
binary,TRUMPUSD-OTC,1784568240,1.389545,1.389185,1.393125,1.372265,0
binary,TRUMPUSD-OTC,1784568300,1.399195,1.403185,1.417175,1.389895,0
binary,TRUMPUSD-OTC,1784568360,1.403205,1.387865,1.403205,1.382345,0
binary,TRUMPUSD-OTC,1784568420,1.385915,1.384695,1.395055,1.371065,0
binary,TRUMPUSD-OTC,1784568480,1.383085,1.396325,1.401965,1.368865,0
binary,TRUMPUSD-OTC,1784568540,1.394995,1.386755,1.409995,1.384215,0
binary,TRUMPUSD-OTC,1784568600,1.387275,1.377745,1.412175,1.374945,0
binary,TRUMPUSD-OTC,1784568660,1.375385,1.302365,1.379275,1.302365,0
binary,TRUMPUSD-OTC,1784568720,1.301995,1.300685,1.302135,1.276895,0
binary,TRUMPUSD-OTC,1784568780,1.298355,1.346315,1.349335,1.297815,0
binary,TRUMPUSD-OTC,1784568840,1.345115,1.333715,1.364105,1.328505,0
binary,TRUMPUSD-OTC,1784568900,1.335675,1.352875,1.367165,1.334025,0
binary,TRUMPUSD-OTC,1784568960,1.353725,1.357525,1.367345,1.342835,0
binary,TRUMPUSD-OTC,1784569020,1.355605,1.356915,1.374725,1.354175,0
binary,TRUMPUSD-OTC,1784569080,1.357425,1.343225,1.367825,1.342025,0
binary,TRUMPUSD-OTC,1784569140,1.343975,1.347215,1.347215,1.332725,0
binary,TRUMPUSD-OTC,1784569200,1.344275,1.341395,1.362435,1.331675,0
binary,TRUMPUSD-OTC,1784569260,1.342945,1.345535,1.350095,1.325725,0
binary,TRUMPUSD-OTC,1784569320,1.344885,1.342915,1.351975,1.320235,0
binary,TRUMPUSD-OTC,1784569380,1.342055,1.367095,1.371915,1.334915,0
binary,TRUMPUSD-OTC,1784569440,1.367165,1.344105,1.373995,1.344105,0
binary,TRUMPUSD-OTC,1784569500,1.342585,1.340805,1.346435,1.320495,0
binary,TRUMPUSD-OTC,1784569560,1.340065,1.372535,1.375675,1.334615,0
binary,TRUMPUSD-OTC,1784569620,1.371645,1.417465,1.417695,1.370215,0
binary,TRUMPUSD-OTC,1784569680,1.420705,1.400805,1.422455,1.380155,0
binary,TRUMPUSD-OTC,1784569740,1.401185,1.397285,1.407825,1.381715,0
binary,TRUMPUSD-OTC,1784569800,1.395405,1.350035,1.398465,1.350035,0
binary,TRUMPUSD-OTC,1784569860,1.349955,1.359435,1.359435,1.316425,0
binary,TRUMPUSD-OTC,1784569920,1.358295,1.365275,1.373515,1.340645,0
binary,TRUMPUSD-OTC,1784569980,1.366105,1.366135,1.383935,1.358235,0
binary,TRUMPUSD-OTC,1784570040,1.366405,1.345475,1.378725,1.345055,0
binary,TRUMPUSD-OTC,1784570100,1.345195,1.340515,1.363195,1.340055,0
binary,TRUMPUSD-OTC,1784570160,1.340585,1.328025,1.344655,1.318545,0
binary,TRUMPUSD-OTC,1784570220,1.328235,1.297305,1.337015,1.292155,0
binary,TRUMPUSD-OTC,1784570280,1.298655,1.297255,1.320115,1.293975,0
binary,TRUMPUSD-OTC,1784570340,1.297685,1.311335,1.314195,1.291045,0
binary,TRUMPUSD-OTC,1784570400,1.310435,1.322385,1.325705,1.307575,0
binary,TRUMPUSD-OTC,1784570460,1.321815,1.305075,1.325765,1.296995,0
binary,TRUMPUSD-OTC,1784570520,1.305975,1.308865,1.315575,1.294545,0
binary,TRUMPUSD-OTC,1784570580,1.308565,1.289455,1.317805,1.288055,0
binary,TRUMPUSD-OTC,1784570640,1.288985,1.310495,1.317105,1.288375,0
binary,TRUMPUSD-OTC,1784570700,1.306925,1.315975,1.317295,1.296935,0
binary,TRUMPUSD-OTC,1784570760,1.315215,1.308405,1.331365,1.299375,0
binary,TRUMPUSD-OTC,1784570820,1.306715,1.301665,1.308185,1.280825,0
binary,TRUMPUSD-OTC,1784570880,1.301555,1.284885,1.301935,1.265105,0
binary,TRUMPUSD-OTC,1784570940,1.283635,1.253225,1.284535,1.249645,0
binary,TRUMPUSD-OTC,1784571000,1.254295,1.259925,1.268835,1.248305,0
binary,TRUMPUSD-OTC,1784571060,1.259595,1.274925,1.292795,1.259145,0
binary,TRUMPUSD-OTC,1784571120,1.274565,1.296915,1.305665,1.272985,0
binary,TRUMPUSD-OTC,1784571180,1.297345,1.292465,1.306495,1.286655,0
binary,TRUMPUSD-OTC,1784571240,1.292015,1.298175,1.298265,1.272045,0
binary,TRUMPUSD-OTC,1784571300,1.298655,1.289035,1.304195,1.277695,0
binary,TRUMPUSD-OTC,1784571360,1.289305,1.323055,1.340695,1.287685,0
binary,TRUMPUSD-OTC,1784571420,1.324785,1.346605,1.356855,1.324785,0
binary,TRUMPUSD-OTC,1784571480,1.345905,1.391095,1.396425,1.345835,0
binary,TRUMPUSD-OTC,1784571540,1.391795,1.382255,1.415415,1.380875,0
binary,TRUMPUSD-OTC,1784571600,1.383115,1.348305,1.392375,1.346305,0
binary,TRUMPUSD-OTC,1784571660,1.347495,1.323995,1.347495,1.315115,0
binary,TRUMPUSD-OTC,1784571720,1.322835,1.316115,1.322835,1.299795,0
binary,TRUMPUSD-OTC,1784571780,1.316145,1.312305,1.340795,1.310685,0
binary,TRUMPUSD-OTC,1784571840,1.311645,1.305605,1.328335,1.298275,0
binary,TRUMPUSD-OTC,1784571900,1.305775,1.276315,1.309805,1.267885,0
binary,TRUMPUSD-OTC,1784571960,1.278835,1.277585,1.284025,1.249535,0
binary,TRUMPUSD-OTC,1784572020,1.279025,1.285645,1.287775,1.271125,0
binary,TRUMPUSD-OTC,1784572080,1.286455,1.285615,1.298865,1.278525,0
binary,TRUMPUSD-OTC,1784572140,1.286725,1.316395,1.318625,1.275645,0
binary,TRUMPUSD-OTC,1784572200,1.316675,1.313065,1.334255,1.308895,0
binary,TRUMPUSD-OTC,1784572260,1.313155,1.272095,1.319115,1.270755,0
binary,TRUMPUSD-OTC,1784572320,1.270525,1.265715,1.290115,1.261525,0
binary,TRUMPUSD-OTC,1784572380,1.266225,1.276195,1.282885,1.254705,0
binary,TRUMPUSD-OTC,1784572440,1.274835,1.264185,1.279365,1.252615,0
binary,TRUMPUSD-OTC,1784572500,1.265185,1.252935,1.279045,1.252935,0
binary,TRUMPUSD-OTC,1784572560,1.252945,1.260845,1.271295,1.248235,0
binary,TRUMPUSD-OTC,1784572620,1.261385,1.256595,1.271765,1.249425,0
binary,TRUMPUSD-OTC,1784572680,1.255795,1.271795,1.276755,1.241455,0
binary,TRUMPUSD-OTC,1784572740,1.272535,1.259845,1.272855,1.242295,0
binary,TRUMPUSD-OTC,1784572800,1.260185,1.259185,1.264695,1.248255,0
binary,TRUMPUSD-OTC,1784572860,1.259925,1.260525,1.262535,1.246005,0
binary,TRUMPUSD-OTC,1784572920,1.263175,1.254835,1.265095,1.239125,0
binary,TRUMPUSD-OTC,1784572980,1.255605,1.206985,1.256625,1.200695,0
binary,TRUMPUSD-OTC,1784573040,1.207805,1.236405,1.242595,1.198095,0
binary,TRUMPUSD-OTC,1784573100,1.235805,1.197895,1.240055,1.197765,0
binary,TRUMPUSD-OTC,1784573160,1.198845,1.205325,1.215705,1.189455,0
binary,TRUMPUSD-OTC,1784573220,1.208005,1.197575,1.215095,1.191665,0
binary,TRUMPUSD-OTC,1784573280,1.198465,1.163335,1.209175,1.160525,0
binary,TRUMPUSD-OTC,1784573340,1.164165,1.181615,1.187785,1.158285,0
binary,TRUMPUSD-OTC,1784573400,1.182765,1.174375,1.185215,1.169905,0
binary,TRUMPUSD-OTC,1784573460,1.173375,1.188265,1.188485,1.166505,0
binary,TRUMPUSD-OTC,1784573520,1.188375,1.183955,1.202965,1.175115,0
binary,TRUMPUSD-OTC,1784573580,1.182475,1.196755,1.199925,1.168995,0
binary,TRUMPUSD-OTC,1784573640,1.198435,1.179425,1.208245,1.175885,0
binary,TRUMPUSD-OTC,1784573700,1.179875,1.182985,1.195695,1.175715,0
binary,TRUMPUSD-OTC,1784573760,1.182675,1.176045,1.190515,1.170915,0
binary,TRUMPUSD-OTC,1784573820,1.175395,1.136965,1.180765,1.135725,0
binary,TRUMPUSD-OTC,1784573880,1.136555,1.102895,1.139765,1.100765,0
binary,TRUMPUSD-OTC,1784573940,1.103155,1.125685,1.135075,1.095605,0
binary,TRUMPUSD-OTC,1784574000,1.124375,1.138035,1.148595,1.120515,0
binary,TRUMPUSD-OTC,1784574060,1.135105,1.126465,1.140655,1.125245,0
binary,TRUMPUSD-OTC,1784574120,1.126425,1.086225,1.126425,1.068615,0
binary,TRUMPUSD-OTC,1784574180,1.088135,1.120285,1.123405,1.082215,0
binary,TRUMPUSD-OTC,1784574240,1.120385,1.122845,1.125605,1.103685,0
binary,TRUMPUSD-OTC,1784574300,1.122655,1.133955,1.139565,1.119585,0
binary,TRUMPUSD-OTC,1784574360,1.133655,1.142895,1.145585,1.122665,0
binary,TRUMPUSD-OTC,1784574420,1.141905,1.126885,1.142875,1.113135,0
binary,TRUMPUSD-OTC,1784574480,1.126925,1.132425,1.135225,1.117975,0
binary,TRUMPUSD-OTC,1784574540,1.132055,1.130245,1.141285,1.127835,0
binary,TRUMPUSD-OTC,1784574600,1.130925,1.148925,1.163015,1.127325,0
binary,TRUMPUSD-OTC,1784574660,1.148875,1.167485,1.174325,1.146025,0
binary,TRUMPUSD-OTC,1784574720,1.167545,1.169685,1.183295,1.161655,0
binary,TRUMPUSD-OTC,1784574780,1.171675,1.148895,1.175115,1.143895,0
binary,TRUMPUSD-OTC,1784574840,1.148575,1.109415,1.150905,1.107205,0
binary,TRUMPUSD-OTC,1784574900,1.108805,1.102015,1.117655,1.099675,0
binary,TRUMPUSD-OTC,1784574960,1.102655,1.102725,1.128205,1.100045,0
binary,TRUMPUSD-OTC,1784575020,1.102985,1.126465,1.136185,1.098305,0
binary,TRUMPUSD-OTC,1784575080,1.128215,1.146445,1.151585,1.125465,0
binary,TRUMPUSD-OTC,1784575140,1.146925,1.165815,1.172935,1.145475,0
binary,TRUMPUSD-OTC,1784575200,1.165995,1.185955,1.190405,1.163345,0
binary,TRUMPUSD-OTC,1784575260,1.186865,1.158955,1.194575,1.157875,0
binary,TRUMPUSD-OTC,1784575320,1.159355,1.117275,1.161225,1.117275,0
binary,TRUMPUSD-OTC,1784575380,1.119425,1.110815,1.119425,1.101265,0
binary,TRUMPUSD-OTC,1784575440,1.111805,1.132625,1.132625,1.100795,0
binary,TRUMPUSD-OTC,1784575500,1.131845,1.116595,1.136205,1.116595,0
binary,TRUMPUSD-OTC,1784575560,1.116495,1.107445,1.116515,1.090605,0
binary,TRUMPUSD-OTC,1784575620,1.106875,1.139485,1.151885,1.106705,0
binary,TRUMPUSD-OTC,1784575680,1.142465,1.120845,1.142465,1.111935,0
binary,TRUMPUSD-OTC,1784575740,1.120935,1.116875,1.133305,1.110995,0
binary,TRUMPUSD-OTC,1784575800,1.115235,1.106595,1.121925,1.106595,0
binary,TRUMPUSD-OTC,1784575860,1.106665,1.128605,1.138095,1.103505,0
binary,TRUMPUSD-OTC,1784575920,1.131305,1.143165,1.151425,1.131305,0
binary,TRUMPUSD-OTC,1784575980,1.143015,1.134765,1.151595,1.132455,0
binary,TRUMPUSD-OTC,1784576040,1.135195,1.149575,1.157605,1.134105,0
binary,TRUMPUSD-OTC,1784576100,1.149485,1.112505,1.155275,1.111345,0
binary,TRUMPUSD-OTC,1784576160,1.114075,1.106425,1.119525,1.088835,0
binary,TRUMPUSD-OTC,1784576220,1.106585,1.079655,1.108625,1.079655,0
binary,TRUMPUSD-OTC,1784576280,1.079465,1.082575,1.082575,1.046495,0
binary,TRUMPUSD-OTC,1784576340,1.080815,1.078965,1.090585,1.071135,0
binary,TRUMPUSD-OTC,1784576400,1.077685,1.053795,1.079825,1.053795,0
binary,TRUMPUSD-OTC,1784576460,1.053545,1.054205,1.059555,1.038925,0
binary,TRUMPUSD-OTC,1784576520,1.053075,1.086265,1.087565,1.053075,0
binary,TRUMPUSD-OTC,1784576580,1.086565,1.076715,1.090835,1.067055,0
binary,TRUMPUSD-OTC,1784576640,1.076635,1.072095,1.076665,1.056115,0
binary,TRUMPUSD-OTC,1784576700,1.071805,1.049845,1.072525,1.034945,0
binary,TRUMPUSD-OTC,1784576760,1.050185,1.035615,1.057255,1.033195,0
binary,TRUMPUSD-OTC,1784576820,1.035305,1.063425,1.072195,1.029805,0
binary,TRUMPUSD-OTC,1784576880,1.063365,1.018875,1.063365,1.017915,0
binary,TRUMPUSD-OTC,1784576940,1.018725,1.020495,1.047555,1.017905,0
