tipo,activo,from,open,close,max,min,volume
binary,UK100-OTC,1784564160,10615.912345,10617.249225,10617.505205,10614.702315,0
binary,UK100-OTC,1784564220,10617.229145,10614.640985,10617.229145,10613.963645,0
binary,UK100-OTC,1784564280,10614.699855,10617.317325,10617.317325,10612.842675,0
binary,UK100-OTC,1784564340,10617.120585,10620.218755,10623.693405,10617.109925,0
binary,UK100-OTC,1784564400,10620.219405,10619.693745,10622.629455,10618.068675,0
binary,UK100-OTC,1784564460,10619.458645,10619.592395,10621.445695,10616.927735,0
binary,UK100-OTC,1784564520,10619.560905,10618.896925,10621.231435,10618.270225,0
binary,UK100-OTC,1784564580,10618.936115,10617.385295,10620.991345,10617.385295,0
binary,UK100-OTC,1784564640,10617.491115,10618.238255,10619.080545,10616.162215,0
binary,UK100-OTC,1784564700,10618.405945,10619.886915,10620.158975,10616.493675,0
binary,UK100-OTC,1784564760,10619.809525,10615.640765,10619.995015,10614.538975,0
binary,UK100-OTC,1784564820,10615.453015,10607.963565,10615.930215,10607.608545,0
binary,UK100-OTC,1784564880,10607.828675,10607.030845,10608.965295,10606.150955,0
binary,UK100-OTC,1784564940,10606.819825,10610.114655,10611.647915,10605.972655,0
binary,UK100-OTC,1784565000,10609.946715,10604.789395,10610.289625,10602.592425,0
binary,UK100-OTC,1784565060,10604.898775,10604.060875,10605.779575,10601.052815,0
binary,UK100-OTC,1784565120,10604.969815,10599.436525,10604.969815,10598.839405,0
binary,UK100-OTC,1784565180,10599.698125,10606.918665,10606.918665,10599.234045,0
binary,UK100-OTC,1784565240,10606.973855,10606.625205,10607.305235,10604.559985,0
binary,UK100-OTC,1784565300,10606.368485,10606.467765,10611.640335,10606.251525,0
binary,UK100-OTC,1784565360,10606.435865,10603.112655,10607.129875,10601.604635,0
binary,UK100-OTC,1784565420,10603.108305,10603.734155,10603.824775,10599.614945,0
binary,UK100-OTC,1784565480,10603.687475,10601.649995,10603.687475,10600.458215,0
binary,UK100-OTC,1784565540,10601.684265,10600.593185,10602.769265,10597.942445,0
binary,UK100-OTC,1784565600,10600.628505,10600.125765,10602.035415,10596.803735,0
binary,UK100-OTC,1784565660,10600.103305,10599.011735,10600.577475,10597.009485,0
binary,UK100-OTC,1784565720,10598.811385,10603.697955,10603.697955,10598.453575,0
binary,UK100-OTC,1784565780,10603.701205,10598.321775,10605.107825,10598.321775,0
binary,UK100-OTC,1784565840,10598.274165,10595.111875,10598.324265,10593.544515,0
binary,UK100-OTC,1784565900,10595.176305,10591.002905,10596.623425,10590.901955,0
binary,UK100-OTC,1784565960,10590.957415,10591.700755,10593.341655,10590.263265,0
binary,UK100-OTC,1784566020,10591.722785,10591.505715,10592.959925,10590.403885,0
binary,UK100-OTC,1784566080,10591.546225,10591.964355,10594.617425,10590.509505,0
binary,UK100-OTC,1784566140,10591.619225,10599.911145,10600.455835,10591.326505,0
binary,UK100-OTC,1784566200,10599.887325,10602.146675,10602.263045,10598.154375,0
binary,UK100-OTC,1784566260,10602.244105,10597.864645,10602.530535,10596.117105,0
binary,UK100-OTC,1784566320,10597.866245,10598.365285,10599.991475,10596.571355,0
binary,UK100-OTC,1784566380,10598.508435,10600.741445,10600.989255,10597.123545,0
binary,UK100-OTC,1784566440,10600.534165,10595.934925,10601.439845,10595.327565,0
binary,UK100-OTC,1784566500,10595.789815,10596.113645,10596.362775,10593.789685,0
binary,UK100-OTC,1784566560,10596.265085,10592.854395,10597.173595,10591.621895,0
binary,UK100-OTC,1784566620,10592.384695,10596.107835,10596.350775,10592.126985,0
binary,UK100-OTC,1784566680,10596.163075,10596.929675,10599.178555,10592.846745,0
binary,UK100-OTC,1784566740,10597.171965,10602.006185,10602.790475,10597.171965,0
binary,UK100-OTC,1784566800,10602.371775,10604.307375,10604.947385,10600.126785,0
binary,UK100-OTC,1784566860,10604.307715,10609.173635,10609.660345,10601.869595,0
binary,UK100-OTC,1784566920,10609.142515,10608.791645,10609.825255,10605.615925,0
binary,UK100-OTC,1784566980,10608.781745,10605.818625,10609.518005,10604.904765,0
binary,UK100-OTC,1784567040,10605.750305,10607.354085,10608.765975,10602.355685,0
binary,UK100-OTC,1784567100,10607.492835,10609.033215,10612.020115,10607.442845,0
binary,UK100-OTC,1784567160,10609.020965,10614.221795,10614.221795,10607.755615,0
binary,UK100-OTC,1784567220,10614.080935,10611.525465,10615.860885,10610.734945,0
binary,UK100-OTC,1784567280,10611.458765,10616.769485,10617.153155,10611.109285,0
binary,UK100-OTC,1784567340,10616.713215,10615.479435,10617.946875,10613.658045,0
binary,UK100-OTC,1784567400,10615.484215,10611.862215,10617.383475,10611.862215,0
binary,UK100-OTC,1784567460,10612.098495,10615.100425,10615.143385,10610.175595,0
binary,UK100-OTC,1784567520,10615.134905,10617.831535,10617.975195,10614.004915,0
binary,UK100-OTC,1784567580,10617.844135,10617.520355,10619.477995,10616.082415,0
binary,UK100-OTC,1784567640,10617.231715,10619.219745,10619.880055,10615.207185,0
binary,UK100-OTC,1784567700,10619.646855,10617.590075,10619.646855,10615.234375,0
binary,UK100-OTC,1784567760,10617.545635,10618.881245,10619.504345,10617.075365,0
binary,UK100-OTC,1784567820,10618.940925,10615.460445,10619.542935,10614.572705,0
binary,UK100-OTC,1784567880,10615.531485,10615.654425,10617.525045,10614.580245,0
binary,UK100-OTC,1784567940,10615.642705,10610.349205,10616.520545,10610.286505,0
binary,UK100-OTC,1784568000,10610.609745,10609.567685,10613.438855,10609.413905,0
binary,UK100-OTC,1784568060,10609.515195,10609.830305,10613.412975,10608.986175,0
binary,UK100-OTC,1784568120,10609.854875,10613.949785,10615.882255,10609.330245,0
binary,UK100-OTC,1784568180,10614.042795,10610.892065,10614.408465,10607.580855,0
binary,UK100-OTC,1784568240,10610.927175,10611.180895,10612.530275,10609.995105,0
binary,UK100-OTC,1784568300,10611.432765,10609.702665,10611.773925,10608.604045,0
binary,UK100-OTC,1784568360,10609.760915,10605.223965,10609.990415,10604.627915,0
binary,UK100-OTC,1784568420,10605.219185,10606.283075,10606.849375,10604.482815,0
binary,UK100-OTC,1784568480,10606.232175,10606.051705,10606.232175,10603.823115,0
binary,UK100-OTC,1784568540,10606.287595,10617.986305,10617.986305,10606.218255,0
binary,UK100-OTC,1784568600,10617.966815,10617.925365,10618.877985,10614.239525,0
binary,UK100-OTC,1784568660,10617.922715,10619.258345,10619.514225,10616.005245,0
binary,UK100-OTC,1784568720,10619.252385,10619.385675,10623.103935,10617.752075,0
binary,UK100-OTC,1784568780,10618.790945,10614.710525,10620.242105,10613.978375,0
binary,UK100-OTC,1784568840,10614.765115,10613.160605,10615.192005,10612.283995,0
binary,UK100-OTC,1784568900,10613.188385,10607.118675,10613.234555,10606.763185,0
