tipo,activo,from,open,close,max,min,volume
binary,UKOUSD-OTC,1782036360,79.1415,79.5465,79.5465,79.1235,0
binary,UKOUSD-OTC,1782036420,79.5495,79.4555,79.6475,79.4305,0
binary,UKOUSD-OTC,1782036480,79.4595,79.5655,79.6125,79.2995,0
binary,UKOUSD-OTC,1782036540,79.5515,79.5705,79.7355,79.4145,0
binary,UKOUSD-OTC,1782036600,79.5755,79.7585,79.7865,79.5155,0
binary,UKOUSD-OTC,1782036660,79.7655,79.8055,79.8745,79.7365,0
binary,UKOUSD-OTC,1782036720,79.7965,79.9825,80.0285,79.7245,0
binary,UKOUSD-OTC,1782036780,79.9645,79.9305,80.0545,79.7215,0
binary,UKOUSD-OTC,1782036840,79.9295,79.6925,79.9575,79.6655,0
binary,UKOUSD-OTC,1782036900,79.6965,79.4715,79.7185,79.4365,0
binary,UKOUSD-OTC,1782036960,79.4875,79.2385,79.5215,79.2385,0
binary,UKOUSD-OTC,1782037020,79.2535,79.1785,79.2835,79.0975,0
binary,UKOUSD-OTC,1782037080,79.1895,79.3225,79.3745,79.0755,0
binary,UKOUSD-OTC,1782037140,79.3175,79.1335,79.3175,79.1335,0
binary,UKOUSD-OTC,1782037200,79.1315,79.0645,79.2295,79.0145,0
binary,UKOUSD-OTC,1782037260,79.0575,79.0275,79.1085,78.9395,0
binary,UKOUSD-OTC,1782037320,79.0265,78.9985,79.0785,78.9375,0
binary,UKOUSD-OTC,1782037380,78.9935,78.8335,79.0245,78.7835,0
binary,UKOUSD-OTC,1782037440,78.8205,78.6885,78.8875,78.6085,0
binary,UKOUSD-OTC,1782037500,78.6915,78.7895,78.8265,78.6085,0
binary,UKOUSD-OTC,1782037560,78.7755,78.8805,78.8805,78.7015,0
binary,UKOUSD-OTC,1782037620,78.8835,78.9375,78.9575,78.7245,0
binary,UKOUSD-OTC,1782037680,78.9465,79.1325,79.1355,78.9315,0
binary,UKOUSD-OTC,1782037740,79.1435,79.3645,79.3755,79.0725,0
binary,UKOUSD-OTC,1782037800,79.3625,79.6255,79.6415,79.3605,0
binary,UKOUSD-OTC,1782037860,79.6265,79.6845,79.7725,79.5675,0
binary,UKOUSD-OTC,1782037920,79.6835,79.7075,79.8515,79.6475,0
binary,UKOUSD-OTC,1782037980,79.7375,79.8195,79.8195,79.6875,0
binary,UKOUSD-OTC,1782038040,79.8215,79.8235,79.8815,79.7725,0
binary,UKOUSD-OTC,1782038100,79.8275,79.8455,79.9765,79.7705,0
binary,UKOUSD-OTC,1782038160,79.8395,80.0255,80.0465,79.8135,0
binary,UKOUSD-OTC,1782038220,80.0295,80.0485,80.0855,79.8815,0
binary,UKOUSD-OTC,1782038280,80.0495,80.2915,80.3005,80.0475,0
binary,UKOUSD-OTC,1782038340,80.2875,80.2095,80.3805,80.1655,0
binary,UKOUSD-OTC,1782038400,80.2105,79.8475,80.2105,79.7895,0
binary,UKOUSD-OTC,1782038460,79.8455,79.8495,79.8965,79.7295,0
binary,UKOUSD-OTC,1782038520,79.8545,79.8165,79.8635,79.7415,0
binary,UKOUSD-OTC,1782038580,79.8215,79.3915,79.8435,79.3375,0
binary,UKOUSD-OTC,1782038640,79.3895,79.3385,79.4335,79.2075,0
binary,UKOUSD-OTC,1782038700,79.3265,79.0865,79.3905,79.0865,0
binary,UKOUSD-OTC,1782038760,79.0855,78.9105,79.0955,78.8955,0
binary,UKOUSD-OTC,1782038820,78.9125,78.8845,78.9315,78.7725,0
binary,UKOUSD-OTC,1782038880,78.9245,78.9415,78.9735,78.8355,0
binary,UKOUSD-OTC,1782038940,78.9445,78.9585,79.0415,78.8295,0
binary,UKOUSD-OTC,1782039000,78.9365,78.8675,79.0305,78.8575,0
binary,UKOUSD-OTC,1782039060,78.8695,78.8845,79.0325,78.8695,0
binary,UKOUSD-OTC,1782039120,78.8825,78.7915,78.8825,78.7055,0
binary,UKOUSD-OTC,1782039180,78.7925,78.9145,78.9245,78.7545,0
binary,UKOUSD-OTC,1782039240,78.9655,78.8455,79.0155,78.8255,0
binary,UKOUSD-OTC,1782039300,78.8465,78.7765,78.9265,78.7135,0
binary,UKOUSD-OTC,1782039360,78.7815,78.7935,78.8595,78.7245,0
binary,UKOUSD-OTC,1782039420,78.7955,78.5185,78.8605,78.5015,0
binary,UKOUSD-OTC,1782039480,78.5145,78.2035,78.6375,78.2035,0
binary,UKOUSD-OTC,1782039540,78.2145,78.0745,78.2915,78.0095,0
binary,UKOUSD-OTC,1782039600,78.0805,77.8925,78.1195,77.8585,0
binary,UKOUSD-OTC,1782039660,77.8945,77.8865,77.9505,77.7595,0
binary,UKOUSD-OTC,1782039720,77.8695,77.7545,77.9655,77.7545,0
binary,UKOUSD-OTC,1782039780,77.7645,77.5265,77.7645,77.5135,0
binary,UKOUSD-OTC,1782039840,77.5275,77.4085,77.6495,77.3655,0
binary,UKOUSD-OTC,1782039900,77.4155,77.2495,77.4585,77.2425,0
binary,UKOUSD-OTC,1782039960,77.2455,77.2865,77.3505,77.2345,0
binary,UKOUSD-OTC,1782040020,77.2805,77.3245,77.3615,77.2105,0
binary,UKOUSD-OTC,1782040080,77.3235,77.4755,77.5425,77.2615,0
binary,UKOUSD-OTC,1782040140,77.4695,77.2875,77.4815,77.2495,0
binary,UKOUSD-OTC,1782040200,77.2915,77.2875,77.3905,77.2635,0
binary,UKOUSD-OTC,1782040260,77.2865,77.4085,77.4395,77.2835,0
binary,UKOUSD-OTC,1782040320,77.4105,77.3125,77.4125,77.2525,0
binary,UKOUSD-OTC,1782040380,77.3115,77.3495,77.3545,77.0345,0
binary,UKOUSD-OTC,1782040440,77.3505,77.4565,77.5085,77.3435,0
binary,UKOUSD-OTC,1782040500,77.4535,77.5825,77.6195,77.4535,0
binary,UKOUSD-OTC,1782040560,77.5645,77.3545,77.5775,77.3545,0
binary,UKOUSD-OTC,1782040620,77.3555,77.6405,77.6645,77.3125,0
binary,UKOUSD-OTC,1782040680,77.6425,77.8355,77.8785,77.6215,0
binary,UKOUSD-OTC,1782040740,77.8405,77.9045,77.9425,77.7445,0
binary,UKOUSD-OTC,1782040800,77.9075,77.9525,77.9715,77.8055,0
binary,UKOUSD-OTC,1782040860,77.9515,77.9635,78.0495,77.9475,0
binary,UKOUSD-OTC,1782040920,77.9615,77.9315,78.0415,77.8785,0
binary,UKOUSD-OTC,1782040980,77.9325,77.7695,77.9555,77.7055,0
binary,UKOUSD-OTC,1782041040,77.7795,77.9285,78.0015,77.7795,0
binary,UKOUSD-OTC,1782041100,77.9335,77.9435,78.0215,77.9025,0
binary,UKOUSD-OTC,1782041160,77.9515,77.8945,77.9515,77.8345,0
binary,UKOUSD-OTC,1782041220,77.8925,77.7485,77.9255,77.7485,0
binary,UKOUSD-OTC,1782041280,77.7545,77.8765,77.8765,77.7425,0
binary,UKOUSD-OTC,1782041340,77.8735,77.7185,77.9265,77.6955,0
binary,UKOUSD-OTC,1782041400,77.7255,77.5375,77.7915,77.5125,0
binary,UKOUSD-OTC,1782041460,77.5345,77.8825,77.9705,77.5345,0
binary,UKOUSD-OTC,1782041520,77.8765,77.6755,77.9585,77.6605,0
binary,UKOUSD-OTC,1782041580,77.6795,77.7225,77.8325,77.6795,0
binary,UKOUSD-OTC,1782041640,77.7245,77.5615,77.8035,77.5595,0
binary,UKOUSD-OTC,1782041700,77.5315,77.4795,77.6005,77.4515,0
binary,UKOUSD-OTC,1782041760,77.4845,77.4325,77.5195,77.3595,0
binary,UKOUSD-OTC,1782041820,77.4305,77.5565,77.6085,77.3645,0
binary,UKOUSD-OTC,1782041880,77.5585,77.6705,77.6845,77.4715,0
binary,UKOUSD-OTC,1782041940,77.6675,77.7705,77.7825,77.6675,0
binary,UKOUSD-OTC,1782042000,77.7735,77.5025,77.7735,77.5025,0
binary,UKOUSD-OTC,1782042060,77.5135,77.4595,77.5645,77.3775,0
binary,UKOUSD-OTC,1782042120,77.4495,77.5085,77.5355,77.4225,0
binary,UKOUSD-OTC,1782042180,77.4955,77.9355,77.9495,77.4895,0
binary,UKOUSD-OTC,1782042240,77.9365,78.0475,78.0885,77.9185,0
binary,UKOUSD-OTC,1782042300,78.0485,77.9415,78.0635,77.8985,0
binary,UKOUSD-OTC,1782042360,77.9485,77.8085,77.9825,77.7445,0
binary,UKOUSD-OTC,1782042420,77.8105,77.7165,77.9285,77.5865,0
binary,UKOUSD-OTC,1782042480,77.7345,77.8125,77.8335,77.6335,0
binary,UKOUSD-OTC,1782042540,77.8145,77.7935,77.8485,77.7025,0
binary,UKOUSD-OTC,1782042600,77.7925,77.6625,77.8585,77.6225,0
binary,UKOUSD-OTC,1782042660,77.6645,77.6745,77.7445,77.5985,0
