tipo,activo,from,open,close,max,min,volume
binary,USDARS-OTC,1782913740,1484.3395,1484.3995,1484.4235,1484.3235,0
binary,USDARS-OTC,1782913800,1484.4005,1484.2775,1484.4005,1484.2665,0
binary,USDARS-OTC,1782913860,1484.2785,1484.2455,1484.3075,1484.2075,0
binary,USDARS-OTC,1782913920,1484.2495,1484.2365,1484.2525,1484.2055,0
binary,USDARS-OTC,1782913980,1484.2405,1484.3495,1484.3645,1484.2265,0
binary,USDARS-OTC,1782914040,1484.3515,1484.2895,1484.3515,1484.2765,0
binary,USDARS-OTC,1782914100,1484.2865,1484.2425,1484.2965,1484.2325,0
binary,USDARS-OTC,1782914160,1484.2455,1484.3405,1484.3445,1484.2435,0
binary,USDARS-OTC,1782914220,1484.3375,1484.3475,1484.3515,1484.2985,0
binary,USDARS-OTC,1782914280,1484.3525,1484.2315,1484.3615,1484.2115,0
binary,USDARS-OTC,1782914340,1484.2335,1484.1695,1484.2705,1484.1685,0
binary,USDARS-OTC,1782914400,1484.1725,1484.2435,1484.2435,1484.1175,0
binary,USDARS-OTC,1782914460,1484.2465,1484.3075,1484.3155,1484.2465,0
binary,USDARS-OTC,1782914520,1484.3035,1484.3015,1484.3705,1484.3015,0
binary,USDARS-OTC,1782914580,1484.2955,1484.2395,1484.2985,1484.2135,0
binary,USDARS-OTC,1782914640,1484.2355,1484.2255,1484.2685,1484.2085,0
binary,USDARS-OTC,1782914700,1484.2295,1484.2145,1484.2415,1484.1765,0
binary,USDARS-OTC,1782914760,1484.2175,1484.1985,1484.2335,1484.1455,0
binary,USDARS-OTC,1782914820,1484.2005,1484.2515,1484.2535,1484.1925,0
binary,USDARS-OTC,1782914880,1484.2475,1484.2255,1484.2765,1484.1875,0
binary,USDARS-OTC,1782914940,1484.2295,1484.2205,1484.2635,1484.2055,0
binary,USDARS-OTC,1782915000,1484.2125,1484.1685,1484.2335,1484.1425,0
binary,USDARS-OTC,1782915060,1484.1675,1484.1905,1484.2305,1484.1575,0
binary,USDARS-OTC,1782915120,1484.1875,1484.1125,1484.1925,1484.0805,0
binary,USDARS-OTC,1782915180,1484.1085,1484.0755,1484.1175,1484.0375,0
binary,USDARS-OTC,1782915240,1484.0725,1484.0335,1484.1045,1484.0275,0
binary,USDARS-OTC,1782915300,1484.0345,1484.0185,1484.0415,1483.9755,0
