tipo,activo,from,open,close,max,min,volume
binary,USDBOB-OTC,1782036420,6.9068315,6.9066095,6.9068895,6.9066005,0
binary,USDBOB-OTC,1782036480,6.9066075,6.9064655,6.9067375,6.9064645,0
binary,USDBOB-OTC,1782036540,6.9064455,6.9062495,6.9064875,6.9062495,0
binary,USDBOB-OTC,1782036600,6.9062725,6.9060465,6.9063395,6.9059435,0
binary,USDBOB-OTC,1782036660,6.9060285,6.9059755,6.9062025,6.9059755,0
binary,USDBOB-OTC,1782036720,6.9059735,6.9060445,6.9060445,6.9058675,0
binary,USDBOB-OTC,1782036780,6.9060395,6.9060265,6.9061185,6.9058805,0
binary,USDBOB-OTC,1782036840,6.9060515,6.9063635,6.9063675,6.9059635,0
binary,USDBOB-OTC,1782036900,6.9063525,6.9063945,6.9066135,6.9063275,0
binary,USDBOB-OTC,1782036960,6.9064085,6.9063155,6.9064085,6.9062555,0
binary,USDBOB-OTC,1782037020,6.9063215,6.9065195,6.9065305,6.9063205,0
binary,USDBOB-OTC,1782037080,6.9065115,6.9067685,6.9068375,6.9065095,0
binary,USDBOB-OTC,1782037140,6.9067635,6.9067255,6.9068315,6.9066565,0
binary,USDBOB-OTC,1782037200,6.9067205,6.9065135,6.9067725,6.9064575,0
binary,USDBOB-OTC,1782037260,6.9065255,6.9063305,6.9065445,6.9063245,0
binary,USDBOB-OTC,1782037320,6.9063205,6.9061945,6.9063715,6.9061805,0
binary,USDBOB-OTC,1782037380,6.9061965,6.9061935,6.9062275,6.9060735,0
binary,USDBOB-OTC,1782037440,6.9062045,6.9062285,6.9063575,6.9062045,0
binary,USDBOB-OTC,1782037500,6.9062075,6.9058375,6.9062075,6.9058195,0
binary,USDBOB-OTC,1782037560,6.9058385,6.9061255,6.9061305,6.9058245,0
binary,USDBOB-OTC,1782037620,6.9061225,6.9061855,6.9062985,6.9060645,0
binary,USDBOB-OTC,1782037680,6.9062055,6.9061265,6.9062805,6.9061105,0
binary,USDBOB-OTC,1782037740,6.9061275,6.9062675,6.9062885,6.9061235,0
binary,USDBOB-OTC,1782037800,6.9062725,6.9062085,6.9063235,6.9060905,0
binary,USDBOB-OTC,1782037860,6.9061825,6.9062005,6.9062865,6.9061475,0
binary,USDBOB-OTC,1782037920,6.9061855,6.9062335,6.9063945,6.9061045,0
binary,USDBOB-OTC,1782037980,6.9062545,6.9062575,6.9063365,6.9062115,0
binary,USDBOB-OTC,1782038040,6.9062785,6.9062705,6.9064015,6.9062495,0
binary,USDBOB-OTC,1782038100,6.9062715,6.9063025,6.9063625,6.9062655,0
binary,USDBOB-OTC,1782038160,6.9063035,6.9063145,6.9063875,6.9061195,0
binary,USDBOB-OTC,1782038220,6.9063255,6.9062765,6.9063605,6.9061225,0
binary,USDBOB-OTC,1782038280,6.9062695,6.9061755,6.9062725,6.9060715,0
binary,USDBOB-OTC,1782038340,6.9061785,6.9061155,6.9062585,6.9060995,0
binary,USDBOB-OTC,1782038400,6.9061305,6.9062545,6.9062615,6.9060365,0
binary,USDBOB-OTC,1782038460,6.9062495,6.9061605,6.9063235,6.9061145,0
binary,USDBOB-OTC,1782038520,6.9061645,6.9063005,6.9063075,6.9060395,0
binary,USDBOB-OTC,1782038580,6.9062965,6.9062785,6.9063325,6.9061335,0
binary,USDBOB-OTC,1782038640,6.9062885,6.9060655,6.9063215,6.9060225,0
binary,USDBOB-OTC,1782038700,6.9060765,6.9061875,6.9061875,6.9059815,0
binary,USDBOB-OTC,1782038760,6.9061915,6.9061065,6.9062745,6.9060475,0
binary,USDBOB-OTC,1782038820,6.9061035,6.9060775,6.9063035,6.9060075,0
binary,USDBOB-OTC,1782038880,6.9060645,6.9063205,6.9063865,6.9060515,0
binary,USDBOB-OTC,1782038940,6.9063135,6.9064795,6.9065605,6.9063135,0
binary,USDBOB-OTC,1782039000,6.9064825,6.9064345,6.9066535,6.9063515,0
binary,USDBOB-OTC,1782039060,6.9064315,6.9066325,6.9067105,6.9064255,0
binary,USDBOB-OTC,1782039120,6.9066365,6.9068855,6.9068855,6.9066155,0
binary,USDBOB-OTC,1782039180,6.9068825,6.9068095,6.9069155,6.9067485,0
binary,USDBOB-OTC,1782039240,6.9068135,6.9071015,6.9071375,6.9067965,0
binary,USDBOB-OTC,1782039300,6.9070935,6.9071495,6.9072675,6.9069915,0
binary,USDBOB-OTC,1782039360,6.9071425,6.9068935,6.9072325,6.9068935,0
binary,USDBOB-OTC,1782039420,6.9068985,6.9068795,6.9069525,6.9068105,0
binary,USDBOB-OTC,1782039480,6.9068835,6.9069815,6.9070595,6.9068735,0
binary,USDBOB-OTC,1782039540,6.9070025,6.9070405,6.9070895,6.9069095,0
binary,USDBOB-OTC,1782039600,6.9070395,6.9071275,6.9071375,6.9069295,0
binary,USDBOB-OTC,1782039660,6.9071125,6.9071255,6.9072725,6.9070535,0
binary,USDBOB-OTC,1782039720,6.9071205,6.9073015,6.9073025,6.9070325,0
binary,USDBOB-OTC,1782039780,6.9073035,6.9075085,6.9075385,6.9072285,0
binary,USDBOB-OTC,1782039840,6.9074995,6.9077095,6.9077345,6.9074495,0
binary,USDBOB-OTC,1782039900,6.9077015,6.9078385,6.9078885,6.9076685,0
binary,USDBOB-OTC,1782039960,6.9078595,6.9077075,6.9078895,6.9076945,0
