tipo,activo,from,open,close,max,min,volume
binary,USDBRL-OTC,1782913680,5.085485,5.079085,5.088395,5.078845,0
binary,USDBRL-OTC,1782913740,5.079245,5.081945,5.082175,5.073305,0
binary,USDBRL-OTC,1782913800,5.082405,5.076755,5.084465,5.076755,0
binary,USDBRL-OTC,1782913860,5.076685,5.077655,5.079725,5.074255,0
binary,USDBRL-OTC,1782913920,5.077255,5.079925,5.084695,5.075025,0
binary,USDBRL-OTC,1782913980,5.079715,5.078005,5.084065,5.078005,0
binary,USDBRL-OTC,1782914040,5.078595,5.075925,5.082085,5.075165,0
binary,USDBRL-OTC,1782914100,5.075435,5.074195,5.077755,5.071645,0
binary,USDBRL-OTC,1782914160,5.074305,5.069155,5.074925,5.066075,0
binary,USDBRL-OTC,1782914220,5.069045,5.072085,5.077375,5.067305,0
binary,USDBRL-OTC,1782914280,5.071865,5.078535,5.078535,5.069155,0
binary,USDBRL-OTC,1782914340,5.078755,5.064145,5.078765,5.063255,0
binary,USDBRL-OTC,1782914400,5.064485,5.065975,5.068425,5.060835,0
binary,USDBRL-OTC,1782914460,5.065635,5.058575,5.066445,5.058205,0
binary,USDBRL-OTC,1782914520,5.058195,5.052675,5.058275,5.050905,0
binary,USDBRL-OTC,1782914580,5.053095,5.060475,5.061735,5.052785,0
binary,USDBRL-OTC,1782914640,5.060815,5.060335,5.062795,5.057915,0
binary,USDBRL-OTC,1782914700,5.060615,5.065245,5.067775,5.059565,0
binary,USDBRL-OTC,1782914760,5.065065,5.065435,5.069265,5.062035,0
binary,USDBRL-OTC,1782914820,5.065455,5.064085,5.067425,5.062015,0
binary,USDBRL-OTC,1782914880,5.063935,5.077945,5.080165,5.063765,0
binary,USDBRL-OTC,1782914940,5.078395,5.084555,5.084555,5.076725,0
binary,USDBRL-OTC,1782915000,5.084855,5.082795,5.085905,5.079445,0
binary,USDBRL-OTC,1782915060,5.082485,5.081785,5.086615,5.079705,0
binary,USDBRL-OTC,1782915120,5.082255,5.076135,5.082835,5.074385,0
binary,USDBRL-OTC,1782915180,5.076625,5.076425,5.082505,5.075635,0
binary,USDBRL-OTC,1782915240,5.077395,5.072825,5.078905,5.071135,0
binary,USDBRL-OTC,1782915300,5.072965,5.085785,5.085785,5.072555,0
binary,USDBRL-OTC,1782915360,5.086075,5.088055,5.091425,5.085085,0
binary,USDBRL-OTC,1782915420,5.087645,5.088095,5.090705,5.084745,0
binary,USDBRL-OTC,1782915480,5.088295,5.093085,5.097915,5.087525,0
binary,USDBRL-OTC,1782915540,5.093305,5.093275,5.096775,5.092315,0
