tipo,activo,from,open,close,max,min,volume
binary,USDCAD-OTC,1782036480,1.411475,1.411825,1.411955,1.410915,0
binary,USDCAD-OTC,1782036540,1.411885,1.411035,1.412075,1.411035,0
binary,USDCAD-OTC,1782036600,1.410965,1.411495,1.411815,1.410255,0
binary,USDCAD-OTC,1782036660,1.411455,1.413995,1.414935,1.411425,0
binary,USDCAD-OTC,1782036720,1.414035,1.412945,1.414495,1.412935,0
binary,USDCAD-OTC,1782036780,1.412985,1.411555,1.413045,1.411245,0
binary,USDCAD-OTC,1782036840,1.411595,1.411005,1.412255,1.410415,0
binary,USDCAD-OTC,1782036900,1.411215,1.410955,1.411435,1.410485,0
binary,USDCAD-OTC,1782036960,1.410875,1.412065,1.412595,1.410875,0
binary,USDCAD-OTC,1782037020,1.412025,1.411745,1.412395,1.410985,0
binary,USDCAD-OTC,1782037080,1.411635,1.411855,1.413205,1.411545,0
binary,USDCAD-OTC,1782037140,1.411815,1.409975,1.412805,1.409835,0
binary,USDCAD-OTC,1782037200,1.410025,1.410325,1.410575,1.409395,0
binary,USDCAD-OTC,1782037260,1.410415,1.412385,1.412705,1.410235,0
binary,USDCAD-OTC,1782037320,1.412445,1.411455,1.413055,1.411235,0
binary,USDCAD-OTC,1782037380,1.411525,1.411135,1.412765,1.411035,0
binary,USDCAD-OTC,1782037440,1.411095,1.410965,1.411485,1.409775,0
binary,USDCAD-OTC,1782037500,1.411055,1.412205,1.412605,1.410845,0
binary,USDCAD-OTC,1782037560,1.412145,1.412445,1.413085,1.411855,0
binary,USDCAD-OTC,1782037620,1.412465,1.410995,1.412735,1.410765,0
binary,USDCAD-OTC,1782037680,1.410885,1.410925,1.411775,1.410575,0
binary,USDCAD-OTC,1782037740,1.411025,1.410325,1.412065,1.410145,0
binary,USDCAD-OTC,1782037800,1.410375,1.409995,1.410625,1.408835,0
binary,USDCAD-OTC,1782037860,1.410135,1.410125,1.410495,1.409115,0
binary,USDCAD-OTC,1782037920,1.410225,1.411175,1.412015,1.410145,0
binary,USDCAD-OTC,1782037980,1.411135,1.411965,1.412425,1.410745,0
binary,USDCAD-OTC,1782038040,1.411875,1.410445,1.412025,1.409795,0
binary,USDCAD-OTC,1782038100,1.410355,1.410345,1.411175,1.409835,0
binary,USDCAD-OTC,1782038160,1.410375,1.409355,1.410545,1.408905,0
binary,USDCAD-OTC,1782038220,1.409245,1.407445,1.409825,1.406865,0
binary,USDCAD-OTC,1782038280,1.407555,1.407355,1.408805,1.406515,0
binary,USDCAD-OTC,1782038340,1.407465,1.407355,1.407795,1.406595,0
binary,USDCAD-OTC,1782038400,1.407445,1.406125,1.407665,1.405925,0
binary,USDCAD-OTC,1782038460,1.405985,1.405945,1.406755,1.405705,0
binary,USDCAD-OTC,1782038520,1.405905,1.406765,1.407165,1.405845,0
binary,USDCAD-OTC,1782038580,1.406705,1.405395,1.407395,1.405095,0
binary,USDCAD-OTC,1782038640,1.405485,1.405825,1.406685,1.405375,0
binary,USDCAD-OTC,1782038700,1.405875,1.404935,1.406665,1.404935,0
binary,USDCAD-OTC,1782038760,1.405005,1.405495,1.405775,1.404615,0
binary,USDCAD-OTC,1782038820,1.405435,1.405255,1.406695,1.404805,0
binary,USDCAD-OTC,1782038880,1.405305,1.404985,1.406065,1.404665,0
binary,USDCAD-OTC,1782038940,1.405035,1.404505,1.405185,1.403895,0
binary,USDCAD-OTC,1782039000,1.404425,1.403145,1.404885,1.402975,0
binary,USDCAD-OTC,1782039060,1.403205,1.404585,1.404605,1.402175,0
binary,USDCAD-OTC,1782039120,1.404685,1.403725,1.405145,1.403605,0
binary,USDCAD-OTC,1782039180,1.403775,1.404165,1.404545,1.402695,0
binary,USDCAD-OTC,1782039240,1.404195,1.406235,1.406565,1.403935,0
binary,USDCAD-OTC,1782039300,1.406355,1.406555,1.407155,1.405285,0
binary,USDCAD-OTC,1782039360,1.406525,1.406005,1.406785,1.405205,0
binary,USDCAD-OTC,1782039420,1.405965,1.405455,1.405965,1.404545,0
binary,USDCAD-OTC,1782039480,1.405375,1.405245,1.406335,1.404315,0
binary,USDCAD-OTC,1782039540,1.405205,1.405985,1.406285,1.404955,0
binary,USDCAD-OTC,1782039600,1.406105,1.405345,1.407165,1.405345,0
binary,USDCAD-OTC,1782039660,1.405445,1.404345,1.406235,1.403935,0
binary,USDCAD-OTC,1782039720,1.404375,1.404095,1.404945,1.403785,0
binary,USDCAD-OTC,1782039780,1.403985,1.403245,1.403985,1.402655,0
binary,USDCAD-OTC,1782039840,1.403265,1.405105,1.405435,1.403065,0
binary,USDCAD-OTC,1782039900,1.405065,1.405535,1.405555,1.404275,0
binary,USDCAD-OTC,1782039960,1.405465,1.404765,1.405865,1.404305,0
binary,USDCAD-OTC,1782040020,1.404805,1.403635,1.404925,1.403165,0
binary,USDCAD-OTC,1782040080,1.403765,1.405125,1.405185,1.403325,0
binary,USDCAD-OTC,1782040140,1.405225,1.404115,1.405335,1.403655,0
binary,USDCAD-OTC,1782040200,1.404225,1.404155,1.405405,1.403385,0
binary,USDCAD-OTC,1782040260,1.404235,1.404485,1.405505,1.404155,0
binary,USDCAD-OTC,1782040320,1.404595,1.405945,1.406265,1.404595,0
binary,USDCAD-OTC,1782040380,1.406135,1.407895,1.408575,1.406065,0
binary,USDCAD-OTC,1782040440,1.407785,1.406555,1.407895,1.405495,0
binary,USDCAD-OTC,1782040500,1.406445,1.407175,1.408155,1.406195,0
binary,USDCAD-OTC,1782040560,1.407085,1.409605,1.409725,1.406985,0
binary,USDCAD-OTC,1782040620,1.409495,1.409585,1.409945,1.408615,0
binary,USDCAD-OTC,1782040680,1.409495,1.409185,1.409995,1.408935,0
binary,USDCAD-OTC,1782040740,1.409075,1.408245,1.409355,1.408225,0
binary,USDCAD-OTC,1782040800,1.408145,1.407805,1.408985,1.407675,0
binary,USDCAD-OTC,1782040860,1.407885,1.409615,1.410105,1.407885,0
binary,USDCAD-OTC,1782040920,1.409565,1.410785,1.411715,1.409215,0
binary,USDCAD-OTC,1782040980,1.410705,1.410935,1.411295,1.410375,0
binary,USDCAD-OTC,1782041040,1.410895,1.409955,1.411915,1.409955,0
binary,USDCAD-OTC,1782041100,1.410045,1.408805,1.410425,1.408575,0
binary,USDCAD-OTC,1782041160,1.408705,1.407995,1.408775,1.407715,0
binary,USDCAD-OTC,1782041220,1.408025,1.406565,1.408275,1.406375,0
binary,USDCAD-OTC,1782041280,1.406725,1.407515,1.407715,1.406475,0
binary,USDCAD-OTC,1782041340,1.407545,1.407865,1.408135,1.406625,0
binary,USDCAD-OTC,1782041400,1.407735,1.406675,1.408135,1.406445,0
binary,USDCAD-OTC,1782041460,1.406755,1.406775,1.407005,1.405855,0
binary,USDCAD-OTC,1782041520,1.406625,1.405875,1.407425,1.405685,0
binary,USDCAD-OTC,1782041580,1.405925,1.405255,1.407135,1.405145,0
binary,USDCAD-OTC,1782041640,1.405215,1.404695,1.405305,1.403935,0
binary,USDCAD-OTC,1782041700,1.404605,1.404675,1.405035,1.403705,0
binary,USDCAD-OTC,1782041760,1.404595,1.402655,1.404595,1.402445,0
binary,USDCAD-OTC,1782041820,1.402565,1.405485,1.405485,1.402215,0
binary,USDCAD-OTC,1782041880,1.405455,1.404425,1.405455,1.403945,0
binary,USDCAD-OTC,1782041940,1.404415,1.405645,1.405645,1.404135,0
binary,USDCAD-OTC,1782042000,1.405555,1.407235,1.407835,1.405555,0
binary,USDCAD-OTC,1782042060,1.407145,1.406725,1.407625,1.406155,0
binary,USDCAD-OTC,1782042120,1.406685,1.406155,1.407985,1.405995,0
binary,USDCAD-OTC,1782042180,1.406255,1.409795,1.409845,1.406185,0
binary,USDCAD-OTC,1782042240,1.409875,1.405615,1.410145,1.405615,0
binary,USDCAD-OTC,1782042300,1.405645,1.404905,1.406025,1.404135,0
binary,USDCAD-OTC,1782042360,1.404925,1.405925,1.405925,1.404405,0
binary,USDCAD-OTC,1782042420,1.406065,1.406085,1.406855,1.405605,0
binary,USDCAD-OTC,1782042480,1.406055,1.407655,1.408185,1.405855,0
binary,USDCAD-OTC,1782042540,1.407525,1.409245,1.409395,1.407195,0
binary,USDCAD-OTC,1782042600,1.409225,1.409085,1.409225,1.407985,0
binary,USDCAD-OTC,1782042660,1.409055,1.406535,1.409305,1.406275,0
binary,USDCAD-OTC,1782042720,1.406405,1.406645,1.407015,1.405425,0
binary,USDCAD-OTC,1782042780,1.406545,1.406515,1.407235,1.405915,0
binary,USDCAD-OTC,1782042840,1.406615,1.405735,1.406995,1.404955,0
binary,USDCAD-OTC,1782042900,1.405605,1.405035,1.405805,1.404375,0
binary,USDCAD-OTC,1782042960,1.404945,1.406435,1.406705,1.404765,0
binary,USDCAD-OTC,1782043020,1.406375,1.405325,1.407005,1.405045,0
binary,USDCAD-OTC,1782043080,1.405235,1.406075,1.406865,1.405095,0
binary,USDCAD-OTC,1782043140,1.406145,1.404895,1.406205,1.404255,0
binary,USDCAD-OTC,1782043200,1.404855,1.405665,1.406075,1.404815,0
binary,USDCAD-OTC,1782043260,1.405705,1.406875,1.407045,1.405175,0
binary,USDCAD-OTC,1782043320,1.406935,1.406025,1.407575,1.405895,0
binary,USDCAD-OTC,1782043380,1.406105,1.408155,1.408315,1.405225,0
binary,USDCAD-OTC,1782043440,1.408175,1.407205,1.409235,1.407045,0
binary,USDCAD-OTC,1782043500,1.407115,1.406485,1.407725,1.406405,0
binary,USDCAD-OTC,1782043560,1.406425,1.405275,1.406485,1.404265,0
binary,USDCAD-OTC,1782043620,1.405365,1.404405,1.406105,1.404165,0
binary,USDCAD-OTC,1782043680,1.404385,1.402585,1.404665,1.402305,0
binary,USDCAD-OTC,1782043740,1.402615,1.399575,1.402685,1.399095,0
binary,USDCAD-OTC,1782043800,1.399655,1.400945,1.401615,1.399335,0
binary,USDCAD-OTC,1782043860,1.401025,1.400965,1.401265,1.400245,0
binary,USDCAD-OTC,1782043920,1.401055,1.400715,1.401655,1.400185,0
binary,USDCAD-OTC,1782043980,1.400645,1.400755,1.401385,1.400015,0
binary,USDCAD-OTC,1782044040,1.400565,1.401785,1.402705,1.400485,0
binary,USDCAD-OTC,1782044100,1.401775,1.402645,1.402795,1.401285,0
binary,USDCAD-OTC,1782044160,1.402695,1.400015,1.402695,1.399925,0
binary,USDCAD-OTC,1782044220,1.399925,1.399945,1.401075,1.399445,0
binary,USDCAD-OTC,1782044280,1.400015,1.397725,1.400125,1.397155,0
binary,USDCAD-OTC,1782044340,1.397775,1.397915,1.398195,1.397015,0
binary,USDCAD-OTC,1782044400,1.397865,1.397385,1.398015,1.396445,0
binary,USDCAD-OTC,1782044460,1.397415,1.397525,1.398315,1.397195,0
binary,USDCAD-OTC,1782044520,1.397605,1.399415,1.399895,1.397185,0
binary,USDCAD-OTC,1782044580,1.399355,1.400545,1.400725,1.399015,0
binary,USDCAD-OTC,1782044640,1.400425,1.402115,1.403065,1.400425,0
binary,USDCAD-OTC,1782044700,1.402185,1.403455,1.403965,1.401545,0
binary,USDCAD-OTC,1782044760,1.403545,1.405305,1.405665,1.403265,0
binary,USDCAD-OTC,1782044820,1.405375,1.406155,1.406475,1.405015,0
binary,USDCAD-OTC,1782044880,1.406045,1.406465,1.407545,1.406045,0
binary,USDCAD-OTC,1782044940,1.406525,1.406355,1.406775,1.405425,0
binary,USDCAD-OTC,1782045000,1.406245,1.408975,1.409315,1.406015,0
binary,USDCAD-OTC,1782045060,1.408765,1.408505,1.409165,1.408195,0
binary,USDCAD-OTC,1782045120,1.408605,1.406965,1.408735,1.406185,0
binary,USDCAD-OTC,1782045180,1.406875,1.406835,1.407435,1.406335,0
binary,USDCAD-OTC,1782045240,1.406875,1.406805,1.407655,1.405925,0
binary,USDCAD-OTC,1782045300,1.406905,1.407325,1.407575,1.405315,0
binary,USDCAD-OTC,1782045360,1.407265,1.405365,1.407455,1.405365,0
binary,USDCAD-OTC,1782045420,1.405385,1.404295,1.406115,1.404055,0
binary,USDCAD-OTC,1782045480,1.404245,1.403545,1.404485,1.403215,0
binary,USDCAD-OTC,1782045540,1.403355,1.404015,1.404605,1.403185,0
binary,USDCAD-OTC,1782045600,1.403925,1.402535,1.404035,1.401815,0
binary,USDCAD-OTC,1782045660,1.402745,1.404395,1.404595,1.402615,0
binary,USDCAD-OTC,1782045720,1.404555,1.405315,1.405555,1.404475,0
binary,USDCAD-OTC,1782045780,1.405345,1.405165,1.406045,1.404675,0
binary,USDCAD-OTC,1782045840,1.405265,1.405885,1.406315,1.405175,0
binary,USDCAD-OTC,1782045900,1.405925,1.405385,1.406295,1.405295,0
binary,USDCAD-OTC,1782045960,1.405425,1.404035,1.406395,1.404025,0
binary,USDCAD-OTC,1782046020,1.404085,1.405695,1.405945,1.403925,0
binary,USDCAD-OTC,1782046080,1.405775,1.405645,1.406305,1.404415,0
binary,USDCAD-OTC,1782046140,1.405815,1.405545,1.406425,1.405245,0
binary,USDCAD-OTC,1782046200,1.405665,1.403705,1.405705,1.403385,0
binary,USDCAD-OTC,1782046260,1.403535,1.402525,1.403685,1.402485,0
binary,USDCAD-OTC,1782046320,1.402465,1.403165,1.403215,1.401995,0
binary,USDCAD-OTC,1782046380,1.403075,1.404985,1.405855,1.403045,0
binary,USDCAD-OTC,1782046440,1.404925,1.404805,1.406785,1.404725,0
binary,USDCAD-OTC,1782046500,1.404875,1.405215,1.406635,1.404675,0
binary,USDCAD-OTC,1782046560,1.405285,1.403985,1.406015,1.403525,0
binary,USDCAD-OTC,1782046620,1.404015,1.403715,1.404465,1.403195,0
binary,USDCAD-OTC,1782046680,1.403655,1.404495,1.405055,1.402605,0
binary,USDCAD-OTC,1782046740,1.404445,1.406365,1.406665,1.404415,0
binary,USDCAD-OTC,1782046800,1.406275,1.405085,1.407805,1.405085,0
binary,USDCAD-OTC,1782046860,1.405015,1.405685,1.406575,1.404795,0
binary,USDCAD-OTC,1782046920,1.405785,1.405875,1.405975,1.404995,0
binary,USDCAD-OTC,1782046980,1.405905,1.403445,1.405925,1.403385,0
binary,USDCAD-OTC,1782047040,1.403455,1.402235,1.403525,1.401605,0
binary,USDCAD-OTC,1782047100,1.402135,1.402695,1.402855,1.401445,0
binary,USDCAD-OTC,1782047160,1.402765,1.400985,1.402905,1.400985,0
binary,USDCAD-OTC,1782047220,1.401085,1.400465,1.402225,1.400215,0
binary,USDCAD-OTC,1782047280,1.400535,1.401855,1.402085,1.400445,0
binary,USDCAD-OTC,1782047340,1.401935,1.402305,1.402535,1.401345,0
binary,USDCAD-OTC,1782047400,1.402395,1.403105,1.403825,1.402295,0
binary,USDCAD-OTC,1782047460,1.403135,1.402635,1.403415,1.401925,0
binary,USDCAD-OTC,1782047520,1.402575,1.403245,1.403805,1.402465,0
binary,USDCAD-OTC,1782047580,1.403215,1.403805,1.404425,1.403055,0
binary,USDCAD-OTC,1782047640,1.403765,1.404355,1.404685,1.403475,0
binary,USDCAD-OTC,1782047700,1.404315,1.405075,1.405135,1.404015,0
binary,USDCAD-OTC,1782047760,1.405015,1.406845,1.408265,1.404885,0
binary,USDCAD-OTC,1782047820,1.406775,1.406825,1.407525,1.406505,0
binary,USDCAD-OTC,1782047880,1.406815,1.407835,1.407845,1.406385,0
binary,USDCAD-OTC,1782047940,1.407925,1.408535,1.408945,1.407705,0
binary,USDCAD-OTC,1782048000,1.408645,1.408495,1.408795,1.407445,0
binary,USDCAD-OTC,1782048060,1.408555,1.407215,1.408565,1.406345,0
binary,USDCAD-OTC,1782048120,1.407135,1.407735,1.408015,1.405905,0
binary,USDCAD-OTC,1782048180,1.407835,1.408565,1.408695,1.407385,0
binary,USDCAD-OTC,1782048240,1.408655,1.408565,1.409535,1.407895,0
binary,USDCAD-OTC,1782048300,1.408535,1.408635,1.409455,1.408015,0
binary,USDCAD-OTC,1782048360,1.408665,1.409565,1.410405,1.408575,0
binary,USDCAD-OTC,1782048420,1.409435,1.408035,1.409625,1.407735,0
binary,USDCAD-OTC,1782048480,1.407985,1.408825,1.409105,1.407895,0
binary,USDCAD-OTC,1782048540,1.408735,1.408855,1.409725,1.408225,0
