tipo,activo,from,open,close,max,min,volume
binary,USDCHF-OTC,1782511080,0.798005,0.797945,0.798255,0.797915,0
binary,USDCHF-OTC,1782511140,0.797955,0.797965,0.798065,0.797905,0
binary,USDCHF-OTC,1782511200,0.797985,0.797965,0.798045,0.797915,0
binary,USDCHF-OTC,1782511260,0.797985,0.797965,0.797985,0.797805,0
binary,USDCHF-OTC,1782511320,0.797945,0.798185,0.798185,0.797865,0
binary,USDCHF-OTC,1782511380,0.798195,0.798305,0.798355,0.798145,0
binary,USDCHF-OTC,1782511440,0.798315,0.798375,0.798455,0.798165,0
binary,USDCHF-OTC,1782511500,0.798385,0.798575,0.798585,0.798375,0
binary,USDCHF-OTC,1782511560,0.798585,0.798635,0.798635,0.798355,0
binary,USDCHF-OTC,1782511620,0.798625,0.798465,0.798665,0.798385,0
binary,USDCHF-OTC,1782511680,0.798455,0.798475,0.798495,0.798315,0
binary,USDCHF-OTC,1782511740,0.798485,0.798265,0.798515,0.798175,0
binary,USDCHF-OTC,1782511800,0.798255,0.798445,0.798505,0.798245,0
binary,USDCHF-OTC,1782511860,0.798455,0.798225,0.798485,0.798225,0
binary,USDCHF-OTC,1782511920,0.798215,0.798235,0.798255,0.798145,0
binary,USDCHF-OTC,1782511980,0.798225,0.798205,0.798305,0.798185,0
binary,USDCHF-OTC,1782512040,0.798215,0.798275,0.798355,0.798185,0
binary,USDCHF-OTC,1782512100,0.798285,0.798615,0.798625,0.798285,0
binary,USDCHF-OTC,1782512160,0.798605,0.798685,0.798685,0.798435,0
binary,USDCHF-OTC,1782512220,0.798695,0.798635,0.798735,0.798555,0
binary,USDCHF-OTC,1782512280,0.798605,0.798605,0.798665,0.798495,0
binary,USDCHF-OTC,1782512340,0.798595,0.798535,0.798635,0.798445,0
binary,USDCHF-OTC,1782512400,0.798545,0.798625,0.798745,0.798545,0
binary,USDCHF-OTC,1782512460,0.798605,0.798475,0.798685,0.798425,0
binary,USDCHF-OTC,1782512520,0.798485,0.798495,0.798685,0.798475,0
binary,USDCHF-OTC,1782512580,0.798485,0.798205,0.798555,0.798195,0
binary,USDCHF-OTC,1782512640,0.798215,0.798065,0.798295,0.797955,0
binary,USDCHF-OTC,1782512700,0.798055,0.797915,0.798165,0.797855,0
binary,USDCHF-OTC,1782512760,0.797905,0.797885,0.798005,0.797855,0
binary,USDCHF-OTC,1782512820,0.797875,0.797995,0.798085,0.797875,0
binary,USDCHF-OTC,1782512880,0.797985,0.797885,0.798035,0.797875,0
binary,USDCHF-OTC,1782512940,0.797875,0.797895,0.797945,0.797795,0
binary,USDCHF-OTC,1782513000,0.797905,0.798025,0.798155,0.797905,0
binary,USDCHF-OTC,1782513060,0.798035,0.798005,0.798055,0.797885,0
binary,USDCHF-OTC,1782513120,0.798015,0.797945,0.798065,0.797905,0
binary,USDCHF-OTC,1782513180,0.797935,0.798065,0.798085,0.797915,0
binary,USDCHF-OTC,1782513240,0.798055,0.797815,0.798115,0.797805,0
binary,USDCHF-OTC,1782513300,0.797805,0.797885,0.797905,0.797745,0
binary,USDCHF-OTC,1782513360,0.797895,0.797625,0.797895,0.797535,0
binary,USDCHF-OTC,1782513420,0.797615,0.797615,0.797785,0.797555,0
binary,USDCHF-OTC,1782513480,0.797625,0.797595,0.797645,0.797485,0
binary,USDCHF-OTC,1782513540,0.797605,0.797455,0.797605,0.797375,0
binary,USDCHF-OTC,1782513600,0.797425,0.797185,0.797475,0.797115,0
binary,USDCHF-OTC,1782513660,0.797165,0.797025,0.797205,0.796985,0
binary,USDCHF-OTC,1782513720,0.797045,0.797145,0.797165,0.796985,0
binary,USDCHF-OTC,1782513780,0.797125,0.797175,0.797205,0.797025,0
binary,USDCHF-OTC,1782513840,0.797185,0.797275,0.797435,0.797145,0
binary,USDCHF-OTC,1782513900,0.797265,0.797385,0.797465,0.797255,0
binary,USDCHF-OTC,1782513960,0.797375,0.797295,0.797455,0.797195,0
binary,USDCHF-OTC,1782514020,0.797305,0.797545,0.797555,0.797295,0
binary,USDCHF-OTC,1782514080,0.797535,0.797435,0.797595,0.797355,0
binary,USDCHF-OTC,1782514140,0.797425,0.797365,0.797535,0.797305,0
binary,USDCHF-OTC,1782514200,0.797355,0.796975,0.797365,0.796925,0
binary,USDCHF-OTC,1782514260,0.796985,0.797095,0.797135,0.796975,0
binary,USDCHF-OTC,1782514320,0.797115,0.797295,0.797325,0.797105,0
binary,USDCHF-OTC,1782514380,0.797285,0.797255,0.797345,0.797155,0
binary,USDCHF-OTC,1782514440,0.797245,0.797325,0.797375,0.797205,0
binary,USDCHF-OTC,1782514500,0.797315,0.797125,0.797445,0.797085,0
binary,USDCHF-OTC,1782514560,0.797135,0.797115,0.797135,0.796965,0
binary,USDCHF-OTC,1782514620,0.797095,0.797025,0.797165,0.796955,0
binary,USDCHF-OTC,1782514680,0.797015,0.797155,0.797215,0.797015,0
binary,USDCHF-OTC,1782514740,0.797135,0.797115,0.797205,0.797055,0
binary,USDCHF-OTC,1782514800,0.797125,0.796955,0.797165,0.796915,0
binary,USDCHF-OTC,1782514860,0.796955,0.797105,0.797105,0.796825,0
binary,USDCHF-OTC,1782514920,0.797095,0.796925,0.797135,0.796905,0
binary,USDCHF-OTC,1782514980,0.796935,0.796835,0.796955,0.796725,0
binary,USDCHF-OTC,1782515040,0.796815,0.796565,0.796875,0.796535,0
binary,USDCHF-OTC,1782515100,0.796555,0.796435,0.796595,0.796425,0
binary,USDCHF-OTC,1782515160,0.796425,0.796535,0.796605,0.796385,0
binary,USDCHF-OTC,1782515220,0.796545,0.796695,0.796695,0.796515,0
binary,USDCHF-OTC,1782515280,0.796675,0.796785,0.796865,0.796635,0
binary,USDCHF-OTC,1782515340,0.796805,0.796835,0.796915,0.796765,0
binary,USDCHF-OTC,1782515400,0.796845,0.796945,0.797035,0.796835,0
binary,USDCHF-OTC,1782515460,0.796955,0.797105,0.797235,0.796895,0
binary,USDCHF-OTC,1782515520,0.797105,0.796995,0.797215,0.796985,0
binary,USDCHF-OTC,1782515580,0.797015,0.796985,0.797075,0.796875,0
binary,USDCHF-OTC,1782515640,0.796995,0.797095,0.797125,0.796895,0
binary,USDCHF-OTC,1782515700,0.797105,0.797115,0.797255,0.797095,0
binary,USDCHF-OTC,1782515760,0.797125,0.797075,0.797135,0.796965,0
binary,USDCHF-OTC,1782515820,0.797095,0.797405,0.797405,0.797095,0
binary,USDCHF-OTC,1782515880,0.797415,0.797155,0.797475,0.797155,0
binary,USDCHF-OTC,1782515940,0.797165,0.797125,0.797225,0.797025,0
binary,USDCHF-OTC,1782516000,0.797135,0.797355,0.797355,0.797135,0
binary,USDCHF-OTC,1782516060,0.797365,0.797505,0.797515,0.797365,0
binary,USDCHF-OTC,1782516120,0.797515,0.797535,0.797585,0.797445,0
binary,USDCHF-OTC,1782516180,0.797525,0.797485,0.797635,0.797475,0
binary,USDCHF-OTC,1782516240,0.797505,0.797575,0.797675,0.797505,0
binary,USDCHF-OTC,1782516300,0.797585,0.797465,0.797615,0.797425,0
binary,USDCHF-OTC,1782516360,0.797455,0.797185,0.797495,0.797175,0
binary,USDCHF-OTC,1782516420,0.797195,0.797435,0.797505,0.797195,0
binary,USDCHF-OTC,1782516480,0.797425,0.797505,0.797515,0.797335,0
binary,USDCHF-OTC,1782516540,0.797515,0.797545,0.797545,0.797425,0
binary,USDCHF-OTC,1782516600,0.797555,0.797825,0.797845,0.797555,0
binary,USDCHF-OTC,1782516660,0.797815,0.797815,0.797935,0.797765,0
binary,USDCHF-OTC,1782516720,0.797805,0.797675,0.797855,0.797565,0
binary,USDCHF-OTC,1782516780,0.797685,0.797465,0.797715,0.797405,0
binary,USDCHF-OTC,1782516840,0.797455,0.797345,0.797495,0.797325,0
binary,USDCHF-OTC,1782516900,0.797355,0.797245,0.797415,0.797185,0
binary,USDCHF-OTC,1782516960,0.797215,0.797215,0.797285,0.797065,0
binary,USDCHF-OTC,1782517020,0.797205,0.797235,0.797295,0.797085,0
binary,USDCHF-OTC,1782517080,0.797245,0.797005,0.797245,0.796965,0
binary,USDCHF-OTC,1782517140,0.797015,0.797005,0.797245,0.797005,0
binary,USDCHF-OTC,1782517200,0.796985,0.796965,0.797055,0.796895,0
binary,USDCHF-OTC,1782517260,0.796975,0.797315,0.797355,0.796965,0
binary,USDCHF-OTC,1782517320,0.797305,0.797255,0.797495,0.797245,0
binary,USDCHF-OTC,1782517380,0.797265,0.797145,0.797285,0.797075,0
binary,USDCHF-OTC,1782517440,0.797125,0.797365,0.797465,0.797125,0
binary,USDCHF-OTC,1782517500,0.797345,0.797495,0.797565,0.797345,0
binary,USDCHF-OTC,1782517560,0.797505,0.797435,0.797515,0.797375,0
binary,USDCHF-OTC,1782517620,0.797425,0.797255,0.797525,0.797255,0
binary,USDCHF-OTC,1782517680,0.797245,0.797125,0.797405,0.797125,0
binary,USDCHF-OTC,1782517740,0.797115,0.796925,0.797215,0.796925,0
binary,USDCHF-OTC,1782517800,0.796915,0.796935,0.796955,0.796865,0
binary,USDCHF-OTC,1782517860,0.796915,0.796935,0.797055,0.796885,0
binary,USDCHF-OTC,1782517920,0.796945,0.797025,0.797025,0.796875,0
binary,USDCHF-OTC,1782517980,0.797035,0.796885,0.797095,0.796845,0
binary,USDCHF-OTC,1782518040,0.796905,0.796905,0.797055,0.796845,0
binary,USDCHF-OTC,1782518100,0.796895,0.796965,0.797045,0.796885,0
binary,USDCHF-OTC,1782518160,0.796975,0.796745,0.796975,0.796745,0
binary,USDCHF-OTC,1782518220,0.796755,0.796985,0.797025,0.796755,0
binary,USDCHF-OTC,1782518280,0.796995,0.796975,0.797095,0.796935,0
binary,USDCHF-OTC,1782518340,0.796965,0.796965,0.797015,0.796845,0
binary,USDCHF-OTC,1782518400,0.796955,0.796905,0.797095,0.796905,0
binary,USDCHF-OTC,1782518460,0.796915,0.796875,0.796955,0.796725,0
binary,USDCHF-OTC,1782518520,0.796885,0.796765,0.796925,0.796715,0
binary,USDCHF-OTC,1782518580,0.796745,0.796835,0.796915,0.796735,0
binary,USDCHF-OTC,1782518640,0.796845,0.796905,0.796975,0.796815,0
binary,USDCHF-OTC,1782518700,0.796915,0.796855,0.797055,0.796845,0
binary,USDCHF-OTC,1782518760,0.796845,0.796715,0.796865,0.796645,0
binary,USDCHF-OTC,1782518820,0.796725,0.796715,0.796815,0.796585,0
binary,USDCHF-OTC,1782518880,0.796735,0.796865,0.796885,0.796715,0
binary,USDCHF-OTC,1782518940,0.796885,0.796835,0.796895,0.796715,0
binary,USDCHF-OTC,1782519000,0.796825,0.796825,0.796865,0.796765,0
binary,USDCHF-OTC,1782519060,0.796815,0.796875,0.796905,0.796745,0
binary,USDCHF-OTC,1782519120,0.796895,0.796835,0.796955,0.796785,0
binary,USDCHF-OTC,1782519180,0.796825,0.796705,0.796865,0.796685,0
binary,USDCHF-OTC,1782519240,0.796685,0.796755,0.796855,0.796645,0
binary,USDCHF-OTC,1782519300,0.796745,0.796905,0.796915,0.796745,0
binary,USDCHF-OTC,1782519360,0.796925,0.797125,0.797175,0.796915,0
binary,USDCHF-OTC,1782519420,0.797135,0.797025,0.797195,0.796945,0
binary,USDCHF-OTC,1782519480,0.797035,0.796975,0.797095,0.796915,0
binary,USDCHF-OTC,1782519540,0.796985,0.797125,0.797175,0.796965,0
binary,USDCHF-OTC,1782519600,0.797135,0.796985,0.797155,0.796915,0
binary,USDCHF-OTC,1782519660,0.796995,0.797175,0.797175,0.796945,0
binary,USDCHF-OTC,1782519720,0.797165,0.796955,0.797165,0.796885,0
binary,USDCHF-OTC,1782519780,0.796965,0.796805,0.797085,0.796775,0
binary,USDCHF-OTC,1782519840,0.796785,0.796735,0.796785,0.796665,0
binary,USDCHF-OTC,1782519900,0.796745,0.796895,0.796895,0.796635,0
binary,USDCHF-OTC,1782519960,0.796905,0.796955,0.797145,0.796905,0
binary,USDCHF-OTC,1782520020,0.796935,0.796825,0.796995,0.796795,0
